DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2001-03-01,1.2207,1.2944,1.0681,1.0681,0.034,
2001-03-02,1.1037,1.1037,1.0299,1.0299,0.025,
2001-03-05,1.0681,1.0681,0.8901,0.9180,0.053,
2001-03-06,0.9664,0.9765,0.8036,0.8392,0.275,
2001-03-07,0.9129,0.9129,0.7578,0.7578,0.087,
2001-03-08,0.7858,0.8494,0.7680,0.8494,0.222,
2001-03-09,0.8901,0.9943,0.8672,0.8901,0.180,
2001-03-12,0.8901,0.9664,0.8773,0.8773,0.049,
2001-03-13,0.8392,0.8545,0.7629,0.7705,0.111,
2001-03-14,0.7705,0.7705,0.6993,0.6993,0.093,
2001-03-15,0.7120,0.7502,0.7120,0.7400,0.023,
2001-03-16,0.7400,0.7400,0.7400,0.7400,0.025,
2001-03-19,0.7400,0.7502,0.7222,0.7222,0.032,
2001-03-20,0.7400,0.7502,0.7222,0.7222,0.028,
2001-03-21,0.7120,0.7120,0.6866,0.6993,0.055,
2001-03-22,0.6993,0.6993,0.6917,0.6917,0.007,
2001-03-23,0.6917,0.6993,0.6917,0.6917,0.051,
2001-03-26,0.6764,0.6866,0.6129,0.6129,0.104,
2001-03-27,0.6129,0.7120,0.6129,0.7120,0.132,
2001-03-28,0.7120,0.7222,0.7120,0.7120,0.010,
2001-03-29,0.7222,0.7858,0.7222,0.7400,0.028,
2001-03-30,0.7629,0.7629,0.6129,0.6764,0.089,
2001-04-02,0.6764,0.7120,0.6764,0.6866,0.050,
2001-04-03,0.6866,0.6917,0.6485,0.6586,0.055,
2001-04-04,0.6586,0.6866,0.6586,0.6866,0.008,
2001-04-05,0.7120,0.7960,0.7120,0.7960,0.023,
2001-04-06,0.7960,0.7960,0.7960,0.7960,0.000,
2001-04-09,0.7883,0.7883,0.7756,0.7756,0.007,
2001-04-10,0.7883,0.8519,0.7883,0.8265,0.020,
2001-04-11,0.8265,0.8265,0.8138,0.8138,0.002,
2001-04-12,0.8011,0.8011,0.7883,0.8011,0.009,
