DATE,OPEN,HIGH,LOW,CLOSE
2013-08-19,37.5164,40.4782,37.5164,38.3556
2013-08-20,38.4049,38.5037,37.6151,37.6447
2013-08-21,37.7138,37.9607,36.7661,37.0228
2013-08-22,36.7759,37.0326,36.1342,36.7266
2013-08-23,35.9368,37.4374,35.7887,36.7759
2013-08-26,37.0030,37.0030,36.4501,36.8253
2013-08-27,36.7759,36.7759,36.1836,36.3810
2013-08-28,36.1836,36.4501,35.8775,35.9960
2013-08-29,35.7985,36.7661,35.7985,36.1342
2013-08-30,36.5094,36.5291,35.8380,36.4798
2013-09-03,36.8253,39.4514,35.6603,37.0326
2013-09-04,37.5164,38.6419,37.0524,37.9409
2013-09-05,38.2865,38.2865,37.3486,37.8916
2013-09-06,37.8619,40.0339,37.8126,39.0960
2013-09-09,39.0170,40.1327,38.7307,39.3428
2013-09-10,39.3725,39.6390,38.9183,38.9183
2013-09-11,38.6123,38.7801,38.3161,38.3852
2013-09-12,38.2568,39.8464,38.1384,39.6884
2013-09-13,39.5897,40.8534,39.4909,40.0339
2013-09-16,40.3597,40.5671,39.6884,40.1228
2013-09-17,40.0339,40.6066,39.8957,39.9747
2013-09-18,39.7674,40.7448,39.6292,40.4288
2013-09-19,40.3992,40.7448,39.5107,39.9352
2013-09-20,39.9253,40.3597,39.6884,40.1722
2013-09-23,40.1722,40.4190,39.5403,39.8167
2013-09-24,39.6983,40.7744,39.5107,40.4585
2013-09-25,40.3894,40.5967,39.5304,39.9550
2013-09-26,39.9747,40.7645,39.9747,40.6263
2013-09-27,40.2413,41.0508,40.2413,40.4881
2013-09-30,40.0537,40.3597,39.6983,39.8760
2013-10-01,40.0142,40.9422,39.9352,40.0142
2013-10-02,39.9944,40.1919,39.8858,40.0636
2013-10-03,40.0734,40.2413,39.7871,39.9846
2013-10-04,39.8858,40.2314,39.6884,39.7970
2013-10-07,39.5897,39.6884,39.3922,39.4909
2013-10-08,39.3626,39.5699,38.7702,39.1454
2013-10-09,39.2935,39.5995,38.9677,39.4514
2013-10-10,39.6983,40.6757,39.5107,40.4683
2013-10-11,40.5967,41.2680,40.4091,40.7941
2013-10-14,40.6164,41.0804,40.0833,40.8336
2013-10-15,40.8336,40.9521,39.4317,40.3104
2013-10-16,40.3894,41.0212,40.2511,40.4585
2013-10-17,40.4387,40.4683,39.9451,40.1228
2013-10-18,40.3400,40.9521,40.0734,40.7448
2013-10-21,40.6559,41.1989,40.5868,40.9817
2013-10-22,41.0311,41.4359,40.3005,40.9521
2013-10-23,40.8139,40.9027,40.2906,40.4782
2013-10-24,40.6263,40.6263,40.0537,40.3005
2013-10-25,40.3696,40.7546,39.9253,40.3597
2013-10-28,40.2215,40.5276,39.8266,39.9846
2013-10-29,40.2413,40.5078,39.7772,40.2018
2013-10-30,40.3400,40.6460,39.9155,40.0142
2013-10-31,40.2314,40.7448,39.9155,40.0636
2013-11-01,40.1722,40.9027,40.1722,40.6757
2013-11-04,40.8632,41.1594,39.9944,40.1919
2013-11-05,40.1623,40.7645,39.1158,40.5374
2013-11-06,40.8534,41.5741,40.4387,41.1693
2013-11-07,44.9111,44.9209,41.3273,41.6037
2013-11-08,41.3865,41.7123,40.5177,41.5247
2013-11-11,41.6136,42.1862,41.2680,41.7518
2013-11-12,41.6728,42.4231,41.6728,42.2158
2013-11-13,41.9690,42.2652,41.5543,42.1664
2013-11-14,42.2059,42.6008,41.7814,42.4330
2013-11-15,42.6008,43.2228,42.2750,43.0451
2013-11-18,43.2524,43.7461,42.9464,43.3610
2013-11-19,43.4302,43.9929,43.1735,43.4400
2013-11-20,43.4400,44.4174,43.4400,43.6967
2013-11-21,43.6671,44.9012,43.4795,44.7926
2013-11-22,44.6544,46.3130,44.6544,45.7206
2013-11-25,45.5528,45.8687,44.1015,44.3088
2013-11-26,44.5260,44.8518,43.8152,44.6840
2013-11-27,44.9407,45.8194,44.9407,45.4541
2013-11-29,45.3652,45.8687,44.5556,44.6741
2013-12-02,44.8025,45.5133,44.5754,45.4343
2013-12-03,45.3553,46.0563,44.9999,45.2467
2013-12-04,45.2467,45.4442,44.2101,44.4076
2013-12-05,44.2496,45.0493,44.1410,44.7728
2013-12-06,45.1974,45.4936,44.8518,45.0394
2013-12-09,44.9506,45.4146,44.9506,44.9999
2013-12-10,44.8222,44.9703,44.1410,44.2397
2013-12-11,44.1904,44.2101,42.3145,42.7292
2013-12-12,42.4725,42.5712,41.7419,41.8999
2013-12-13,42.0677,42.1961,41.0508,41.7617
2013-12-16,41.7814,42.3540,41.1989,41.5938
2013-12-17,41.9690,42.6502,41.2680,41.7814
2013-12-18,41.9098,42.1664,41.1890,41.7222
2013-12-19,41.5445,41.7123,41.2582,41.4359
2013-12-20,41.4556,42.3145,41.4556,42.2059
2013-12-23,42.3343,42.4231,41.7024,41.8012
2013-12-24,41.9986,42.1862,41.2680,41.3766
2013-12-26,41.3174,41.6728,41.0903,41.3470
2013-12-27,41.3668,41.7518,41.1101,41.3470
2013-12-30,41.3075,41.6136,40.5177,41.5642
2013-12-31,41.7913,41.9591,40.8929,41.0311
2014-01-02,40.9916,41.5148,40.7448,41.3766
2014-01-03,41.2680,41.5938,40.9521,41.4359
2014-01-06,41.4062,41.5050,41.0903,41.2483
2014-01-07,41.3766,42.1763,40.7843,42.0282
2014-01-08,41.9591,42.1763,41.2582,41.9986
2014-01-09,42.2257,43.3216,41.8604,42.6008
2014-01-10,42.6897,43.0451,42.3935,42.6996
2014-01-13,42.4528,42.4528,41.0804,41.2483
2014-01-14,41.2680,42.1862,41.2680,41.3668
2014-01-15,41.2680,41.4260,40.8929,41.0804
2014-01-16,41.1199,41.6629,40.7744,41.1989
2014-01-17,41.1989,41.3174,40.5177,40.8336
2014-01-21,40.9916,41.6926,40.9225,41.5050
2014-01-22,41.4457,41.7419,40.9817,41.1594
2014-01-23,41.0212,41.0804,39.9747,39.9846
2014-01-24,39.7871,39.8760,38.9479,39.3132
2014-01-27,39.2639,39.5995,38.8492,39.0467
2014-01-28,38.9578,39.3132,38.8591,38.9874
2014-01-29,39.4514,39.4514,37.6349,38.4938
2014-01-30,38.8887,38.9578,38.1779,38.5530
2014-01-31,38.1482,38.6814,37.9113,38.2470
2014-02-03,38.3260,38.4444,36.9931,37.1412
2014-02-04,37.2202,37.7533,36.6180,37.0721
2014-02-05,36.8747,38.1581,36.8747,38.0693
2014-02-06,38.2568,38.8887,37.9212,38.7604
2014-02-07,38.8196,39.0960,38.4247,38.7110
2014-02-10,38.5728,38.8690,38.3951,38.6024
2014-02-11,38.6024,39.1355,38.6024,38.9578
2014-02-12,38.9973,39.2836,38.4740,38.5728
2014-02-13,38.4444,39.2441,38.4049,39.1158
2014-02-14,39.3034,39.4021,38.5333,39.2342
2014-02-18,39.1948,39.6686,38.8393,39.0170
2014-02-19,38.7307,39.5206,38.6518,38.7998
2014-02-20,38.6518,39.2540,37.7928,38.6616
2014-02-21,38.7604,38.9973,38.2865,38.3556
2014-02-24,38.2865,38.7110,38.1186,38.3062
2014-02-25,38.2272,38.5728,38.0594,38.4839
2014-02-26,38.6616,39.1256,38.4444,38.9479
2014-02-27,39.0960,40.2215,38.9341,39.9648
2014-02-28,39.8957,40.4881,39.7279,40.0438
2014-03-03,39.7772,40.1722,39.3823,39.4909
2014-03-04,39.6489,40.5374,39.6489,40.3202
2014-03-05,40.4190,40.4585,39.7263,40.0833
2014-03-06,40.0339,40.5177,39.8839,40.2018
2014-03-07,40.5374,41.0311,40.3696,40.6559
2014-03-10,40.5572,41.0410,39.6884,40.6066
2014-03-11,40.6263,40.9077,40.4288,40.8435
2014-03-12,40.6263,41.1594,40.3104,40.4980
2014-03-13,40.5769,40.7744,39.6785,40.1228
2014-03-14,40.1228,40.6559,39.8661,40.2314
2014-03-17,40.3499,41.3371,40.3400,40.5374
2014-03-18,40.5868,41.3569,40.4486,41.2384
2014-03-19,41.1594,41.2976,40.6066,40.9225
2014-03-20,40.7744,40.9225,40.2018,40.3202
2014-03-21,40.5572,40.7349,40.1820,40.3795
2014-03-24,40.6164,40.7152,40.1919,40.4288
2014-03-25,40.3795,40.7448,39.9451,40.4881
2014-03-26,40.6658,40.7744,39.7674,40.0142
2014-03-27,40.0932,40.2709,39.3922,39.4613
2014-03-28,39.5995,40.3597,39.5206,40.1623
2014-03-31,40.2511,40.4683,39.9451,40.0734
2014-04-01,40.1722,40.4782,39.5502,40.4387
2014-04-02,40.3202,41.1051,40.1722,40.5276
2014-04-03,40.5967,42.4281,40.5868,41.4951
2014-04-04,41.5148,41.8011,40.3597,40.4190
2014-04-07,40.2906,40.8336,39.6884,40.1623
2014-04-08,40.1228,40.4091,39.8760,40.1820
2014-04-09,40.3104,40.4486,39.8069,40.2314
2014-04-10,40.2314,41.2088,39.5897,39.6588
2014-04-11,39.5897,40.0734,39.3330,39.4514
2014-04-14,39.6884,39.9846,39.4218,39.8167
2014-04-15,39.8464,40.5209,39.5897,40.1425
2014-04-16,40.3499,40.5572,40.0942,40.2215
2014-04-17,40.2215,40.2215,39.8069,40.0241
2014-04-21,40.0339,40.1722,39.7871,40.0636
2014-04-22,40.0833,40.4782,39.9550,40.1722
2014-04-23,40.1623,41.1496,40.1327,40.9324
2014-04-24,41.0607,41.8703,40.7645,41.6037
2014-04-25,41.3174,41.5000,40.7448,41.0212
2014-04-28,41.1397,42.5515,41.1397,42.3738
2014-04-29,42.4725,42.6897,42.0381,42.2356
2014-04-30,42.0677,42.4922,41.7617,41.9591
2014-05-01,42.1368,42.1763,41.2878,41.7024
2014-05-02,41.8604,42.8822,41.8308,42.4922
2014-05-05,42.9859,45.4146,42.8575,44.4076
2014-05-06,44.1015,44.1706,42.0282,43.0747
2014-05-07,43.1340,45.5133,43.1340,44.3779
2014-05-08,44.6248,46.1945,44.2397,44.6050
2014-05-09,44.7037,46.7869,44.5556,46.5401
2014-05-12,46.7178,48.7516,46.7178,48.2086
2014-05-13,48.2086,48.4554,47.5668,48.1098
2014-05-14,48.0703,48.5739,46.5894,46.6289
2014-05-15,46.4018,46.8264,46.1254,46.3426
2014-05-16,46.3920,47.6359,46.3234,47.6063
2014-05-19,47.3990,48.2875,47.3990,47.6952
2014-05-20,47.6458,48.3961,47.4286,48.0901
2014-05-21,48.2579,48.4751,47.3990,48.0210
2014-05-22,47.9815,49.5019,47.9716,48.8799
2014-05-23,48.8602,50.0005,48.8602,49.6302
2014-05-27,51.0519,51.0519,49.3637,49.4624
2014-05-28,49.3341,50.0054,48.8700,49.6204
2014-05-29,49.8079,50.5583,49.4278,50.1436
2014-05-30,50.2522,50.6866,49.8672,50.2325
2014-06-02,50.3806,51.0124,50.0153,50.9334
2014-06-03,50.7557,50.8742,50.2720,50.5484
2014-06-04,50.4497,50.8446,50.3016,50.5681
2014-06-05,50.5978,51.0717,50.3115,50.5583
2014-06-06,50.9433,52.0392,50.9433,51.6739
2014-06-09,51.7825,52.0589,51.3382,51.6640
2014-06-10,51.5850,52.0145,51.3580,51.4666
2014-06-11,51.2889,51.6147,50.9729,51.1408
2014-06-12,50.9532,51.1803,49.8573,49.9462
2014-06-13,49.9955,50.1239,48.9885,49.5315
2014-06-16,49.6796,50.0548,48.8700,49.3044
2014-06-17,49.3439,49.4821,48.9194,49.2551
2014-06-18,49.2057,49.9462,48.7318,49.3439
2014-06-19,49.4624,49.8277,48.7812,48.9490
2014-06-20,49.1860,49.2649,48.6232,48.8898
2014-06-23,48.8207,49.3528,48.6825,48.8305
2014-06-24,48.7022,48.9589,47.9420,48.0605
2014-06-25,47.8038,48.3665,46.6042,47.9519
2014-06-26,47.8926,48.2579,47.5471,48.1296
2014-06-27,47.9914,48.5442,47.8630,48.1394
2014-06-30,48.0111,48.4850,47.7544,48.2678
2014-07-01,48.3073,48.8799,48.2382,48.3073
2014-07-02,48.1987,48.5739,47.8779,48.4356
2014-07-03,48.6133,49.4130,48.6133,49.2156
2014-07-07,49.0774,49.5236,48.6232,49.0774
2014-07-08,49.0181,49.1712,48.1394,48.1493
2014-07-09,47.9519,48.5344,47.5175,48.3073
2014-07-10,47.4385,48.4060,47.1719,47.6952
2014-07-11,47.6458,47.8433,47.2312,47.7445
2014-07-14,48.0506,48.4258,47.4010,47.8334
2014-07-15,47.7149,47.7347,46.5993,46.6585
2014-07-16,46.8659,47.7347,46.6684,47.1127
2014-07-17,47.0238,47.9124,46.6783,47.0238
2014-07-18,47.1324,47.9914,46.9054,47.8630
2014-07-21,47.6063,47.7149,47.0041,47.3299
2014-07-22,47.4582,48.2579,47.4187,48.1493
2014-07-23,48.1493,48.4554,47.9322,48.3567
2014-07-24,48.3567,48.4554,47.8729,47.9124
2014-07-25,47.6261,47.7939,47.3003,47.5866
2014-07-28,47.6458,47.6754,47.1423,47.5372
2014-07-29,47.6557,48.3567,47.5866,47.6754
2014-07-30,47.7445,48.6528,47.5668,48.5245
2014-07-31,48.1987,49.0872,47.5570,48.7911
2014-08-01,48.7417,48.7417,47.4187,48.0901
2014-08-04,48.1098,48.5837,47.9321,48.2974
2014-08-05,48.1197,48.5837,47.7347,48.3665
2014-08-06,48.0703,49.2353,48.0703,48.9293
2014-08-07,50.9828,51.4666,50.0548,50.2127
