DATE,OPEN,HIGH,LOW,CLOSE
1994-10-27,2.6260,2.6576,2.5944,2.6260
1994-10-28,2.6576,2.6576,2.6260,2.6576
1994-10-31,2.6260,2.6576,2.6260,2.6260
1994-11-01,2.6260,2.6576,2.5944,2.6260
1994-11-02,2.5944,2.5944,2.5311,2.5311
1994-11-03,2.5311,2.5627,2.4994,2.4994
1994-11-04,2.4994,2.5311,2.4678,2.4678
1994-11-07,2.4678,2.4994,2.4045,2.4362
1994-11-08,2.4362,2.4362,2.4045,2.4362
1994-11-09,2.4362,2.4994,2.4362,2.4362
1994-11-10,2.4678,2.4994,2.4045,2.4362
1994-11-11,2.4045,2.4362,2.4045,2.4362
1994-11-14,2.4362,2.4994,2.4045,2.4994
1994-11-15,2.4994,2.5944,2.4678,2.5944
1994-11-16,2.5627,2.5944,2.5627,2.5627
1994-11-17,2.5627,2.6260,2.5627,2.5944
1994-11-18,2.5944,2.6576,2.5627,2.6260
1994-11-21,2.6260,2.6576,2.5627,2.5944
1994-11-22,2.5944,2.6260,2.5311,2.6260
1994-11-23,2.6260,2.7525,2.6260,2.7525
1994-11-25,2.7525,2.7525,2.7209,2.7209
1994-11-28,2.6893,2.7209,2.6260,2.6260
1994-11-29,2.6576,2.6576,2.5944,2.6576
1994-11-30,2.6576,2.7209,2.6576,2.6893
1994-12-01,2.7209,2.7209,2.6576,2.7209
1994-12-02,2.6893,2.7525,2.6893,2.7209
1994-12-05,2.7525,2.8158,2.7525,2.7525
1994-12-06,2.7842,2.8158,2.7842,2.8158
1994-12-07,2.7842,2.7842,2.7209,2.7842
1994-12-08,2.7525,2.7525,2.6893,2.6893
1994-12-09,2.6893,2.7525,2.6893,2.7525
1994-12-12,2.7209,2.7525,2.6893,2.7209
1994-12-13,2.7209,2.7209,2.6260,2.6576
1994-12-14,2.6260,2.6576,2.6260,2.6576
1994-12-15,2.6260,2.6576,2.6260,2.6576
1994-12-16,2.6260,2.7209,2.6260,2.6576
1994-12-19,2.6893,2.7209,2.6576,2.6893
1994-12-20,2.6576,2.6893,2.6576,2.6576
1994-12-21,2.6893,2.6893,2.6576,2.6576
1994-12-22,2.6893,2.6893,2.6260,2.6576
1994-12-23,2.6576,2.6893,2.6260,2.6893
1994-12-27,2.6576,2.7209,2.6576,2.6576
1994-12-28,2.6576,2.6893,2.6260,2.6260
1994-12-29,2.6260,2.6576,2.6260,2.6260
1994-12-30,2.6260,2.6576,2.5627,2.5944
1995-01-03,2.5944,2.6893,2.5944,2.6893
1995-01-04,2.6576,2.7525,2.6576,2.7525
1995-01-05,2.7525,2.7525,2.6893,2.6893
1995-01-06,2.6893,2.7525,2.6893,2.7525
1995-01-09,2.7525,2.7525,2.7209,2.7525
1995-01-10,2.7525,2.7525,2.7209,2.7525
1995-01-11,2.7525,2.7525,2.7209,2.7209
1995-01-12,2.7525,2.7525,2.7209,2.7525
1995-01-13,2.7525,2.8158,2.7525,2.7525
1995-01-16,2.7525,2.7842,2.7525,2.7525
1995-01-17,2.7525,2.8158,2.7525,2.8158
1995-01-18,2.7842,2.8158,2.7842,2.7842
1995-01-19,2.7842,2.8158,2.7842,2.8158
1995-01-20,2.7842,2.7842,2.7525,2.7525
1995-01-23,2.7842,2.7842,2.7525,2.7525
1995-01-24,2.7525,2.7842,2.7525,2.7525
1995-01-25,2.7525,2.7842,2.7525,2.7842
1995-01-26,2.7525,2.8158,2.7525,2.7842
1995-01-27,2.8158,2.8158,2.7525,2.8158
1995-01-30,2.8158,2.8158,2.7842,2.8158
1995-01-31,2.8158,2.8475,2.7842,2.8475
1995-02-01,2.8475,2.8475,2.8158,2.8475
1995-02-02,2.8475,2.8475,2.7842,2.8158
1995-02-03,2.8475,2.9107,2.8475,2.9107
1995-02-06,2.9107,2.9107,2.8791,2.9107
1995-02-07,2.9107,2.9424,2.8791,2.9424
1995-02-08,2.9107,2.9424,2.9107,2.9107
1995-02-09,2.9424,2.9740,2.9107,2.9740
1995-02-10,2.9740,3.0057,2.9107,2.9424
1995-02-13,2.9107,2.9107,2.8475,2.8791
1995-02-14,2.8791,2.9424,2.8791,2.9107
1995-02-15,2.9424,2.9424,2.9107,2.9424
1995-02-16,2.9424,2.9424,2.9107,2.9107
1995-02-17,2.9107,2.9424,2.9107,2.9424
1995-02-21,2.9424,2.9424,2.8791,2.9107
1995-02-22,2.8791,2.9107,2.8791,2.9107
1995-02-23,2.9107,2.9740,2.9107,2.9424
1995-02-24,2.9424,2.9740,2.9107,2.9107
1995-02-27,2.9107,2.9424,2.9107,2.9424
1995-02-28,2.9424,2.9740,2.9107,2.9740
1995-03-01,2.9424,2.9740,2.9424,2.9740
1995-03-02,2.9740,3.0057,2.9740,3.0057
1995-03-03,2.9740,2.9740,2.9424,2.9424
1995-03-06,2.9107,2.9424,2.9107,2.9107
1995-03-07,2.9107,2.9424,2.8791,2.8791
1995-03-08,2.9107,2.9107,2.8475,2.9107
1995-03-09,2.8791,2.9107,2.8791,2.8791
1995-03-10,2.9107,3.0057,2.8791,2.9107
1995-03-13,2.9424,2.9740,2.9424,2.9424
1995-03-14,2.9740,3.0057,2.9424,2.9740
1995-03-15,3.0057,3.0057,2.9424,2.9740
1995-03-16,2.9424,3.0057,2.9424,3.0057
1995-03-17,2.9740,3.0373,2.9740,3.0057
1995-03-20,2.9740,2.9740,2.9424,2.9424
1995-03-21,2.9740,2.9740,2.9424,2.9740
