DATE,OPEN,HIGH,LOW,CLOSE
2018-10-19,12.0700,12.1500,12.0400,12.1500
2018-11-19,11.6481,11.6863,11.6385,11.6481
2018-11-20,11.6576,11.6576,11.5811,11.6003
2018-11-21,11.6289,11.6533,11.6098,11.6098
2018-11-23,11.6098,11.6863,11.6098,11.6194
2018-11-26,11.6194,11.6672,11.5907,11.6672
2018-11-27,11.6672,11.6768,11.6003,11.6481
2018-11-28,11.6289,11.7055,11.6098,11.6609
2018-11-29,11.6768,11.7533,11.6672,11.6863
2018-11-30,11.7055,11.7724,11.7055,11.7628
2018-12-03,11.7341,11.8011,11.7341,11.7724
2018-12-04,11.7724,11.8489,11.7724,11.8202
2018-12-06,11.7724,11.8362,11.7533,11.8298
2018-12-07,11.7915,11.8393,11.7246,11.8298
2018-12-10,11.8011,11.8967,11.8011,11.8776
2018-12-11,11.8776,11.9541,11.8680,11.8967
2018-12-12,11.8107,11.9063,11.8107,11.8298
2018-12-13,11.8567,11.8567,11.6839,11.8087
2018-12-14,11.8087,11.8087,11.7127,11.7319
2018-12-17,11.6935,11.7127,11.6359,11.6359
2018-12-18,11.6359,11.7607,11.6359,11.7127
2018-12-19,11.7127,11.8855,11.6263,11.8759
2018-12-20,11.9047,11.9335,11.6551,11.7428
2018-12-21,11.6647,11.8663,11.6359,11.8087
2018-12-24,11.7895,11.8951,11.7511,11.8087
2018-12-26,11.7511,11.8374,11.6265,11.7165
2018-12-27,11.7127,11.8951,11.6551,11.7991
2018-12-28,11.7607,11.7799,11.6839,11.7415
2018-12-31,11.7799,11.7799,11.6743,11.7607
2019-01-02,11.7223,11.9047,11.7223,11.8951
2019-01-03,11.8951,11.9527,11.8951,11.9527
2019-01-04,11.9527,11.9719,11.8855,11.9623
2019-01-07,11.9623,12.0488,11.9527,11.9623
2019-01-08,12.0200,12.1064,12.0008,12.0872
2019-01-09,12.0392,12.0776,12.0320,12.0776
2019-01-10,12.0680,12.1256,12.0680,12.0776
2019-01-11,12.0968,12.1352,12.0872,12.1256
2019-01-14,12.0680,12.1064,12.0680,12.0680
2019-01-15,12.0392,12.0776,12.0392,12.0584
2019-01-16,12.1160,12.1160,12.0008,12.1064
2019-01-17,12.1160,12.1352,12.0872,12.0968
2019-01-18,12.0488,12.1352,12.0488,12.0872
2019-01-22,12.1544,12.2120,12.1160,12.1832
2019-01-23,12.1736,12.1832,12.1544,12.1736
2019-01-24,12.1736,12.1736,12.0968,12.1544
2019-01-25,12.1736,12.2408,12.1736,12.2408
2019-01-28,12.2408,12.2408,12.1736,12.2408
2019-01-29,12.2408,12.2504,12.2120,12.2408
2019-01-30,12.2312,12.2696,12.2216,12.2312
2019-01-31,12.2312,12.2792,12.2216,12.2600
2019-02-01,12.2312,12.2792,12.2120,12.2216
2019-02-04,12.2408,12.3176,12.2312,12.3176
2019-02-05,12.3176,12.3272,12.2984,12.3271
2019-02-06,12.3368,12.3368,12.2984,12.3368
2019-02-07,12.3368,12.3752,12.3272,12.3752
2019-02-08,12.3464,12.3848,12.3176,12.3656
2019-02-11,12.3656,12.4232,12.3560,12.4232
2019-02-12,12.3656,12.4808,12.3656,12.3944
2019-02-13,12.3944,12.4136,12.3176,12.3272
2019-02-14,12.3176,12.3856,12.2696,12.3856
2019-02-15,12.3656,12.3752,12.3272,12.3368
2019-02-19,12.3464,12.3464,12.3081,12.3272
2019-02-20,12.3752,12.3752,12.3368,12.3752
2019-02-21,12.3752,12.3752,12.3368,12.3368
2019-02-22,12.3848,12.3848,12.3080,12.3080
2019-02-25,12.3752,12.3752,12.2984,12.3272
2019-02-26,12.3560,12.3848,12.3272,12.3848
2019-02-27,12.3848,12.4328,12.3744,12.4328
2019-02-28,12.4136,12.4136,12.3464,12.3560
2019-03-01,12.3848,12.3848,12.3512,12.3752
2019-03-04,12.3848,12.5000,12.3752,12.4808
2019-03-05,12.4520,12.5096,12.4520,12.4712
2019-03-06,12.4904,12.6056,12.4904,12.6056
2019-03-07,12.6248,12.6536,12.6065,12.6440
2019-03-08,12.6440,12.6440,12.6056,12.6056
2019-03-11,12.6536,12.6920,12.6278,12.6920
2019-03-12,12.7016,12.7016,12.6344,12.6920
2019-03-13,12.7400,12.7400,12.6729,12.6824
2019-03-14,12.7283,12.7765,12.6888,12.7765
2019-03-15,12.8343,12.8343,12.7187,12.7503
2019-03-18,12.7958,12.7958,12.7283,12.7958
2019-03-19,12.7765,12.8150,12.7389,12.7861
2019-03-20,12.7668,12.8632,12.7668,12.8632
2019-03-21,12.8536,12.9114,12.8487,12.8825
2019-03-22,12.9499,12.9499,12.8487,12.8921
2019-03-25,12.9114,13.0077,12.8987,13.0077
2019-03-26,12.9885,12.9885,12.9114,12.9405
2019-03-27,12.9210,12.9355,12.9114,12.9114
2019-03-28,12.9499,12.9499,12.9017,12.9403
2019-03-29,12.8825,12.9499,12.8825,12.9017
2019-04-01,12.9306,13.0174,12.9114,13.0174
2019-04-02,13.0366,13.0366,12.9692,12.9902
2019-04-03,12.9885,12.9890,12.8825,12.8921
2019-04-04,12.9017,12.9596,12.8632,12.8632
2019-04-05,12.8825,12.9596,12.8150,12.9114
2019-04-08,12.9596,13.0077,12.8921,13.0077
2019-04-09,13.0077,13.0174,12.9462,12.9885
2019-04-10,13.0174,13.0463,13.0077,13.0174
2019-04-11,13.0366,13.0463,12.9631,13.0463
2019-04-12,12.9596,13.0463,12.9499,12.9692
2019-04-15,12.9499,12.9885,12.9499,12.9885
2019-04-16,12.9596,12.9885,12.9017,12.9114
2019-04-17,12.8825,12.9306,12.7765,12.8921
2019-04-18,12.9017,12.9017,12.8150,12.8343
2019-04-22,12.8536,12.8671,12.7283,12.7476
2019-04-23,12.7283,12.8247,12.6994,12.7379
2019-04-24,12.7476,12.7861,12.7187,12.7813
2019-04-25,12.7861,12.8632,12.7861,12.8054
2019-04-26,12.8343,12.9017,12.8054,12.8825
2019-04-29,12.8536,12.9162,12.7958,12.8439
2019-04-30,12.8247,12.8921,12.8247,12.8921
2019-05-01,12.9114,13.0077,12.8632,12.9981
2019-05-02,13.0077,13.0655,12.9210,13.0655
2019-05-03,13.0848,13.0848,13.0271,13.0655
2019-05-06,13.1041,13.1234,13.0463,13.0848
2019-05-07,13.1137,13.1619,13.1066,13.1619
2019-05-08,13.1619,13.2004,13.1571,13.1619
2019-05-09,13.1812,13.1860,13.0752,13.1523
2019-05-10,13.1812,13.2197,13.1234,13.1715
2019-05-13,13.2004,13.2197,13.1619,13.2197
2019-05-14,13.1908,13.2197,13.1585,13.2197
2019-05-15,13.2293,13.2390,13.1908,13.1908
2019-05-16,13.2390,13.2486,13.1330,13.2004
2019-05-17,13.2004,13.2292,13.1426,13.1523
2019-05-20,13.2004,13.2486,13.1516,13.2004
2019-05-21,13.2004,13.2106,13.1715,13.1901
2019-05-22,13.1908,13.2197,13.0944,13.1330
2019-05-23,13.1330,13.2004,13.1234,13.1234
2019-05-24,13.1812,13.1879,13.0077,13.0463
2019-05-28,13.0463,13.1041,13.0174,13.0270
2019-05-29,13.0944,13.1523,13.0848,13.1137
2019-05-30,13.1137,13.1908,13.1041,13.1619
2019-05-31,13.2004,13.2004,13.0655,13.1908
2019-06-03,13.1619,13.2004,13.1137,13.1330
2019-06-04,13.1137,13.1523,13.0848,13.0944
2019-06-05,13.1426,13.1715,13.0848,13.0848
2019-06-06,13.0950,13.1444,13.0752,13.0752
2019-06-07,13.1426,13.1523,13.1330,13.1330
2019-06-10,13.1523,13.1812,13.1282,13.1812
2019-06-11,13.1812,13.2486,13.1763,13.2293
2019-06-12,13.2293,13.2775,13.2293,13.2679
2019-06-13,13.2947,13.3527,13.2305,13.3527
2019-06-14,13.3623,13.3623,13.3333,13.3623
2019-06-17,13.3913,13.3913,13.3430,13.3817
2019-06-18,13.3623,13.4397,13.3527,13.4397
2019-06-19,13.4204,13.4494,13.4010,13.4107
2019-06-20,13.4494,13.4590,13.3817,13.4300
2019-06-21,13.4300,13.4300,13.3913,13.4204
2019-06-24,13.4687,13.4687,13.3913,13.4397
2019-06-25,13.4107,13.4590,13.4107,13.4590
2019-06-26,13.4494,13.4880,13.4397,13.4687
2019-06-27,13.4880,13.5170,13.4880,13.5170
2019-06-28,13.5170,13.5170,13.4010,13.4010
2019-07-01,13.4977,13.5267,13.4397,13.4687
2019-07-02,13.4397,13.4493,13.4107,13.4107
2019-07-03,13.4107,13.4397,13.4010,13.4010
2019-07-05,13.4397,13.4397,13.3333,13.3333
2019-07-08,13.3430,13.3527,13.3237,13.3333
2019-07-09,13.3237,13.4010,13.2850,13.2947
2019-07-10,13.3430,13.3913,13.3408,13.3913
2019-07-11,13.3913,13.5364,13.3913,13.5267
2019-07-12,13.5170,13.5364,13.4880,13.5364
2019-07-15,13.5267,13.5557,13.5074,13.5170
2019-07-16,13.5267,13.5461,13.4687,13.5267
2019-07-17,13.5267,13.5267,13.4590,13.5058
2019-07-18,13.5364,13.5364,13.4880,13.5267
2019-07-19,13.5461,13.5461,13.5106,13.5267
2019-07-22,13.5364,13.5364,13.4687,13.5072
2019-07-23,13.5267,13.5267,13.4687,13.5074
2019-07-24,13.5654,13.5654,13.5265,13.5654
2019-07-25,13.5847,13.5944,13.5749,13.5847
2019-07-26,13.6137,13.6137,13.4977,13.6041
2019-07-29,13.5654,13.6427,13.5654,13.6427
2019-07-30,13.6427,13.6621,13.6041,13.6234
2019-07-31,13.6524,13.6717,13.5364,13.6524
2019-08-01,13.6717,13.7008,13.6524,13.7008
2019-08-02,13.7008,13.7104,13.6621,13.6621
2019-08-05,13.7104,13.7298,13.6331,13.6814
2019-08-06,13.6911,13.6911,13.6427,13.6717
2019-08-07,13.7008,13.7781,13.6911,13.7201
2019-08-08,13.7298,13.7298,13.5751,13.5944
2019-08-09,13.6041,13.7298,13.5751,13.5847
2019-08-12,13.7588,13.7588,13.6717,13.6717
2019-08-13,13.7104,13.7491,13.6901,13.7394
2019-08-14,13.7684,13.7684,13.6524,13.7394
2019-08-15,13.7684,13.7781,13.7104,13.7394
2019-08-16,13.7491,13.7588,13.6717,13.6814
2019-08-19,13.7008,13.7781,13.6814,13.7008
2019-08-20,13.7491,13.7781,13.6911,13.7298
2019-08-21,13.7104,13.8071,13.7104,13.7491
2019-08-22,13.7491,13.8071,13.7008,13.7104
2019-08-23,13.7201,13.7201,13.6427,13.6911
2019-08-26,13.6621,13.7104,13.6331,13.6814
2019-08-27,13.7104,13.7394,13.6137,13.7104
