DATE,OPEN,HIGH,LOW,CLOSE
1983-06-10,0.5335,0.5354,0.5317,0.5354
1983-06-13,0.5372,0.5372,0.5335,0.5372
1983-06-14,0.5372,0.5447,0.5372,0.5429
1983-06-15,0.5429,0.5485,0.5410,0.5485
1983-06-16,0.5485,0.5505,0.5447,0.5447
1983-06-17,0.5467,0.5467,0.5410,0.5467
1983-06-20,0.5467,0.5467,0.5410,0.5429
1983-06-21,0.5410,0.5410,0.5354,0.5392
1983-06-22,0.5392,0.5410,0.5372,0.5392
1983-06-23,0.5392,0.5392,0.5354,0.5372
1983-06-24,0.5354,0.5392,0.5354,0.5372
1983-06-27,0.5372,0.5429,0.5354,0.5392
1983-06-28,0.5392,0.5392,0.5335,0.5354
1983-06-29,0.5335,0.5354,0.5335,0.5354
1983-06-30,0.5372,0.5392,0.5335,0.5372
1983-07-01,0.5372,0.5372,0.5335,0.5372
1983-07-05,0.5335,0.5335,0.5297,0.5317
1983-07-06,0.5297,0.5335,0.5297,0.5335
1983-07-07,0.5335,0.5335,0.5317,0.5317
1983-07-08,0.5335,0.5372,0.5260,0.5354
1983-07-11,0.5372,0.5392,0.5335,0.5335
1983-07-12,0.5354,0.5392,0.5354,0.5392
1983-07-13,0.5410,0.5447,0.5410,0.5429
1983-07-14,0.5429,0.5485,0.5429,0.5467
1983-07-15,0.5467,0.5485,0.5447,0.5447
1983-07-18,0.5467,0.5485,0.5447,0.5485
1983-07-19,0.5485,0.5505,0.5467,0.5505
1983-07-20,0.5542,0.5635,0.5542,0.5598
1983-07-21,0.5617,0.5617,0.5598,0.5617
1983-07-22,0.5598,0.5617,0.5560,0.5598
1983-07-25,0.5598,0.5617,0.5580,0.5598
1983-07-26,0.5598,0.5617,0.5580,0.5617
1983-07-27,0.5598,0.5617,0.5598,0.5617
1983-07-28,0.5655,0.5692,0.5598,0.5617
1983-07-29,0.5635,0.5635,0.5542,0.5598
1983-08-01,0.5598,0.5635,0.5580,0.5635
1983-08-02,0.5635,0.5673,0.5598,0.5673
1983-08-03,0.5673,0.5673,0.5617,0.5655
1983-08-04,0.5655,0.5673,0.5598,0.5617
1983-08-05,0.5598,0.5617,0.5560,0.5580
1983-08-08,0.5580,0.5598,0.5560,0.5580
1983-08-09,0.5560,0.5598,0.5560,0.5580
1983-08-10,0.5580,0.5617,0.5560,0.5617
1983-08-11,0.5617,0.5655,0.5617,0.5655
1983-08-12,0.5635,0.5655,0.5635,0.5635
1983-08-15,0.5655,0.5673,0.5635,0.5635
1983-08-16,0.5655,0.5655,0.5635,0.5655
1983-08-17,0.5655,0.5655,0.5635,0.5655
1983-08-18,0.5655,0.5655,0.5635,0.5635
1983-08-19,0.5635,0.5635,0.5598,0.5617
1983-08-22,0.5467,0.5485,0.5447,0.5447
1983-08-23,0.5467,0.5485,0.5447,0.5485
1983-08-24,0.5485,0.5505,0.5485,0.5485
1983-08-25,0.5485,0.5598,0.5429,0.5467
1983-08-26,0.5467,0.5485,0.5429,0.5467
1983-08-29,0.5447,0.5485,0.5429,0.5485
1983-08-30,0.5485,0.5485,0.5467,0.5467
1983-08-31,0.5485,0.5505,0.5467,0.5505
1983-09-01,0.5485,0.5505,0.5467,0.5485
1983-09-02,0.5485,0.5505,0.5485,0.5485
1983-09-06,0.5505,0.5542,0.5485,0.5542
1983-09-07,0.5542,0.5542,0.5523,0.5542
1983-09-08,0.5542,0.5542,0.5523,0.5542
1983-09-09,0.5580,0.5635,0.5580,0.5598
1983-09-12,0.5635,0.5655,0.5598,0.5598
1983-09-13,0.5617,0.5635,0.5598,0.5617
1983-09-14,0.5635,0.5655,0.5580,0.5598
1983-09-15,0.5598,0.5617,0.5580,0.5617
1983-09-16,0.5598,0.5635,0.5598,0.5617
1983-09-19,0.5617,0.5635,0.5617,0.5635
1983-09-20,0.5635,0.5692,0.5635,0.5692
1983-09-21,0.5692,0.5692,0.5673,0.5692
1983-09-22,0.5692,0.5730,0.5673,0.5730
1983-09-23,0.5748,0.5748,0.5730,0.5748
1983-09-26,0.5786,0.5843,0.5786,0.5805
1983-09-27,0.5805,0.5805,0.5730,0.5767
1983-09-28,0.5767,0.5805,0.5767,0.5805
1983-09-29,0.5805,0.5861,0.5786,0.5861
1983-09-30,0.5880,0.5898,0.5861,0.5880
1983-10-03,0.5898,0.5918,0.5880,0.5918
1983-10-04,0.5918,0.6030,0.5898,0.6011
1983-10-05,0.6030,0.6161,0.6030,0.6143
1983-10-06,0.6161,0.6161,0.6106,0.6106
1983-10-07,0.6124,0.6124,0.6068,0.6106
1983-10-10,0.6106,0.6106,0.6049,0.6106
1983-10-11,0.6106,0.6106,0.6011,0.6030
1983-10-12,0.6011,0.6030,0.5973,0.5993
1983-10-13,0.5993,0.5993,0.5918,0.5936
1983-10-14,0.5955,0.5955,0.5880,0.5898
1983-10-17,0.5936,0.6011,0.5936,0.6011
1983-10-18,0.6011,0.6011,0.5973,0.6011
1983-10-19,0.5993,0.6011,0.5973,0.6011
1983-10-20,0.6011,0.6086,0.5993,0.6086
1983-10-21,0.6068,0.6106,0.6049,0.6086
1983-10-24,0.6068,0.6068,0.6011,0.6068
1983-10-25,0.6068,0.6161,0.6049,0.6161
1983-10-26,0.6161,0.6274,0.6143,0.6236
1983-10-27,0.6236,0.6236,0.6199,0.6218
1983-10-28,0.6218,0.6218,0.6181,0.6199
1983-10-31,0.6181,0.6218,0.6161,0.6218
1983-11-01,0.6218,0.6274,0.6218,0.6236
1983-11-02,0.6236,0.6274,0.6199,0.6274
1983-11-03,0.6256,0.6256,0.6161,0.6161
1983-11-04,0.6161,0.6199,0.6161,0.6181
1983-11-07,0.6199,0.6199,0.6143,0.6199
1983-11-08,0.6199,0.6199,0.6161,0.6181
1983-11-09,0.6199,0.6199,0.6161,0.6199
1983-11-10,0.6199,0.6199,0.6181,0.6181
1983-11-11,0.6199,0.6274,0.6199,0.6256
1983-11-14,0.6256,0.6293,0.6236,0.6274
1983-11-15,0.6293,0.6293,0.6256,0.6256
1983-11-16,0.6293,0.6331,0.6274,0.6311
1983-11-17,0.6311,0.6331,0.6293,0.6331
1983-11-18,0.6331,0.6331,0.6293,0.6311
1983-11-21,0.6161,0.6349,0.6161,0.6256
1983-11-22,0.6236,0.6293,0.6236,0.6274
1983-11-23,0.6274,0.6293,0.6256,0.6256
1983-11-25,0.6274,0.6274,0.6218,0.6236
1983-11-28,0.6199,0.6236,0.6199,0.6236
1983-11-29,0.6199,0.6236,0.6199,0.6218
1983-11-30,0.6236,0.6256,0.6199,0.6199
1983-12-01,0.6181,0.6218,0.6181,0.6218
1983-12-02,0.6218,0.6218,0.6143,0.6161
1983-12-05,0.6124,0.6143,0.6049,0.6086
1983-12-06,0.6049,0.6086,0.6049,0.6068
1983-12-07,0.6068,0.6068,0.6030,0.6068
1983-12-08,0.6068,0.6068,0.6049,0.6068
1983-12-09,0.6068,0.6086,0.6049,0.6086
1983-12-12,0.6086,0.6086,0.6049,0.6068
1983-12-13,0.6049,0.6086,0.6030,0.6049
1983-12-14,0.6049,0.6068,0.6011,0.6030
1983-12-15,0.6011,0.6049,0.5993,0.6049
1983-12-16,0.6049,0.6049,0.6011,0.6049
1983-12-19,0.6049,0.6068,0.6030,0.6030
1983-12-20,0.6049,0.6068,0.6030,0.6068
1983-12-21,0.6068,0.6068,0.6030,0.6049
1983-12-22,0.6049,0.6049,0.6011,0.6030
1983-12-23,0.6011,0.6030,0.5898,0.5955
1983-12-27,0.5955,0.6049,0.5955,0.6049
1983-12-28,0.6049,0.6086,0.6011,0.6030
1983-12-29,0.6049,0.6049,0.6011,0.6049
1983-12-30,0.6049,0.6049,0.6011,0.6049
1984-01-03,0.6068,0.6068,0.5993,0.6049
1984-01-04,0.6049,0.6049,0.6011,0.6049
1984-01-05,0.6068,0.6068,0.6011,0.6030
1984-01-06,0.6011,0.6068,0.5993,0.6068
1984-01-09,0.6030,0.6049,0.6011,0.6030
1984-01-10,0.6049,0.6068,0.6049,0.6068
1984-01-11,0.6068,0.6068,0.6049,0.6068
1984-01-12,0.6049,0.6068,0.6049,0.6068
1984-01-13,0.6068,0.6086,0.6011,0.6068
1984-01-16,0.6049,0.6086,0.6030,0.6086
1984-01-17,0.6049,0.6106,0.6049,0.6068
1984-01-18,0.6068,0.6068,0.6011,0.6049
1984-01-19,0.6049,0.6049,0.6011,0.6030
1984-01-20,0.6011,0.6049,0.6011,0.6030
1984-01-23,0.6011,0.6011,0.5898,0.5918
1984-01-24,0.5918,0.5936,0.5898,0.5936
1984-01-25,0.5898,0.5918,0.5898,0.5898
1984-01-26,0.5918,0.5936,0.5918,0.5918
1984-01-27,0.5936,0.6011,0.5936,0.6011
1984-01-30,0.6011,0.6030,0.5973,0.6011
1984-01-31,0.6011,0.6011,0.5955,0.5993
1984-02-01,0.5993,0.5993,0.5955,0.5973
1984-02-02,0.5993,0.6011,0.5973,0.6011
1984-02-03,0.6011,0.6049,0.5993,0.6011
1984-02-06,0.6011,0.6011,0.5973,0.6011
1984-02-07,0.6011,0.6030,0.5973,0.6030
1984-02-08,0.6030,0.6049,0.6011,0.6011
1984-02-09,0.5973,0.5993,0.5861,0.5880
1984-02-10,0.5861,0.5880,0.5843,0.5861
1984-02-13,0.5843,0.5843,0.5748,0.5786
1984-02-14,0.5767,0.5786,0.5710,0.5767
1984-02-15,0.5767,0.5767,0.5730,0.5748
1984-02-16,0.5710,0.5748,0.5635,0.5692
1984-02-17,0.5580,0.5635,0.5542,0.5598
1984-02-21,0.5617,0.5617,0.5523,0.5542
1984-02-22,0.5560,0.5560,0.5505,0.5523
1984-02-23,0.5505,0.5505,0.5372,0.5447
1984-02-24,0.5410,0.5485,0.5410,0.5485
1984-02-27,0.5485,0.5505,0.5447,0.5505
1984-02-28,0.5505,0.5505,0.5429,0.5467
1984-02-29,0.5467,0.5485,0.5447,0.5467
1984-03-01,0.5447,0.5485,0.5447,0.5485
1984-03-02,0.5505,0.5542,0.5485,0.5542
1984-03-05,0.5560,0.5580,0.5523,0.5560
1984-03-06,0.5560,0.5580,0.5560,0.5580
1984-03-07,0.5505,0.5560,0.5505,0.5560
1984-03-08,0.5560,0.5560,0.5485,0.5523
1984-03-09,0.5523,0.5523,0.5447,0.5485
1984-03-12,0.5429,0.5447,0.5392,0.5410
1984-03-13,0.5447,0.5467,0.5410,0.5447
1984-03-14,0.5447,0.5485,0.5447,0.5485
1984-03-15,0.5467,0.5485,0.5429,0.5467
1984-03-16,0.5485,0.5560,0.5467,0.5523
1984-03-19,0.5523,0.5542,0.5467,0.5505
1984-03-20,0.5505,0.5505,0.5485,0.5505
1984-03-21,0.5485,0.5505,0.5467,0.5505
1984-03-22,0.5485,0.5505,0.5335,0.5485
1984-03-23,0.5485,0.5485,0.5447,0.5485
1984-03-26,0.5467,0.5505,0.5429,0.5505
1984-03-27,0.5523,0.5560,0.5485,0.5542
1984-03-28,0.5560,0.5560,0.5523,0.5560
1984-03-29,0.5598,0.5617,0.5560,0.5580
1984-03-30,0.5560,0.5580,0.5542,0.5580
1984-04-02,0.5580,0.5580,0.5505,0.5523
1984-04-03,0.5505,0.5523,0.5485,0.5505
1984-04-04,0.5505,0.5523,0.5485,0.5505
1984-04-05,0.5485,0.5505,0.5410,0.5429
1984-04-06,0.5447,0.5505,0.5429,0.5467
1984-04-09,0.5429,0.5447,0.5410,0.5429
1984-04-10,0.5429,0.5485,0.5429,0.5447
1984-04-11,0.5485,0.5485,0.5447,0.5467
1984-04-12,0.5467,0.5580,0.5467,0.5580
