DATE,OPEN,HIGH,LOW,CLOSE
1983-04-06,3.7088,3.7988,3.6772,3.7088
1983-04-07,3.7088,3.7088,3.6188,3.6480
1983-04-08,3.6480,3.7696,3.6480,3.7088
1983-04-11,3.7696,3.7988,3.7404,3.7696
1983-04-12,3.7988,3.7988,3.7088,3.7404
1983-04-13,3.7404,3.7404,3.6772,3.7404
1983-04-14,3.7088,3.7988,3.6772,3.7404
1983-04-15,3.7404,3.7404,3.6772,3.6772
1983-04-18,3.6772,3.7088,3.6480,3.7088
1983-04-19,3.6188,3.7404,3.5872,3.6480
1983-04-20,3.6188,3.7404,3.6188,3.7404
1983-04-21,3.6772,3.7988,3.6772,3.7404
1983-04-22,3.7404,3.7696,3.7088,3.7088
1983-04-25,3.7696,3.7988,3.7088,3.7404
1983-04-26,3.8620,4.0128,3.7088,4.0128
1983-04-27,3.9204,4.0128,3.7988,3.8620
1983-04-28,3.8620,3.9204,3.7696,3.9204
1983-04-29,3.9520,4.0128,3.8912,3.9520
1983-05-02,3.8620,3.9520,3.7696,3.8304
1983-05-03,3.8304,4.0420,3.8304,4.0420
1983-05-04,4.0128,4.1052,3.8912,3.9836
1983-05-05,3.9204,4.0128,3.8304,3.8912
1983-05-06,3.8620,3.9204,3.8304,3.8912
1983-05-09,3.8620,3.9520,3.8304,3.9204
1983-05-10,3.8912,3.9520,3.8304,3.8620
1983-05-11,3.8912,3.9836,3.8620,3.9520
1983-05-12,3.9520,3.9520,3.8620,3.9204
1983-05-13,3.9836,3.9836,3.9204,3.9520
1983-05-16,3.9204,3.9520,3.8912,3.9204
1983-05-17,3.9520,4.0128,3.8620,3.9836
1983-05-18,4.0420,4.0736,3.9520,4.0128
1983-05-19,3.9836,4.0420,3.8912,3.8912
1983-05-20,3.7988,3.8620,3.7988,3.8620
1983-05-23,3.8304,4.1052,3.8304,4.0420
1983-05-24,4.0420,4.2268,4.0420,4.1952
1983-05-25,4.1952,4.3484,4.1344,4.3484
1983-05-26,4.2852,4.3484,4.2268,4.2560
1983-05-27,4.3168,4.3168,4.1344,4.1952
1983-05-31,4.2560,4.3484,4.1344,4.2560
1983-06-01,4.2560,4.3168,4.1952,4.3168
1983-06-02,4.3168,4.4068,4.2560,4.2560
1983-06-03,4.2852,4.3484,4.2268,4.2560
1983-06-06,4.1970,4.2588,4.0736,4.0736
1983-06-07,4.1353,4.1674,4.0736,4.1032
1983-06-08,4.0736,4.1032,4.0119,4.0440
1983-06-09,4.0119,4.0736,3.9798,4.0119
1983-06-10,4.0119,4.0736,4.0119,4.0736
1983-06-13,4.1674,4.1970,4.0736,4.1970
1983-06-14,4.1970,4.1970,4.1032,4.1674
1983-06-15,4.1674,4.1970,4.1032,4.1674
1983-06-16,4.1674,4.1674,4.0440,4.1032
1983-06-17,4.1353,4.1970,4.0736,4.1970
1983-06-20,4.1353,4.1970,4.0440,4.0440
1983-06-21,4.0119,4.0736,3.9798,4.0440
1983-06-22,4.1674,4.3205,4.0119,4.2588
1983-06-23,4.2909,4.4439,4.2267,4.4143
1983-06-24,4.3501,4.4143,4.3205,4.3822
1983-06-27,4.3822,4.3822,4.2588,4.2909
1983-06-28,4.2588,4.2909,4.1970,4.1970
1983-06-29,4.1970,4.3822,4.1970,4.3822
1983-06-30,4.3501,4.4736,4.3501,4.4143
1983-07-01,4.3501,4.5377,4.3501,4.4736
1983-07-05,4.4439,4.6291,4.3501,4.6291
1983-07-06,4.6291,4.7204,4.5377,4.6908
1983-07-07,4.6908,4.7846,4.5970,4.6291
1983-07-08,4.6908,4.8439,4.4736,4.5377
1983-07-11,4.6908,4.6908,4.5056,4.5970
1983-07-12,4.6291,4.6291,4.3205,4.4143
1983-07-13,4.4143,4.4439,4.2909,4.3822
1983-07-14,4.3822,4.5056,4.2909,4.4143
1983-07-15,4.4439,4.4439,4.3205,4.3205
1983-07-18,4.3205,4.4143,4.2909,4.3501
1983-07-19,4.4143,4.4439,4.3822,4.4143
1983-07-20,4.4439,4.4736,4.4143,4.4736
1983-07-21,4.4736,4.4736,4.3822,4.4143
1983-07-22,4.5377,4.5970,4.4736,4.5056
1983-07-25,4.5056,4.6291,4.4439,4.5970
1983-07-26,4.6291,4.7204,4.5970,4.6908
1983-07-27,4.7204,4.7525,4.5377,4.5377
1983-07-28,4.5056,4.5970,4.5056,4.5674
1983-07-29,4.5377,4.5674,4.5056,4.5377
1983-08-01,4.5056,4.5674,4.4439,4.4736
1983-08-02,4.5056,4.5377,4.3822,4.4736
1983-08-03,4.4736,4.5674,4.4143,4.5377
1983-08-04,4.5377,4.5970,4.4439,4.5056
1983-08-05,4.4736,4.5056,4.4439,4.5056
1983-08-08,4.5056,4.5377,4.4439,4.4736
1983-08-09,4.4736,4.6291,4.4143,4.6291
1983-08-10,4.5970,4.6612,4.4736,4.6291
1983-08-11,4.6612,4.7525,4.6612,4.6908
1983-08-12,4.6908,4.8143,4.6291,4.7525
1983-08-15,4.8143,4.9081,4.6908,4.7525
1983-08-16,4.7525,4.7846,4.6908,4.7525
1983-08-17,4.7846,4.9994,4.7204,4.9377
1983-08-18,4.9673,4.9994,4.8439,4.9081
1983-08-19,4.8439,4.9377,4.8143,4.8760
1983-08-22,4.9994,5.0611,4.8439,4.9994
1983-08-23,4.9673,4.9673,4.8439,4.8760
1983-08-24,4.8439,4.9673,4.7846,4.8439
1983-08-25,4.8143,4.8439,4.7204,4.7846
1983-08-26,4.8143,4.8143,4.7525,4.7846
1983-08-29,4.6908,4.7525,4.5056,4.5674
1983-08-30,4.6612,4.7204,4.5970,4.7204
1983-08-31,4.6908,4.7525,4.6291,4.7525
1983-09-01,4.6612,4.7525,4.5970,4.7525
1983-09-02,4.5649,4.8151,4.5649,4.7525
1983-09-06,4.8776,4.9401,4.8151,4.8776
1983-09-07,4.7825,4.8476,4.6575,4.6900
1983-09-08,4.7525,4.9727,4.7225,4.9727
1983-09-09,4.9076,4.9401,4.8476,4.8476
1983-09-12,4.9401,4.9401,4.5975,4.6275
1983-09-13,4.5649,4.5975,4.5024,4.5649
1983-09-14,4.5324,4.5324,4.4724,4.5024
1983-09-15,4.5324,4.5975,4.4724,4.5324
1983-09-16,4.5324,4.6575,4.5024,4.6275
1983-09-19,4.5975,4.5975,4.5324,4.5324
1983-09-20,4.6275,4.7225,4.5649,4.7225
1983-09-21,4.6900,4.7525,4.6275,4.6275
1983-09-22,4.6275,4.8151,4.6275,4.7525
1983-09-23,4.6900,4.7825,4.6275,4.7525
1983-09-26,4.8151,4.8476,4.7225,4.7525
1983-09-27,4.6900,4.7825,4.6275,4.6900
1983-09-28,4.6575,4.6900,4.5324,4.5649
1983-09-29,4.5975,4.6275,4.5324,4.5649
1983-09-30,4.5975,4.5975,4.5024,4.5324
1983-10-03,4.5024,4.5649,4.5024,4.5024
1983-10-04,4.5649,4.6275,4.5324,4.6275
1983-10-05,4.5975,4.6275,4.5649,4.5649
1983-10-06,4.5649,4.5975,4.4399,4.5024
1983-10-07,4.4724,4.5324,4.4073,4.4724
1983-10-10,4.3773,4.5649,4.3473,4.5649
1983-10-11,4.5024,4.5649,4.4724,4.5324
1983-10-12,4.5024,4.5649,4.4399,4.5024
1983-10-13,4.4399,4.5024,4.4073,4.4724
1983-10-14,4.4399,4.4724,4.4399,4.4724
1983-10-17,4.5324,4.5649,4.4073,4.5024
1983-10-18,4.5024,4.5324,4.4399,4.4399
1983-10-19,4.4073,4.4724,4.3773,4.4073
1983-10-20,4.3473,4.4399,4.3473,4.4073
1983-10-21,4.3773,4.4073,4.2823,4.3148
1983-10-24,4.2823,4.3148,4.2223,4.3148
1983-10-25,4.3473,4.5324,4.3148,4.5024
1983-10-26,4.4724,4.5324,4.3473,4.3473
1983-10-27,4.3148,4.4073,4.2823,4.3148
1983-10-28,4.2823,4.3773,4.2523,4.2523
1983-10-31,4.2523,4.3473,4.2223,4.2823
1983-11-01,4.3473,4.3473,4.1272,4.1897
1983-11-02,4.2523,4.2523,3.9071,4.0647
1983-11-03,4.0647,4.0972,3.9721,4.0021
1983-11-04,4.0021,4.0972,3.9721,4.0321
1983-11-07,4.0321,4.1572,4.0321,4.1272
1983-11-08,4.1272,4.1572,4.0972,4.0972
1983-11-09,4.1272,4.2823,4.1272,4.2223
1983-11-10,4.2523,4.2823,4.1272,4.1272
1983-11-11,4.1272,4.1897,4.0972,4.1572
1983-11-14,4.1897,4.2223,4.0972,4.1272
1983-11-15,4.1572,4.2223,4.0972,4.1272
1983-11-16,4.1572,4.1897,4.0321,4.0647
1983-11-17,4.0647,4.1272,4.0321,4.0647
1983-11-18,4.0972,4.0972,4.0021,4.0321
1983-11-21,4.0021,4.0972,3.9071,4.0321
1983-11-22,4.0321,4.0647,3.8771,3.9396
1983-11-23,4.0021,4.0647,3.9071,4.0021
1983-11-25,3.9721,4.0021,3.9396,4.0021
1983-11-28,4.0021,4.0647,4.0021,4.0647
1983-11-29,4.0642,4.1607,4.0337,4.0947
1983-11-30,4.0642,4.0947,4.0007,4.0007
1983-12-01,4.0642,4.0947,4.0337,4.0642
1983-12-02,4.1277,4.1607,4.0642,4.0642
1983-12-05,4.0642,4.1277,4.0642,4.0642
1983-12-06,4.0642,4.0947,4.0007,4.0642
1983-12-07,4.0642,4.0642,4.0007,4.0337
1983-12-08,4.0007,4.0337,3.9677,4.0007
1983-12-09,3.9677,4.0337,3.9677,3.9677
1983-12-12,4.0337,4.0947,3.9677,4.0337
1983-12-13,4.0337,4.0337,3.9677,4.0007
1983-12-14,4.0337,4.0337,3.9677,4.0337
1983-12-15,4.0007,4.0947,4.0007,4.0007
1983-12-16,4.0007,4.0947,3.9677,3.9677
1983-12-19,3.9677,4.0007,3.9067,3.9372
1983-12-20,3.9372,3.9677,3.9067,3.9067
1983-12-21,3.9067,4.0007,3.8407,3.8737
1983-12-22,3.8737,3.9372,3.8102,3.8737
1983-12-23,3.8407,4.1277,3.8407,3.8737
1983-12-27,3.8737,3.9677,3.8407,3.9677
1983-12-28,4.0337,4.0337,3.9677,4.0337
1983-12-29,4.0337,4.0642,3.9067,3.9372
1983-12-30,3.9067,4.0007,3.9067,4.0007
1984-01-03,3.9677,4.0337,3.9372,3.9677
1984-01-04,3.9677,4.0337,3.9372,4.0337
1984-01-05,3.9677,4.0337,3.9677,4.0337
1984-01-06,4.0007,4.1607,4.0007,4.1607
1984-01-09,4.0947,4.1607,4.0947,4.1607
1984-01-10,4.1607,4.1607,3.9677,4.0007
1984-01-11,4.0007,4.0337,4.0007,4.0337
1984-01-12,4.0642,4.1277,4.0337,4.0947
1984-01-13,4.1277,4.1277,4.0337,4.0642
1984-01-16,4.0337,4.0947,4.0337,4.0337
1984-01-17,4.0337,4.0642,4.0007,4.0642
1984-01-18,4.0642,4.0642,4.0337,4.0337
1984-01-19,4.0337,4.0947,4.0337,4.0947
