DATE,OPEN,HIGH,LOW,CLOSE
1997-10-08,0.8318,0.8362,0.8044,0.8044
1997-10-09,0.8158,0.8241,0.8044,0.8158
1997-10-10,0.8120,0.8120,0.7961,0.8120
1997-10-13,0.8120,0.8120,0.7999,0.7999
1997-10-14,0.7999,0.8044,0.7923,0.7923
1997-10-15,0.7999,0.7999,0.7885,0.7923
1997-10-16,0.7999,0.8082,0.7885,0.7923
1997-10-17,0.7885,0.7923,0.7725,0.7802
1997-10-20,0.7840,0.7885,0.7802,0.7840
1997-10-21,0.7840,0.7840,0.7802,0.7840
1997-10-22,0.7885,0.7961,0.7802,0.7923
1997-10-23,0.7725,0.7764,0.7566,0.7643
1997-10-24,0.7643,0.7725,0.7643,0.7643
1997-10-27,0.7643,0.7681,0.7407,0.7407
1997-10-28,0.7324,0.7643,0.7165,0.7566
1997-10-29,0.7362,0.7725,0.7362,0.7604
1997-10-30,0.7483,0.7643,0.7407,0.7566
1997-10-31,0.7604,0.7643,0.7566,0.7566
1997-11-03,0.7643,0.7725,0.7604,0.7681
1997-11-04,0.7643,0.7681,0.7483,0.7522
1997-11-05,0.7522,0.7566,0.7483,0.7522
1997-11-06,0.7483,0.7566,0.7445,0.7445
1997-11-07,0.7407,0.7483,0.7248,0.7248
1997-11-10,0.7324,0.7362,0.7006,0.7006
1997-11-11,0.7088,0.7127,0.6929,0.7127
1997-11-12,0.7127,0.7127,0.6770,0.6770
1997-11-13,0.6846,0.6967,0.6687,0.6808
1997-11-14,0.6846,0.6846,0.6611,0.6649
1997-11-17,0.6611,0.6687,0.6528,0.6528
1997-11-18,0.6611,0.6929,0.6611,0.6929
1997-11-19,0.6929,0.7044,0.6929,0.7006
1997-11-20,0.7006,0.7006,0.6929,0.6967
1997-11-21,0.7006,0.7044,0.6929,0.6967
1997-11-24,0.6967,0.7006,0.6846,0.6885
1997-11-25,0.6929,0.6929,0.6770,0.6770
1997-11-26,0.6846,0.6885,0.6770,0.6808
1997-11-28,0.6808,0.6885,0.6808,0.6846
1997-12-01,0.6846,0.6885,0.6808,0.6808
1997-12-02,0.6885,0.6967,0.6846,0.6929
1997-12-03,0.6967,0.6967,0.6808,0.6846
1997-12-04,0.6770,0.7203,0.6770,0.7203
1997-12-05,0.7203,0.7203,0.6885,0.7006
1997-12-08,0.7006,0.7006,0.6846,0.6885
1997-12-09,0.6846,0.6846,0.6611,0.6611
1997-12-10,0.6687,0.6770,0.6611,0.6649
1997-12-11,0.6566,0.6649,0.6528,0.6566
1997-12-12,0.6566,0.6611,0.6452,0.6566
1997-12-15,0.6528,0.6566,0.6369,0.6369
1997-12-16,0.6369,0.6528,0.6369,0.6528
1997-12-17,0.6611,0.6846,0.6611,0.6770
1997-12-18,0.6770,0.6770,0.6611,0.6687
1997-12-19,0.6687,0.6885,0.6611,0.6885
1997-12-22,0.6846,0.6846,0.6687,0.6770
1997-12-23,0.6770,0.6808,0.6687,0.6725
1997-12-24,0.6687,0.6770,0.6687,0.6687
1997-12-26,0.6611,0.6611,0.6452,0.6611
1997-12-29,0.6667,0.6752,0.6667,0.6706
1997-12-30,0.6706,0.6914,0.6706,0.6914
1997-12-31,0.6830,0.7155,0.6830,0.7155
1998-01-02,0.7240,0.7240,0.7116,0.7116
1998-01-05,0.7116,0.7116,0.6993,0.7077
1998-01-06,0.7077,0.7077,0.6791,0.6830
1998-01-07,0.6830,0.6830,0.6667,0.6752
1998-01-08,0.6752,0.6752,0.6667,0.6667
1998-01-09,0.6667,0.6752,0.6628,0.6752
1998-01-12,0.6752,0.6752,0.6505,0.6628
1998-01-13,0.6667,0.6667,0.6628,0.6667
1998-01-14,0.6628,0.6667,0.6589,0.6667
1998-01-15,0.6667,0.6830,0.6628,0.6830
1998-01-16,0.6791,0.7077,0.6791,0.6993
1998-01-20,0.6993,0.7032,0.6993,0.6993
1998-01-21,0.7032,0.7032,0.6914,0.6954
1998-01-22,0.7032,0.7032,0.6914,0.6914
1998-01-23,0.6830,0.6914,0.6830,0.6830
1998-01-26,0.6830,0.6914,0.6752,0.6752
1998-01-27,0.6667,0.6830,0.6667,0.6830
1998-01-28,0.6914,0.6954,0.6869,0.6869
1998-01-29,0.6869,0.6993,0.6869,0.6954
1998-01-30,0.6914,0.6954,0.6869,0.6869
1998-02-02,0.6954,0.6993,0.6869,0.6954
1998-02-03,0.6914,0.7155,0.6914,0.7077
1998-02-04,0.6914,0.7155,0.6914,0.7155
1998-02-05,0.7643,0.7643,0.7116,0.7116
1998-02-06,0.7077,0.7077,0.6954,0.6954
1998-02-09,0.7032,0.7077,0.6993,0.6993
1998-02-10,0.6954,0.7077,0.6954,0.6954
1998-02-11,0.6993,0.6993,0.6954,0.6993
1998-02-12,0.6993,0.6993,0.6830,0.6914
1998-02-13,0.6914,0.6914,0.6752,0.6752
1998-02-17,0.6667,0.6914,0.6667,0.6830
1998-02-18,0.6752,0.6830,0.6752,0.6830
1998-02-19,0.6791,0.6993,0.6791,0.6914
1998-02-20,0.6914,0.6993,0.6830,0.6954
1998-02-23,0.6954,0.6993,0.6954,0.6954
1998-02-24,0.6914,0.6993,0.6830,0.6993
1998-02-25,0.6954,0.7032,0.6914,0.6993
1998-02-26,0.6993,0.7116,0.6954,0.7116
1998-02-27,0.7032,0.7116,0.6954,0.7077
1998-03-02,0.6993,0.7318,0.6993,0.7279
1998-03-03,0.7279,0.7279,0.7155,0.7194
1998-03-04,0.7155,0.7194,0.7155,0.7155
1998-03-05,0.7077,0.7155,0.7077,0.7155
1998-03-06,0.7194,0.7441,0.7194,0.7318
1998-03-09,0.7318,0.7441,0.7318,0.7441
1998-03-10,0.7441,0.7441,0.7402,0.7402
1998-03-11,0.7318,0.7402,0.7240,0.7318
1998-03-12,0.7318,0.7357,0.7240,0.7318
1998-03-13,0.7279,0.7318,0.7279,0.7318
1998-03-16,0.7279,0.7279,0.7155,0.7194
