DATE,OPEN,HIGH,LOW,CLOSE
1994-10-27,3.8190,3.8624,3.8190,3.8624
1994-10-28,3.8624,3.9058,3.8624,3.8624
1994-10-31,3.8624,3.9492,3.8190,3.8190
1994-11-01,3.8624,3.8624,3.8190,3.8190
1994-11-02,3.8190,3.9058,3.8190,3.8190
1994-11-03,3.8190,3.9058,3.8190,3.8624
1994-11-04,3.8190,3.8624,3.8190,3.8190
1994-11-07,3.8190,3.8624,3.7756,3.7756
1994-11-08,3.7756,3.8190,3.6888,3.7322
1994-11-09,3.6888,3.7756,3.6454,3.6888
1994-11-10,3.6888,3.6888,3.6454,3.6888
1994-11-11,3.6454,3.6888,3.5152,3.6020
1994-11-14,3.5586,3.6454,3.5586,3.5586
1994-11-15,3.6020,3.6888,3.5586,3.6888
1994-11-16,3.6888,3.8624,3.6888,3.8190
1994-11-17,3.6888,3.7756,3.6454,3.6454
1994-11-18,3.6454,3.7322,3.6020,3.6454
1994-11-21,3.6888,3.7322,3.6888,3.7322
1994-11-22,3.6888,3.7322,3.6454,3.6454
1994-11-23,3.6888,3.8624,3.6888,3.8624
1994-11-25,3.9058,4.0360,3.9058,3.9058
1994-11-28,3.9492,3.9926,3.8624,3.9058
1994-11-29,3.9492,3.9492,3.8624,3.9058
1994-11-30,3.8624,3.9058,3.8624,3.9058
1994-12-01,3.9492,4.1228,3.9492,4.0360
1994-12-02,3.9492,4.1228,3.9492,4.1228
1994-12-05,4.0794,4.1228,4.0360,4.0360
1994-12-06,4.0360,4.1228,3.9926,4.0360
1994-12-07,3.9926,4.0360,3.9492,3.9926
1994-12-08,3.9058,4.0360,3.9058,3.9058
1994-12-09,3.8624,3.9492,3.8190,3.8190
1994-12-12,3.8190,3.8624,3.6888,3.6888
1994-12-13,3.6454,3.8190,3.6020,3.7322
1994-12-14,3.6888,3.7756,3.6020,3.6888
1994-12-15,3.6454,3.9058,3.6020,3.8190
1994-12-16,3.8624,3.9058,3.7322,3.8190
1994-12-19,3.8190,3.8624,3.7322,3.7322
1994-12-20,3.7322,3.8190,3.6888,3.6888
1994-12-21,3.7322,3.7756,3.6020,3.6888
1994-12-22,3.6020,3.7322,3.6020,3.7105
1994-12-23,3.6888,3.7756,3.6020,3.6454
1994-12-27,3.6454,3.6888,3.6020,3.6454
1994-12-28,3.6454,3.6888,3.6020,3.6888
1994-12-29,3.6454,3.7756,3.6454,3.7322
1994-12-30,3.6888,3.8190,3.6888,3.7322
1995-01-03,3.7322,3.8624,3.7322,3.8190
1995-01-04,3.8624,3.9926,3.8190,3.9058
1995-01-05,3.9926,3.9926,3.9058,3.9492
1995-01-06,3.9926,3.9926,3.9058,3.9926
1995-01-09,3.9492,3.9492,3.9058,3.9492
1995-01-10,3.9492,3.9926,3.9492,3.9926
1995-01-11,3.9492,4.1228,3.9492,4.1228
1995-01-12,4.0794,4.1228,4.0794,4.0794
1995-01-13,4.1228,4.1228,3.8190,4.1228
1995-01-16,4.1662,4.2096,4.1662,4.2096
1995-01-17,4.2530,4.2964,4.1662,4.2096
1995-01-18,4.2530,4.3832,4.2530,4.2964
1995-01-19,4.2964,4.3398,4.2530,4.2964
1995-01-20,4.2530,4.2964,4.2530,4.2530
1995-01-23,4.2530,4.2964,4.2530,4.2530
1995-01-24,4.2530,4.2964,4.2530,4.2530
1995-01-25,4.2530,4.2964,4.2530,4.2964
1995-01-26,4.2530,4.2964,4.2530,4.2530
1995-01-27,4.2964,4.4700,4.2964,4.4700
1995-01-30,4.4266,4.4266,4.3398,4.3832
1995-01-31,4.3832,4.3832,4.3832,4.3832
1995-02-01,4.3832,4.3832,4.2964,4.2964
1995-02-02,4.3398,4.3398,4.2964,4.3398
1995-02-03,4.3398,4.3832,4.2964,4.3398
1995-02-06,4.3832,4.3832,4.3832,4.3832
1995-02-07,4.4266,4.4266,4.3832,4.3832
1995-02-08,4.4266,4.4266,4.3832,4.4266
1995-02-09,4.3398,4.3832,4.3398,4.3832
1995-02-10,4.3832,4.3832,4.3398,4.3398
1995-02-13,4.3832,4.3832,4.3398,4.3832
1995-02-14,4.3832,4.3832,4.3398,4.3832
1995-02-15,4.3832,4.3832,4.3398,4.3832
1995-02-16,4.3832,4.4700,4.3398,4.4700
1995-02-17,4.4266,4.4700,4.3832,4.4700
1995-02-21,4.4266,4.4700,4.4266,4.4700
1995-02-22,4.4266,4.4700,4.4266,4.4266
1995-02-23,4.4266,4.5134,4.4266,4.4700
1995-02-24,4.4700,4.5134,4.4700,4.4700
1995-02-27,4.4700,4.4700,4.4266,4.4266
1995-02-28,4.4266,4.4700,4.4266,4.4266
1995-03-01,4.4700,4.4700,4.4266,4.4700
1995-03-02,4.4266,4.5567,4.4266,4.5567
1995-03-03,4.5134,4.5134,4.4700,4.5134
1995-03-06,4.4700,4.5134,4.4700,4.4700
1995-03-07,4.4700,4.4700,4.4266,4.4700
1995-03-08,4.4266,4.4700,4.4266,4.4266
1995-03-09,4.4266,4.4700,4.4266,4.4266
1995-03-10,4.4266,4.4266,4.3832,4.3832
1995-03-13,4.3832,4.4266,4.3832,4.4266
1995-03-14,4.4700,4.4700,4.4266,4.4700
1995-03-15,4.4700,4.5134,4.4266,4.5134
1995-03-16,4.5134,4.5134,4.4700,4.4700
1995-03-17,4.4700,4.4700,4.4266,4.4700
1995-03-20,4.4266,4.4700,4.4266,4.4700
1995-03-21,4.4700,4.5134,4.4266,4.5134
1995-03-22,4.4266,4.4700,4.4266,4.4700
1995-03-23,4.4700,4.4700,4.4266,4.4700
1995-03-24,4.4266,4.4700,4.4266,4.4700
1995-03-27,4.4700,4.5134,4.4266,4.5134
1995-03-28,4.5134,4.5134,4.4700,4.5134
1995-03-29,4.5134,4.5134,4.4700,4.4700
1995-03-30,4.5134,4.5134,4.4700,4.5134
1995-03-31,4.5134,4.5134,4.5134,4.5134
1995-04-03,4.5134,4.6001,4.5134,4.6001
1995-04-04,4.5567,4.6001,4.5567,4.6001
1995-04-05,4.6435,4.6435,4.6001,4.6435
1995-04-06,4.6435,4.6869,4.6435,4.6869
1995-04-07,4.6869,4.6869,4.6001,4.6001
1995-04-10,4.6001,4.6435,4.6001,4.6435
1995-04-11,4.6001,4.6435,4.6001,4.6435
1995-04-12,4.6001,4.6435,4.6001,4.6435
1995-04-13,4.6435,4.6435,4.5567,4.5567
1995-04-17,4.5567,4.6001,4.5567,4.5567
1995-04-18,4.6001,4.6435,4.5567,4.6435
1995-04-19,4.6001,4.6435,4.6001,4.6435
1995-04-20,4.6435,4.6869,4.6001,4.6435
1995-04-21,4.6435,4.7303,4.6435,4.6869
1995-04-24,4.6869,4.7303,4.6435,4.7303
1995-04-25,4.7303,4.7303,4.6435,4.6435
1995-04-26,4.6869,4.6869,4.6435,4.6435
1995-04-27,4.6435,4.6435,4.6435,4.6435
1995-04-28,4.6869,4.6869,4.6869,4.6869
1995-05-01,4.6869,4.6869,4.6435,4.6869
1995-05-02,4.6435,4.6435,4.6001,4.6435
1995-05-03,4.6435,4.6869,4.6435,4.6435
1995-05-04,4.6869,4.6869,4.6001,4.6001
1995-05-05,4.6435,4.6435,4.5134,4.5134
1995-05-08,4.5134,4.5567,4.5134,4.5567
1995-05-09,4.5134,4.5567,4.5134,4.5134
1995-05-10,4.5567,4.5567,4.4700,4.5134
1995-05-11,4.4700,4.5134,4.4700,4.5134
1995-05-12,4.5134,4.5134,4.4266,4.4266
1995-05-15,4.4266,4.4700,4.4266,4.4700
1995-05-16,4.3832,4.3832,4.2964,4.3398
1995-05-17,4.2964,4.3398,4.2964,4.2964
1995-05-18,4.2964,4.3398,4.2964,4.3398
1995-05-19,4.2964,4.3398,4.2964,4.3398
1995-05-22,4.3398,4.3398,4.2964,4.2964
1995-05-23,4.2964,4.3398,4.2530,4.2964
1995-05-24,4.3398,4.3398,4.2964,4.3398
1995-05-25,4.3398,4.3832,4.3398,4.3398
1995-05-26,4.3832,4.4266,4.3398,4.4266
1995-05-30,4.4266,4.4700,4.4266,4.4700
1995-05-31,4.4266,4.4700,4.4266,4.4700
1995-06-01,4.4700,4.4700,4.4266,4.4700
1995-06-02,4.4700,4.5567,4.4700,4.5567
1995-06-05,4.6001,4.7303,4.6001,4.7303
1995-06-06,4.7303,4.7303,4.6869,4.7303
1995-06-07,4.6869,4.7303,4.6869,4.6869
1995-06-08,4.6869,4.7303,4.6869,4.7303
1995-06-09,4.7303,4.7303,4.6869,4.6869
1995-06-12,4.7303,4.7303,4.6435,4.6869
1995-06-13,4.6869,4.6869,4.6435,4.6435
1995-06-14,4.6435,4.6869,4.5567,4.5567
1995-06-15,4.5567,4.6001,4.5567,4.6001
1995-06-16,4.6001,4.6001,4.5567,4.5567
1995-06-19,4.6001,4.6435,4.5567,4.6001
1995-06-20,4.6001,4.6001,4.5567,4.5567
1995-06-21,4.5567,4.6001,4.5134,4.5567
1995-06-22,4.5567,4.5567,4.5134,4.5567
1995-06-23,4.5134,4.5134,4.4700,4.5134
1995-06-26,4.4700,4.4700,4.3398,4.3832
1995-06-27,4.3398,4.5134,4.3398,4.4266
1995-06-28,4.4700,4.5567,4.4700,4.5567
1995-06-29,4.6001,4.6001,4.5567,4.6001
1995-06-30,4.6001,4.6435,4.6001,4.6001
1995-07-03,4.6001,4.6001,4.6001,4.6001
1995-07-05,4.6001,4.6435,4.6001,4.6001
1995-07-06,4.6001,4.6435,4.5567,4.6001
1995-07-07,4.6435,4.6869,4.6001,4.6869
1995-07-10,4.7303,4.7303,4.6869,4.7303
1995-07-11,4.7303,4.7303,4.6869,4.6869
1995-07-12,4.6869,4.7303,4.6435,4.6869
1995-07-13,4.6435,4.6435,4.6435,4.6435
1995-07-14,4.6869,4.6869,4.6435,4.6869
1995-07-17,4.6435,4.6869,4.6435,4.6869
1995-07-18,4.6869,4.6869,4.6001,4.6001
1995-07-19,4.6001,4.6001,4.5567,4.6001
1995-07-20,4.5567,4.6435,4.5567,4.6435
1995-07-21,4.6001,4.6869,4.6001,4.6435
1995-07-24,4.6869,4.6869,4.6435,4.6435
1995-07-25,4.6869,4.6869,4.6435,4.6869
1995-07-26,4.6435,4.7303,4.6435,4.7303
1995-07-27,4.6869,4.7303,4.6869,4.6869
1995-07-28,4.6869,4.7303,4.6869,4.6869
1995-07-31,4.6869,4.7303,4.6869,4.7303
1995-08-01,4.7303,4.7303,4.6869,4.6869
1995-08-02,4.6869,4.6869,4.6869,4.6869
1995-08-03,4.6869,4.6869,4.6435,4.6435
1995-08-04,4.6435,4.6869,4.6435,4.6869
1995-08-07,4.7303,4.7303,4.6435,4.6435
1995-08-08,4.6435,4.6435,4.6001,4.6001
1995-08-09,4.6001,4.6435,4.5134,4.5567
1995-08-10,4.5567,4.5567,4.5134,4.5567
1995-08-11,4.5134,4.5134,4.4700,4.5134
1995-08-14,4.5134,4.5134,4.4700,4.4700
1995-08-15,4.5134,4.5567,4.5134,4.5567
1995-08-16,4.5134,4.5567,4.5134,4.5134
1995-08-17,4.5567,4.5567,4.5567,4.5567
1995-08-18,4.5567,4.5567,4.5134,4.5134
