DATE,OPEN,HIGH,LOW,CLOSE
1987-12-30,1.1658,1.1810,1.1658,1.1710
1987-12-31,1.1810,1.1810,1.1610,1.1710
1988-01-04,1.1686,1.1841,1.1637,1.1686
1988-01-05,1.1739,1.1841,1.1739,1.1792
1988-01-06,1.1841,1.1944,1.1739,1.1944
1988-01-07,1.1944,1.1997,1.1890,1.1997
1988-01-08,1.1944,1.1944,1.1739,1.1739
1988-01-11,1.1841,1.1841,1.1739,1.1739
1988-01-12,1.1792,1.1792,1.1686,1.1739
1988-01-13,1.1739,1.1841,1.1686,1.1841
1988-01-14,1.1792,1.1890,1.1739,1.1890
1988-01-15,1.1997,1.2148,1.1997,1.2095
1988-01-18,1.1997,1.2148,1.1944,1.2148
1988-01-19,1.2201,1.2250,1.2095,1.2148
1988-01-20,1.2046,1.2148,1.1997,1.2148
1988-01-21,1.2201,1.2201,1.2046,1.2148
1988-01-22,1.2095,1.2454,1.2095,1.2454
1988-01-25,1.2405,1.2609,1.2405,1.2609
1988-01-26,1.2609,1.2658,1.2503,1.2556
1988-01-27,1.2658,1.2813,1.2299,1.2813
1988-01-28,1.2760,1.3066,1.2707,1.3066
1988-01-29,1.3168,1.3475,1.2911,1.3426
1988-02-01,1.3426,1.3630,1.3320,1.3524
1988-02-02,1.3524,1.3630,1.3426,1.3524
1988-02-03,1.3524,1.3524,1.3222,1.3271
1988-02-04,1.3168,1.3222,1.3066,1.3115
1988-02-05,1.3168,1.3373,1.3168,1.3320
1988-02-08,1.3168,1.3168,1.3017,1.3168
1988-02-09,1.3222,1.3222,1.3017,1.3066
1988-02-10,1.3066,1.3271,1.2964,1.3222
1988-02-11,1.3168,1.3222,1.3066,1.3115
1988-02-12,1.3066,1.3115,1.2911,1.2911
1988-02-16,1.2964,1.2964,1.2813,1.2862
1988-02-17,1.2813,1.3017,1.2813,1.2911
1988-02-18,1.2911,1.3017,1.2911,1.3017
1988-02-19,1.2964,1.3115,1.2964,1.3115
1988-02-22,1.3115,1.3168,1.3017,1.3168
1988-02-23,1.3115,1.3222,1.3115,1.3168
1988-02-24,1.3222,1.3373,1.3222,1.3271
1988-02-25,1.3168,1.3320,1.3168,1.3222
1988-02-26,1.3222,1.3271,1.3168,1.3222
1988-02-29,1.3222,1.3271,1.3168,1.3271
1988-03-01,1.3271,1.3271,1.2911,1.3017
1988-03-02,1.3066,1.3271,1.3066,1.3222
1988-03-03,1.3168,1.3271,1.3168,1.3168
1988-03-04,1.3168,1.3222,1.3066,1.3168
1988-03-07,1.3115,1.3168,1.3017,1.3066
1988-03-08,1.3017,1.3066,1.2964,1.3017
1988-03-09,1.3017,1.3017,1.2911,1.2964
1988-03-10,1.2862,1.2911,1.2862,1.2862
1988-03-11,1.2760,1.2964,1.2707,1.2964
1988-03-14,1.2911,1.2911,1.2760,1.2862
1988-03-15,1.2813,1.2862,1.2760,1.2760
1988-03-16,1.2760,1.2813,1.2707,1.2813
1988-03-17,1.2760,1.3066,1.2760,1.3017
1988-03-18,1.2911,1.3017,1.2911,1.2964
1988-03-21,1.2862,1.2964,1.2813,1.2813
1988-03-22,1.2911,1.2911,1.2760,1.2862
1988-03-23,1.2760,1.2760,1.2658,1.2760
1988-03-24,1.2760,1.2760,1.2556,1.2556
1988-03-25,1.2556,1.2658,1.2503,1.2609
1988-03-28,1.2609,1.2609,1.2503,1.2556
1988-03-29,1.2658,1.2813,1.2609,1.2813
1988-03-30,1.2813,1.2813,1.2707,1.2760
1988-03-31,1.2760,1.2760,1.2658,1.2707
1988-04-04,1.2658,1.2707,1.2556,1.2556
1988-04-05,1.2529,1.2687,1.2529,1.2687
1988-04-06,1.2687,1.2737,1.2583,1.2737
1988-04-07,1.2687,1.2791,1.2687,1.2791
1988-04-08,1.2791,1.2895,1.2737,1.2895
1988-04-11,1.2895,1.2945,1.2791,1.2945
1988-04-12,1.2845,1.2945,1.2845,1.2895
1988-04-13,1.2945,1.2945,1.2791,1.2845
1988-04-14,1.2791,1.2791,1.2583,1.2637
1988-04-15,1.2583,1.2637,1.2375,1.2479
1988-04-18,1.2375,1.2429,1.2321,1.2375
1988-04-19,1.2375,1.2375,1.2167,1.2167
1988-04-20,1.2221,1.2321,1.2113,1.2271
1988-04-21,1.2221,1.2321,1.2167,1.2271
1988-04-22,1.2271,1.2321,1.2167,1.2221
1988-04-25,1.2221,1.2375,1.2221,1.2375
1988-04-26,1.2375,1.2529,1.2321,1.2529
1988-04-27,1.2479,1.2637,1.2479,1.2583
1988-04-28,1.2637,1.2737,1.2529,1.2529
1988-04-29,1.2529,1.2687,1.2529,1.2637
1988-05-02,1.2637,1.2737,1.2529,1.2737
1988-05-03,1.2737,1.2845,1.2737,1.2791
1988-05-04,1.2791,1.2895,1.2791,1.2895
1988-05-05,1.2895,1.2895,1.2687,1.2687
1988-05-06,1.2583,1.2737,1.2583,1.2687
1988-05-09,1.2637,1.2687,1.2529,1.2637
1988-05-10,1.2583,1.2737,1.2529,1.2737
