DATE,OPEN,HIGH,LOW,CLOSE
1988-10-05,2.6781,2.7102,2.6781,2.6781
1988-10-06,2.7102,2.7102,2.6781,2.7102
1988-10-07,2.6781,2.7102,2.6781,2.7102
1988-10-10,2.6781,2.7102,2.6781,2.7102
1988-10-11,2.7102,2.7102,2.6781,2.7102
1988-10-12,2.6781,2.7102,2.6781,2.7102
1988-10-13,2.6781,2.7102,2.6781,2.7102
1988-10-14,2.6781,2.7102,2.6781,2.6781
1988-10-17,2.6781,2.7102,2.6781,2.6781
1988-10-18,2.6781,2.7102,2.6781,2.7102
1988-10-19,2.7102,2.7102,2.6781,2.7102
1988-10-20,2.7102,2.7450,2.6781,2.7102
1988-10-21,2.7102,2.7450,2.7102,2.7450
1988-10-24,2.7102,2.7450,2.6781,2.7450
1988-10-25,2.7450,2.7450,2.7102,2.7450
1988-10-26,2.7102,2.7450,2.7102,2.7102
1988-10-27,2.7102,2.7450,2.7102,2.7102
1988-10-28,2.7450,2.7450,2.6781,2.7450
1988-10-31,2.7102,2.7450,2.7102,2.7102
1988-11-01,2.7450,2.7798,2.7450,2.7798
1988-11-02,2.7450,2.7798,2.7450,2.7450
1988-11-03,2.7450,2.7798,2.7102,2.7450
1988-11-04,2.7450,2.7798,2.7450,2.7450
1988-11-07,2.7450,2.7450,2.7102,2.7102
1988-11-08,2.7450,2.7450,2.7102,2.7102
1988-11-09,2.7450,2.7450,2.7102,2.7450
1988-11-10,2.7450,2.7450,2.7102,2.7102
1988-11-11,2.7450,2.7450,2.7102,2.7450
1988-11-14,2.7102,2.7450,2.7102,2.7102
1988-11-15,2.7450,2.7450,2.6781,2.7102
1988-11-16,2.7102,2.7450,2.6781,2.7102
1988-11-17,2.7102,2.7450,2.7102,2.7102
1988-11-18,2.7450,2.7450,2.6781,2.6781
1988-11-21,2.6781,2.7102,2.6781,2.7102
1988-11-22,2.7450,2.7450,2.7102,2.7450
1988-11-23,2.7450,2.7798,2.7450,2.7450
1988-11-25,2.7450,2.7798,2.7450,2.7798
1988-11-28,2.7450,2.7798,2.7102,2.7102
1988-11-29,2.7450,2.7798,2.7102,2.7102
