DATE,OPEN,HIGH,LOW,CLOSE
2018-01-24,28.2000,29.4900,28.0000,29.2000
2018-01-25,28.7500,29.9200,27.8700,29.3000
2018-01-26,29.0900,29.4000,28.5100,29.1900
2018-01-29,29.0000,29.0000,27.9500,27.9800
2018-01-30,27.6400,27.9000,27.4000,27.4700
2018-01-31,27.5600,28.3700,27.5201,27.9400
2018-02-01,27.9000,28.1000,27.4500,27.5000
2018-02-02,27.4700,28.1400,27.4500,27.6100
2018-02-05,27.5300,27.8900,27.2800,27.4300
2018-02-06,27.1600,27.5300,26.7800,27.4300
2018-02-07,27.4500,28.4000,27.1900,28.1500
2018-02-08,28.1900,29.0300,27.2900,27.9800
2018-02-09,28.1200,28.5700,27.0300,28.0000
2018-02-12,27.9200,28.4900,27.5300,28.3800
2018-02-13,28.3800,28.3800,27.8100,27.8700
2018-02-14,27.8600,28.2000,27.4900,27.8300
2018-02-15,27.9300,29.1000,27.6000,29.0800
2018-02-16,29.0000,31.4890,29.0000,30.3600
2018-02-20,30.7700,31.7500,30.6900,31.7000
2018-02-21,31.7500,32.3800,31.0000,32.3600
2018-02-22,32.4000,32.6400,31.3900,32.1900
2018-02-23,32.4500,32.7500,31.9800,32.3700
2018-02-26,32.8200,33.0000,31.8500,32.4600
2018-02-27,32.5900,33.0200,32.2700,32.4300
2018-02-28,32.4900,32.6452,31.6600,32.2400
2018-03-01,32.4300,32.5000,31.8000,32.1200
2018-03-02,31.9500,33.5646,31.4050,33.3400
2018-03-05,33.1800,33.6500,32.8400,33.5600
2018-03-06,33.8000,35.8000,33.6300,34.7600
2018-03-07,34.5500,35.5400,34.5000,35.1000
2018-03-08,35.2400,35.3400,33.9700,34.7900
2018-03-09,33.1000,35.5790,32.8400,35.2500
2018-03-12,36.3000,37.7500,35.2500,36.1900
2018-03-13,36.5700,36.7000,34.8000,35.9400
2018-03-14,35.9900,36.0600,34.9300,35.4800
2018-03-15,35.7100,35.9500,35.1900,35.1900
2018-03-16,35.1200,35.2800,34.3900,34.6200
2018-03-19,34.7100,34.7100,32.6100,33.4100
2018-03-20,33.4700,34.6300,32.5300,34.5800
2018-03-21,34.4700,36.9500,34.4200,36.0000
2018-03-22,35.6200,36.3000,35.1100,35.6000
2018-03-23,35.6500,36.0979,34.8100,35.8600
2018-03-26,36.7100,37.7400,36.7000,37.6000
2018-03-27,37.9300,39.0000,37.0800,37.4600
2018-03-28,37.5500,37.6500,35.6900,37.1000
2018-03-29,37.0800,39.9700,37.0800,38.3200
2018-04-02,38.4700,38.7900,37.7800,38.2700
2018-04-03,38.6500,39.1700,37.5700,39.1000
2018-04-04,38.4300,38.9800,37.9000,37.9500
2018-04-05,38.3100,38.6600,37.3300,37.5500
2018-04-06,37.2900,37.3870,35.2300,35.7100
2018-04-09,36.1200,36.4900,34.6100,35.1700
2018-04-10,34.8800,35.5800,34.6800,35.1900
2018-04-11,34.9300,36.0100,34.3600,35.1200
2018-04-12,34.8900,35.3500,34.5600,34.8000
2018-04-13,35.1900,36.2900,33.5800,34.4600
2018-04-16,34.6500,35.0100,33.7900,34.5600
2018-04-17,34.9800,37.8000,34.8500,37.2900
2018-04-18,37.6200,38.2400,36.2500,37.3300
2018-04-19,37.3000,38.8000,37.0200,37.2100
2018-04-20,37.1500,37.5200,36.3800,36.7400
2018-04-23,36.8900,37.2300,35.0400,35.7200
2018-04-24,35.8300,35.9000,30.7200,33.8100
2018-04-25,33.5000,33.5000,31.2201,32.5300
2018-04-26,32.6500,34.1500,32.3600,33.8500
2018-04-27,34.0000,34.7800,32.4300,32.6500
2018-04-30,32.3500,33.4700,31.7500,33.2300
2018-05-01,32.9400,34.4900,32.9400,34.3900
2018-05-02,33.7300,34.5500,32.6000,33.0600
2018-05-03,32.5000,33.0000,31.2100,31.7100
2018-05-04,31.5500,32.0700,30.3200,31.2400
2018-05-07,31.3800,32.9400,30.8000,32.1000
2018-05-08,32.2200,32.3500,30.8500,31.5600
2018-05-09,31.6700,32.4400,31.5600,32.0200
2018-05-10,32.4400,32.7400,31.4000,31.7400
2018-05-11,31.9500,32.8399,31.7600,32.3400
2018-05-14,32.2900,33.4900,32.2500,32.5800
2018-05-15,32.2100,32.3100,31.3600,32.2100
2018-05-16,32.3700,32.7700,32.0100,32.5500
2018-05-17,32.7000,33.6200,32.5000,32.9600
2018-05-18,32.6700,33.2700,32.0400,32.1200
2018-05-21,32.4400,32.7400,31.7600,31.9800
2018-05-22,32.3000,32.4800,31.6800,32.3800
2018-05-23,32.1400,34.3500,31.7700,34.3100
2018-05-24,34.0600,35.2300,33.6800,35.0500
2018-05-25,35.1100,36.0700,34.8000,35.4000
2018-05-29,34.8000,34.9000,31.5400,31.8200
2018-05-30,33.0100,34.1000,29.0604,33.6700
2018-05-31,33.2500,35.5300,32.7900,33.2700
2018-06-01,33.5700,34.9800,32.3337,34.5000
2018-06-04,34.9000,34.9200,33.7000,34.1300
2018-06-05,34.0900,34.2500,32.4100,32.8400
2018-06-06,32.6600,33.3950,32.6010,33.2600
2018-06-07,33.0000,33.0000,28.7000,29.8100
2018-06-08,30.2735,31.2000,29.2500,30.8500
2018-06-11,31.0000,32.8000,31.0000,31.7900
2018-06-12,31.5700,31.9800,30.9000,31.3000
2018-06-13,31.9000,32.5800,31.5927,31.9900
2018-06-14,32.3800,34.1350,32.0500,33.4700
2018-06-15,33.1100,33.6700,32.6610,33.3500
2018-06-18,32.8800,33.0500,31.9200,32.1000
2018-06-19,28.2200,28.9300,26.9100,27.4000
2018-06-20,28.0000,28.7800,27.7400,28.4900
2018-06-21,28.9200,29.6800,27.1000,29.4300
2018-06-22,30.8900,30.9700,29.9900,30.4500
2018-06-25,30.3800,30.3800,29.1300,29.6600
2018-06-26,29.3900,29.6400,28.1950,29.4000
2018-06-27,29.2600,29.2900,26.9600,27.1500
2018-06-28,27.1300,28.1000,26.9600,27.8200
2018-06-29,28.0900,28.2800,27.3600,27.7500
2018-07-02,27.2800,27.5300,26.3300,27.1300
2018-07-03,27.4500,27.5800,26.6700,26.9100
2018-07-05,26.9100,28.0200,26.4000,27.8000
2018-07-06,27.8000,28.1500,27.3000,27.8700
2018-07-09,27.9400,28.6100,27.4010,27.9800
2018-07-10,27.8800,28.1400,27.1000,27.4300
