DATE,OPEN,HIGH,LOW,CLOSE
1993-08-27,1.6904,1.6904,1.6904,1.6904
1993-08-30,1.6904,1.6904,1.6904,1.6904
1993-08-31,1.6904,1.6904,1.6904,1.6904
1993-09-01,1.6904,1.6904,1.6904,1.6904
1993-09-02,1.6904,1.6904,1.6904,1.6904
1993-09-03,1.6904,1.6904,1.6904,1.6904
1993-09-07,1.6904,1.6904,1.6904,1.6904
1993-09-08,1.6904,1.6904,1.6904,1.6904
1993-09-09,1.6904,1.6904,1.6904,1.6904
1993-09-10,1.6904,1.7051,1.6904,1.6904
1993-09-13,1.7051,1.7051,1.6904,1.6904
1993-09-14,1.6904,1.7051,1.6904,1.7051
1993-09-15,1.6904,1.7051,1.6904,1.6904
1993-09-16,1.6904,1.7051,1.6904,1.7051
1993-09-17,1.6904,1.7051,1.6904,1.6904
1993-09-20,1.6904,1.6904,1.6904,1.6904
1993-09-21,1.6904,1.7051,1.6904,1.6904
1993-09-22,1.6904,1.7051,1.6904,1.6904
1993-09-23,1.6904,1.7051,1.6904,1.6904
1993-09-24,1.6904,1.7051,1.6904,1.6904
1993-09-27,1.6904,1.7051,1.6904,1.6904
1993-09-28,1.6904,1.7051,1.6904,1.6904
1993-09-29,1.6904,1.7051,1.6904,1.7051
1993-09-30,1.6904,1.7051,1.6904,1.6904
1993-10-01,1.6904,1.6904,1.6769,1.6904
1993-10-04,1.6904,1.6904,1.6904,1.6904
1993-10-05,1.6904,1.7051,1.6904,1.7051
1993-10-06,1.6904,1.7051,1.6904,1.6904
1993-10-07,1.6904,1.7051,1.6904,1.6904
1993-10-08,1.7051,1.7051,1.6904,1.6904
1993-10-11,1.6904,1.7051,1.6904,1.6904
1993-10-12,1.7051,1.7051,1.6904,1.7051
1993-10-13,1.7051,1.7051,1.6904,1.6904
1993-10-14,1.6904,1.7051,1.6904,1.6904
1993-10-15,1.6904,1.6904,1.6904,1.6904
1993-10-18,1.6904,1.7051,1.6904,1.6904
1993-10-19,1.6904,1.7051,1.6904,1.6904
1993-10-20,1.6904,1.7051,1.6904,1.6904
1993-10-21,1.6769,1.6769,1.6622,1.6622
1993-10-22,1.6622,1.6769,1.6622,1.6622
1993-10-25,1.6622,1.6622,1.6341,1.6341
1993-10-26,1.6487,1.6487,1.6341,1.6341
1993-10-27,1.6341,1.6341,1.6341,1.6341
1993-10-28,1.6487,1.6487,1.6341,1.6487
1993-10-29,1.6341,1.6622,1.6341,1.6622
1993-11-01,1.6487,1.6487,1.6341,1.6341
1993-11-02,1.6487,1.6487,1.6341,1.6487
1993-11-03,1.6341,1.6341,1.6341,1.6341
1993-11-04,1.6341,1.6487,1.6341,1.6487
1993-11-05,1.6341,1.6487,1.6341,1.6341
