DATE,OPEN,HIGH,LOW,CLOSE
2003-10-09,3.0807,3.0807,3.0470,3.0470
2003-10-10,3.0470,3.0777,3.0424,3.0669
2003-10-13,3.0746,3.0930,3.0486,3.0486
2003-10-14,3.0486,3.0578,3.0470,3.0578
2003-10-15,3.0562,3.0700,3.0516,3.0654
2003-10-16,3.0639,3.0930,3.0608,3.0930
2003-10-17,3.0853,3.1006,3.0823,3.0930
2003-10-20,3.0930,3.0976,3.0669,3.0823
2003-10-21,3.0823,3.0914,3.0669,3.0777
2003-10-22,3.0619,3.0819,3.0588,3.0757
2003-10-23,3.0634,3.0973,3.0588,3.0927
2003-10-24,3.0742,3.1285,3.0742,3.1080
2003-10-27,3.1080,3.1080,3.0681,3.0742
2003-10-28,3.0788,3.1203,3.0788,3.0896
2003-10-29,3.0927,3.1034,3.0742,3.0773
2003-10-30,3.0865,3.0896,3.0742,3.0804
2003-10-31,3.0757,3.0896,3.0742,3.0788
2003-11-03,3.0896,3.1126,3.0742,3.0742
2003-11-04,3.0865,3.1080,3.0773,3.0896
2003-11-05,3.0896,3.1065,3.0865,3.1019
2003-11-06,3.1019,3.1019,3.0742,3.0742
2003-11-07,3.0788,3.1019,3.0696,3.0988
2003-11-10,3.0896,3.1019,3.0819,3.0819
2003-11-11,3.0819,3.1019,3.0742,3.0834
2003-11-12,3.0783,3.1262,3.0783,3.1092
2003-11-13,3.1092,3.1293,3.0938,3.1246
2003-11-14,3.1323,3.1401,3.0938,3.1015
2003-11-17,3.1123,3.1246,3.0907,3.1200
2003-11-18,3.1246,3.1246,3.0922,3.0984
2003-11-19,3.1077,3.1215,3.0907,3.1092
2003-11-20,3.1077,3.1169,3.0938,3.0953
2003-11-21,3.0984,3.0999,3.0860,3.0984
2003-11-24,3.0891,3.0968,3.0860,3.0876
2003-11-25,3.0860,3.0922,3.0737,3.0860
2003-11-26,3.0830,3.0860,3.0783,3.0860
2003-11-28,3.0860,3.0860,3.0644,3.0830
2003-12-01,3.0845,3.0845,3.0428,3.0552
2003-12-02,3.0459,3.0691,3.0182,3.0351
2003-12-03,3.0274,3.0336,2.9996,3.0336
2003-12-04,3.0320,3.0320,3.0027,3.0305
2003-12-05,3.0274,3.0320,2.9935,3.0274
2003-12-08,3.0398,3.0552,3.0228,3.0398
2003-12-09,3.0228,3.0490,3.0027,3.0027
2003-12-10,3.0101,3.0209,2.9915,3.0132
2003-12-11,2.9977,3.0147,2.9961,3.0039
2003-12-12,3.0054,3.0054,2.9915,3.0054
2003-12-15,3.0178,3.0178,2.9838,2.9946
2003-12-16,2.9884,3.0101,2.9869,2.9915
2003-12-17,3.0054,3.0054,2.9899,3.0054
2003-12-18,3.0054,3.0163,2.9791,2.9791
2003-12-19,3.0008,3.0163,2.9853,3.0085
2003-12-22,3.0240,3.0271,3.0101,3.0271
2003-12-23,3.0194,3.0287,3.0054,3.0271
2003-12-24,3.0287,3.0349,3.0070,3.0209
2003-12-26,3.0209,3.0349,3.0132,3.0333
2003-12-29,3.0411,3.0829,3.0256,3.0705
2003-12-30,3.0519,3.0814,3.0395,3.0643
2003-12-31,3.0643,3.0721,3.0473,3.0690
2004-01-02,3.0721,3.0752,3.0519,3.0736
2004-01-05,3.0581,3.0783,3.0519,3.0721
2004-01-06,3.0752,3.0891,3.0597,3.0721
2004-01-07,3.0519,3.0674,3.0426,3.0442
2004-01-08,3.0395,3.0442,3.0225,3.0364
2004-01-09,3.0178,3.0519,3.0147,3.0380
2004-01-12,3.0380,3.0597,3.0287,3.0519
2004-01-13,3.0519,3.0659,3.0380,3.0566
2004-01-14,3.0638,3.0778,3.0483,3.0778
2004-01-15,3.0778,3.0872,3.0576,3.0638
2004-01-16,3.0607,3.0887,3.0607,3.0732
2004-01-20,3.0669,3.0840,3.0452,3.0561
2004-01-21,3.0561,3.0623,3.0483,3.0592
2004-01-22,3.0483,3.0716,3.0452,3.0561
2004-01-23,3.0498,3.0732,3.0498,3.0716
2004-01-26,3.0607,3.0778,3.0498,3.0545
2004-01-27,3.0498,3.0794,3.0498,3.0701
2004-01-28,3.0638,3.0934,3.0561,3.0934
2004-01-29,3.1120,3.1338,3.0716,3.1183
2004-01-30,3.1260,3.1260,3.0949,3.1260
2004-02-02,3.1136,3.1229,3.0965,3.1120
2004-02-03,3.1198,3.1338,3.0980,3.1136
2004-02-04,3.1369,3.1882,3.0980,3.1136
2004-02-05,3.1385,3.1385,3.0980,3.1292
2004-02-06,3.1509,3.1509,3.1027,3.1385
2004-02-09,3.1385,3.1385,3.1120,3.1198
2004-02-10,3.1292,3.1323,3.1105,3.1323
2004-02-11,3.1323,3.1338,3.1136,3.1136
2004-02-12,3.1105,3.1292,3.1105,3.1198
2004-02-13,3.1260,3.1338,3.1152,3.1183
2004-02-17,3.1058,3.1400,3.1058,3.1385
2004-02-18,3.1256,3.1443,3.1193,3.1225
2004-02-19,3.1365,3.1365,3.1100,3.1162
2004-02-20,3.1349,3.1521,3.1100,3.1459
2004-02-23,3.1271,3.1427,3.0787,3.1193
2004-02-24,3.1162,3.1506,3.0756,3.1100
2004-02-25,3.1225,3.1521,3.0912,3.1068
2004-02-26,3.1225,3.1365,3.0990,3.1022
2004-02-27,3.0912,3.1303,3.0912,3.1146
2004-03-01,3.1303,3.1349,3.0865,3.1225
2004-03-02,3.1256,3.1303,3.0522,3.0834
2004-03-03,3.1037,3.1162,3.0678,3.1053
2004-03-04,3.1209,3.1349,3.0928,3.1178
2004-03-05,3.1178,3.1459,3.0865,3.1178
2004-03-08,3.1193,3.1318,3.1115,3.1225
2004-03-09,3.1365,3.1381,3.1256,3.1365
2004-03-10,3.1459,3.1474,3.1115,3.1303
2004-03-11,3.1474,3.1474,3.1225,3.1443
2004-03-12,3.1474,3.1474,3.1225,3.1256
2004-03-15,3.1459,3.1459,3.1209,3.1225
2004-03-16,3.1381,3.1381,3.1162,3.1303
2004-03-17,3.1454,3.1501,3.1250,3.1345
2004-03-18,3.1407,3.1642,3.1266,3.1627
2004-03-19,3.1627,3.1627,3.1454,3.1580
2004-03-22,3.1423,3.1642,3.1423,3.1642
2004-03-23,3.1580,3.1627,3.1313,3.1345
2004-03-24,3.1627,3.1627,3.1235,3.1235
2004-03-25,3.1407,3.1407,3.1062,3.1156
2004-03-26,3.1109,3.1345,3.1047,3.1156
2004-03-29,3.1345,3.1533,3.1297,3.1454
2004-03-30,3.1580,3.1642,3.1423,3.1580
2004-03-31,3.1627,3.1721,3.1423,3.1564
2004-04-01,3.1595,3.1642,3.1423,3.1470
2004-04-02,3.1580,3.1580,3.1329,3.1345
2004-04-05,3.1595,3.1595,3.1345,3.1360
2004-04-06,3.1501,3.1595,3.1266,3.1501
2004-04-07,3.1564,3.1564,3.1345,3.1486
2004-04-08,3.1486,3.1486,3.1360,3.1423
2004-04-12,3.1423,3.1423,3.1172,3.1423
2004-04-13,3.1501,3.1611,3.1345,3.1486
2004-04-14,3.1686,3.1686,3.1198,3.1277
2004-04-15,3.1418,3.1497,3.1151,3.1230
2004-04-16,3.1529,3.1529,3.1167,3.1434
2004-04-19,3.1529,3.1592,3.1387,3.1544
2004-04-20,3.1544,3.1544,3.1198,3.1450
2004-04-21,3.1466,3.1623,3.1340,3.1544
2004-04-22,3.1544,3.1544,3.1277,3.1277
2004-04-23,3.1403,3.1544,3.1214,3.1529
2004-04-26,3.1356,3.1654,3.1277,3.1466
2004-04-27,3.1466,3.1623,3.1308,3.1466
2004-04-28,3.1466,3.1623,3.1340,3.1544
2004-04-29,3.1623,3.1686,3.1481,3.1607
2004-04-30,3.1623,3.1780,3.1529,3.1780
2004-05-03,3.1780,3.1780,3.1466,3.1765
2004-05-04,3.1780,3.2048,3.1544,3.1780
2004-05-05,3.1938,3.2189,3.1702,3.1702
2004-05-06,3.1765,3.2221,3.1670,3.1827
2004-05-07,3.2174,3.2221,3.1529,3.1733
2004-05-10,3.1938,3.2016,3.1481,3.1780
2004-05-11,3.2095,3.2237,3.1544,3.1780
2004-05-12,3.2001,3.2079,3.1466,3.1749
2004-05-13,3.2032,3.2032,3.1592,3.1702
2004-05-14,3.2016,3.2016,3.1623,3.1780
2004-05-17,3.2095,3.2095,3.1607,3.1780
2004-05-18,3.1922,3.1922,3.1670,3.1780
2004-05-19,3.1949,3.2060,3.1760,3.1902
2004-05-20,3.2123,3.2123,3.1681,3.1870
2004-05-21,3.1981,3.2107,3.1681,3.1791
2004-05-24,3.1633,3.1791,3.1586,3.1586
2004-05-25,3.1665,3.1870,3.1586,3.1665
2004-05-26,3.1728,3.1870,3.1681,3.1807
2004-05-27,3.1870,3.1933,3.1681,3.1902
2004-05-28,3.1949,3.1981,3.1760,3.1902
2004-06-01,3.2012,3.2012,3.1760,3.1776
2004-06-02,3.1823,3.1918,3.1776,3.1902
2004-06-03,3.1981,3.2012,3.1760,3.1902
2004-06-04,3.1981,3.2060,3.1791,3.1855
2004-06-07,3.1997,3.2123,3.1855,3.1981
2004-06-08,3.2265,3.2281,3.1981,3.2123
2004-06-09,3.2234,3.2360,3.1981,3.2123
2004-06-10,3.2265,3.2360,3.2123,3.2139
2004-06-14,3.2218,3.2360,3.2012,3.2044
2004-06-15,3.2060,3.2281,3.2044,3.2234
2004-06-16,3.2233,3.2265,3.2122,3.2138
2004-06-17,3.2233,3.2249,3.2090,3.2185
2004-06-18,3.2185,3.2217,3.2106,3.2169
2004-06-21,3.2265,3.2344,3.2106,3.2201
2004-06-22,3.2217,3.2265,3.2154,3.2265
2004-06-23,3.2265,3.2502,3.2265,3.2344
