DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2019-07-18,26.7500,27.5900,24.0000,25.0800,7.999,
2019-07-19,25.5700,26.0000,23.5100,24.0000,1.022,
2019-07-22,24.2700,24.3300,23.0000,23.9800,0.778,
2019-07-23,24.3200,25.4900,23.7400,24.8400,0.647,
2019-07-24,24.9300,25.9700,24.5100,25.0000,0.316,
2019-07-25,24.7900,25.5000,24.6000,24.8000,0.482,
2019-07-26,25.0000,27.8795,25.0000,26.7100,0.657,
2019-07-29,26.7800,27.3710,25.1650,26.2700,0.284,
2019-07-30,26.0300,27.4000,26.0300,27.2700,0.285,
2019-07-31,27.4300,28.6700,27.0500,27.3300,0.321,
2019-08-01,27.4800,27.9800,27.0066,27.4200,0.137,
2019-08-02,27.5000,27.5000,26.1200,26.8600,0.224,
2019-08-05,26.6800,27.0000,24.8000,26.4400,0.194,
2019-08-06,26.7800,27.7600,26.5600,27.2100,0.251,
2019-08-07,26.9300,27.2700,26.6200,26.8500,0.047,
2019-08-08,26.9800,27.7500,26.6400,27.3700,0.057,
2019-08-09,27.4100,28.9946,27.4100,28.2100,0.220,
2019-08-12,28.1100,29.3800,27.8800,29.0100,0.286,
2019-08-13,29.1300,29.2100,27.3000,28.6600,0.189,
2019-08-14,28.4100,28.9700,26.2700,26.3400,0.131,
2019-08-15,26.1400,27.4000,25.1800,25.2500,0.252,
2019-08-16,25.6500,27.3300,25.0600,26.6700,0.194,
2019-08-19,26.7400,27.1700,26.0800,26.8600,0.102,
2019-08-20,26.8200,27.5000,25.9500,26.5500,0.106,
2019-08-21,26.5500,27.4600,25.0705,26.9700,0.130,
2019-08-22,27.0200,27.5893,26.8000,27.0900,0.088,
2019-08-23,27.1200,27.6500,26.1950,26.3100,0.091,
2019-08-26,26.3400,26.8600,25.1700,25.4300,0.122,
2019-08-27,25.7500,26.5800,25.3500,25.7200,0.099,
2019-08-28,25.5900,26.1300,23.1400,25.0100,0.286,
2019-08-29,25.3500,27.5500,25.2800,26.9600,0.221,
2019-08-30,27.0000,27.1700,26.3050,26.7700,0.098,
2019-09-03,26.8200,27.4300,26.5600,27.0100,0.190,
2019-09-04,27.0000,28.7800,26.8985,27.9300,0.223,
2019-09-05,28.1800,28.4000,26.3500,26.8800,0.378,
2019-09-06,26.9700,27.4599,25.1500,25.2600,0.323,
2019-09-09,25.4100,25.9200,22.0500,22.5100,0.624,
2019-09-10,22.6100,25.5800,22.4100,25.3200,0.406,
2019-09-11,25.4600,25.8450,24.3100,25.6100,0.185,
2019-09-12,25.4200,26.6400,25.4200,26.1900,0.211,
2019-09-13,26.4100,27.1200,25.8400,27.1100,0.142,
2019-09-16,27.0000,27.6800,26.6950,27.2500,0.211,
2019-09-17,27.3600,27.8600,26.6600,27.1500,0.168,
2019-09-18,27.2500,27.7300,26.9600,27.3800,0.168,
2019-09-19,27.5400,27.7600,26.6900,27.0100,0.233,
2019-09-20,26.8300,27.9800,26.6000,27.2800,1.673,
2019-09-23,27.2500,28.7900,26.9900,28.2100,0.338,
2019-09-24,28.1100,28.3400,26.0600,26.3600,0.433,
2019-09-25,26.2200,27.2500,26.0400,27.0000,0.456,
2019-09-26,26.9900,26.9900,24.5500,25.4100,0.562,26.442
2019-09-27,25.4900,25.7400,23.9600,24.9900,0.319,26.440
2019-09-30,24.9500,25.1600,24.0600,24.2400,0.211,26.445
2019-10-01,24.3800,24.9600,24.0700,24.3200,0.251,26.452
2019-10-02,24.0500,24.0700,22.9441,23.0500,0.224,26.416
2019-10-03,23.0800,23.9200,22.2700,23.6000,0.265,26.388
2019-10-04,23.7200,24.9250,23.3000,24.7200,0.150,26.387
2019-10-07,24.8700,26.2300,24.6950,26.1400,0.184,26.375
2019-10-08,25.8700,26.0400,25.0750,25.3800,0.216,26.357
2019-10-09,25.4900,26.0000,25.0800,25.5600,0.101,26.323
2019-10-10,25.4900,26.4300,25.4750,26.2400,0.144,26.301
2019-10-11,26.5800,28.4900,26.2000,27.6600,0.793,26.306
2019-10-14,27.5300,27.5700,26.3500,26.9300,0.177,26.308
2019-10-15,27.0200,27.9700,26.6600,27.0600,0.330,26.320
2019-10-16,26.9800,28.1600,26.8100,27.9000,0.184,26.334
2019-10-17,27.9000,28.9400,27.6800,28.6000,0.183,26.369
2019-10-18,28.4500,29.0000,27.9100,28.0300,0.328,26.382
2019-10-21,27.8600,28.5700,27.3500,27.5500,0.179,26.369
2019-10-22,27.5900,27.9800,26.9600,27.1200,0.181,26.331
2019-10-23,27.0900,27.6300,26.3500,26.4100,0.181,26.286
2019-10-24,26.4600,27.0900,26.4000,26.9300,0.249,26.298
2019-10-25,26.8200,27.4900,26.4500,26.8400,0.208,26.330
2019-10-28,26.9200,27.9400,26.5650,26.7600,0.099,26.331
2019-10-29,26.3700,27.7550,25.8800,27.6500,0.150,26.347
2019-10-30,27.6600,28.0863,27.2600,27.9300,0.121,26.375
2019-10-31,28.1500,31.0000,27.8411,29.6300,0.333,26.428
2019-11-01,30.0000,30.3500,29.4900,29.9100,0.219,26.484
2019-11-04,30.1000,30.3700,28.8100,29.5400,0.134,26.549
2019-11-05,29.6200,30.0000,28.8600,29.0800,0.130,26.622
2019-11-06,29.1000,30.0000,28.8000,29.8600,0.100,26.705
2019-11-07,30.0600,30.2000,29.6100,29.9600,0.122,26.804
2019-11-08,29.9000,30.2000,29.1600,29.7000,0.120,26.859
2019-11-11,29.5100,29.8100,27.6100,28.5600,0.123,26.894
2019-11-12,28.6000,29.3800,28.3700,28.7400,0.098,26.929
2019-11-13,28.5800,30.1100,28.5050,29.9200,0.148,26.969
2019-11-14,30.1400,30.1400,29.3400,29.6100,0.056,27.023
2019-11-15,30.0000,30.0400,29.4601,29.5800,0.131,27.110
2019-11-18,29.5700,29.8500,28.2700,28.3800,0.105,27.227
2019-11-19,28.4500,29.1000,28.4500,28.9100,0.073,27.299
2019-11-20,28.8300,29.0000,28.1800,28.6600,0.123,27.360
2019-11-21,28.9600,29.2300,28.6200,28.8800,0.145,27.414
2019-11-22,29.0000,29.1100,28.2700,28.9500,0.168,27.451
2019-11-25,29.0000,29.6000,28.8850,29.2400,0.127,27.490
2019-11-26,29.2200,30.1924,28.9200,29.3800,0.308,27.535
2019-11-27,29.6800,29.6800,28.5300,29.0600,0.119,27.569
2019-11-29,28.9900,29.5700,28.0500,28.1200,0.062,27.591
2019-12-02,28.3100,28.8500,27.2900,28.2800,0.091,27.611
2019-12-03,27.9400,28.2433,27.6000,28.1200,0.060,27.609
2019-12-04,28.3200,28.7800,27.9200,28.4400,0.081,27.651
2019-12-05,28.4800,29.0300,28.3000,28.4000,0.266,27.679
