DATE,OPEN,HIGH,LOW,CLOSE
2019-11-22,17.5817,17.6650,17.0727,17.5817
2019-11-25,17.5354,17.5354,16.9895,17.2578
2019-11-26,17.2393,17.6002,17.0727,17.3966
2019-11-27,17.3781,17.4521,17.2208,17.3688
2019-11-29,17.3503,17.3874,17.3041,17.3688
2019-12-02,17.3503,17.5539,17.1005,17.5077
2019-12-03,17.4429,17.6650,17.1653,17.5632
2019-12-04,17.5354,17.5354,17.1745,17.3966
2019-12-05,17.3597,17.4012,17.2763,17.3041
2019-12-06,17.3041,17.3965,17.0450,17.2578
2019-12-09,17.2578,17.3028,17.0727,17.2115
2019-12-10,17.0727,17.3735,17.0635,17.2671
2019-12-11,17.3041,17.3041,17.0727,17.2115
2019-12-12,17.1653,17.3966,16.9339,17.3688
2019-12-13,17.4336,17.5354,17.3041,17.4429
2019-12-16,17.5724,17.5724,17.3318,17.5354
2019-12-17,17.5817,17.5817,17.1560,17.3041
2019-12-18,17.3503,17.4984,17.3041,17.4984
2019-12-19,17.4962,17.6354,17.4962,17.6076
2019-12-20,17.5890,17.5890,17.4498,17.5426
2019-12-23,17.5426,17.5695,17.4962,17.5055
2019-12-24,17.4962,17.6818,17.4962,17.5426
2019-12-26,17.3941,17.5797,17.3941,17.5426
2019-12-27,17.5426,17.6354,17.1713,17.4498
2019-12-30,17.4498,17.6647,17.4498,17.5426
2019-12-31,17.5876,17.6911,17.4962,17.6633
2020-01-02,17.7283,17.7283,17.5983,17.6726
2020-01-03,17.6726,17.6726,17.5426,17.5426
2020-01-06,17.4034,17.6726,17.4034,17.5426
2020-01-07,17.5890,17.6469,17.5426,17.5983
2020-01-08,17.6331,17.6354,17.5426,17.6354
2020-01-09,17.6065,17.8211,17.5426,17.8118
2020-01-10,17.8489,17.9417,17.6633,17.7747
2020-01-13,17.8211,17.9417,17.6540,17.9139
2020-01-14,17.7747,17.8723,17.7283,17.7932
2020-01-15,17.8211,17.8675,17.1713,17.8211
2020-01-16,17.9417,17.9417,17.7004,17.8489
2020-01-17,17.7468,17.8675,17.7283,17.8396
2020-01-21,17.8211,17.8211,17.6076,17.7283
2020-01-22,17.6823,17.7283,17.5983,17.7190
2020-01-23,17.7190,17.7700,17.6354,17.7283
2020-01-24,17.6262,17.6262,17.4083,17.5705
2020-01-27,17.3199,17.7283,17.3199,17.6494
2020-01-28,17.6818,17.7283,17.6030,17.7097
2020-01-29,17.6818,17.7097,17.6169,17.7004
2020-01-30,17.5287,17.6540,17.4312,17.5890
2020-01-31,17.5890,17.6540,17.5055,17.6540
2020-02-03,17.7097,17.7283,17.4034,17.6818
2020-02-04,17.6818,17.8211,17.6447,17.7283
2020-02-05,17.6726,17.7283,17.4220,17.6354
2020-02-06,17.6354,17.8489,17.6354,17.7839
2020-02-07,17.5519,17.8211,17.5519,17.7097
2020-02-10,17.7097,17.7654,17.6540,17.7654
2020-02-11,17.7839,18.4105,17.6540,17.9603
2020-02-12,17.9603,18.0531,17.8675,17.9928
2020-02-13,18.0067,18.0531,17.8014,17.8536
2020-02-14,17.8304,18.1459,17.7004,18.1459
2020-02-18,18.1923,18.4012,17.9612,18.0833
2020-02-19,18.0531,18.0995,17.9603,18.0810
2020-02-20,18.0902,18.2434,17.7654,17.8953
2020-02-21,17.9417,18.1923,17.9046,18.1923
2020-02-24,18.1459,18.1459,17.5333,17.5797
2020-02-25,17.4034,17.6818,17.4034,17.6818
2020-02-26,17.4962,17.6679,17.4962,17.5241
2020-02-27,17.3848,17.4498,17.0460,17.3755
2020-02-28,17.1528,17.2549,16.2571,17.0785
2020-03-02,17.0228,17.0739,16.3174,16.7815
2020-03-03,16.6887,16.7815,15.8162,15.8719
2020-03-04,15.8719,16.6330,15.7837,16.2896
2020-03-05,16.1411,16.6052,16.0111,16.6052
2020-03-06,16.1411,16.4752,16.0297,16.2896
