DATE,OPEN,HIGH,LOW,CLOSE
1997-11-21,8.2799,8.2799,8.0157,8.1038
1997-11-24,8.1038,8.1038,7.8395,8.0157
1997-11-25,8.0615,8.1038,7.9945,8.1038
1997-11-26,8.1038,8.1038,8.0157,8.0157
1997-11-28,8.0157,8.1038,8.0157,8.1038
1997-12-01,8.1249,8.1496,8.1038,8.1249
1997-12-02,8.1496,8.1496,8.0615,8.1038
1997-12-03,8.1249,8.1249,8.0826,8.1038
1997-12-04,8.1038,8.1249,8.1038,8.1038
1997-12-05,8.0615,8.2376,8.0615,8.1249
1997-12-08,8.1038,8.1918,8.1038,8.1707
1997-12-09,8.1496,8.1707,8.1038,8.1707
1997-12-10,8.1496,8.1918,8.1249,8.1249
1997-12-11,8.1038,8.1496,8.1038,8.1249
1997-12-12,8.1249,8.1707,8.1249,8.1707
1997-12-15,8.1496,8.1707,8.1496,8.1707
1997-12-16,8.2170,8.4155,8.2170,8.3729
1997-12-17,8.4155,8.5926,8.3942,8.5714
1997-12-18,8.5501,8.5926,8.5501,8.5926
1997-12-19,8.5926,8.5926,8.4155,8.4615
1997-12-22,8.4828,8.5501,8.4615,8.5040
1997-12-23,8.5040,8.5714,8.5040,8.5040
1997-12-24,8.4828,8.5040,8.4367,8.5040
1997-12-26,8.4615,8.4615,8.3481,8.3942
1997-12-29,8.4615,8.5253,8.4155,8.4367
1997-12-30,8.5040,8.6139,8.3942,8.6139
1997-12-31,8.6387,8.9044,8.6387,8.9044
1998-01-02,8.8584,8.8584,8.7273,8.8159
1998-01-05,8.7698,8.8371,8.7273,8.7273
1998-01-06,8.7698,8.7698,8.7273,8.7485
1998-01-07,8.7485,8.7698,8.6599,8.7273
1998-01-08,8.6812,8.7698,8.6387,8.7025
1998-01-09,8.6812,8.6812,8.5501,8.6387
1998-01-12,8.5501,8.6599,8.4155,8.6599
1998-01-13,8.6812,8.7273,8.6599,8.7025
1998-01-14,8.6812,8.7698,8.5926,8.7698
1998-01-15,8.7698,8.7698,8.6812,8.6812
1998-01-16,8.7025,8.7025,8.6387,8.6812
1998-01-20,8.7273,8.7698,8.7025,8.7273
1998-01-21,8.7485,8.8159,8.7025,8.7698
1998-01-22,8.8159,8.8159,8.7273,8.7485
1998-01-23,8.7698,8.7698,8.6599,8.6599
1998-01-26,8.6139,8.6387,8.5501,8.5501
1998-01-27,8.5926,8.6812,8.5040,8.5926
1998-01-28,8.5501,8.5501,8.4615,8.5040
1998-01-29,8.4155,8.5501,8.4155,8.5040
1998-01-30,8.5040,8.6812,8.5040,8.6812
1998-02-02,8.6812,8.7698,8.6599,8.7698
1998-02-03,8.7273,8.7698,8.6812,8.6812
1998-02-04,8.7025,8.7025,8.6387,8.6387
1998-02-05,8.6387,8.7273,8.6387,8.6812
1998-02-06,8.6812,8.6812,8.5501,8.5926
1998-02-09,8.5714,8.6139,8.4828,8.6139
1998-02-10,8.6387,8.7273,8.6139,8.7273
1998-02-11,8.7273,8.7273,8.6599,8.7273
1998-02-12,8.6812,8.7273,8.6139,8.6812
1998-02-13,8.7025,8.7273,8.6387,8.6812
1998-02-17,8.7273,8.7911,8.6812,8.7911
1998-02-18,8.7485,8.7485,8.4615,8.5501
1998-02-19,8.5926,8.5926,8.5040,8.5040
1998-02-20,8.5040,8.6387,8.5040,8.5714
1998-02-23,8.5501,8.5926,8.5040,8.5253
1998-02-24,8.5253,8.5714,8.4615,8.4615
1998-02-25,8.4615,8.4828,8.4155,8.4155
1998-02-26,8.4155,8.4615,8.3729,8.3729
1998-02-27,8.3729,8.4367,8.3269,8.3269
1998-03-02,8.4155,8.4155,8.3056,8.3056
1998-03-03,8.3056,8.3942,8.3056,8.3481
1998-03-04,8.3729,8.3729,8.2844,8.2844
1998-03-05,8.2844,8.3269,8.2844,8.3056
1998-03-06,8.3056,8.4367,8.3056,8.3269
1998-03-09,8.3269,8.5714,8.3269,8.5040
1998-03-10,8.5501,8.5926,8.5040,8.5040
1998-03-11,8.5040,8.5714,8.5040,8.5714
1998-03-12,8.5714,8.5714,8.5040,8.5040
1998-03-13,8.4367,8.5040,8.4367,8.4615
1998-03-16,8.4947,8.4947,8.3581,8.4695
1998-03-17,8.4264,8.4695,8.4048,8.4479
1998-03-18,8.4479,8.4947,8.4479,8.4479
1998-03-19,8.4479,8.5845,8.4479,8.5845
1998-03-20,8.5594,8.7643,8.5594,8.7175
1998-03-23,8.7175,8.8074,8.7175,8.7643
1998-03-24,8.8074,8.8074,8.7175,8.7175
1998-03-25,8.7643,8.8074,8.7175,8.7391
1998-03-26,8.8541,8.9656,8.8074,8.8973
1998-03-27,8.8973,8.9656,8.8541,8.9656
1998-03-30,8.9656,8.9656,8.8290,8.8541
1998-03-31,8.8074,8.8074,8.6744,8.6744
1998-04-01,8.6492,8.7175,8.5594,8.6744
1998-04-02,8.7175,8.8290,8.6277,8.6277
1998-04-03,8.6061,8.6061,8.3581,8.4479
1998-04-06,8.4479,8.4695,8.3365,8.3581
1998-04-07,8.3149,8.3365,8.2682,8.2682
1998-04-08,8.3365,8.4264,8.3149,8.4264
1998-04-09,8.4479,8.4479,8.4048,8.4479
1998-04-13,8.4479,8.4479,8.3149,8.3365
1998-04-14,8.2898,8.3365,8.2250,8.3365
1998-04-15,8.3149,8.4947,8.3149,8.4479
1998-04-16,8.4048,8.4048,8.2682,8.3149
1998-04-17,8.2898,8.3365,8.1783,8.2898
1998-04-20,8.3581,8.3581,8.1999,8.2250
1998-04-21,8.1783,8.1783,8.1100,8.1567
1998-04-22,8.1100,8.4479,8.1100,8.4048
1998-04-23,8.4048,8.4479,8.3365,8.4048
1998-04-24,8.4048,8.5378,8.4048,8.4479
1998-04-27,8.4048,8.4479,8.2898,8.2898
1998-04-28,8.4048,8.4048,8.2682,8.2682
1998-04-29,8.3365,8.3365,8.3149,8.3149
1998-04-30,8.3581,8.4048,8.2682,8.2682
1998-05-01,8.2682,8.6492,8.2682,8.6492
1998-05-04,8.6744,8.9872,8.6744,8.8973
1998-05-05,8.9440,8.9440,8.7643,8.8973
1998-05-06,8.8973,8.8973,8.7643,8.8074
1998-05-07,8.8074,8.9440,8.8074,8.9440
1998-05-08,8.9440,8.9440,8.7858,8.8074
1998-05-11,8.8074,8.8074,8.4479,8.4479
1998-05-12,8.4947,8.4947,8.3581,8.4264
1998-05-13,8.4695,8.4947,8.4479,8.4479
1998-05-14,8.4479,8.4947,8.4479,8.4479
1998-05-15,8.4479,8.4947,8.4479,8.4947
1998-05-18,8.5162,8.5162,8.4695,8.5162
1998-05-19,8.5162,8.5162,8.4048,8.4048
1998-05-20,8.4479,8.4479,8.3149,8.3796
1998-05-21,8.4264,8.4695,8.3149,8.3149
1998-05-22,8.3149,8.3581,8.3149,8.3581
1998-05-26,8.3581,8.5378,8.3581,8.4048
1998-05-27,8.3149,8.4264,8.3149,8.4264
1998-05-28,8.4048,8.4264,8.3365,8.3581
1998-05-29,8.3581,8.5594,8.3581,8.5594
1998-06-01,8.6061,8.6061,8.4695,8.4947
1998-06-02,8.4479,8.4695,8.4479,8.4695
1998-06-03,8.4695,8.4695,8.4479,8.4479
1998-06-04,8.4479,8.4947,8.4479,8.4695
1998-06-05,8.5162,8.5594,8.5162,8.5162
1998-06-08,8.5594,8.5594,8.4479,8.4479
1998-06-09,8.4048,8.4264,8.3149,8.3365
1998-06-10,8.3365,8.3796,8.2898,8.3581
1998-06-11,8.3581,8.3581,8.0884,8.2250
1998-06-12,8.1783,8.1783,8.1352,8.1352
1998-06-15,8.1352,8.1352,8.0201,8.0453
1998-06-16,8.0453,8.1783,8.0453,8.1352
1998-06-17,8.0884,8.2898,8.0884,8.2898
1998-06-18,8.2250,8.7175,8.1567,8.7175
1998-06-19,8.6492,8.6492,8.5594,8.6277
1998-06-22,8.5845,8.5845,8.3581,8.4479
1998-06-23,8.4048,8.4264,8.4048,8.4264
1998-06-24,8.4048,8.6277,8.3581,8.6061
1998-06-25,8.6277,8.6744,8.4947,8.6492
1998-06-26,8.6815,8.7982,8.6159,8.7508
1998-06-29,8.7508,9.1154,8.6159,9.1154
