DATE,OPEN,HIGH,LOW,CLOSE
1984-08-10,5.0085,5.0085,4.8920,4.9200
1984-08-13,4.9503,4.9503,4.8920,4.8920
1984-08-14,4.8920,4.9503,4.8035,4.8338
1984-08-15,4.8035,4.8920,4.8035,4.8641
1984-08-16,4.8920,4.8920,4.8338,4.8338
1984-08-17,4.8338,4.8920,4.8338,4.8920
1984-08-20,4.8338,4.8641,4.8035,4.8338
1984-08-21,4.8641,4.9200,4.8035,4.9200
1984-08-22,4.8920,4.9200,4.8641,4.8641
1984-08-23,4.8920,4.8920,4.7755,4.7755
1984-08-24,4.8035,4.8338,4.7755,4.8035
1984-08-27,4.8338,4.8338,4.7173,4.7755
1984-08-28,4.8035,4.8035,4.7755,4.8035
1984-08-29,4.8035,4.8641,4.8035,4.8338
1984-08-30,4.8035,4.8338,4.8035,4.8035
1984-08-31,4.8035,4.8338,4.7755,4.8035
1984-09-04,4.8338,4.8338,4.8035,4.8338
1984-09-05,4.8338,4.8338,4.8035,4.8035
1984-09-06,4.8035,4.8641,4.8035,4.8641
1984-09-07,4.8338,4.8920,4.8338,4.8641
1984-09-10,4.8641,4.8641,4.8035,4.8641
1984-09-11,4.8338,4.8920,4.8338,4.8641
1984-09-12,4.8920,4.8920,4.8338,4.8338
1984-09-13,4.8338,4.8920,4.8035,4.8920
1984-09-14,4.9200,4.9503,4.8920,4.9503
1984-09-17,4.9200,4.9200,4.8641,4.9200
1984-09-18,4.9200,5.0667,4.8920,5.0388
1984-09-19,5.0388,5.1250,5.0085,5.1250
1984-09-20,5.0947,5.1250,5.0947,5.0947
1984-09-21,5.1529,5.1529,5.0667,5.0667
1984-09-24,5.0947,5.1250,5.0667,5.0947
1984-09-25,5.0947,5.0947,5.0667,5.0947
1984-09-26,5.0947,5.1832,5.0947,5.1832
1984-09-27,5.1832,5.2997,5.1832,5.2694
1984-09-28,5.2997,5.2997,5.2415,5.2997
1984-10-01,5.2415,5.2997,5.2135,5.2694
1984-10-02,5.2415,5.2694,5.1529,5.2135
1984-10-03,5.2135,5.2135,5.1250,5.1529
1984-10-04,5.1832,5.2415,5.1529,5.2135
1984-10-05,5.1832,5.2997,5.1529,5.2415
1984-10-08,5.2415,5.2415,5.1832,5.2135
1984-10-09,5.2415,5.2997,5.2135,5.2415
1984-10-10,5.2997,5.4441,5.2694,5.4441
1984-10-11,5.4162,5.4744,5.4162,5.4441
1984-10-12,5.4744,5.6794,5.4744,5.6491
1984-10-15,5.6188,5.7376,5.5909,5.7074
1984-10-16,5.7074,5.7656,5.7074,5.7376
1984-10-17,5.7074,5.7656,5.7074,5.7376
1984-10-18,5.7376,5.8238,5.7376,5.8238
1984-10-19,5.8238,5.8821,5.8238,5.8238
1984-10-22,5.7936,5.8821,5.7656,5.8238
1984-10-23,5.7936,5.8238,5.7656,5.8238
1984-10-24,5.7936,5.8518,5.7936,5.8238
1984-10-25,5.7656,5.8238,5.7376,5.7656
1984-10-26,5.7656,5.7936,5.7074,5.7376
1984-10-29,5.5629,5.5909,5.5024,5.5326
1984-10-30,5.5629,5.5629,5.4744,5.5326
1984-10-31,5.5326,5.8518,5.5024,5.6491
1984-11-01,5.5909,5.6794,5.5909,5.6188
1984-11-02,5.6188,5.7074,5.6188,5.6794
1984-11-05,5.6491,5.7656,5.6188,5.7074
1984-11-06,5.7376,5.7656,5.7074,5.7376
1984-11-07,5.7376,5.7936,5.7376,5.7656
1984-11-08,5.7656,5.8518,5.7656,5.7936
1984-11-09,5.8238,5.8238,5.7656,5.8238
1984-11-12,5.8518,5.8518,5.7376,5.7656
1984-11-13,5.7376,5.7656,5.6491,5.6491
1984-11-14,5.6794,5.7074,5.5326,5.5326
1984-11-15,5.4744,5.5024,5.4162,5.5024
1984-11-16,5.4441,5.4744,5.4441,5.4744
1984-11-19,5.4441,5.4744,5.3579,5.3579
1984-11-20,5.2415,5.3882,5.2135,5.3882
1984-11-21,5.4441,5.4441,5.3882,5.4162
1984-11-23,5.4162,5.5024,5.3882,5.4441
1984-11-26,5.4744,5.5629,5.4744,5.5326
1984-11-27,5.5629,5.5909,5.5326,5.5629
1984-11-28,5.5909,5.6794,5.5629,5.6491
1984-11-29,5.6794,5.7074,5.6491,5.6794
1984-11-30,5.6491,5.6491,5.5909,5.6491
1984-12-03,5.6188,5.6491,5.5326,5.5909
1984-12-04,5.6188,5.6491,5.5024,5.5629
1984-12-05,5.5326,5.5326,5.5024,5.5326
1984-12-06,5.5024,5.5326,5.4744,5.5326
1984-12-07,5.5326,5.5326,5.4441,5.5024
1984-12-10,5.4441,5.5024,5.4162,5.4744
1984-12-11,5.4744,5.5024,5.4441,5.4744
1984-12-12,5.4744,5.5024,5.4441,5.4744
1984-12-13,5.5024,5.5326,5.4744,5.4744
1984-12-14,5.4744,5.5629,5.4744,5.5326
1984-12-17,5.5326,5.6491,5.4744,5.6491
1984-12-18,5.7074,5.7656,5.6794,5.7656
1984-12-19,5.7074,5.7936,5.7074,5.7376
1984-12-20,5.7376,5.7656,5.7074,5.7376
1984-12-21,5.7376,5.7656,5.6794,5.7376
1984-12-24,5.7936,5.7936,5.7074,5.7656
1984-12-26,5.7376,5.7656,5.5629,5.5909
1984-12-27,5.5629,5.6794,5.5629,5.6188
1984-12-28,5.6491,5.6491,5.5909,5.5909
1984-12-31,5.6188,5.7074,5.5909,5.6794
1985-01-02,5.6491,5.7074,5.5909,5.5909
1985-01-03,5.6188,5.7074,5.6188,5.6794
1985-01-04,5.6794,5.7376,5.6794,5.7074
1985-01-07,5.7074,5.7656,5.7074,5.7656
1985-01-08,5.7936,5.8518,5.7656,5.8518
1985-01-09,5.8238,5.8518,5.7936,5.8518
1985-01-10,5.7936,5.8518,5.7656,5.8238
1985-01-11,5.8238,5.8821,5.7936,5.8518
1985-01-14,5.8518,5.9124,5.7936,5.8238
1985-01-15,5.8821,5.8821,5.7936,5.8238
1985-01-16,5.8238,5.8821,5.7936,5.8238
1985-01-17,5.7936,5.8238,5.7656,5.8238
1985-01-18,5.8238,5.8238,5.7936,5.8238
1985-01-21,5.7936,5.8238,5.7936,5.7936
1985-01-22,5.8238,5.8238,5.7376,5.7376
1985-01-23,5.7376,5.8238,5.7376,5.7936
1985-01-24,5.7936,5.8238,5.7656,5.7936
1985-01-25,5.7936,5.8238,5.7656,5.7656
1985-01-28,5.6491,5.6794,5.6188,5.6188
1985-01-29,5.6188,5.6491,5.5909,5.6188
1985-01-30,5.6491,5.6794,5.6188,5.6188
1985-01-31,5.6794,5.7376,5.6491,5.7376
1985-02-01,5.7936,5.8238,5.7376,5.7376
1985-02-04,5.7656,5.7936,5.7376,5.7936
1985-02-05,5.7656,5.7936,5.7376,5.7376
1985-02-06,5.7656,5.7656,5.7074,5.7656
1985-02-07,5.7936,5.8238,5.7656,5.8238
1985-02-08,5.8238,5.8518,5.7936,5.8518
1985-02-11,5.8518,5.8518,5.7936,5.8518
1985-02-12,5.8238,5.8238,5.7656,5.8238
1985-02-13,5.8518,5.8518,5.7936,5.7936
1985-02-14,5.7936,5.8238,5.7376,5.7376
1985-02-15,5.7656,5.7656,5.7074,5.7074
1985-02-19,5.7376,5.7656,5.7074,5.7376
1985-02-20,5.7376,5.7656,5.6794,5.7376
1985-02-21,5.7656,5.7656,5.7074,5.7074
1985-02-22,5.7376,5.7376,5.6491,5.6491
