DATE,OPEN,HIGH,LOW,CLOSE
1985-04-08,0.9549,0.9549,0.9358,0.9453
1985-04-09,0.9453,0.9594,0.9404,0.9549
1985-04-10,0.9549,0.9885,0.9549,0.9835
1985-04-11,0.9835,0.9885,0.9785,0.9835
1985-04-12,0.9835,0.9931,0.9594,0.9644
1985-04-15,0.9694,0.9740,0.9644,0.9694
1985-04-16,0.9694,0.9785,0.9549,0.9594
1985-04-17,0.9503,0.9644,0.9503,0.9549
1985-04-18,0.9503,0.9549,0.9453,0.9503
1985-04-19,0.9503,0.9549,0.9453,0.9503
1985-04-22,0.9453,0.9503,0.9404,0.9404
1985-04-23,0.9404,0.9549,0.9404,0.9549
1985-04-24,0.9503,0.9549,0.9453,0.9503
1985-04-25,0.9503,0.9549,0.9358,0.9453
1985-04-26,0.9213,0.9404,0.9121,0.9312
1985-04-29,0.9213,0.9262,0.9213,0.9213
1985-04-30,0.9213,0.9262,0.9167,0.9213
1985-05-01,0.9213,0.9262,0.9167,0.9213
1985-05-02,0.9262,0.9312,0.9167,0.9262
1985-05-03,0.9358,0.9358,0.9167,0.9358
1985-05-06,0.9312,0.9644,0.9312,0.9594
1985-05-07,0.9594,0.9740,0.9594,0.9694
1985-05-08,0.9694,0.9740,0.9594,0.9644
1985-05-09,0.9594,0.9694,0.9549,0.9644
1985-05-10,0.9644,0.9931,0.9594,0.9885
1985-05-13,0.9785,0.9835,0.9740,0.9740
1985-05-14,0.9835,0.9835,0.9785,0.9835
1985-05-15,0.9785,0.9835,0.9740,0.9785
1985-05-16,0.9785,0.9835,0.9740,0.9785
1985-05-17,0.9740,0.9885,0.9740,0.9835
1985-05-20,0.9931,1.0122,0.9931,1.0076
1985-05-21,1.0026,1.0167,0.9976,1.0026
1985-05-22,0.9835,0.9976,0.9785,0.9835
1985-05-23,0.9835,0.9835,0.9740,0.9785
1985-05-24,0.9740,0.9931,0.9740,0.9835
1985-05-28,0.9835,1.0026,0.9835,1.0026
1985-05-29,0.9976,1.0122,0.9976,1.0122
1985-05-30,1.0076,1.0122,1.0026,1.0122
1985-05-31,1.0026,1.0217,1.0026,1.0217
1985-06-03,1.0313,1.0313,1.0217,1.0267
1985-06-04,1.0026,1.0026,0.9885,1.0026
1985-06-05,0.9976,1.0217,0.9931,0.9976
1985-06-06,0.9976,1.0122,0.9931,1.0076
1985-06-07,1.0076,1.0122,1.0076,1.0076
1985-06-10,1.0076,1.0167,1.0076,1.0122
1985-06-11,1.0122,1.0167,1.0076,1.0122
1985-06-12,1.0122,1.0167,1.0076,1.0167
1985-06-13,1.0122,1.0167,0.9931,1.0026
1985-06-14,1.0026,1.0076,0.9976,1.0076
1985-06-17,1.0076,1.0167,1.0076,1.0167
1985-06-18,1.0122,1.0217,1.0122,1.0217
1985-06-19,1.0217,1.0267,1.0217,1.0217
1985-06-20,1.0167,1.0267,1.0167,1.0267
1985-06-21,1.0122,1.0122,1.0122,1.0122
1985-06-24,1.0122,1.0217,1.0122,1.0217
1985-06-25,1.0167,1.0408,1.0167,1.0313
1985-06-26,1.0313,1.0358,1.0267,1.0358
1985-06-27,1.0313,1.0358,1.0167,1.0267
1985-06-28,1.0267,1.0313,1.0267,1.0267
1985-07-01,1.0217,1.0267,1.0076,1.0167
1985-07-02,1.0122,1.0167,0.9976,1.0076
1985-07-03,1.0076,1.0076,0.9976,1.0076
1985-07-05,1.0122,1.0167,1.0122,1.0122
1985-07-08,1.0122,1.0167,1.0076,1.0167
1985-07-09,1.0167,1.0313,1.0167,1.0313
1985-07-10,1.0267,1.0358,1.0217,1.0313
1985-07-11,1.0313,1.0408,1.0267,1.0408
1985-07-12,1.0408,1.0504,1.0408,1.0504
1985-07-15,1.0458,1.0549,1.0358,1.0549
1985-07-16,1.0649,1.0649,1.0408,1.0649
1985-07-17,1.0599,1.0649,1.0504,1.0599
1985-07-18,1.0549,1.0649,1.0549,1.0549
1985-07-19,1.0599,1.0599,1.0549,1.0599
1985-07-22,1.0504,1.0599,1.0267,1.0267
1985-07-23,1.0167,1.0167,1.0026,1.0026
1985-07-24,0.9835,0.9931,0.9644,0.9835
1985-07-25,0.9931,0.9931,0.9785,0.9885
1985-07-26,0.9885,0.9885,0.9785,0.9835
1985-07-29,0.9503,0.9835,0.9358,0.9503
1985-07-30,0.9594,0.9740,0.9549,0.9644
1985-07-31,0.9644,0.9740,0.9594,0.9594
1985-08-01,0.9694,0.9694,0.9594,0.9644
1985-08-02,0.9549,0.9644,0.9549,0.9549
1985-08-05,0.9594,0.9594,0.9404,0.9453
1985-08-06,0.9358,0.9503,0.9358,0.9404
1985-08-07,0.9404,0.9453,0.9312,0.9404
1985-08-08,0.9549,0.9549,0.9358,0.9549
1985-08-09,0.9549,0.9644,0.9503,0.9549
1985-08-12,0.9644,0.9644,0.9503,0.9644
1985-08-13,0.9644,0.9644,0.9549,0.9644
1985-08-14,0.9549,0.9740,0.9549,0.9694
1985-08-15,0.9740,0.9785,0.9694,0.9740
1985-08-16,0.9785,0.9835,0.9740,0.9740
1985-08-19,0.9931,0.9931,0.9740,0.9931
1985-08-20,0.9885,0.9931,0.9785,0.9885
1985-08-21,0.9835,0.9976,0.9835,0.9931
1985-08-22,0.9976,0.9976,0.9931,0.9931
1985-08-23,0.9885,0.9931,0.9835,0.9835
1985-08-26,0.9931,0.9976,0.9785,0.9931
1985-08-27,0.9885,0.9976,0.9885,0.9976
1985-08-28,0.9931,0.9976,0.9885,0.9931
1985-08-29,1.0026,1.0026,0.9931,1.0026
1985-08-30,1.0026,1.0026,0.9931,0.9976
1985-09-03,1.0026,1.0076,0.9885,1.0026
1985-09-04,0.9740,0.9835,0.9740,0.9740
1985-09-05,0.9835,0.9931,0.9785,0.9835
1985-09-06,0.9785,0.9885,0.9785,0.9835
1985-09-09,0.9740,0.9785,0.9594,0.9694
1985-09-10,0.9644,0.9740,0.9453,0.9503
1985-09-11,0.9549,0.9549,0.9312,0.9358
1985-09-12,0.9312,0.9404,0.9167,0.9167
1985-09-13,0.9071,0.9167,0.8976,0.9071
1985-09-16,0.9071,0.9262,0.9071,0.9213
1985-09-17,0.9167,0.9262,0.9167,0.9213
1985-09-18,0.9213,0.9312,0.9167,0.9262
1985-09-19,0.9312,0.9312,0.9121,0.9312
1985-09-20,0.9312,0.9358,0.9262,0.9358
1985-09-23,0.9404,0.9503,0.9358,0.9453
1985-09-24,0.9453,0.9503,0.9312,0.9358
1985-09-25,0.9312,0.9404,0.9213,0.9213
1985-09-26,0.9213,0.9312,0.9167,0.9262
1985-09-30,0.9213,0.9312,0.9213,0.9312
1985-10-01,0.9358,0.9404,0.9262,0.9404
1985-10-02,0.9358,0.9503,0.9312,0.9404
1985-10-03,0.9404,0.9453,0.9358,0.9358
1985-10-04,0.9312,0.9404,0.9262,0.9312
1985-10-07,0.9213,0.9404,0.9213,0.9312
1985-10-08,0.9312,0.9312,0.9071,0.9167
1985-10-09,0.9121,0.9262,0.9071,0.9213
1985-10-10,0.9262,0.9358,0.9213,0.9262
1985-10-11,0.9262,0.9312,0.9213,0.9213
1985-10-14,0.9312,0.9358,0.9262,0.9312
1985-10-15,0.9358,0.9453,0.9312,0.9453
1985-10-16,0.9358,0.9549,0.9358,0.9453
1985-10-17,0.9549,0.9644,0.9453,0.9549
1985-10-18,0.9503,0.9694,0.9503,0.9594
1985-10-21,0.9594,0.9885,0.9594,0.9835
1985-10-22,0.9785,0.9835,0.9694,0.9835
1985-10-23,0.9835,0.9931,0.9785,0.9885
1985-10-24,0.9835,0.9885,0.9740,0.9835
1985-10-25,0.9785,0.9885,0.9740,0.9885
1985-10-28,0.9785,0.9835,0.9740,0.9785
1985-10-29,0.9740,0.9885,0.9740,0.9785
1985-10-30,0.9885,0.9931,0.9835,0.9885
