DATE,OPEN,HIGH,LOW,CLOSE
2018-09-14,2.8650,2.9878,2.7463,2.9878
2018-09-17,2.9469,2.9878,2.9469,2.9528
2018-09-18,2.9469,2.9878,2.9060,2.9060
2018-09-19,2.9060,2.9469,2.8650,2.9469
2018-09-20,2.9469,2.9469,2.8650,2.8650
2018-09-21,2.8650,2.9060,2.8650,2.8650
2018-09-24,2.9060,2.9469,2.8650,2.9469
2018-09-25,2.9060,2.9469,2.9060,2.9264
2018-09-26,2.9060,2.9878,2.9060,2.9060
2018-09-27,2.9060,2.9469,2.8241,2.8241
2018-09-28,2.9060,2.9060,2.8241,2.8650
2018-10-01,2.8650,2.9223,2.8650,2.9141
2018-10-02,2.9060,3.0206,2.8732,2.9387
2018-10-03,2.9387,2.9878,2.7422,2.8839
2018-10-04,2.8650,2.9060,2.7586,2.7586
2018-10-05,2.8650,2.8717,2.7586,2.7668
2018-10-08,2.8650,2.8650,2.8240,2.8241
2018-10-09,2.8509,2.8650,2.8241,2.8405
2018-10-10,2.8568,2.8650,2.8241,2.8241
2018-10-11,2.8241,2.8487,2.8077,2.8077
2018-10-12,2.8568,2.8568,2.8241,2.8323
2018-10-15,2.8323,2.8650,2.7694,2.8323
2018-10-16,2.8568,2.8568,2.8008,2.8159
2018-10-17,2.7504,2.8233,2.7504,2.7586
2018-10-18,2.7668,2.8233,2.7504,2.7791
2018-10-19,2.7832,2.8568,2.7832,2.7832
2018-10-22,2.6604,2.7341,2.2511,2.5376
2018-10-23,2.4967,2.6113,2.3821,2.5540
2018-10-24,2.5703,2.5863,2.4148,2.4721
2018-10-25,2.3330,2.4885,2.3330,2.4557
2018-10-26,2.4557,2.4557,2.3824,2.4476
2018-10-29,2.4394,2.4967,2.1365,2.2184
2018-10-30,2.2159,2.2898,2.1272,2.2487
2018-10-31,2.2733,2.3015,2.1995,2.2323
2018-11-01,2.2487,2.2898,2.1749,2.1913
2018-11-02,2.2159,2.2159,2.1749,2.1995
2018-11-05,2.2159,2.2980,2.2159,2.2487
2018-11-06,2.2569,2.2660,2.2241,2.2241
2018-11-07,2.2487,2.2569,2.2138,2.2405
2018-11-08,2.2241,2.2569,2.0600,2.1667
2018-11-09,2.1749,2.2158,2.1257,2.2077
2018-11-12,2.2159,2.2569,2.1749,2.2159
2018-11-13,2.1913,2.2405,2.1749,2.1913
2018-11-14,2.2067,2.2159,2.1913,2.1913
2018-11-15,2.1995,2.1995,1.9943,2.0189
2018-11-16,1.9369,2.0566,1.9369,1.9697
2018-11-19,1.9287,2.1338,1.9287,2.1092
2018-11-20,2.0928,2.1338,2.0280,2.0682
2018-11-21,2.0764,2.0928,2.0189,2.0271
2018-11-23,2.0518,2.0600,2.0189,2.0271
2018-11-26,2.0518,2.1215,2.0271,2.0600
2018-11-27,2.0643,2.0846,2.0107,2.0353
2018-11-28,2.0518,2.0928,2.0189,2.0271
2018-11-29,2.0025,2.0518,2.0025,2.0435
2018-11-30,2.0353,2.0600,1.9943,2.0182
2018-12-03,2.2288,2.2288,1.9943,2.0518
2018-12-04,2.0353,2.0353,1.9287,1.9615
2018-12-06,1.9451,1.9697,1.9287,1.9287
2018-12-07,1.9287,2.0107,1.9287,2.0107
2018-12-10,2.0682,2.0682,1.9697,2.0025
2018-12-11,2.0600,2.0928,1.9697,1.9697
2018-12-12,2.0107,2.0477,1.9163,1.9287
2018-12-13,1.9533,1.9533,1.8876,1.9451
2018-12-14,1.9697,1.9697,1.8876,1.9122
2018-12-17,1.9122,1.9533,1.8712,1.8712
2018-12-18,1.8933,1.9029,1.6824,1.7235
2018-12-19,1.7481,1.9122,1.7318,1.8630
2018-12-20,1.8630,1.9204,1.6989,1.7645
2018-12-21,1.7235,1.7235,1.5183,1.5429
2018-12-24,1.6332,1.6746,1.4609,1.5101
2018-12-26,1.5019,1.5347,1.3952,1.5101
2018-12-27,1.5265,1.6168,1.5086,1.6168
2018-12-28,1.5922,1.6495,1.5429,1.5511
2018-12-31,1.5429,1.6824,1.5429,1.5429
2019-01-02,1.5429,1.6414,1.5429,1.5922
2019-01-03,1.6169,1.6660,1.6168,1.6589
2019-01-04,1.7153,1.7727,1.6497,1.7726
2019-01-07,1.8055,1.9615,1.7563,1.9204
2019-01-08,1.9697,1.9697,1.9204,1.9697
2019-01-09,2.0025,2.0353,1.9861,2.0353
2019-01-10,2.0600,2.1174,2.0353,2.0928
2019-01-11,2.1092,2.1092,1.9764,2.0107
2019-01-14,2.0518,2.0805,1.9943,2.0107
2019-01-15,2.0271,2.0928,2.0117,2.0928
2019-01-16,2.0928,2.1092,2.0764,2.1010
2019-01-17,2.1010,2.2487,2.1010,2.2405
2019-01-18,2.2323,2.2566,2.2008,2.2077
2019-01-22,2.1995,2.2159,1.8712,1.9615
2019-01-23,1.9861,2.0150,1.9492,1.9556
2019-01-24,1.9697,1.9896,1.8959,1.9369
2019-01-25,1.9861,1.9861,1.9369,1.9533
2019-01-28,1.9697,2.0928,1.9697,2.0435
2019-01-29,2.0518,2.0928,2.0189,2.0927
2019-01-30,2.0928,2.1092,2.0559,2.0981
2019-01-31,2.1092,2.2077,1.9902,2.0518
2019-02-01,2.0518,2.0928,2.0435,2.0435
2019-02-04,2.0435,2.0435,1.9615,1.9943
2019-02-05,1.9943,1.9943,1.9287,1.9368
2019-02-06,1.9369,2.0518,1.9369,2.0107
2019-02-07,2.0189,2.0189,1.9369,1.9615
2019-02-08,1.9533,1.9943,1.9533,1.9861
2019-02-11,1.9943,2.0024,1.9697,1.9861
2019-02-12,1.9943,2.0921,1.9761,1.9861
2019-02-13,2.0107,2.0764,2.0107,2.0271
2019-02-14,2.0107,2.0682,2.0107,2.0682
2019-02-15,2.0682,2.0846,1.9943,1.9943
2019-02-19,2.0518,2.1749,1.9943,1.9943
2019-02-20,2.0271,2.0928,2.0107,2.0600
2019-02-21,2.0682,2.1338,2.0682,2.1330
2019-02-22,2.1749,2.2159,2.0518,2.2077
2019-02-25,2.2487,2.3485,2.2241,2.2569
2019-02-26,2.2980,2.3390,2.2241,2.3103
2019-02-27,2.3636,2.3636,2.2569,2.2980
2019-02-28,2.3390,2.3464,2.2077,2.2159
2019-03-01,2.2241,2.2866,2.2077,2.2077
2019-03-04,2.2159,2.2405,2.1667,2.2077
2019-03-05,2.1924,2.2569,2.1896,2.2077
2019-03-06,2.2077,2.2569,2.2004,2.2159
2019-03-07,2.2159,2.2282,2.1864,2.2241
2019-03-08,2.2159,2.2159,2.0928,2.1994
2019-03-11,2.1749,2.2865,2.1420,2.1995
2019-03-12,2.2241,2.2980,2.1995,2.2077
2019-03-13,2.2077,2.2733,2.1995,2.2651
2019-03-14,2.2816,2.3226,2.2490,2.3062
2019-03-15,2.3226,2.3390,2.2980,2.3226
2019-03-18,2.3390,2.3800,2.3158,2.3800
2019-03-19,2.4539,2.5852,2.4375,2.5852
2019-03-20,2.6180,2.6262,2.5179,2.6180
2019-03-21,2.6262,2.7494,2.6042,2.7494
2019-03-22,2.7247,2.7494,2.5688,2.7165
2019-03-25,2.7576,2.8643,2.7083,2.8396
2019-03-26,2.8396,2.9135,2.7904,2.8314
2019-03-27,2.8725,2.8889,2.8396,2.8807
2019-03-28,2.8725,2.8889,2.7083,2.8232
2019-03-29,2.8068,2.8150,2.6509,2.7329
2019-04-01,2.8068,2.8068,2.6673,2.6919
