DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
1996-06-28,2.0120,2.0445,1.8978,1.9627,18.256,
1996-07-01,1.9471,2.0445,1.9315,2.0445,2.619,
1996-07-02,2.0445,2.3210,1.9627,2.2872,3.027,
1996-07-03,2.3041,2.3521,2.1743,2.2638,2.084,
1996-07-05,2.2392,2.3041,2.1094,2.2067,1.713,
1996-07-08,2.3041,2.3365,2.1094,2.1743,1.344,
1996-07-09,2.2223,2.2716,2.1094,2.1094,2.478,
1996-07-10,2.1743,2.1743,2.0613,2.1094,1.649,
1996-07-11,2.1262,2.1262,2.0120,2.0120,1.075,
1996-07-12,2.0925,2.0925,2.0120,2.0613,0.254,
1996-07-15,2.0925,2.0925,1.8978,1.9796,0.848,
1996-07-16,2.0445,2.0445,1.8173,1.9471,1.057,
1996-07-17,1.9315,2.0276,1.9315,1.9796,1.964,
1996-07-18,2.3041,2.4663,2.2716,2.3365,2.692,
1996-07-19,2.5157,2.5637,2.4663,2.5312,2.341,
1996-07-22,2.6117,2.6766,2.5637,2.6766,0.859,
1996-07-23,3.0829,3.1154,2.7260,2.7584,3.297,
1996-07-24,2.7909,2.7909,2.6611,2.7753,1.226,
1996-07-25,2.7584,2.9856,2.7584,2.9856,0.508,
1996-07-26,3.0012,3.0998,3.0012,3.0829,1.834,
1996-07-29,3.0505,3.1803,3.0349,3.1478,2.220,
1996-07-30,3.1803,3.1803,2.8882,2.9856,1.783,
1996-07-31,2.9207,2.9856,2.8558,2.9051,0.460,
1996-08-01,2.8558,2.8882,2.5468,2.6455,1.614,
1996-08-02,2.6286,2.6286,2.4988,2.5312,0.445,
1996-08-05,2.5637,2.5962,2.5157,2.5962,0.985,
1996-08-06,2.5962,2.5962,2.5637,2.5962,0.703,
1996-08-07,2.6117,2.6286,2.5637,2.5637,0.836,
1996-08-08,2.6286,2.6935,2.5637,2.6286,1.048,
1996-08-09,2.6611,2.6611,2.5637,2.5637,0.650,
1996-08-12,2.6286,2.7260,2.5637,2.7260,0.654,
1996-08-13,2.7909,3.0180,2.7260,2.9051,1.575,
1996-08-14,2.9531,3.2452,2.9207,3.1959,2.519,
1996-08-15,3.2452,3.2452,2.9856,3.0829,0.844,
1996-08-16,3.0829,3.0829,2.9856,3.0180,0.599,
1996-08-19,3.0349,3.0349,2.9362,2.9700,1.138,
1996-08-20,3.0012,3.0180,2.9362,3.0180,0.449,
1996-08-21,3.0349,3.0829,2.9856,3.0505,0.285,
1996-08-22,3.0829,3.0829,3.0180,3.0505,0.238,
1996-08-23,3.0505,3.0505,2.8882,2.9051,1.293,
1996-08-26,2.8882,2.9700,2.8882,2.9700,0.344,
1996-08-27,2.9856,2.9856,2.9207,2.9207,0.035,
1996-08-28,2.9051,2.9856,2.9051,2.9531,0.066,
1996-08-29,3.0180,3.2127,3.0180,3.1478,0.861,
1996-08-30,3.1478,3.1478,2.9856,3.0998,0.347,
1996-09-03,3.0829,3.2452,3.0180,3.1803,0.621,
1996-09-04,3.1478,3.6346,3.1478,3.6346,2.038,
1996-09-05,3.6346,3.6346,3.4399,3.5204,1.945,
1996-09-06,3.5373,3.5373,3.4399,3.5204,0.078,
1996-09-09,3.4399,3.5204,3.3750,3.5048,0.357,2.716
1996-09-10,3.5373,3.5697,3.4724,3.5697,1.045,2.749
1996-09-11,3.6022,3.6346,3.5541,3.6346,0.320,2.780
1996-09-12,3.6502,4.0085,3.5853,3.9267,1.384,2.813
