DATE,OPEN,HIGH,LOW,CLOSE
1998-03-10,2.3997,2.4498,2.3643,2.4065
1998-03-11,2.4065,2.4920,2.4065,2.4566
1998-03-12,2.4783,2.5501,2.4498,2.5501
1998-03-13,2.5353,2.5774,2.4646,2.4783
1998-03-16,2.4783,2.6071,2.4430,2.5991
1998-03-17,2.5991,2.7347,2.5922,2.6777
1998-03-18,2.6777,2.7347,2.6492,2.7347
1998-03-19,2.7563,2.9193,2.7563,2.8065
1998-03-20,2.8065,2.8338,2.7347,2.7347
1998-03-23,2.7062,2.7483,2.6777,2.7278
1998-03-24,2.6777,2.6993,2.6355,2.6355
1998-03-25,2.6355,2.6777,2.6355,2.6560
1998-03-26,2.6777,2.7916,2.6777,2.7916
1998-03-27,2.8065,2.8201,2.7347,2.7780
1998-03-30,2.7780,2.7916,2.6914,2.6914
1998-03-31,2.6845,2.7563,2.6845,2.7415
1998-04-01,2.7563,2.7985,2.7347,2.7700
1998-04-02,2.7916,2.7916,2.7632,2.7700
1998-04-03,2.7700,2.8065,2.7563,2.8065
1998-04-06,2.7985,2.8486,2.7483,2.7916
1998-04-07,2.7780,2.7780,2.6629,2.7130
1998-04-08,2.7278,2.7916,2.7210,2.7916
1998-04-09,2.7916,3.0332,2.7916,2.9842
1998-04-13,3.0047,3.1050,2.9979,3.0982
1998-04-14,3.1118,3.1904,3.0833,3.1904
1998-04-15,3.1904,3.1904,3.0982,3.1118
1998-04-16,3.1403,3.1620,3.1335,3.1483
1998-04-17,3.1483,3.1688,3.1335,3.1403
1998-04-20,3.1118,3.1335,2.9626,3.0195
1998-04-21,3.0195,3.0264,2.9910,2.9979
1998-04-22,2.9842,3.0697,2.9626,3.0480
1998-04-23,3.0697,3.1266,3.0697,3.0982
1998-04-24,3.0765,3.1483,3.0765,3.1118
1998-04-27,3.1403,3.1403,3.0628,3.0982
1998-04-28,3.0833,3.1198,3.0480,3.0765
1998-04-29,3.0902,3.0982,3.0697,3.0697
1998-04-30,3.0697,3.0902,3.0549,3.0697
1998-05-01,3.0549,3.0902,3.0549,3.0902
1998-05-04,3.0765,3.0833,3.0628,3.0765
1998-05-05,3.0765,3.0833,3.0697,3.0765
1998-05-06,3.0765,3.0765,3.0628,3.0697
1998-05-07,3.0765,3.0765,2.9626,2.9626
1998-05-08,2.9626,2.9626,2.8486,2.8486
1998-05-11,2.8486,3.0195,2.8418,3.0195
1998-05-12,3.0047,3.0412,2.9910,3.0127
1998-05-13,3.0195,3.0195,2.9489,2.9626
1998-05-14,2.9557,2.9774,2.9341,2.9626
1998-05-15,2.9557,2.9774,2.9409,2.9409
1998-05-18,2.9341,2.9626,2.8987,2.9626
1998-05-19,2.9626,2.9626,2.9341,2.9341
1998-05-20,2.9272,2.9341,2.9056,2.9272
1998-05-21,2.9341,2.9910,2.9056,2.9774
1998-05-22,2.9979,3.0264,2.9774,2.9774
1998-05-26,2.9979,3.0047,2.9910,2.9910
1998-05-27,2.9910,2.9910,2.9056,2.9056
1998-05-28,2.9193,3.0047,2.9193,3.0047
1998-05-29,3.0127,3.0902,2.9910,3.0902
1998-06-01,3.0902,3.0902,3.0127,3.0127
1998-06-02,2.9979,3.0047,2.9409,2.9626
1998-06-03,2.9626,3.0332,2.9626,2.9774
1998-06-04,2.9774,3.0480,2.9774,3.0195
1998-06-05,3.0412,3.0628,3.0264,3.0549
1998-06-08,3.0765,3.0765,3.0332,3.0549
1998-06-09,3.0480,3.0697,3.0480,3.0549
1998-06-10,3.0480,3.0480,3.0332,3.0412
1998-06-11,3.0195,3.0264,2.9910,3.0047
1998-06-12,2.9842,2.9910,2.9842,2.9910
1998-06-15,2.9910,2.9910,2.8839,2.8839
1998-06-16,2.8703,2.8839,2.8623,2.8771
1998-06-17,2.8987,3.0902,2.8987,3.0697
1998-06-18,3.0833,3.1688,3.0765,3.0765
1998-06-19,3.0628,3.0765,3.0332,3.0765
1998-06-22,3.0628,3.0833,3.0480,3.0480
1998-06-23,3.0628,3.0628,2.9979,2.9979
1998-06-24,2.9694,2.9774,2.8919,2.9341
1998-06-25,2.9193,2.9272,2.8839,2.8987
1998-06-26,2.8839,2.8919,2.8703,2.8919
1998-06-29,2.8919,2.9842,2.8919,2.9774
1998-06-30,2.9774,3.1483,2.9774,3.0264
1998-07-01,3.0195,3.0332,3.0195,3.0264
1998-07-02,3.1620,3.3260,3.1620,3.2474
1998-07-06,3.2189,3.2258,3.2189,3.2258
1998-07-07,3.1973,3.2759,3.1973,3.2759
1998-07-08,3.2691,3.2691,3.1904,3.2474
1998-07-09,3.2543,3.3192,3.2337,3.3192
1998-07-10,3.3044,3.3044,3.2759,3.2759
1998-07-13,3.2611,3.2759,3.2406,3.2474
1998-07-14,3.2337,3.2474,3.2189,3.2189
1998-07-15,3.2189,3.2406,3.1973,3.2406
1998-07-16,3.2543,3.3898,3.2543,3.3112
1998-07-17,3.3260,3.3260,3.3044,3.3044
1998-07-20,3.2907,3.2907,3.2907,3.2907
1998-07-21,3.2907,3.2907,3.2406,3.2406
1998-07-22,3.2474,3.2827,3.2406,3.2474
1998-07-23,3.2759,3.2759,3.2337,3.2474
1998-07-24,3.2611,3.2611,3.2337,3.2337
1998-07-27,3.2337,3.2337,3.1335,3.1335
1998-07-28,3.1050,3.1050,3.0195,3.0332
1998-07-29,3.0412,3.0412,2.9626,2.9910
1998-07-30,3.0047,3.0195,2.9910,3.0195
1998-07-31,3.0332,3.0480,3.0127,3.0412
1998-08-03,3.0549,3.0549,3.0127,3.0195
1998-08-04,3.0047,3.0047,2.9489,2.9489
1998-08-05,2.9341,2.9341,2.8418,2.8486
1998-08-06,2.8418,2.8486,2.7985,2.7985
1998-08-07,2.7985,3.0697,2.7985,2.9842
1998-08-10,2.9694,2.9694,2.9193,2.9193
1998-08-11,2.9193,2.9193,2.8486,2.8486
1998-08-12,2.8771,2.9193,2.8486,2.8771
1998-08-13,2.8623,2.8771,2.8486,2.8486
1998-08-14,2.8623,2.9056,2.8554,2.8987
1998-08-17,2.8839,2.8839,2.8486,2.8703
1998-08-18,2.8919,3.1836,2.8919,3.1836
1998-08-19,3.1904,3.2827,3.1904,3.2189
1998-08-20,3.2258,3.2258,3.1620,3.1620
1998-08-21,3.1483,3.1483,3.0982,3.0982
1998-08-24,3.0902,3.0902,3.0765,3.0833
1998-08-25,3.0833,3.0833,3.0833,3.0833
1998-08-26,3.0628,3.0628,2.9774,2.9774
1998-08-27,2.9489,2.9489,2.9124,2.9124
1998-08-28,2.8919,2.8919,2.8418,2.8486
1998-08-31,2.8486,2.8486,2.6777,2.6914
1998-09-01,2.6709,2.7347,2.6424,2.6914
1998-09-02,2.7130,2.7563,2.6993,2.7130
1998-09-03,2.6993,2.7210,2.6914,2.7062
