DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2013-02-08,6.1489,6.1789,5.9420,5.9839,4.990,
2013-02-11,5.9959,5.9989,5.8490,5.9090,0.260,
2013-02-12,5.8340,5.9540,5.8340,5.8940,0.343,
2013-02-13,5.8970,6.0259,5.8970,6.0109,0.189,
2013-02-14,5.9869,5.9989,5.9270,5.9779,0.264,
2013-02-15,5.9809,5.9989,5.9570,5.9690,0.155,
2013-02-19,5.9989,6.0499,5.9540,6.0349,0.310,
2013-02-20,6.0289,6.0649,5.9989,6.0499,0.105,
2013-02-21,6.0229,6.0439,5.9660,6.0079,0.108,
2013-02-22,5.9989,6.0739,5.9989,6.0739,0.070,
2013-02-25,6.0589,6.1039,6.0289,6.0289,0.101,
2013-02-26,6.0289,6.0439,5.9570,5.9989,0.081,
2013-02-27,5.9809,6.0049,5.9690,6.0019,0.050,
2013-02-28,6.0079,6.0319,6.0019,6.0199,0.077,
2013-03-01,6.0049,6.0289,5.9989,6.0139,0.043,
2013-03-04,6.0019,6.0019,5.9839,5.9839,0.035,
2013-03-05,6.0139,6.0649,5.9749,6.0499,0.176,
2013-03-06,6.0439,6.0439,6.0049,6.0109,0.086,
2013-03-07,5.9989,6.0439,5.9899,6.0049,0.038,
2013-03-08,6.0259,6.0709,6.0079,6.0559,0.068,
2013-03-11,6.0559,6.1009,6.0559,6.0919,0.057,
2013-03-12,6.0469,6.1789,6.0469,6.1729,0.047,
2013-03-13,6.2089,6.2089,6.1249,6.1339,0.112,
2013-03-14,6.1309,6.1489,6.1129,6.1489,0.039,
2013-03-15,6.1219,6.1939,6.0769,6.1909,0.063,
2013-03-18,6.0859,6.1969,6.0769,6.1969,0.048,
2013-03-19,6.1879,6.1969,6.1369,6.1879,0.071,
2013-03-20,6.1879,6.2209,6.1579,6.2209,0.109,
2013-03-21,6.2059,6.2689,6.1669,6.2299,0.128,
2013-03-22,6.2149,6.2299,6.1849,6.2239,0.174,
2013-03-25,6.2149,6.2509,6.1639,6.1939,0.122,
2013-03-26,6.1789,6.2239,6.1519,6.2239,0.108,
2013-03-27,6.1789,6.2179,6.1369,6.1969,0.087,
2013-03-28,6.2029,6.2449,6.1099,6.1879,0.493,
2013-04-01,6.1669,6.1849,6.0859,6.1609,0.056,
2013-04-02,6.1699,6.2029,6.1249,6.1969,0.043,
2013-04-03,6.1969,6.2479,6.1519,6.1759,0.100,
2013-04-04,6.1909,6.2059,6.1579,6.1999,0.074,
2013-04-05,6.1429,6.2119,6.1369,6.2089,0.025,
2013-04-08,6.2209,6.2959,6.1459,6.2869,0.110,
2013-04-09,6.2959,6.2989,6.1969,6.2839,0.069,
2013-04-10,6.2389,6.2839,6.1429,6.1519,0.075,
2013-04-11,6.1489,6.2239,6.1489,6.1849,0.041,
2013-04-12,6.1549,6.2659,6.1549,6.2479,0.038,
2013-04-15,6.2149,6.2719,6.1699,6.2149,0.112,
2013-04-16,6.2659,6.2929,6.2059,6.2839,0.095,
2013-04-17,6.2479,6.2479,5.9929,6.1819,0.080,
2013-04-18,6.1909,6.2239,6.0409,6.1909,0.025,
2013-04-19,6.1879,6.2929,6.1489,6.2839,0.019,
2013-04-22,6.2839,6.2839,6.2089,6.2629,0.013,6.124
2013-04-23,6.2809,6.2809,6.1549,6.2059,0.029,6.128
2013-04-24,6.2239,6.2359,6.1309,6.1489,0.043,6.133
2013-04-25,6.1489,6.1909,6.0469,6.1069,0.030,6.137
2013-04-26,6.1129,6.2029,6.0319,6.1639,0.078,6.141
2013-04-29,6.1729,6.1729,6.0949,6.1429,0.029,6.144
2013-04-30,6.1519,6.2149,6.0949,6.1969,0.024,6.148
2013-05-01,6.1789,6.1819,6.0889,6.1489,0.042,6.151
2013-05-02,6.1609,6.1699,6.1039,6.1669,0.039,6.153
2013-05-03,6.1939,6.1939,6.0799,6.1099,0.021,6.155
2013-05-06,6.0949,6.1519,6.0619,6.1519,0.012,6.157
2013-05-07,6.1309,6.1519,6.0319,6.1489,0.068,6.159
2013-05-08,6.1399,6.1669,6.0949,6.1549,0.044,6.162
2013-05-09,6.1249,6.1249,6.0439,6.0799,0.027,6.164
2013-05-10,6.0979,6.1069,6.0739,6.1009,0.014,6.165
2013-05-13,6.1039,6.1189,6.0229,6.0739,0.021,6.166
2013-05-14,6.0619,6.0619,6.0199,6.0499,0.044,6.168
2013-05-15,6.0169,6.0589,5.8700,5.9959,0.051,6.167
2013-05-16,5.9630,5.9749,5.9510,5.9749,0.021,6.166
2013-05-17,5.9839,6.0049,5.8940,5.9719,0.068,6.165
2013-05-20,5.9450,6.0469,5.9000,5.9779,0.046,6.164
2013-05-21,5.9630,5.9869,5.9030,5.9150,0.016,6.160
2013-05-22,5.9414,5.9960,5.9414,5.9899,0.009,6.157
2013-05-23,5.9627,5.9869,5.9081,5.9384,0.041,6.153
2013-05-24,5.9232,5.9566,5.9050,5.9384,0.014,6.148
2013-05-28,5.9808,5.9808,5.7564,5.7776,0.090,6.140
2013-05-29,5.7625,5.7807,5.4895,5.5532,0.359,6.127
2013-05-30,5.5684,5.5957,5.4440,5.4592,0.214,6.113
2013-05-31,5.4592,5.5138,5.4137,5.4228,0.103,6.097
2013-06-03,5.4198,5.4562,5.2560,5.3712,0.100,6.080
2013-06-04,5.3591,5.4167,5.2499,5.2833,0.172,6.061
2013-06-05,5.3288,5.3288,5.2317,5.2408,0.045,6.042
2013-06-06,5.2287,5.3015,5.1741,5.2924,0.134,6.023
2013-06-07,5.3106,5.4167,5.2772,5.4046,0.029,6.007
2013-06-10,5.3955,5.6321,5.3712,5.6290,0.025,5.996
2013-06-11,5.5896,5.6169,5.5017,5.5229,0.039,5.983
2013-06-12,5.5441,5.5441,5.2135,5.3682,0.037,5.967
2013-06-13,5.3075,5.4622,5.3045,5.4592,0.023,5.952
2013-06-14,5.4895,5.5259,5.3712,5.4349,0.025,5.937
2013-06-17,5.4471,5.6563,5.4016,5.5320,0.044,5.924
2013-06-18,5.5380,5.5744,5.3985,5.5502,0.032,5.909
2013-06-19,5.5623,5.6685,5.5198,5.6169,0.026,5.896
2013-06-20,5.5714,5.5744,5.2560,5.4107,0.052,5.881
2013-06-21,5.4258,5.6503,5.0043,5.5198,0.317,5.867
2013-06-24,5.4653,5.4865,5.3106,5.3652,0.074,5.850
2013-06-25,5.3985,5.5077,5.3530,5.4713,0.064,5.835
2013-06-26,5.5108,5.5714,5.3803,5.3894,0.030,5.817
2013-06-27,5.4319,5.4501,5.3925,5.4380,0.027,5.802
2013-06-28,5.4228,5.5289,5.3864,5.5108,0.176,5.788
2013-07-01,5.5775,5.6260,5.5441,5.5926,0.052,5.775
2013-07-02,5.6108,5.6412,5.5350,5.5987,0.029,5.761
2013-07-03,5.5957,5.6078,5.5593,5.5623,0.014,5.749
2013-07-05,5.6507,5.6507,5.1559,5.3955,0.075,5.733
2013-07-08,5.3519,5.3675,5.2866,5.3022,0.027,5.717
2013-07-09,5.3022,5.3333,5.1995,5.3177,0.074,5.700
2013-07-10,5.3333,5.3333,5.2586,5.3084,0.013,5.684
2013-07-11,5.3519,5.4017,5.2026,5.3519,0.138,5.667
2013-07-12,5.3333,5.3737,5.3053,5.3551,0.019,5.651
2013-07-15,5.3364,5.4017,5.2959,5.3862,0.017,5.635
2013-07-16,5.3799,5.4422,5.3022,5.4328,0.039,5.622
2013-07-17,5.4453,5.4577,5.3613,5.3955,0.017,5.607
2013-07-18,5.4266,5.5511,5.4235,5.4671,0.018,5.593
2013-07-19,5.4391,5.4764,5.3924,5.4577,0.018,5.579
2013-07-22,5.4391,5.5044,5.4142,5.4577,0.016,5.567
2013-07-23,5.4857,5.4857,5.4204,5.4515,0.015,5.554
2013-07-24,5.4515,5.4515,5.3768,5.4142,0.020,5.540
2013-07-25,5.3768,5.5013,5.2617,5.4826,0.050,5.529
2013-07-26,5.4484,5.4640,5.3146,5.4515,0.014,5.518
2013-07-29,5.4795,5.4920,5.4235,5.4422,0.018,5.508
2013-07-30,5.4608,5.4888,5.3893,5.4266,0.012,5.497
2013-07-31,5.4422,5.4671,5.3395,5.3395,0.019,5.484
2013-08-01,5.3675,5.3675,5.1995,5.2461,0.037,5.471
2013-08-02,5.2430,5.3208,5.2150,5.2555,0.017,5.456
2013-08-05,5.2710,5.2710,5.2057,5.2057,0.019,5.441
2013-08-06,5.2026,5.2461,5.1715,5.2306,0.021,5.427
2013-08-07,5.2586,5.2586,5.1404,5.1715,0.026,5.415
2013-08-08,5.1715,5.1901,4.9910,5.1466,0.122,5.407
2013-08-09,5.1466,5.1870,5.0377,5.0999,0.028,5.400
2013-08-12,5.0968,5.1435,5.0128,5.1248,0.017,5.394
2013-08-13,5.1901,5.1932,5.1341,5.1808,0.054,5.390
2013-08-14,5.1808,5.1808,5.0719,5.0812,0.039,5.386
2013-08-15,5.0346,5.0843,4.9879,5.0314,0.066,5.382
2013-08-16,5.0314,5.1248,5.0034,5.0377,0.035,5.376
2013-08-19,5.0532,5.1123,4.8261,4.9474,0.071,5.367
2013-08-20,4.9723,5.0812,4.9723,5.0563,0.028,5.356
2013-08-21,5.0657,5.0657,4.9785,4.9785,0.006,5.345
2013-08-22,4.9505,4.9785,4.9257,4.9412,0.030,5.336
2013-08-23,4.9350,4.9630,4.8665,4.9568,0.015,5.326
2013-08-26,4.9257,5.0128,4.9163,4.9350,0.012,5.316
2013-08-27,4.9163,4.9568,4.8634,4.8728,0.042,5.303
