DATE,OPEN,HIGH,LOW,CLOSE
1996-01-11,3.3329,3.4425,3.3329,3.4425
1996-01-12,3.4425,3.4425,3.4070,3.4425
1996-01-15,3.4070,3.4070,3.4070,3.4070
1996-01-16,3.4425,3.4811,3.4425,3.4811
1996-01-17,3.4425,3.4425,3.4425,3.4425
1996-01-18,3.4425,3.4425,3.4425,3.4425
1996-01-19,3.4425,3.4811,3.4425,3.4811
1996-01-22,3.4811,3.4811,3.4425,3.4425
1996-01-23,3.4070,3.4070,3.4070,3.4070
1996-01-24,3.4070,3.4070,3.3714,3.3714
1996-01-25,3.3329,3.3329,3.2944,3.2944
1996-01-26,3.2233,3.2233,3.1463,3.1848
1996-01-29,3.1848,3.1848,3.1848,3.1848
1996-01-30,3.1848,3.2233,3.0752,3.1107
1996-01-31,3.1107,3.1463,3.1107,3.1463
1996-02-01,3.1463,3.2233,3.1463,3.2233
1996-02-02,3.2233,3.2589,3.2233,3.2589
1996-02-05,3.1848,3.1848,3.1463,3.1848
1996-02-06,3.1848,3.2233,3.1848,3.1848
1996-02-07,3.1848,3.2233,3.1848,3.2233
1996-02-08,3.1848,3.1848,3.1848,3.1848
1996-02-09,3.1848,3.2233,3.1463,3.1463
1996-02-12,3.1463,3.1848,3.1463,3.1463
1996-02-13,3.1848,3.1848,3.1848,3.1848
1996-02-14,3.1463,3.1463,3.1463,3.1463
1996-02-15,3.1848,3.1848,3.1463,3.1463
1996-02-16,3.1463,3.1463,3.1107,3.1107
1996-02-20,3.0367,3.0367,3.0367,3.0367
1996-02-21,3.0367,3.0752,3.0367,3.0752
1996-02-22,3.0367,3.0367,3.0367,3.0367
1996-02-23,3.0367,3.0367,2.9982,2.9982
1996-02-26,2.9982,2.9982,2.9982,2.9982
1996-02-27,2.9982,2.9982,2.9626,2.9626
1996-02-28,2.9982,2.9982,2.9982,2.9982
1996-02-29,2.9626,2.9626,2.9626,2.9626
1996-03-01,2.9626,2.9626,2.9626,2.9626
1996-03-04,2.9626,2.9626,2.9626,2.9626
1996-03-05,2.9626,2.9982,2.9626,2.9982
1996-03-06,2.9982,3.0367,2.9982,3.0367
1996-03-07,2.9982,2.9982,2.9271,2.9271
1996-03-08,2.8500,2.8885,2.7404,2.7404
1996-03-11,2.7789,2.8145,2.7789,2.7789
1996-03-12,2.8145,2.8145,2.7789,2.7789
1996-03-13,2.8145,2.8145,2.8145,2.8145
1996-03-14,2.8145,2.8145,2.7789,2.8145
1996-03-15,2.8145,2.8145,2.7404,2.7789
1996-03-18,2.7789,2.8145,2.7404,2.7404
1996-03-19,2.7404,2.7404,2.7019,2.7019
1996-03-20,2.7019,2.7789,2.7019,2.7789
1996-03-21,2.7789,2.8885,2.7789,2.8885
1996-03-22,2.8500,2.9271,2.8500,2.8885
1996-03-25,2.9271,2.9271,2.8885,2.8885
1996-03-26,2.8885,2.8885,2.8145,2.8145
1996-03-27,2.8145,2.8145,2.8145,2.8145
1996-03-28,2.7789,2.7789,2.7404,2.7404
1996-03-29,2.7404,2.7404,2.7404,2.7404
1996-04-01,2.7404,2.7404,2.7404,2.7404
1996-04-02,2.7789,2.8885,2.7789,2.8885
1996-04-03,2.8885,2.8885,2.8145,2.8500
1996-04-04,2.8500,2.8500,2.7789,2.8500
1996-04-08,2.7404,2.8145,2.7404,2.8145
1996-04-09,2.8145,2.8500,2.8145,2.8500
1996-04-10,2.8145,2.8500,2.8145,2.8500
1996-04-11,2.8500,2.8500,2.8145,2.8145
1996-04-12,2.8500,2.9271,2.8500,2.9271
1996-04-15,2.8885,2.8885,2.8500,2.8500
1996-04-16,2.8500,2.8500,2.8500,2.8500
1996-04-17,2.8500,2.8500,2.7789,2.7789
1996-04-18,2.8145,2.8145,2.7789,2.7789
1996-04-19,2.8145,2.8145,2.7789,2.7789
1996-04-22,2.7789,2.7789,2.7404,2.7404
1996-04-23,2.7404,2.7789,2.7019,2.7404
1996-04-24,2.7789,2.7789,2.7019,2.7404
1996-04-25,2.7404,2.8145,2.7404,2.8145
1996-04-26,2.8500,2.8885,2.8500,2.8885
1996-04-29,2.9271,2.9626,2.9271,2.9626
1996-04-30,2.9626,2.9626,2.9626,2.9626
1996-05-01,2.9982,2.9982,2.9271,2.9271
1996-05-02,2.9271,2.9271,2.8885,2.8885
1996-05-03,2.8500,2.8885,2.8500,2.8885
1996-05-06,2.8885,2.8885,2.8145,2.8145
1996-05-07,2.8885,2.8885,2.8885,2.8885
1996-05-08,2.8145,2.8885,2.8145,2.8885
1996-05-09,2.8885,2.9271,2.8885,2.9271
1996-05-10,2.9982,2.9982,2.9626,2.9626
1996-05-13,2.9271,2.9271,2.9271,2.9271
1996-05-14,2.9626,2.9626,2.9626,2.9626
1996-05-15,2.9271,2.9626,2.9271,2.9626
1996-05-16,2.9626,2.9626,2.9271,2.9626
1996-05-17,2.9626,2.9626,2.9271,2.9271
1996-05-20,2.9271,2.9271,2.9271,2.9271
1996-05-21,2.9271,2.9271,2.9271,2.9271
1996-05-22,2.9626,2.9626,2.9626,2.9626
1996-05-23,2.9982,2.9982,2.9626,2.9982
1996-05-24,2.9626,2.9626,2.9626,2.9626
1996-05-28,2.9982,2.9982,2.9626,2.9626
1996-05-29,2.9982,2.9982,2.9626,2.9626
1996-05-30,2.9626,2.9626,2.9626,2.9626
1996-05-31,2.9271,2.9271,2.9271,2.9271
1996-06-03,2.9626,2.9626,2.9271,2.9271
1996-06-04,2.9271,2.9626,2.9271,2.9271
1996-06-05,2.9271,2.9626,2.9271,2.9626
1996-06-06,2.9626,2.9626,2.9271,2.9271
1996-06-07,2.9271,2.9271,2.9271,2.9271
1996-06-10,2.9271,2.9271,2.9271,2.9271
1996-06-11,2.9271,2.9271,2.9271,2.9271
1996-06-12,2.9626,2.9626,2.9626,2.9626
1996-06-13,2.9626,2.9626,2.9626,2.9626
1996-06-14,2.9626,2.9626,2.9626,2.9626
1996-06-17,2.9271,2.9271,2.9271,2.9271
1996-06-18,2.8885,2.8885,2.8500,2.8885
1996-06-19,2.8145,2.8145,2.8145,2.8145
1996-06-20,2.8145,2.8145,2.8145,2.8145
1996-06-21,2.8145,2.8145,2.8145,2.8145
1996-06-24,2.8500,2.8500,2.8500,2.8500
1996-06-25,2.8145,2.8500,2.8145,2.8500
1996-06-26,2.8500,2.8500,2.8500,2.8500
1996-06-27,2.8145,2.8145,2.7404,2.7404
1996-06-28,2.7404,2.7404,2.7404,2.7404
1996-07-01,2.7404,2.7404,2.7404,2.7404
1996-07-02,2.7789,2.7789,2.7789,2.7789
1996-07-03,2.7404,2.7404,2.7404,2.7404
1996-07-05,2.7404,2.7404,2.7404,2.7404
1996-07-08,2.7404,2.7404,2.7404,2.7404
1996-07-09,2.7404,2.7404,2.7404,2.7404
1996-07-10,2.7019,2.7019,2.7019,2.7019
1996-07-11,2.7019,2.7019,2.6663,2.6663
1996-07-12,2.6663,2.6663,2.6663,2.6663
1996-07-15,2.6308,2.6308,2.6308,2.6308
1996-07-16,2.5923,2.5923,2.5538,2.5538
1996-07-17,2.5538,2.5538,2.5182,2.5538
1996-07-18,2.5538,2.5538,2.5538,2.5538
1996-07-19,2.5923,2.6308,2.5923,2.6308
1996-07-22,2.5923,2.5923,2.5538,2.5538
1996-07-23,2.5182,2.5182,2.5182,2.5182
1996-07-24,2.5182,2.5182,2.4827,2.4827
1996-07-25,2.5182,2.5182,2.4827,2.4827
1996-07-26,2.4827,2.4827,2.4827,2.4827
1996-07-29,2.4827,2.4827,2.4056,2.4056
1996-07-30,2.3701,2.3701,2.3701,2.3701
1996-07-31,2.4056,2.4056,2.4056,2.4056
1996-08-01,2.4056,2.4827,2.4056,2.4827
1996-08-02,2.4827,2.5182,2.4441,2.4441
1996-08-05,2.4056,2.4441,2.4056,2.4441
1996-08-06,2.4056,2.4056,2.4056,2.4056
1996-08-07,2.4056,2.4827,2.4056,2.4441
1996-08-08,2.4827,2.4827,2.4827,2.4827
1996-08-09,2.4441,2.4441,2.4441,2.4441
1996-08-12,2.4441,2.4441,2.4441,2.4441
1996-08-13,2.4441,2.4441,2.3701,2.3701
1996-08-14,2.3701,2.3701,2.3701,2.3701
1996-08-15,2.3345,2.3345,2.3345,2.3345
1996-08-16,2.2960,2.2960,2.2960,2.2960
1996-08-19,2.2575,2.2575,2.2220,2.2220
1996-08-20,2.2575,2.2575,2.2220,2.2575
1996-08-21,2.2220,2.2575,2.2220,2.2220
1996-08-22,2.2220,2.2220,2.2220,2.2220
1996-08-23,2.2220,2.2575,2.1864,2.1864
1996-08-26,2.1479,2.1479,1.9998,2.0383
1996-08-27,1.9998,2.0383,1.9612,2.0383
1996-08-28,2.0383,2.0738,1.9998,2.0738
1996-08-29,2.1094,2.2575,2.1094,2.2575
1996-08-30,2.2575,2.2575,2.1094,2.1479
1996-09-03,2.1094,2.1094,2.0738,2.1094
1996-09-04,2.1094,2.1094,2.0738,2.1094
1996-09-05,2.1094,2.1094,2.0738,2.1094
1996-09-06,2.0738,2.0738,2.0383,2.0383
1996-09-09,2.0738,2.0738,2.0383,2.0383
1996-09-10,1.9998,1.9998,1.9998,1.9998
1996-09-11,1.9612,1.9998,1.9612,1.9612
