DATE,OPEN,HIGH,LOW,CLOSE
1994-10-27,1.1918,1.2224,1.1918,1.2148
1994-10-28,1.2071,1.2224,1.1918,1.2224
1994-10-31,1.2148,1.2224,1.2071,1.2148
1994-11-01,1.2071,1.2224,1.2071,1.2071
1994-11-02,1.2071,1.2224,1.1918,1.1918
1994-11-03,1.2071,1.2224,1.2071,1.2148
1994-11-04,1.1918,1.2071,1.1765,1.1765
1994-11-07,1.1765,1.1918,1.1612,1.1765
1994-11-08,1.1765,1.1765,1.1460,1.1460
1994-11-09,1.1612,1.1765,1.1612,1.1689
1994-11-10,1.1612,1.1765,1.1460,1.1612
1994-11-11,1.1612,1.1765,1.1460,1.1612
1994-11-14,1.1460,1.1612,1.1460,1.1460
1994-11-15,1.1612,1.1918,1.1460,1.1918
1994-11-16,1.1918,1.1918,1.1612,1.1689
1994-11-17,1.1612,1.1918,1.1460,1.1460
1994-11-18,1.1460,1.1765,1.1460,1.1765
1994-11-21,1.1918,1.1918,1.1612,1.1765
1994-11-22,1.1765,1.1918,1.1612,1.1765
1994-11-23,1.1765,1.2071,1.1765,1.1918
1994-11-25,1.2071,1.2224,1.1918,1.2224
1994-11-28,1.1995,1.2071,1.1918,1.2071
1994-11-29,1.1918,1.2071,1.1918,1.1918
1994-11-30,1.1918,1.2224,1.1918,1.2071
1994-12-01,1.2071,1.2224,1.2071,1.2071
1994-12-02,1.2071,1.2224,1.1918,1.2224
1994-12-05,1.2071,1.2224,1.2071,1.2224
1994-12-06,1.2224,1.2224,1.2071,1.2224
1994-12-07,1.2224,1.2224,1.2071,1.2148
1994-12-08,1.2071,1.2224,1.1918,1.1918
1994-12-09,1.1918,1.2071,1.1918,1.1918
1994-12-12,1.2071,1.2071,1.1918,1.2071
1994-12-13,1.2071,1.2224,1.2071,1.2071
1994-12-14,1.2382,1.2529,1.2224,1.2382
1994-12-15,1.2224,1.2529,1.2224,1.2382
1994-12-16,1.2529,1.2688,1.2382,1.2529
1994-12-19,1.2224,1.2529,1.2224,1.2382
1994-12-20,1.2382,1.2382,1.2071,1.2224
1994-12-21,1.2071,1.2224,1.2071,1.2148
1994-12-22,1.2071,1.2071,1.1765,1.1918
1994-12-23,1.1765,1.1918,1.1460,1.1612
1994-12-27,1.1612,1.1612,1.1460,1.1612
1994-12-28,1.1612,1.2529,1.1154,1.2529
1994-12-29,1.2529,1.2529,1.1918,1.1918
1994-12-30,1.2071,1.2071,1.1460,1.1689
1995-01-03,1.1765,1.1765,1.1460,1.1460
1995-01-04,1.1307,1.1460,1.1154,1.1307
1995-01-05,1.1307,1.1460,1.1154,1.1460
1995-01-06,1.1307,1.1460,1.1307,1.1460
1995-01-09,1.1460,1.1612,1.1460,1.1460
1995-01-10,1.1460,1.1918,1.1460,1.1918
1995-01-11,1.1765,1.1918,1.1612,1.1765
1995-01-12,1.1612,1.1765,1.1612,1.1765
1995-01-13,1.1918,1.1918,1.1612,1.1612
1995-01-16,1.1612,1.1765,1.1460,1.1612
1995-01-17,1.1460,1.1765,1.1460,1.1612
1995-01-18,1.1765,1.1918,1.1612,1.1918
1995-01-19,1.1918,1.1918,1.1612,1.1765
1995-01-20,1.1612,1.1765,1.1612,1.1765
1995-01-23,1.1612,1.1612,1.1460,1.1537
1995-01-24,1.1612,1.1612,1.1460,1.1537
1995-01-25,1.1612,1.1689,1.1612,1.1612
1995-01-26,1.1765,1.1765,1.1460,1.1612
1995-01-27,1.1612,1.1765,1.1612,1.1612
1995-01-30,1.1612,1.1765,1.1537,1.1765
1995-01-31,1.1612,1.1612,1.1612,1.1612
1995-02-01,1.1612,1.1765,1.1612,1.1765
1995-02-02,1.1918,1.1918,1.1612,1.1689
1995-02-03,1.1765,1.2071,1.1765,1.2071
1995-02-06,1.1765,1.2224,1.1765,1.2071
1995-02-07,1.2071,1.2071,1.1918,1.2071
1995-02-08,1.1765,1.2071,1.1765,1.1995
1995-02-09,1.2071,1.2071,1.1918,1.2071
1995-02-10,1.2071,1.2224,1.1918,1.2071
1995-02-13,1.2071,1.2071,1.1765,1.1842
1995-02-14,1.1765,1.1918,1.1765,1.1765
1995-02-15,1.1765,1.1918,1.1765,1.1765
1995-02-16,1.1765,1.1918,1.1765,1.1765
1995-02-17,1.1765,1.2071,1.1765,1.1842
1995-02-21,1.1918,1.1918,1.1765,1.1765
1995-02-22,1.1765,1.1918,1.1765,1.1765
1995-02-23,1.1918,1.1918,1.1765,1.1918
1995-02-24,1.1765,1.1918,1.1612,1.1918
1995-02-27,1.1765,1.2071,1.1765,1.1918
1995-02-28,1.1918,1.2071,1.1918,1.1918
1995-03-01,1.1765,1.2071,1.1765,1.1918
1995-03-02,1.1918,1.1995,1.1918,1.1995
1995-03-03,1.1918,1.2071,1.1765,1.1765
1995-03-06,1.1918,1.2071,1.1765,1.1918
1995-03-07,1.1918,1.2071,1.1765,1.1765
1995-03-08,1.1918,1.2071,1.1765,1.1918
1995-03-09,1.1918,1.1918,1.1765,1.1918
1995-03-10,1.1765,1.1918,1.1612,1.1918
1995-03-13,1.1612,1.1918,1.1612,1.1612
1995-03-14,1.1612,1.1918,1.1612,1.1918
1995-03-15,1.1765,1.1918,1.1612,1.1918
1995-03-16,1.1765,1.1918,1.1612,1.1918
1995-03-17,1.1918,1.1918,1.1765,1.1765
1995-03-20,1.1765,1.1918,1.1765,1.1918
1995-03-21,1.1765,1.1918,1.1765,1.1765
1995-03-22,1.1765,1.1918,1.1765,1.1842
1995-03-23,1.1765,1.1918,1.1612,1.1689
1995-03-24,1.1765,1.1918,1.1612,1.1689
1995-03-27,1.1765,1.1918,1.1460,1.1689
1995-03-28,1.1765,1.1918,1.1612,1.1842
1995-03-29,1.1765,1.1918,1.1765,1.1842
1995-03-30,1.1765,1.1918,1.1765,1.1918
1995-03-31,1.1765,1.1918,1.1765,1.1918
1995-04-03,1.1765,1.1918,1.1612,1.1612
1995-04-04,1.1765,1.1918,1.1612,1.1765
1995-04-05,1.1765,1.1918,1.1765,1.1918
1995-04-06,1.1918,1.2071,1.1765,1.1918
1995-04-07,1.1918,1.2071,1.1765,1.2071
1995-04-10,1.1918,1.2071,1.1918,1.1918
1995-04-11,1.1918,1.2071,1.1765,1.1765
1995-04-12,1.1918,1.1918,1.1765,1.1765
1995-04-13,1.1612,1.1918,1.1612,1.1689
1995-04-17,1.1612,1.1765,1.1460,1.1765
1995-04-18,1.1765,1.1765,1.1612,1.1765
1995-04-19,1.1765,1.1918,1.1765,1.1918
1995-04-20,1.1765,1.1918,1.1612,1.1612
1995-04-21,1.1765,1.1918,1.1612,1.1918
1995-04-24,1.1765,1.1918,1.1765,1.1918
1995-04-25,1.1765,1.2071,1.1765,1.1918
1995-04-26,1.1918,1.2071,1.1918,1.2071
1995-04-27,1.1918,1.2071,1.1918,1.2071
1995-04-28,1.1918,1.2071,1.1918,1.1918
1995-05-01,1.2071,1.2071,1.1918,1.1995
1995-05-02,1.1918,1.2071,1.1918,1.1918
1995-05-03,1.1918,1.2071,1.1918,1.1918
1995-05-04,1.1918,1.2071,1.1918,1.2071
1995-05-05,1.2071,1.2529,1.1918,1.2456
1995-05-08,1.2382,1.2688,1.2224,1.2688
1995-05-09,1.2382,1.2688,1.2382,1.2688
1995-05-10,1.2688,1.2835,1.2382,1.2529
1995-05-11,1.2529,1.2688,1.2382,1.2529
1995-05-12,1.2529,1.2688,1.2224,1.2224
1995-05-15,1.2382,1.2382,1.2224,1.2224
1995-05-16,1.2224,1.2382,1.2224,1.2382
1995-05-17,1.2382,1.2382,1.2224,1.2382
1995-05-18,1.2224,1.2382,1.2071,1.2071
1995-05-19,1.2148,1.2224,1.2071,1.2071
1995-05-22,1.2071,1.2382,1.2071,1.2224
1995-05-23,1.2224,1.2382,1.2224,1.2224
1995-05-24,1.2224,1.2529,1.2224,1.2529
1995-05-25,1.2529,1.2688,1.2382,1.2688
1995-05-26,1.2688,1.2688,1.2529,1.2688
1995-05-30,1.2688,1.2835,1.2529,1.2688
1995-05-31,1.2529,1.3140,1.2529,1.2529
1995-06-01,1.2529,1.2688,1.2529,1.2529
1995-06-02,1.2529,1.2688,1.2529,1.2529
1995-06-05,1.2688,1.2835,1.2529,1.2688
1995-06-06,1.2688,1.2994,1.2529,1.2835
1995-06-07,1.2994,1.2994,1.2529,1.2529
1995-06-08,1.2688,1.2688,1.2382,1.2456
1995-06-09,1.2529,1.2529,1.2382,1.2382
1995-06-12,1.2224,1.2529,1.2224,1.2382
1995-06-13,1.2529,1.2835,1.2382,1.2382
1995-06-14,1.2382,1.2529,1.2224,1.2382
1995-06-15,1.2382,1.2529,1.2224,1.2529
1995-06-16,1.2382,1.3214,1.2382,1.2529
1995-06-19,1.2529,1.2688,1.2382,1.2529
1995-06-20,1.2688,1.2688,1.2382,1.2529
