DATE,OPEN,HIGH,LOW,CLOSE
1987-12-30,0.2177,0.2267,0.2177,0.2208
1987-12-31,0.2177,0.2236,0.2147,0.2208
1988-01-04,0.2267,0.2295,0.2267,0.2295
1988-01-05,0.2323,0.2441,0.2323,0.2441
1988-01-06,0.2413,0.2502,0.2413,0.2502
1988-01-07,0.2472,0.2472,0.2472,0.2472
1988-01-08,0.2502,0.2561,0.2382,0.2382
1988-01-11,0.2354,0.2382,0.2323,0.2323
1988-01-12,0.2354,0.2354,0.2267,0.2295
1988-01-13,0.2323,0.2354,0.2323,0.2354
1988-01-14,0.2354,0.2354,0.2323,0.2323
1988-01-15,0.2354,0.2382,0.2354,0.2354
1988-01-18,0.2354,0.2413,0.2354,0.2382
1988-01-19,0.2413,0.2413,0.2413,0.2413
1988-01-20,0.2354,0.2354,0.2354,0.2354
1988-01-21,0.2382,0.2382,0.2354,0.2354
1988-01-22,0.2382,0.2413,0.2382,0.2413
1988-01-25,0.2382,0.2441,0.2382,0.2441
1988-01-26,0.2472,0.2472,0.2441,0.2472
1988-01-27,0.2441,0.2472,0.2441,0.2472
1988-01-28,0.2472,0.2530,0.2472,0.2530
1988-01-29,0.2502,0.2530,0.2472,0.2502
1988-02-01,0.2530,0.2530,0.2530,0.2530
1988-02-02,0.2530,0.2530,0.2530,0.2530
1988-02-03,0.2530,0.2561,0.2530,0.2530
1988-02-04,0.2502,0.2530,0.2502,0.2530
1988-02-05,0.2561,0.2561,0.2472,0.2502
1988-02-08,0.2472,0.2530,0.2472,0.2502
1988-02-09,0.2502,0.2502,0.2472,0.2472
1988-02-10,0.2441,0.2472,0.2441,0.2472
1988-02-11,0.2441,0.2441,0.2413,0.2413
1988-02-12,0.2413,0.2413,0.2354,0.2382
1988-02-16,0.2382,0.2382,0.2295,0.2323
1988-02-17,0.2323,0.2323,0.2323,0.2323
1988-02-18,0.2323,0.2323,0.2295,0.2295
1988-02-19,0.2323,0.2382,0.2323,0.2354
1988-02-22,0.2354,0.2354,0.2323,0.2354
1988-02-23,0.2323,0.2382,0.2267,0.2382
1988-02-24,0.2413,0.2413,0.2354,0.2354
1988-02-25,0.2354,0.2382,0.2354,0.2354
1988-02-26,0.2382,0.2382,0.2354,0.2354
1988-02-29,0.2354,0.2413,0.2354,0.2413
1988-03-01,0.2472,0.2502,0.2472,0.2502
1988-03-02,0.2530,0.2561,0.2502,0.2502
1988-03-03,0.2530,0.2617,0.2530,0.2617
1988-03-04,0.2617,0.2707,0.2589,0.2676
1988-03-07,0.2648,0.2676,0.2617,0.2676
1988-03-08,0.2658,0.2686,0.2658,0.2658
1988-03-09,0.2686,0.2745,0.2686,0.2717
1988-03-10,0.2717,0.2717,0.2658,0.2658
1988-03-11,0.2627,0.2658,0.2598,0.2658
1988-03-14,0.2598,0.2686,0.2598,0.2686
1988-03-15,0.2686,0.2686,0.2658,0.2686
1988-03-16,0.2717,0.2717,0.2686,0.2717
1988-03-17,0.2717,0.2953,0.2717,0.2924
