DATE,OPEN,HIGH,LOW,CLOSE
2018-10-30,17.5652,17.5827,17.5388,17.5827
2018-10-31,17.5915,17.6531,17.5861,17.6531
2018-11-01,17.6530,17.6707,17.6399,17.6707
2018-11-02,17.8553,17.9344,17.5827,17.6619
2018-11-05,17.6619,18.0135,17.6619,18.0135
2018-11-06,18.0223,18.3740,18.0223,18.1893
2018-11-07,18.1981,18.2694,18.0663,18.0663
2018-11-08,18.1014,18.1542,18.0663,18.1054
2018-11-09,18.2421,18.7256,18.2421,18.6817
2018-11-12,18.3520,18.5938,18.2421,18.4179
2018-11-13,18.4443,18.5058,18.4311,18.4970
2018-11-14,18.5058,18.5058,18.1905,18.3256
2018-11-15,18.3212,18.3212,17.8377,17.8377
2018-11-16,17.6707,17.6707,17.5827,17.5827
2018-11-19,17.6091,17.6243,17.6091,17.6243
2018-11-20,17.6179,18.1102,17.6179,18.0135
2018-11-21,17.9784,17.9784,17.9784,17.9784
2018-11-23,17.9784,17.9784,17.9784,17.9784
2018-11-26,17.5827,17.6816,17.5652,17.5827
2018-11-27,17.5827,17.6267,17.5827,17.6267
2018-11-28,17.6316,17.8025,17.6316,17.7937
2018-11-29,17.7938,17.8817,17.7146,17.8817
2018-11-30,17.8904,17.8904,17.6707,17.7586
2018-12-03,17.7586,17.9344,17.7586,17.8884
2018-12-04,17.9344,17.9696,17.8025,17.8025
2018-12-06,17.6267,17.8025,17.6267,17.7744
2018-12-07,17.7278,17.8015,17.7146,17.7146
2018-12-10,17.8553,18.0663,17.8465,17.9784
2018-12-11,18.0152,18.0152,17.9715,17.9715
2018-12-12,18.2801,18.2801,18.0064,18.0152
2018-12-13,18.0505,18.1477,17.9270,17.9666
2018-12-14,17.9426,17.9711,17.8408,17.8408
2018-12-17,17.8739,17.8739,17.6620,17.7936
2018-12-18,17.8827,17.8827,17.5825,17.6929
2018-12-19,17.6443,17.6620,17.5473,17.6620
2018-12-20,17.6620,17.8827,17.5608,17.8827
2018-12-21,17.8827,17.8827,17.7503,17.7877
2018-12-24,17.7591,17.8386,17.7061,17.8386
2018-12-26,17.8283,17.8386,17.8187,17.8386
2018-12-27,17.7944,17.8033,17.7944,17.7944
2018-12-28,17.8033,17.8033,17.4854,17.5826
2018-12-31,17.5383,17.6973,17.5383,17.6796
2019-01-02,17.7061,17.7344,17.6620,17.6620
2019-01-03,17.6620,18.0594,17.6620,18.0152
2019-01-04,17.9278,18.0329,17.9270,17.9270
2019-01-07,17.9278,18.1918,17.9278,18.0603
2019-01-08,18.0698,18.3331,18.0417,18.3243
2019-01-09,18.3243,18.4921,18.2272,18.2360
2019-01-10,18.2978,18.2978,18.2136,18.2325
2019-01-11,18.2360,18.2360,17.9357,17.9799
2019-01-14,17.9887,17.9887,16.6376,17.6708
2019-01-15,17.6620,18.4479,17.5858,17.6708
2019-01-16,17.7150,17.9092,17.7150,17.7679
2019-01-17,17.7768,17.7856,17.6357,17.7503
2019-01-18,17.7503,17.7503,17.7066,17.7460
2019-01-22,17.7856,17.7936,17.6621,17.6621
2019-01-23,17.7494,17.7494,17.6178,17.6178
2019-01-24,17.6620,17.8209,17.6593,17.7626
2019-01-25,17.7768,17.7944,17.6620,17.7238
2019-01-28,17.7503,17.7503,17.6709,17.7350
2019-01-29,17.7503,17.7905,17.6717,17.7238
2019-01-30,17.6708,17.7357,17.6356,17.6973
2019-01-31,17.7061,17.7502,17.6266,17.6266
2019-02-01,17.6620,17.7061,17.6620,17.6973
2019-02-04,17.7150,17.8827,17.6708,17.6708
2019-02-05,17.6620,17.7060,17.6266,17.6884
2019-02-06,17.6882,17.7061,17.6708,17.6708
2019-02-07,17.7026,17.7503,17.6708,17.7503
2019-02-08,17.7503,17.8916,17.7415,17.7679
2019-02-11,17.8854,17.9976,17.7944,17.8033
