DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2019-07-29,17.6263,17.6351,17.5998,17.6351,0.306,
2019-07-30,17.6351,17.6880,17.5998,17.5998,0.141,
2019-07-31,17.6439,17.6880,17.5998,17.6439,0.254,
2019-08-01,17.6528,17.8909,17.6439,17.7322,0.069,
2019-08-02,17.7763,18.0409,17.7763,17.9527,0.059,
2019-08-05,17.9880,17.9968,17.9086,17.9527,0.017,
2019-08-06,17.9439,18.0409,17.8204,17.9968,0.039,
2019-08-07,18.0056,18.0409,17.9880,17.9880,0.015,
2019-08-08,18.0409,18.0409,17.9086,18.0233,0.018,
2019-08-09,17.9766,17.9968,17.9130,17.9659,0.007,
2019-08-12,17.9968,17.9968,17.9351,17.9880,0.009,
2019-08-13,17.9968,18.0409,17.9086,17.9968,0.024,
2019-08-14,17.9615,17.9968,17.9086,17.9439,0.009,
2019-08-15,17.9527,17.9527,17.7763,17.8578,0.036,
2019-08-16,17.7763,17.9329,17.7763,17.8468,0.041,
2019-08-19,17.8821,17.9262,17.8468,17.8821,0.012,
2019-08-20,17.8998,17.9968,17.8204,17.9527,0.017,
2019-08-21,17.9086,18.2968,17.9086,18.1732,0.032,
2019-08-22,18.0850,18.1291,17.9968,18.0497,0.009,
2019-08-23,17.9968,18.1732,17.8027,17.8027,0.049,
2019-08-26,17.8557,17.8644,17.6969,17.7233,0.021,
2019-08-27,17.7763,17.9086,17.7145,17.8204,0.019,
2019-08-28,17.8027,17.8115,17.7498,17.7861,0.009,
2019-08-29,17.8078,17.9086,17.7976,17.8424,0.016,
2019-08-30,17.8488,18.1732,17.8204,18.1292,0.026,
2019-09-03,18.1732,18.3497,18.1732,18.2615,0.022,
2019-09-04,17.8027,17.8998,17.4234,17.8205,0.234,
2019-09-05,17.7410,17.9086,17.7286,17.9085,0.077,
2019-09-06,17.8557,17.9968,17.8557,17.9439,0.035,
2019-09-09,17.8645,17.8645,17.7322,17.7763,0.032,
2019-09-10,17.7763,17.8998,17.7322,17.7939,0.046,
2019-09-11,17.7322,17.7763,17.6439,17.7674,0.027,
2019-09-12,17.7674,17.8204,17.7376,17.8204,0.022,
2019-09-13,17.7939,17.7939,17.5469,17.7322,0.021,
2019-09-16,17.7322,17.8645,17.6263,17.7322,0.020,
2019-09-17,17.7322,17.8645,17.6439,17.7674,0.037,
2019-09-18,17.7763,17.7763,17.5557,17.7674,0.041,
2019-09-19,17.7145,17.8380,17.7145,17.8292,0.026,
2019-09-20,17.8205,17.8645,17.7763,17.8380,0.006,
2019-09-23,17.8292,17.8292,17.5377,17.7145,0.077,
2019-09-24,17.7763,17.7763,17.6439,17.7145,0.012,
2019-09-25,17.7763,17.7851,17.6884,17.7410,0.023,
2019-09-26,17.8115,17.8115,17.7145,17.8027,0.016,
2019-09-27,17.8204,17.8204,17.6880,17.7851,0.011,
2019-09-30,17.8645,17.9086,17.5557,17.6880,0.079,
2019-10-01,17.6880,17.7322,17.5998,17.7057,0.045,
2019-10-02,17.6439,17.7758,17.6175,17.6704,0.026,
2019-10-03,17.6792,17.7498,17.6083,17.6351,0.026,
2019-10-04,17.7233,17.7498,17.6563,17.7233,0.024,
2019-10-07,17.6616,17.7322,17.5381,17.6175,0.028,17.837
2019-10-08,17.7145,17.7145,17.5204,17.6439,0.021,17.837
2019-10-09,17.7057,17.7141,17.5557,17.6439,0.018,17.838
2019-10-10,17.6880,17.6880,17.4940,17.4940,0.045,17.835
2019-10-11,17.5557,17.5645,17.4666,17.5116,0.042,17.830
2019-10-14,17.5116,17.5116,17.3705,17.5116,0.036,17.822
2019-10-15,17.5116,17.5116,17.4587,17.4776,0.021,17.812
2019-10-16,17.4433,17.5116,17.4109,17.5116,0.022,17.802
2019-10-17,17.4146,17.5557,17.4146,17.5381,0.077,17.793
2019-10-18,17.5822,17.6439,17.4939,17.6351,0.021,17.786
2019-10-21,17.5910,17.6086,17.3352,17.4322,0.056,17.775
2019-10-22,17.5910,17.5910,17.4252,17.4675,0.016,17.765
2019-10-23,17.5105,17.5910,17.4675,17.5910,0.022,17.757
2019-10-24,17.5842,17.6728,17.5557,17.5998,0.007,17.750
2019-10-25,17.5998,17.6439,17.4675,17.4675,0.018,17.742
2019-10-28,17.5557,17.5910,17.4587,17.5381,0.102,17.736
2019-10-29,17.5204,17.8380,17.5116,17.8204,0.113,17.734
2019-10-30,17.8204,17.9439,17.7083,17.8733,0.038,17.733
2019-10-31,17.9527,18.1202,17.8821,17.9086,0.079,17.728
2019-11-01,17.9792,17.9875,17.6880,17.8115,0.127,17.723
2019-11-04,17.9086,17.9086,17.7146,17.7851,0.025,17.722
2019-11-05,17.7673,17.9680,17.7145,17.7674,0.046,17.723
2019-11-06,17.8645,17.8645,17.6086,17.6175,0.068,17.719
2019-11-07,17.6880,17.7198,17.5998,17.6704,0.034,17.717
2019-11-08,17.6175,17.6263,17.5204,17.5204,0.075,17.710
2019-11-11,17.5381,17.7057,17.5381,17.6528,0.020,17.701
2019-11-12,17.5645,17.6704,17.5292,17.6704,0.022,17.689
2019-11-13,17.6008,17.7426,17.6008,17.7248,0.037,17.687
2019-11-14,17.7248,17.7337,17.6539,17.7160,0.039,17.683
