DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2017-08-11,14.0000,14.5000,13.5000,14.2200,2.093,
2017-08-14,14.2000,14.2000,13.9600,14.0000,0.066,
2017-08-15,13.9000,14.0500,13.7500,14.0000,0.136,
2017-08-16,14.0000,14.1000,13.9000,14.0100,0.065,
2017-08-17,14.1000,14.1000,13.7500,13.7500,0.018,
2017-08-18,14.0000,14.8800,13.9500,14.1500,0.159,
2017-08-21,14.5000,14.5000,13.8800,13.9900,0.109,
2017-08-22,13.9500,14.2900,13.8000,14.0500,0.069,
2017-08-23,14.0000,14.1300,13.8397,14.0000,0.130,
2017-08-24,14.0200,14.0650,13.9645,14.0000,0.043,
2017-08-25,13.9900,14.0000,13.9600,14.0000,0.039,
2017-08-28,13.9100,14.1500,13.8400,14.0500,0.035,
2017-08-29,13.9000,14.1500,13.8400,13.9800,0.039,
2017-08-30,13.9919,14.2500,13.9900,14.2000,0.038,
2017-08-31,14.1100,14.2500,13.8500,14.2000,0.168,
2017-09-01,14.2000,15.1700,14.0600,14.9200,0.059,
2017-09-05,14.7700,14.7700,14.1500,14.5700,0.078,
2017-09-06,14.6300,14.6500,14.3300,14.5300,0.083,
2017-09-07,14.5250,14.5500,14.0000,14.3700,0.126,
2017-09-08,14.3400,14.7000,14.0000,14.5500,0.106,
2017-09-11,14.4500,14.5500,13.8400,13.9300,0.081,
2017-09-12,14.0000,14.3000,13.9600,14.2000,0.116,
2017-09-13,14.1500,14.5400,13.9200,14.3600,0.150,
2017-09-14,14.4000,15.7000,14.2556,15.5000,0.080,
2017-09-15,15.6900,15.6900,14.4400,14.5000,0.663,
2017-09-18,14.5800,14.6150,14.0200,14.0800,0.062,
2017-09-19,14.0800,14.3400,14.0500,14.1600,0.022,
2017-09-20,14.1300,14.2800,13.8500,14.2500,0.066,
2017-09-21,14.2500,14.3500,14.2000,14.3500,0.019,
2017-09-22,14.4000,14.5500,14.2800,14.5100,0.014,
2017-09-25,14.5100,14.9100,14.5100,14.8700,0.031,
2017-09-26,14.9800,15.0700,14.5200,14.6000,0.045,
2017-09-27,14.6800,14.8050,14.4200,14.5200,0.020,
2017-09-28,14.4800,14.6900,14.2400,14.6600,0.015,
2017-09-29,14.6000,14.7600,14.5950,14.7000,0.045,
2017-10-02,14.7000,14.7000,14.5823,14.6000,0.017,
2017-10-03,14.5470,14.6700,14.4500,14.5200,0.012,
2017-10-04,14.5000,14.5500,14.4400,14.5000,0.026,
2017-10-05,14.4700,14.6700,14.4700,14.5900,0.016,
2017-10-06,14.5700,14.6000,14.4100,14.5800,0.005,
2017-10-09,14.6100,14.9850,14.2800,14.7500,0.024,
2017-10-10,14.8500,15.0500,14.8497,14.8800,0.054,
2017-10-11,14.9100,14.9100,14.6200,14.7700,0.022,
2017-10-12,14.7000,14.8550,14.7000,14.8000,0.006,
2017-10-13,14.8000,14.8800,14.4800,14.5800,0.011,
2017-10-16,14.5700,14.5900,14.4800,14.5800,0.006,
2017-10-17,14.4800,14.5750,13.7500,13.9200,0.040,
2017-10-18,13.9200,13.9600,12.9900,13.1600,0.091,
2017-10-19,13.0500,13.2100,12.9990,13.1800,0.026,
2017-10-20,13.2800,13.3800,13.1500,13.1600,0.008,14.306
2017-10-23,13.2500,13.2700,12.6100,12.7500,0.038,14.277
2017-10-24,12.8300,12.9000,12.2400,12.3500,0.020,14.244
2017-10-25,12.3500,12.4700,11.3920,11.7800,0.041,14.199
2017-10-26,11.6500,11.6500,11.1400,11.3900,0.065,14.147
2017-10-27,11.4000,11.7500,10.8000,11.0000,0.070,14.092
2017-10-30,10.8700,12.0800,10.8700,11.9200,0.052,14.047
2017-10-31,11.9100,12.1700,11.5400,11.6000,0.013,13.999
2017-11-01,11.5000,12.4200,11.5000,12.2400,0.043,13.963
2017-11-02,12.1900,12.4700,11.3700,11.3900,0.028,13.911
2017-11-03,11.5100,11.6000,11.0200,11.3800,0.140,13.859
2017-11-06,11.2300,12.2400,11.2300,11.8500,0.194,13.816
2017-11-07,11.7000,11.9899,11.3300,11.4300,0.164,13.763
2017-11-08,11.3500,11.4700,11.1350,11.2200,0.026,13.708
2017-11-09,11.2400,11.2650,10.5100,10.6100,0.028,13.636
2017-11-10,10.5000,10.7500,8.8700,8.9600,0.334,13.531
2017-11-13,9.2000,9.5000,9.0200,9.1200,0.058,13.415
2017-11-14,9.0800,9.1200,8.5600,8.8200,0.068,13.300
2017-11-15,8.7600,9.2400,8.4800,9.1700,0.074,13.193
2017-11-16,9.1800,9.3299,8.8200,9.2600,0.022,13.091
2017-11-17,9.2600,9.4600,8.9850,9.3200,0.067,12.986
2017-11-20,9.3000,9.3000,9.1500,9.1800,0.048,12.891
2017-11-21,9.2000,9.2100,9.0100,9.1100,0.061,12.790
2017-11-22,9.1700,9.2200,9.0300,9.1600,0.018,12.686
2017-11-24,9.1400,9.3100,8.9800,9.2500,0.006,12.561
2017-11-27,9.2500,9.2500,9.0500,9.1200,0.016,12.453
2017-11-28,9.0700,9.3200,8.6600,9.2300,0.138,12.356
2017-11-29,9.2800,9.3000,8.7500,9.1900,0.036,12.257
2017-11-30,9.1900,9.5600,9.1900,9.4300,0.029,12.160
2017-12-01,9.5200,9.6000,9.4000,9.4700,0.069,12.063
2017-12-04,9.5900,10.3700,9.5900,9.9000,0.030,11.970
2017-12-05,9.9500,10.0250,9.6200,9.7100,0.038,11.867
2017-12-06,9.6800,9.8100,9.5100,9.6300,0.016,11.768
2017-12-07,9.5900,9.8500,9.5700,9.6500,0.025,11.670
2017-12-08,9.7300,10.1600,9.6303,9.8500,0.024,11.574
2017-12-11,9.8500,9.9500,9.7400,9.8000,0.024,11.476
2017-12-12,9.7700,10.0000,9.7000,9.7900,0.031,11.380
2017-12-13,9.7600,10.0000,9.7600,9.7900,0.044,11.285
2017-12-14,9.7500,9.9900,9.6500,9.6900,0.054,11.189
2017-12-15,9.7600,9.8800,9.7100,9.8200,0.078,11.094
2017-12-18,9.7450,9.8500,9.5500,9.6800,0.047,10.996
2017-12-19,9.6300,9.8100,9.5300,9.5600,0.044,10.892
2017-12-20,9.4200,9.7199,9.1550,9.3000,0.073,10.780
2017-12-21,9.2500,9.4275,9.1600,9.2600,0.065,10.670
2017-12-22,9.2900,9.5000,9.2401,9.2600,0.080,10.559
2017-12-26,9.2900,9.4800,9.2500,9.2700,0.107,10.453
2017-12-27,9.3000,9.4100,9.2500,9.2900,0.029,10.347
2017-12-28,9.2500,9.6200,9.2400,9.2700,0.095,10.254
2017-12-29,9.3000,9.3200,9.0300,9.2300,0.056,10.176
2018-01-02,9.3500,9.4214,9.1100,9.1500,0.018,10.095
2018-01-03,9.2100,9.2500,8.9700,9.2000,0.017,10.016
2018-01-04,9.2000,9.5400,9.0700,9.3600,0.020,9.948
2018-01-05,9.3600,9.4100,9.1200,9.2500,0.030,9.886
2018-01-08,9.2200,9.5100,9.1200,9.3400,0.029,9.837
2018-01-09,9.3500,9.5000,9.2200,9.2900,0.044,9.795
2018-01-10,9.2700,9.3400,9.2100,9.2200,0.071,9.760
2018-01-11,9.2800,10.1700,9.2200,10.0200,0.049,9.722
2018-01-12,10.0900,10.4700,9.9010,10.2700,0.024,9.695
2018-01-16,10.3800,10.3800,9.8801,10.0800,0.025,9.652
2018-01-17,10.1000,10.2900,10.0300,10.2400,0.012,9.629
2018-01-18,10.1400,10.2300,9.7000,9.9800,0.024,9.601
2018-01-19,9.8700,10.3000,9.8200,10.2700,0.018,9.569
2018-01-22,10.2500,10.3800,10.2000,10.3400,0.053,9.548
2018-01-23,10.4000,10.7400,10.3300,10.7000,0.027,9.537
2018-01-24,10.7400,10.8600,10.3200,10.5500,0.019,9.536
2018-01-25,10.5400,10.6300,10.2700,10.6000,0.024,9.569
2018-01-26,10.5400,11.3900,10.4500,11.1500,0.033,9.609
2018-01-29,11.1000,11.1000,10.6400,10.9500,0.013,9.652
2018-01-30,10.8100,11.0600,10.6200,10.7700,0.021,9.684
2018-01-31,10.8300,10.9600,10.7300,10.8000,0.010,9.715
2018-02-01,10.7400,11.0200,10.3300,10.4400,0.019,9.737
2018-02-02,10.4200,10.7700,10.4200,10.6900,0.016,9.767
2018-02-05,10.5700,10.8100,10.4122,10.5100,0.022,9.795
2018-02-06,10.3500,10.5450,10.3100,10.3700,0.018,9.820
2018-02-07,10.4000,10.5300,10.0800,10.1000,0.032,9.837
2018-02-08,10.0600,10.1400,9.5797,9.8800,0.023,9.852
2018-02-09,9.9100,10.0000,9.5400,9.7400,0.020,9.862
2018-02-12,9.8500,9.8500,9.3100,9.5100,0.044,9.868
2018-02-13,9.4200,9.6500,9.3100,9.4000,0.017,9.868
2018-02-14,9.3300,9.8300,9.3000,9.8300,0.022,9.875
2018-02-15,9.8000,9.9300,9.4600,9.4900,0.026,9.867
2018-02-16,9.5100,9.9000,9.5100,9.5100,0.008,9.863
2018-02-20,9.7000,10.0900,9.3800,9.4200,0.022,9.859
2018-02-21,9.4100,9.6300,8.8400,8.8600,0.033,9.843
2018-02-22,9.0100,9.5000,8.9900,9.0700,0.028,9.827
2018-02-23,9.0000,9.0650,8.5600,8.7000,0.078,9.805
2018-02-26,8.8300,9.0000,8.7700,8.8500,0.029,9.786
2018-02-27,8.8500,9.0500,8.8500,8.9100,0.022,9.769
2018-02-28,8.8700,9.0000,8.8450,8.9300,0.018,9.754
2018-03-01,8.9100,9.0400,8.4250,8.6300,0.036,9.730
2018-03-02,8.6300,8.7600,8.5300,8.6400,0.013,9.709
2018-03-05,8.6800,9.2738,8.5201,9.2000,0.015,9.702
2018-03-06,9.2300,9.3200,8.9300,9.0000,0.026,9.696
2018-03-07,9.0000,9.1500,8.6600,8.8300,0.036,9.687
2018-03-08,8.7800,8.9550,8.6900,8.7100,0.013,9.676
2018-03-09,8.7000,8.7000,8.0812,8.4400,0.081,9.660
2018-03-12,8.3500,8.5500,8.2250,8.4600,0.057,9.643
2018-03-13,8.3400,8.5750,8.1400,8.4100,0.023,9.626
2018-03-14,8.4100,8.4880,8.2000,8.2000,0.019,9.605
2018-03-15,8.1900,8.5200,8.0400,8.2400,0.030,9.587
2018-03-16,8.2300,8.3500,7.9100,8.2600,0.051,9.568
2018-03-19,8.1800,8.4400,8.0200,8.1300,0.025,9.544
2018-03-20,8.1300,8.2500,7.7700,7.8000,0.047,9.515
2018-03-21,7.8800,8.2500,7.7400,7.9300,0.037,9.486
2018-03-22,7.9000,8.1100,7.8500,7.9000,0.019,9.459
2018-03-23,7.8250,7.9800,7.6150,7.7600,0.063,9.429
2018-03-26,8.1400,8.1400,7.7600,7.8600,0.011,9.386
2018-03-27,7.7500,7.8600,7.6500,7.7700,0.034,9.336
2018-03-28,7.7500,7.9300,7.6010,7.9000,0.029,9.293
2018-03-29,8.0500,8.2850,7.9700,8.1400,0.022,9.251
2018-04-02,8.0500,8.0500,7.5600,7.8200,0.021,9.207
2018-04-03,7.8200,8.0400,7.4300,7.4500,0.038,9.151
2018-04-04,7.4700,7.4700,7.2300,7.2700,0.020,9.090
2018-04-05,7.6700,7.7000,7.1550,7.3000,0.036,9.022
2018-04-06,7.2300,7.5500,6.9000,7.0500,0.072,8.952
2018-04-09,7.1300,7.1500,6.8750,6.9100,0.031,8.878
2018-04-10,6.9500,7.1700,6.8850,7.1400,0.051,8.798
2018-04-11,7.1700,7.2600,7.0400,7.2600,0.010,8.724
2018-04-12,7.3700,7.3800,7.1000,7.1700,0.016,8.652
2018-04-13,7.2700,7.3800,7.1700,7.3700,0.008,8.583
2018-04-16,7.3800,7.7106,7.3700,7.7100,0.026,8.529
2018-04-17,7.7700,8.2300,7.5000,8.1900,0.024,8.479
2018-04-18,8.1900,8.6300,8.1750,8.5400,0.065,8.439
2018-04-19,8.5000,8.6500,8.3600,8.5500,0.023,8.403
2018-04-20,8.4600,8.5500,8.3000,8.5200,0.018,8.371
2018-04-23,8.5400,8.5500,8.2101,8.2500,0.021,8.339
2018-04-24,8.2600,8.4099,8.2000,8.3200,0.018,8.310
2018-04-25,8.4000,8.4300,8.2500,8.4000,0.012,8.288
2018-04-26,8.5000,8.5500,8.3701,8.4200,0.028,8.268
2018-04-27,8.4500,8.5500,8.3600,8.3700,0.033,8.239
2018-04-30,8.4200,8.4200,8.2300,8.2500,0.023,8.214
2018-05-01,8.2700,8.5150,8.2100,8.4100,0.014,8.192
2018-05-02,8.4000,8.5500,8.4000,8.5300,0.010,8.175
2018-05-03,8.5000,8.5500,8.2500,8.3500,0.028,8.164
2018-05-04,8.4100,8.5500,8.3100,8.4900,0.022,8.153
2018-05-07,8.5600,8.6000,8.4500,8.5400,0.034,8.150
2018-05-08,8.5500,8.5500,8.2000,8.3500,0.029,8.140
2018-05-09,8.4300,8.5500,8.2500,8.3000,0.276,8.127
2018-05-10,8.2900,8.4400,8.2300,8.3100,0.011,8.115
2018-05-11,8.3700,8.4500,8.1300,8.3400,0.013,8.109
2018-05-14,8.4000,8.5500,8.3100,8.4500,0.073,8.105
2018-05-15,8.4700,8.5000,8.4000,8.4900,0.083,8.091
2018-05-16,8.9900,8.9900,8.4700,8.5000,0.146,8.081
2018-05-17,8.5500,8.8100,8.4700,8.5300,0.082,8.075
2018-05-18,8.4600,8.5900,8.1800,8.4300,0.052,8.070
2018-05-21,8.5600,8.6500,8.3200,8.6500,0.053,8.074
2018-05-22,8.7100,9.2100,8.6000,9.0700,0.021,8.086
2018-05-23,9.0300,9.1700,8.8200,9.0500,0.013,8.099
2018-05-24,9.1700,9.4100,8.5500,8.8500,0.024,8.112
2018-05-25,8.7500,8.9700,8.6400,8.8500,0.035,8.124
2018-05-29,8.7800,9.2000,8.7800,9.1800,0.013,8.142
2018-05-30,9.1500,9.7000,9.1500,9.7000,0.019,8.174
2018-05-31,9.7400,9.8000,9.6100,9.8000,0.009,8.214
2018-06-01,9.8000,10.0200,9.5300,9.5600,0.015,8.246
2018-06-04,9.5300,9.5800,8.9500,9.1000,0.018,8.270
2018-06-05,8.6800,8.9400,8.5100,8.5900,0.022,8.287
2018-06-06,8.5700,8.7400,8.5550,8.5600,0.027,8.301
2018-06-07,8.6000,8.8000,8.5900,8.7500,0.012,8.321
2018-06-08,8.7500,9.2400,8.7500,9.0300,0.014,8.343
2018-06-11,9.0300,9.0400,8.8500,8.9400,0.015,8.359
2018-06-12,8.9400,9.0600,8.6100,8.7000,0.011,8.377
2018-06-13,8.7500,8.7500,8.5600,8.6200,0.011,8.400
2018-06-14,8.6200,8.6936,8.3900,8.6000,0.013,8.427
2018-06-15,8.5400,8.5900,8.4000,8.5300,0.020,8.451
2018-06-18,8.6500,8.7900,8.6000,8.7500,0.014,8.485
2018-06-19,8.8600,9.1000,8.7100,8.7200,0.014,8.522
2018-06-20,8.8000,8.8800,8.6800,8.7800,0.017,8.554
2018-06-21,8.8000,10.2400,8.8000,9.4300,0.051,8.598
2018-06-22,9.6400,9.8800,9.1800,9.5600,0.501,8.646
2018-06-25,9.6200,9.6500,9.3350,9.3500,0.030,8.685
2018-06-26,9.3800,9.3800,9.0200,9.2000,0.031,8.715
2018-06-27,9.2000,9.3400,9.2000,9.2900,0.007,8.737
2018-06-28,9.3750,9.5400,9.2350,9.2700,0.008,8.752
2018-06-29,9.3900,9.3900,9.0900,9.1700,0.006,8.764
2018-07-02,9.1800,9.8300,9.1800,9.6800,0.012,8.787
2018-07-03,9.7400,10.1400,9.7400,10.0500,0.006,8.823
2018-07-05,10.0500,10.3500,9.8700,10.3500,0.042,8.864
2018-07-06,10.2100,10.3200,10.1700,10.3200,0.002,8.902
2018-07-09,10.4200,10.4908,10.2600,10.3500,0.008,8.941
2018-07-10,10.3600,10.7800,10.3600,10.6000,0.016,8.985
2018-07-11,10.5600,10.5600,10.2200,10.2700,0.007,9.026
2018-07-12,10.3400,10.6100,10.2500,10.6100,0.007,9.070
