DATE,OPEN,HIGH,LOW,CLOSE
1994-09-16,2.4165,2.5537,2.3775,2.5334
1994-09-19,2.5334,2.5334,2.4352,2.4352
1994-09-20,2.4352,2.4555,2.4165,2.4555
1994-09-21,2.4352,2.4352,2.3386,2.3573
1994-09-22,2.3573,2.3978,2.3573,2.3775
1994-09-23,2.3573,2.3775,2.3386,2.3573
1994-09-26,2.3573,2.3573,2.2403,2.2403
1994-09-27,2.2606,2.3573,2.2606,2.3573
1994-09-28,2.3775,2.3775,2.3386,2.3573
1994-09-29,2.3775,2.4165,2.3573,2.3978
1994-09-30,2.4352,2.4757,2.3775,2.4555
1994-10-03,2.4757,2.4757,2.3978,2.3978
1994-10-04,2.4165,2.4165,2.3573,2.3573
1994-10-05,2.3386,2.3573,2.3198,2.3386
1994-10-06,2.3198,2.3198,2.2996,2.2996
1994-10-07,2.3198,2.3198,2.3198,2.3198
1994-10-10,2.2996,2.2996,2.2606,2.2793
1994-10-11,2.2996,2.2996,2.2606,2.2606
1994-10-12,2.2403,2.2606,2.2403,2.2403
1994-10-13,2.2606,2.3198,2.2606,2.3198
1994-10-14,2.2996,2.2996,2.2606,2.2793
1994-10-17,2.2996,2.3386,2.2996,2.3198
1994-10-18,2.3198,2.3386,2.3198,2.3386
1994-10-19,2.2996,2.3198,2.2793,2.2793
1994-10-20,2.2793,2.2793,2.2606,2.2606
1994-10-21,2.2606,2.2793,2.2606,2.2606
1994-10-24,2.2606,2.2606,2.1624,2.1624
1994-10-25,2.1624,2.1624,2.1250,2.1437
1994-10-26,2.1250,2.1624,2.1250,2.1624
1994-10-27,2.1624,2.1827,2.1437,2.1827
1994-10-28,2.1437,2.1827,2.1437,2.1827
1994-10-31,2.1827,2.2996,2.1827,2.2793
1994-11-01,2.2996,2.4165,2.2793,2.4165
1994-11-02,2.3978,2.4352,2.3978,2.4165
1994-11-03,2.4352,2.4352,2.4165,2.4165
1994-11-04,2.4555,2.4555,2.4165,2.4352
1994-11-07,2.4165,2.4352,2.3978,2.3978
1994-11-08,2.4165,2.4165,2.3978,2.3978
1994-11-09,2.3978,2.3978,2.3386,2.3573
1994-11-10,2.3775,2.4352,2.2793,2.2793
1994-11-11,2.2996,2.2996,2.2793,2.2996
1994-11-14,2.2996,2.3198,2.2793,2.3198
1994-11-15,2.2996,2.3386,2.2996,2.3198
1994-11-16,2.2793,2.2793,2.1827,2.2029
1994-11-17,2.1827,2.2216,2.1624,2.1624
1994-11-18,2.1827,2.1827,2.1437,2.1437
1994-11-21,2.1437,2.1437,2.1437,2.1437
1994-11-22,2.1250,2.1250,2.0267,2.0470
1994-11-23,2.0065,2.0065,1.9878,2.0065
1994-11-25,1.9691,1.9878,1.9488,1.9878
1994-11-28,2.0267,2.0267,2.0065,2.0065
1994-11-29,2.0065,2.0065,1.9878,1.9878
1994-11-30,2.0065,2.0267,1.9878,2.0267
1994-12-01,2.0065,2.0065,2.0065,2.0065
1994-12-02,2.0267,2.0267,2.0065,2.0065
1994-12-05,2.0267,2.0267,2.0065,2.0065
1994-12-06,2.0267,2.0470,1.9691,1.9691
1994-12-07,1.9691,1.9691,1.9301,1.9301
1994-12-08,1.9301,1.9301,1.9098,1.9098
1994-12-09,1.8896,1.8896,1.7539,1.7539
1994-12-12,1.7539,1.7929,1.6760,1.7149
1994-12-13,1.7009,1.7384,1.7009,1.7196
1994-12-14,1.7196,1.7587,1.7196,1.7196
1994-12-15,1.6805,1.7587,1.6415,1.7384
1994-12-16,1.7587,1.8369,1.7587,1.8165
1994-12-19,1.8369,1.9541,1.8165,1.9541
1994-12-20,1.9541,1.9744,1.9150,1.9354
1994-12-21,1.9354,2.0526,1.9354,1.9932
1994-12-22,2.0120,2.0120,1.9932,2.0120
1994-12-23,2.0323,2.0526,2.0323,2.0526
1994-12-27,2.0526,2.0714,2.0526,2.0714
1994-12-28,2.0714,2.0714,2.0323,2.0323
1994-12-29,2.0323,2.0323,1.9932,1.9932
1994-12-30,1.9932,1.9932,1.9541,1.9744
1995-01-03,1.9744,1.9744,1.9744,1.9744
1995-01-04,1.9541,1.9541,1.9541,1.9541
1995-01-05,1.9541,1.9541,1.9541,1.9541
1995-01-06,1.9541,1.9541,1.9541,1.9541
1995-01-09,1.9541,1.9932,1.9541,1.9932
1995-01-10,1.9932,2.0323,1.9932,2.0120
1995-01-11,2.0323,2.1683,2.0323,2.1683
1995-01-12,2.1683,2.1886,2.1495,2.1495
1995-01-13,2.1104,2.1104,2.0901,2.1104
1995-01-16,2.1104,2.1104,2.0901,2.1104
1995-01-17,2.1104,2.1886,2.1104,2.1886
1995-01-18,2.1683,2.1683,2.1308,2.1495
1995-01-19,2.1683,2.1683,2.1308,2.1683
1995-01-20,2.1308,2.1308,2.0714,2.0714
1995-01-23,2.0714,2.0714,2.0526,2.0714
1995-01-24,2.0526,2.0714,2.0323,2.0323
1995-01-25,1.9932,1.9932,1.9744,1.9932
1995-01-26,1.9932,1.9932,1.9744,1.9744
1995-01-27,1.9541,1.9744,1.9354,1.9541
1995-01-30,1.9541,1.9541,1.8572,1.8572
1995-01-31,1.8572,1.8572,1.8369,1.8369
1995-02-01,1.8572,1.8759,1.8572,1.8759
1995-02-02,1.8759,1.8759,1.8369,1.8369
1995-02-03,1.8369,1.8369,1.8369,1.8369
1995-02-06,1.8572,1.8759,1.8165,1.8759
1995-02-07,1.8572,1.8759,1.8572,1.8572
1995-02-08,1.8572,1.8572,1.8369,1.8369
1995-02-09,1.8369,1.8572,1.8165,1.8369
1995-02-10,1.7978,1.8165,1.7978,1.8165
1995-02-13,1.7978,1.7978,1.7790,1.7790
1995-02-14,1.7790,1.8165,1.7790,1.8165
1995-02-15,1.8165,1.9541,1.8165,1.9541
1995-02-16,1.9354,1.9744,1.9354,1.9541
1995-02-17,1.9354,1.9354,1.9354,1.9354
1995-02-21,1.9541,1.9541,1.9150,1.9150
1995-02-22,1.9354,2.0120,1.9354,2.0120
1995-02-23,1.9932,1.9932,1.9932,1.9932
1995-02-24,1.9744,1.9932,1.9744,1.9932
1995-02-27,1.9932,1.9932,1.9932,1.9932
1995-02-28,1.9932,2.0901,1.9932,2.0901
1995-03-01,2.1683,2.2277,2.1308,2.1308
1995-03-02,2.1308,2.1308,2.0323,2.0714
1995-03-03,2.0901,2.1886,2.0901,2.1886
1995-03-06,2.1543,2.1543,2.1151,2.1151
1995-03-07,2.0948,2.1151,2.0948,2.1151
1995-03-08,2.0948,2.0948,1.9976,1.9976
1995-03-09,2.0164,2.0164,1.9976,1.9976
1995-03-10,1.9976,2.0368,1.9976,2.0164
1995-03-13,2.0368,2.0572,2.0164,2.0572
1995-03-14,2.0572,2.0760,2.0572,2.0760
1995-03-15,2.0760,2.0760,2.0760,2.0760
1995-03-16,2.0760,2.0760,2.0572,2.0572
1995-03-17,2.0572,2.0572,2.0368,2.0368
1995-03-20,2.0572,2.0572,2.0164,2.0164
1995-03-21,1.9976,1.9976,1.8801,1.8801
1995-03-22,1.8801,1.9585,1.8801,1.9193
1995-03-23,1.9397,1.9397,1.8989,1.9397
1995-03-24,1.9585,1.9585,1.9397,1.9397
1995-03-27,1.9585,1.9585,1.9397,1.9585
1995-03-28,1.9397,1.9585,1.9397,1.9585
1995-03-29,1.9397,1.9397,1.9397,1.9397
1995-03-30,1.9193,1.9585,1.9193,1.9585
1995-03-31,1.9585,1.9788,1.9585,1.9788
1995-04-03,1.9788,1.9976,1.9585,1.9585
1995-04-04,1.9397,1.9397,1.8613,1.8613
1995-04-05,1.8801,1.9788,1.8801,1.9585
1995-04-06,1.9788,2.0760,1.9585,2.0368
1995-04-07,1.9976,2.0164,1.9788,2.0164
1995-04-10,2.0368,2.0368,1.9976,1.9976
1995-04-11,1.9976,1.9976,1.9397,1.9585
1995-04-12,1.9397,1.9585,1.8801,1.9585
1995-04-13,1.9788,1.9976,1.9788,1.9976
1995-04-17,1.9976,2.0164,1.9788,2.0164
1995-04-18,2.0368,2.0760,2.0368,2.0368
1995-04-19,1.9976,1.9976,1.9585,1.9976
1995-04-20,1.9788,1.9788,1.9585,1.9788
1995-04-21,1.9976,2.0368,1.9976,2.0164
1995-04-24,2.0368,2.0368,2.0164,2.0164
1995-04-25,2.0164,2.0164,1.9788,1.9788
1995-04-26,1.9976,1.9976,1.9976,1.9976
1995-04-27,2.0164,2.1355,2.0164,2.0948
1995-04-28,2.0948,2.0948,2.0572,2.0948
1995-05-01,2.0948,2.0948,2.0572,2.0760
1995-05-02,2.0760,2.0760,2.0368,2.0368
1995-05-03,2.0368,2.0368,2.0368,2.0368
1995-05-04,2.0368,2.0368,2.0368,2.0368
1995-05-05,2.0572,2.0572,1.9976,2.0368
1995-05-08,2.0164,2.0164,1.9585,1.9976
1995-05-09,1.9788,2.0164,1.9788,2.0164
1995-05-10,2.0164,2.0572,2.0164,2.0368
1995-05-11,2.0572,2.0760,2.0368,2.0368
1995-05-12,2.0572,2.0760,2.0368,2.0760
