DATE,OPEN,HIGH,LOW,CLOSE
1995-10-16,2.6098,2.6381,2.6098,2.6381
1995-10-17,2.6381,2.6381,2.6381,2.6381
1995-10-18,2.6234,2.6529,2.6234,2.6381
1995-10-19,2.6529,2.6529,2.6381,2.6381
1995-10-20,2.5962,2.5962,2.5667,2.5667
1995-10-23,2.4827,2.4827,2.3828,2.3828
1995-10-24,2.3545,2.4260,2.3261,2.4260
1995-10-25,2.4112,2.4112,2.3692,2.3692
1995-10-26,2.3965,2.3965,2.3545,2.3545
1995-10-27,2.3261,2.4532,2.3261,2.4532
1995-10-30,2.4827,2.4963,2.4112,2.4532
1995-10-31,2.5667,2.6098,2.5394,2.5530
1995-11-01,2.5667,2.5667,2.5247,2.5394
1995-11-02,2.5247,2.5814,2.5247,2.5814
1995-11-03,2.5962,2.5962,2.5814,2.5962
1995-11-06,2.5667,2.6098,2.5667,2.6098
1995-11-07,2.5530,2.5814,2.5530,2.5814
1995-11-08,2.5667,2.5667,2.5667,2.5667
1995-11-09,2.5814,2.5814,2.5394,2.5394
1995-11-10,2.5247,2.5394,2.5247,2.5394
1995-11-13,2.5530,2.5962,2.5394,2.5962
1995-11-14,2.5667,2.5962,2.5667,2.5962
1995-11-15,2.5667,2.5667,2.5530,2.5530
1995-11-16,2.5962,2.5962,2.5814,2.5814
1995-11-17,2.5814,2.5962,2.5814,2.5814
1995-11-20,2.5814,2.6098,2.5814,2.5962
1995-11-21,2.5962,2.5962,2.5962,2.5962
1995-11-22,2.6098,2.6098,2.6098,2.6098
1995-11-24,2.6234,2.6234,2.6234,2.6234
1995-11-27,2.6234,2.6381,2.6234,2.6381
1995-11-28,2.6098,2.6234,2.6098,2.6234
1995-11-29,2.5962,2.5962,2.5962,2.5962
1995-11-30,2.6098,2.6098,2.5962,2.6098
1995-12-01,2.6098,2.6529,2.6098,2.6381
1995-12-04,2.6665,2.6665,2.6529,2.6665
1995-12-05,2.6949,2.6949,2.6665,2.6665
1995-12-06,2.6801,2.6949,2.6665,2.6801
1995-12-07,2.6665,2.6665,2.6665,2.6665
1995-12-08,2.6665,2.6665,2.6529,2.6665
1995-12-11,2.6529,2.6529,2.6381,2.6381
1995-12-12,2.5667,2.5814,2.5530,2.5530
1995-12-13,2.5530,2.5530,2.5530,2.5530
1995-12-14,2.5530,2.5530,2.5530,2.5530
1995-12-15,2.5962,2.5962,2.5667,2.5667
1995-12-18,2.5247,2.5247,2.4963,2.4963
1995-12-19,2.4827,2.5099,2.4827,2.5099
1995-12-20,2.5667,2.5667,2.5530,2.5530
1995-12-21,2.5530,2.5530,2.5530,2.5530
1995-12-22,2.5530,2.5814,2.5530,2.5814
1995-12-26,2.5814,2.5814,2.5814,2.5814
1995-12-27,2.5814,2.5962,2.5814,2.5962
1995-12-28,2.5814,2.6098,2.5814,2.6098
1995-12-29,2.6098,2.6098,2.6098,2.6098
1996-01-02,2.6098,2.6234,2.5962,2.6234
1996-01-03,2.6098,2.6665,2.6098,2.6529
1996-01-04,2.6529,2.6801,2.6529,2.6801
1996-01-05,2.6801,2.6801,2.6801,2.6801
1996-01-08,2.6801,2.6949,2.6801,2.6949
1996-01-09,2.6665,2.6801,2.6665,2.6801
1996-01-10,2.6529,2.6529,2.6098,2.6098
1996-01-11,2.6098,2.6098,2.5814,2.5962
1996-01-12,2.5962,2.5962,2.5962,2.5962
1996-01-15,2.6234,2.6234,2.6234,2.6234
1996-01-16,2.6381,2.6381,2.6234,2.6381
1996-01-17,2.6801,2.6801,2.6529,2.6801
1996-01-18,2.6801,2.6949,2.6801,2.6949
1996-01-19,2.6949,2.7096,2.6949,2.7096
1996-01-22,2.7223,2.7223,2.6790,2.6790
1996-01-23,2.6790,2.6790,2.6653,2.6653
1996-01-24,2.6790,2.6927,2.6790,2.6927
1996-01-25,2.6927,2.6927,2.6653,2.6653
1996-01-26,2.6357,2.6653,2.6357,2.6653
1996-01-29,2.6790,2.6790,2.6790,2.6790
1996-01-30,2.6927,2.7497,2.6927,2.7497
1996-01-31,2.7497,2.7497,2.7497,2.7497
1996-02-01,2.7497,2.7645,2.7497,2.7497
1996-02-02,2.7497,2.7645,2.7497,2.7497
1996-02-05,2.6927,2.6927,2.6653,2.6927
1996-02-06,2.7075,2.7075,2.7075,2.7075
1996-02-07,2.7223,2.7223,2.6927,2.7075
1996-02-08,2.7223,2.7360,2.7075,2.7360
1996-02-09,2.7075,2.7075,2.6927,2.6927
1996-02-12,2.6927,2.7223,2.6927,2.7223
1996-02-13,2.7075,2.7360,2.7075,2.7360
1996-02-14,2.7360,2.7360,2.6927,2.6927
1996-02-15,2.6790,2.6790,2.6790,2.6790
1996-02-16,2.6505,2.6505,2.6357,2.6505
1996-02-20,2.6083,2.6083,2.5513,2.5513
1996-02-21,2.5513,2.5513,2.5513,2.5513
1996-02-22,2.5787,2.5787,2.5650,2.5787
1996-02-23,2.5787,2.5787,2.5787,2.5787
1996-02-26,2.5787,2.5787,2.5513,2.5650
1996-02-27,2.5513,2.5787,2.5513,2.5650
1996-02-28,2.6083,2.6220,2.6083,2.6220
1996-02-29,2.6220,2.6220,2.6220,2.6220
1996-03-01,2.6505,2.6505,2.6505,2.6505
1996-03-04,2.6505,2.6790,2.6505,2.6790
1996-03-05,2.6790,2.6790,2.6790,2.6790
1996-03-06,2.6756,2.7075,2.6756,2.7075
1996-03-07,2.6927,2.6927,2.6790,2.6790
1996-03-08,2.6505,2.6505,2.5650,2.6083
1996-03-11,2.6083,2.6083,2.5935,2.5935
1996-03-12,2.6083,2.6083,2.6083,2.6083
1996-03-13,2.6220,2.6220,2.6220,2.6220
1996-03-14,2.6220,2.6220,2.6220,2.6220
1996-03-15,2.6220,2.6653,2.6220,2.6357
1996-03-18,2.6357,2.6505,2.6357,2.6505
1996-03-19,2.6790,2.6790,2.6653,2.6653
1996-03-20,2.6653,2.6653,2.6653,2.6653
1996-03-21,2.6927,2.6927,2.6505,2.6505
1996-03-22,2.6505,2.6653,2.6505,2.6653
1996-03-25,2.6790,2.6790,2.6505,2.6505
1996-03-26,2.6790,2.6790,2.6790,2.6790
1996-03-27,2.6653,2.6653,2.6220,2.6220
1996-03-28,2.6083,2.6357,2.6083,2.6220
1996-03-29,2.6357,2.6790,2.6357,2.6790
1996-04-01,2.6790,2.6790,2.6790,2.6790
1996-04-02,2.7075,2.7360,2.7075,2.7360
1996-04-03,2.7360,2.7360,2.6505,2.7223
1996-04-04,2.7360,2.7360,2.7360,2.7360
1996-04-08,2.7360,2.7360,2.7360,2.7360
1996-04-09,2.7223,2.7223,2.7075,2.7075
1996-04-10,2.7075,2.7075,2.7075,2.7075
1996-04-11,2.7075,2.7075,2.7075,2.7075
1996-04-12,2.6927,2.6927,2.6927,2.6927
1996-04-15,2.6927,2.7075,2.6927,2.7075
1996-04-16,2.7360,2.7497,2.7223,2.7223
1996-04-17,2.7223,2.7223,2.7223,2.7223
1996-04-18,2.7223,2.7223,2.7223,2.7223
1996-04-19,2.7075,2.7645,2.7075,2.7645
1996-04-22,2.7495,2.7782,2.7495,2.7782
1996-04-23,2.7495,2.7495,2.7495,2.7495
1996-04-24,2.7209,2.7209,2.7209,2.7209
1996-04-25,2.7060,2.7358,2.7060,2.7358
1996-04-26,2.7358,2.7358,2.7358,2.7358
1996-04-29,2.7633,2.7633,2.7495,2.7495
1996-04-30,2.7358,2.7358,2.7209,2.7358
1996-05-01,2.7358,2.7358,2.7209,2.7209
1996-05-02,2.7209,2.7209,2.7209,2.7209
1996-05-03,2.7209,2.7209,2.7060,2.7060
1996-05-06,2.7060,2.7060,2.7060,2.7060
1996-05-07,2.7209,2.7209,2.7209,2.7209
1996-05-08,2.7209,2.7209,2.7209,2.7209
1996-05-09,2.7060,2.7209,2.7060,2.7209
1996-05-10,2.7060,2.7495,2.7060,2.7495
1996-05-13,2.7358,2.7782,2.7358,2.7782
1996-05-14,2.7782,2.7931,2.7782,2.7931
1996-05-15,2.8068,2.8355,2.7782,2.7782
1996-05-16,2.7633,2.7633,2.7633,2.7633
1996-05-17,2.7931,2.7931,2.7495,2.7495
1996-05-20,2.7209,2.7495,2.7209,2.7495
1996-05-21,2.7633,2.7782,2.7633,2.7782
1996-05-22,2.7931,2.7931,2.7931,2.7931
1996-05-23,2.7782,2.7782,2.7495,2.7782
1996-05-24,2.7495,2.7633,2.7495,2.7633
1996-05-28,2.7782,2.7782,2.7209,2.7495
1996-05-29,2.7209,2.7209,2.7209,2.7209
1996-05-30,2.7495,2.7495,2.7209,2.7358
1996-05-31,2.7495,2.7495,2.7495,2.7495
1996-06-03,2.7209,2.7358,2.7209,2.7358
1996-06-04,2.7209,2.7209,2.7060,2.7060
1996-06-05,2.6785,2.7060,2.6785,2.7060
1996-06-06,2.7060,2.7060,2.7060,2.7060
1996-06-07,2.7060,2.7060,2.7060,2.7060
1996-06-10,2.6785,2.6923,2.6785,2.6923
1996-06-11,2.6785,2.6785,2.6785,2.6785
1996-06-12,2.6785,2.6923,2.6785,2.6785
1996-06-13,2.6923,2.6923,2.6785,2.6785
1996-06-14,2.6923,2.7060,2.6923,2.7060
1996-06-17,2.6923,2.6923,2.6923,2.6923
1996-06-18,2.7060,2.7060,2.6923,2.6923
1996-06-19,2.7060,2.7209,2.7060,2.7209
1996-06-20,2.7209,2.7209,2.7209,2.7209
1996-06-21,2.7209,2.7209,2.7209,2.7209
1996-06-24,2.7358,2.7782,2.7358,2.7495
1996-06-25,2.7633,2.7633,2.7633,2.7633
1996-06-26,2.7358,2.7495,2.7358,2.7495
1996-06-27,2.7358,2.7358,2.7358,2.7358
1996-06-28,2.7633,2.7633,2.7633,2.7633
1996-07-01,2.7633,2.7633,2.7633,2.7633
1996-07-02,2.7782,2.7931,2.7633,2.7931
1996-07-03,2.7931,2.8206,2.7782,2.8206
1996-07-05,2.7931,2.8068,2.7931,2.8068
1996-07-08,2.7782,2.7782,2.7782,2.7782
1996-07-09,2.7633,2.8068,2.7633,2.8068
1996-07-10,2.7931,2.8068,2.7931,2.8068
1996-07-11,2.8068,2.8355,2.8068,2.8068
1996-07-12,2.8068,2.8068,2.8068,2.8068
1996-07-15,2.8068,2.8206,2.8068,2.8068
1996-07-16,2.7931,2.7931,2.7931,2.7931
1996-07-17,2.8068,2.8068,2.7782,2.8068
1996-07-18,2.8355,2.8503,2.8355,2.8503
1996-07-19,2.8503,2.9076,2.8503,2.8927
1996-07-22,2.9066,2.9066,2.8778,2.8916
1996-07-23,2.8916,2.8916,2.8340,2.8340
1996-07-24,2.8064,2.8064,2.7914,2.7914
1996-07-25,2.7914,2.8064,2.7914,2.8064
1996-07-26,2.8064,2.8064,2.8064,2.8064
1996-07-29,2.7914,2.7914,2.7914,2.7914
1996-07-30,2.7914,2.7914,2.7914,2.7914
1996-07-31,2.7765,2.8202,2.7765,2.8064
1996-08-01,2.8202,2.8340,2.8064,2.8340
1996-08-02,2.8064,2.8340,2.8064,2.8340
1996-08-05,2.8064,2.8490,2.8064,2.8490
1996-08-06,2.8202,2.8202,2.8202,2.8202
1996-08-07,2.8490,2.8640,2.8490,2.8490
