DATE,OPEN,HIGH,LOW,CLOSE
2010-02-22,2.9460,3.0422,2.9460,3.0422
2010-02-23,2.8924,2.9587,2.8924,2.9587
2010-02-24,2.9464,2.9464,2.9464,2.9464
2010-02-25,2.9464,2.9464,2.9464,2.9464
2010-02-26,2.7991,2.7991,2.7991,2.7991
2010-03-01,3.0186,3.0186,3.0186,3.0186
2010-03-02,3.0176,3.0618,3.0152,3.0152
2010-03-03,3.0682,3.0790,2.9793,2.9793
2010-03-04,2.9224,2.9224,2.9224,2.9224
2010-03-05,3.0771,3.0785,2.9833,3.0221
2010-03-08,3.0348,3.1218,2.9956,3.1218
2010-03-09,3.0889,3.0889,3.0889,3.0889
2010-03-10,3.1404,3.1463,3.0795,3.0795
2010-03-11,3.0687,3.0751,3.0471,3.0471
2010-03-12,3.0530,3.0530,3.0530,3.0530
2010-03-15,3.0938,3.3467,3.0938,3.3378
2010-03-16,3.3098,3.5456,3.3098,3.4964
2010-03-17,3.5701,3.7690,3.5667,3.7616
2010-03-18,3.7714,3.9188,3.7273,3.7616
2010-03-19,3.6595,3.7464,3.6595,3.7464
2010-03-22,3.6138,3.6182,3.4925,3.5018
2010-03-23,3.6438,3.6438,3.5539,3.5539
2010-03-24,3.5824,3.6266,3.5362,3.6266
2010-03-25,3.7395,3.8800,3.7297,3.7656
2010-03-26,3.8525,4.6470,3.7091,3.8525
2010-03-29,4.0528,4.0759,3.8716,3.8716
2010-03-30,3.9831,4.0361,3.8328,3.8819
2010-03-31,3.8456,4.0322,3.8456,3.9924
2010-04-01,4.0558,4.3052,4.0548,4.3052
2010-04-05,4.3720,4.4369,4.3475,4.3853
2010-04-06,4.4030,4.4958,4.3902,4.3951
2010-04-07,4.4197,4.5670,4.3779,4.3779
2010-04-08,4.3946,4.4383,4.2576,4.4197
2010-04-09,4.4074,4.6726,4.4074,4.5552
2010-04-12,4.6569,4.6569,4.4197,4.4197
2010-04-13,4.4373,4.4865,4.1348,4.3337
2010-04-14,4.3416,4.4639,4.3401,4.3401
2010-04-15,4.4418,4.4418,4.3421,4.3421
2010-04-16,4.3337,4.4162,4.1805,4.2350
2010-04-19,4.1756,4.3033,4.1250,4.1250
2010-04-20,4.2561,4.3951,4.2561,4.3951
2010-04-21,4.3720,4.4123,4.2424,4.2552
2010-04-22,4.1422,4.2930,4.1422,4.2930
2010-04-23,4.2281,4.2360,4.1294,4.2016
2010-04-26,4.1029,4.1029,3.8500,3.9959
2010-04-27,3.9163,3.9728,3.7484,3.7493
2010-04-28,3.6659,3.8770,3.5996,3.7665
2010-04-29,3.7862,3.8942,3.7862,3.8918
2010-04-30,3.8746,3.8746,3.7543,3.8451
2010-05-03,3.8500,3.9089,3.7543,3.7543
2010-05-04,3.8279,3.8279,3.7125,3.7150
2010-05-05,3.6801,3.6953,3.5456,3.6428
2010-05-06,3.6821,3.6821,3.1699,3.3869
2010-05-07,3.3192,3.4989,3.3192,3.3619
2010-05-10,3.4793,3.6708,3.4228,3.6708
2010-05-11,3.7665,3.7759,3.7199,3.7444
2010-05-12,3.9860,4.0293,3.8795,3.9777
2010-05-13,3.8869,3.9016,3.6880,3.8304
2010-05-14,3.7371,3.7862,3.6266,3.7862
2010-05-17,3.7739,3.8245,3.5554,3.6369
2010-05-18,3.6732,3.7125,3.6723,3.6732
2010-05-19,3.6364,3.6364,3.0609,3.2583
2010-05-20,3.0884,3.0884,2.6832,2.9651
2010-05-21,2.8286,3.2764,2.8286,2.9366
2010-05-24,2.9464,2.9464,2.9464,2.9464
2010-05-25,2.9189,3.2214,2.9189,3.2214
2010-05-26,3.3884,3.5308,3.3884,3.4719
2010-05-27,3.6045,3.6045,3.5775,3.5799
2010-05-28,3.3904,3.3904,3.3904,3.3904
2010-06-01,3.2632,3.2902,3.2632,3.2828
2010-06-02,3.1993,3.2381,3.1993,3.2381
2010-06-03,3.2224,3.2224,3.0481,3.0481
2010-06-04,3.0766,3.1478,3.0766,3.1424
2010-06-07,3.0447,3.1910,3.0127,3.1871
2010-06-08,3.1822,3.1846,3.1036,3.1036
2010-06-09,3.0938,3.0938,3.0938,3.0938
2010-06-10,3.2597,3.3103,3.2597,3.3103
2010-06-11,3.3368,3.3368,3.3300,3.3329
2010-06-14,3.3688,3.3688,3.3368,3.3393
2010-06-15,3.3643,3.5578,3.2632,3.5578
2010-06-16,3.3246,3.3265,3.2877,3.3265
2010-06-17,3.3344,3.4061,3.2165,3.4061
2010-06-18,3.3884,3.3884,3.3884,3.3884
2010-06-21,3.3511,3.3540,3.2362,3.2877
2010-06-22,3.3049,3.3049,3.1660,3.2264
2010-06-23,3.2337,3.2337,3.1841,3.1841
2010-06-24,3.1822,3.1822,2.9892,3.0756
2010-06-25,3.1969,3.2892,3.1827,3.2450
2010-06-28,3.2460,3.2460,3.1625,3.2043
2010-06-29,3.0127,3.1453,2.9464,3.1453
2010-06-30,2.9980,3.1281,2.9980,3.0839
2010-07-01,3.0938,3.0938,3.0938,3.0938
2010-07-02,3.1694,3.1694,3.0270,3.0324
2010-07-06,2.8212,2.8747,2.6690,2.8114
2010-07-07,2.9563,3.2553,2.9563,3.1134
2010-07-08,3.0913,3.1881,3.0913,3.0938
2010-07-09,3.3098,3.3098,3.3074,3.3074
2010-07-12,3.0447,3.1453,3.0447,3.1453
2010-07-13,3.1650,3.1650,3.0447,3.0447
2010-07-14,3.0447,3.0447,3.0447,3.0447
2010-07-15,2.8993,3.0471,2.8993,2.9926
2010-07-16,2.9641,3.0108,2.9563,3.0083
2010-07-19,2.8237,2.8581,2.7657,2.8212
2010-07-20,2.8065,2.9366,2.8065,2.9366
2010-07-21,2.9464,2.9464,2.9464,2.9464
2010-07-22,3.0618,3.0618,3.0618,3.0618
2010-07-23,2.9047,3.0014,2.9047,3.0014
2010-07-26,3.0176,3.0176,2.8806,2.8806
2010-07-27,2.8973,2.8973,2.8973,2.8973
2010-07-28,3.0152,3.0545,3.0152,3.0545
2010-07-29,2.9759,2.9759,2.9759,2.9759
2010-07-30,3.1198,3.2676,3.1188,3.2676
2010-08-02,3.2902,3.2902,3.2902,3.2902
2010-08-03,3.1380,3.3270,3.0348,3.1493
2010-08-04,3.2853,3.2907,3.2116,3.2116
2010-08-05,3.2165,3.2804,3.1714,3.2804
2010-08-06,3.1306,3.1306,3.1306,3.1306
2010-08-09,3.1429,3.2313,3.1429,3.2313
2010-08-10,3.2435,3.2435,3.0962,3.0987
2010-08-11,3.1203,3.1203,3.1203,3.1203
2010-08-12,3.2126,3.2190,3.0746,3.0746
2010-08-13,3.1944,3.1944,3.1316,3.1915
2010-08-16,3.1331,3.2313,3.0835,3.1733
2010-08-17,3.2116,3.2313,3.1429,3.2092
2010-08-18,3.2116,3.2229,3.2097,3.2229
2010-08-19,3.1959,3.1959,3.1488,3.1488
2010-08-20,3.2931,3.2931,3.2931,3.2931
2010-08-23,3.2661,3.2661,3.2018,3.2450
2010-08-24,3.1920,3.1920,3.1443,3.1443
2010-08-25,3.2097,3.2131,3.2097,3.2131
2010-08-26,3.3270,3.4635,3.2902,3.4635
2010-08-27,3.4375,3.5947,3.4228,3.4694
2010-08-30,3.4680,3.5677,3.4031,3.4130
2010-08-31,3.5750,3.7125,3.5185,3.5603
2010-09-01,3.7371,3.8608,3.6880,3.7646
2010-09-02,3.9016,3.9777,3.7788,3.8525
2010-09-03,3.7886,3.8918,3.6536,3.8918
2010-09-07,3.9286,3.9310,3.8147,3.8147
2010-09-08,3.8535,3.9969,3.7179,3.7935
2010-09-09,3.8775,3.9831,3.8230,3.8279
2010-09-10,3.9777,3.9777,3.7813,3.8083
2010-09-13,3.8476,3.8967,3.8377,3.8402
2010-09-14,3.8991,4.0489,3.8991,3.9934
2010-09-15,3.8427,3.9040,3.5613,3.9040
2010-09-16,3.8451,3.8594,3.6831,3.8594
2010-09-17,3.8932,3.9335,3.8206,3.9335
2010-09-20,3.9689,3.9689,3.7091,3.7420
2010-09-21,3.8382,3.8402,3.6462,3.6831
2010-09-22,3.8687,3.9458,3.7837,3.9286
2010-09-23,3.8156,3.8795,3.7199,3.8795
2010-09-24,3.9477,4.1078,3.9477,3.9998
2010-09-27,4.0435,4.0921,3.8942,3.8942
2010-09-28,3.9212,3.9212,3.8245,3.8795
2010-09-29,3.8500,3.9826,3.7813,3.9237
2010-09-30,3.8427,3.8451,3.8427,3.8451
2010-10-01,3.8908,3.9212,3.8525,3.8795
2010-10-04,3.9237,3.9237,3.7690,3.8132
2010-10-05,3.8731,4.0268,3.7862,4.0268
2010-10-06,3.6560,3.7150,3.1203,3.5637
2010-10-07,3.5505,3.6069,3.4856,3.4920
2010-10-08,3.6020,3.6020,3.5230,3.5613
2010-10-11,3.5848,3.5848,3.5848,3.5848
2010-10-12,3.5701,3.6118,3.4302,3.4302
2010-10-13,3.5529,3.5956,3.4488,3.4488
2010-10-14,3.4827,3.4866,3.3884,3.4856
2010-10-15,3.4326,3.4866,3.3147,3.3639
2010-10-18,3.3526,3.5112,3.3044,3.4611
2010-10-19,3.3000,3.3619,3.0992,3.2588
2010-10-20,3.3035,3.3810,3.2794,3.2951
2010-10-21,3.2897,3.2897,3.1502,3.2686
2010-10-22,3.2750,3.2892,3.2185,3.2185
2010-10-25,3.2956,3.3074,3.2018,3.3074
2010-10-26,3.2833,3.2902,3.1355,3.2877
2010-10-27,3.2214,3.2681,3.1124,3.2239
2010-10-28,3.2720,3.3457,3.2720,3.3457
2010-10-29,3.4007,3.4007,3.2902,3.3982
2010-11-01,3.4105,3.4130,3.2509,3.3074
2010-11-02,3.4238,3.4238,3.2327,3.2327
2010-11-03,3.2804,3.3835,3.2494,3.2494
2010-11-04,3.3481,3.5038,3.3025,3.3516
2010-11-05,3.3614,3.6143,3.3192,3.4626
2010-11-08,3.4375,3.6094,3.3491,3.5996
2010-11-09,3.6094,3.7960,3.4827,3.4832
2010-11-10,3.5136,3.5136,3.3467,3.4621
2010-11-11,3.5014,3.5996,3.4473,3.5966
2010-11-12,3.6315,3.6585,3.4164,3.5185
2010-11-15,3.5333,3.6364,3.5264,3.5323
2010-11-16,3.4989,3.5014,3.2971,3.3874
2010-11-17,3.2931,3.4130,3.2927,3.3344
2010-11-18,3.3933,3.4400,3.1920,3.2411
2010-11-19,3.3295,3.3565,3.2828,3.3540
2010-11-22,3.3540,3.4522,3.2966,3.4518
2010-11-23,3.4292,3.4360,3.2804,3.4302
2010-11-24,3.4081,3.4778,3.3221,3.3221
2010-11-26,3.3393,3.3972,3.2563,3.3516
2010-11-29,3.2961,3.3442,3.1478,3.2578
2010-11-30,3.2214,3.3157,3.1350,3.2902
2010-12-01,3.3432,3.4375,3.2951,3.3172
