DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
1996-01-05,0.6523,0.7010,0.6523,0.7010,0.133,
1996-01-08,0.6958,0.7066,0.6958,0.6958,0.041,
1996-01-09,0.6958,0.7010,0.6958,0.7010,0.011,
1996-01-10,0.7010,0.7010,0.6958,0.7010,0.103,
1996-01-11,0.6958,0.6958,0.6958,0.6958,0.009,
1996-01-12,0.7010,0.7010,0.7010,0.7010,0.013,
1996-01-15,0.7010,0.7010,0.7010,0.7010,0.000,
1996-01-16,0.6901,0.6958,0.6575,0.6632,0.186,
1996-01-17,0.6632,0.6632,0.6632,0.6632,0.017,
1996-01-18,0.6740,0.6740,0.6523,0.6575,0.054,
1996-01-19,0.6632,0.6632,0.6523,0.6523,0.186,
1996-01-22,0.6523,0.6523,0.6523,0.6523,0.290,
1996-01-23,0.6523,0.6688,0.6471,0.6688,0.424,
1996-01-24,0.6740,0.6740,0.6740,0.6740,0.039,
1996-01-25,0.6849,0.7066,0.6849,0.7066,0.145,
1996-01-26,0.7066,0.7066,0.7010,0.7066,0.556,
1996-01-29,0.7123,0.7449,0.7123,0.7449,0.206,
1996-01-30,0.7501,0.7501,0.7393,0.7449,0.065,
1996-01-31,0.7553,0.7719,0.7449,0.7719,0.196,
1996-02-01,0.7827,0.8101,0.7827,0.7993,0.321,
1996-02-02,0.8045,0.8045,0.7880,0.7936,0.185,
1996-02-05,0.8045,0.8532,0.7880,0.8428,0.452,
1996-02-06,0.8532,0.8697,0.8314,0.8371,0.242,
1996-02-07,0.8480,0.8532,0.8262,0.8428,0.259,
1996-02-08,0.8428,0.8428,0.8314,0.8428,0.157,
1996-02-09,0.8532,0.8915,0.8532,0.8588,0.305,
1996-02-12,0.8645,0.9184,0.8645,0.9132,0.411,
1996-02-13,0.9029,0.9307,0.9029,0.9136,0.427,
1996-02-14,0.9195,0.9195,0.8634,0.8634,0.535,
1996-02-15,0.8634,0.8692,0.8634,0.8634,0.242,
1996-02-16,0.8692,0.8692,0.8576,0.8576,0.014,
1996-02-20,0.8186,0.8410,0.8186,0.8298,0.307,
1996-02-21,0.8356,0.8410,0.8356,0.8410,0.009,
1996-02-22,0.8464,0.8464,0.8410,0.8410,0.016,
1996-02-23,0.8356,0.8356,0.8127,0.8244,0.417,
1996-02-26,0.8244,0.8244,0.8127,0.8127,0.110,
1996-02-27,0.8127,0.8127,0.7737,0.7737,0.241,
1996-02-28,0.7737,0.7737,0.7401,0.7513,0.285,
1996-02-29,0.7454,0.7571,0.7454,0.7454,0.395,
1996-03-01,0.7454,0.7513,0.7454,0.7454,0.177,
1996-03-04,0.7513,0.7571,0.7513,0.7513,0.052,
1996-03-05,0.7513,0.7513,0.7513,0.7513,0.137,
1996-03-06,0.7401,0.7454,0.7401,0.7454,0.077,
1996-03-07,0.7454,0.7454,0.7454,0.7454,0.062,
1996-03-08,0.7347,0.7401,0.7176,0.7347,0.045,
