DATE,OPEN,HIGH,LOW,CLOSE
1994-10-31,11.2277,11.6455,11.2277,11.4054
1994-11-01,11.4054,11.4054,11.2277,11.2277
1994-11-02,11.2277,11.4054,11.1653,11.4054
1994-11-03,11.4054,11.4678,11.3429,11.3429
1994-11-04,11.3429,11.4054,11.1028,11.1028
1994-11-07,11.1028,11.1653,11.0452,11.1653
1994-11-08,11.1653,11.1653,11.0452,11.0452
1994-11-09,11.1028,11.1653,11.1028,11.1028
1994-11-10,11.1629,11.1629,11.1049,11.1629
1994-11-11,11.1629,11.2256,11.1049,11.1629
1994-11-14,11.1629,11.2256,11.1049,11.1629
1994-11-15,11.1049,11.1049,11.1049,11.1049
1994-11-16,11.1049,11.1629,11.1049,11.1629
1994-11-17,11.1629,11.5298,11.1049,11.5298
1994-11-18,11.5298,11.5298,11.3463,11.4043
1994-11-21,11.4043,11.5298,11.3463,11.4670
1994-11-22,11.4670,11.5877,11.3463,11.3463
1994-11-23,11.3463,11.4043,11.3463,11.4043
1994-11-25,11.3463,11.3463,11.3463,11.3463
1994-11-28,11.3463,11.4670,11.3463,11.3463
1994-11-29,11.3463,11.3463,11.2884,11.2884
1994-11-30,11.2884,11.4043,11.2884,11.2884
1994-12-01,11.2884,11.3463,10.9842,10.9842
1994-12-02,10.9842,10.9842,10.9215,10.9842
1994-12-05,10.9842,10.9842,10.9215,10.9215
1994-12-06,10.8635,10.8635,10.6800,10.6800
1994-12-07,10.6800,10.7428,10.5642,10.6800
1994-12-08,10.6800,10.7428,10.6800,10.7428
1994-12-09,10.7428,10.8635,10.6221,10.6221
1994-12-12,10.6221,10.7428,10.5014,10.6800
1994-12-13,10.6800,10.9215,10.6800,10.9215
1994-12-14,10.9842,11.5298,10.9842,11.5298
1994-12-15,11.5298,11.9499,11.5298,11.9499
1994-12-16,11.9499,12.0126,11.7085,11.7712
1994-12-19,11.7712,11.8871,11.5877,11.5877
1994-12-20,11.6457,11.7712,11.6457,11.7712
1994-12-21,11.7712,12.0126,11.7712,12.0126
1994-12-22,12.0126,12.0706,12.0126,12.0126
1994-12-23,12.0126,12.0706,12.0126,12.0706
1994-12-27,12.0126,12.0126,11.8871,11.9499
1994-12-28,11.9499,12.0126,11.8871,11.9499
1994-12-29,11.8871,11.8871,11.3463,11.4670
1994-12-30,11.4670,11.6457,11.2256,11.5877
1995-01-03,11.5877,11.8292,11.4670,11.4670
1995-01-04,11.6457,11.7085,11.6457,11.7085
1995-01-05,11.6457,11.6457,11.6457,11.6457
1995-01-06,11.6457,11.7085,11.5877,11.7085
1995-01-09,11.7085,11.7085,11.5877,11.6457
1995-01-10,11.5877,11.5877,11.3463,11.3463
1995-01-11,11.3463,11.4670,10.9842,11.3463
1995-01-12,11.3463,11.3463,11.2256,11.2884
1995-01-13,11.2884,11.3463,11.2256,11.3463
1995-01-16,11.3463,11.5298,11.2884,11.3463
1995-01-17,11.3463,11.4670,11.3463,11.4670
1995-01-18,11.4670,11.5298,11.3463,11.4670
1995-01-19,11.4043,11.4043,11.3463,11.3463
1995-01-20,11.2256,11.2256,10.8056,10.9842
1995-01-23,10.9842,11.2256,10.9215,11.2256
1995-01-24,11.2256,11.2256,11.1629,11.2256
1995-01-25,11.2256,11.4043,11.1629,11.4043
1995-01-26,11.4043,11.4670,11.2256,11.2884
1995-01-27,11.2884,11.2884,11.0470,11.0470
1995-01-30,11.0470,11.2256,11.0470,11.0470
1995-01-31,11.0470,11.1629,11.0470,11.1629
1995-02-01,11.1629,11.1629,10.9842,11.0470
1995-02-02,11.0470,11.1049,10.9215,11.1049
1995-02-03,11.0470,11.0470,10.9215,11.0470
1995-02-06,11.0470,11.2256,11.0470,11.1629
1995-02-07,11.1049,11.1049,10.9842,11.1049
1995-02-08,11.1049,11.1049,10.7428,10.7428
1995-02-09,10.8649,11.0446,10.8649,11.0446
1995-02-10,11.1077,11.3504,11.1077,11.3504
1995-02-13,11.3504,11.4669,11.3504,11.4087
1995-02-14,11.4087,11.5300,11.3504,11.5300
1995-02-15,11.5300,11.5932,11.1659,11.3504
1995-02-16,11.3504,11.3504,11.1659,11.1659
1995-02-17,11.1659,11.2873,10.9232,11.2873
1995-02-21,11.2873,11.3504,10.9815,11.1659
1995-02-22,11.1659,11.2873,11.1077,11.1077
1995-02-23,11.1077,11.1659,10.9815,11.0446
1995-02-24,11.0446,11.1659,11.0446,11.1077
1995-02-27,11.1077,11.4087,10.9815,11.2873
1995-02-28,11.2873,11.4087,11.1659,11.4087
1995-03-01,11.2873,11.2873,11.0446,11.1077
1995-03-02,11.1077,11.2242,11.0446,11.2242
1995-03-03,11.2242,11.4087,11.1077,11.2242
1995-03-06,11.2242,11.3504,11.0446,11.2873
1995-03-07,11.2873,11.3504,11.0446,11.0446
1995-03-08,11.0446,11.1659,11.0446,11.0446
1995-03-09,11.1077,11.2242,11.1077,11.2242
1995-03-10,11.2242,11.3504,11.1659,11.2242
