DATE,OPEN,HIGH,LOW,CLOSE
1998-07-01,2.5621,2.6258,2.5621,2.6258
1998-07-02,2.6258,2.6258,2.5710,2.5952
1998-07-06,2.6181,2.9212,2.6181,2.9212
1998-07-07,2.9772,3.1275,2.8804,2.8804
1998-07-08,2.9046,2.9046,2.7620,2.7773
1998-07-09,2.7696,2.7696,2.7455,2.7696
1998-07-10,2.7938,2.7938,2.7531,2.7531
1998-07-13,2.7620,2.7620,2.6983,2.7378
1998-07-14,2.7378,2.7455,2.7225,2.7455
1998-07-15,2.7531,2.7531,2.7136,2.7225
1998-07-16,2.7378,2.7378,2.7060,2.7136
1998-07-17,2.7136,2.7225,2.6741,2.6818
1998-07-20,2.6665,2.6741,2.6423,2.6741
1998-07-21,2.6589,2.6589,2.6105,2.6181
1998-07-22,2.6258,2.6347,2.5150,2.5315
1998-07-23,2.5150,2.5150,2.4513,2.4831
1998-07-24,2.5621,2.6347,2.5621,2.6028
1998-07-27,2.5952,2.6181,2.5952,2.6181
1998-07-28,2.6181,2.6347,2.6028,2.6258
1998-07-29,2.6589,2.6589,2.6181,2.6181
1998-07-30,2.6258,2.6258,2.6028,2.6105
1998-07-31,2.6181,2.6347,2.6105,2.6258
1998-08-03,2.6347,2.6741,2.6347,2.6589
1998-08-04,2.6423,2.6423,2.5952,2.6181
1998-08-05,2.6258,2.6258,2.6028,2.6028
1998-08-06,2.6028,2.6028,2.5710,2.5863
1998-08-07,2.6181,2.6181,2.5786,2.5786
1998-08-10,2.5863,2.6105,2.5786,2.6105
1998-08-11,2.5786,2.5786,2.5315,2.5392
1998-08-12,2.5468,2.5544,2.4984,2.5468
1998-08-13,2.5392,2.5544,2.5150,2.5150
1998-08-14,2.4908,2.4908,2.3634,2.3800
1998-08-17,2.3634,2.3953,2.3240,2.3876
1998-08-18,2.4042,2.5226,2.4042,2.4984
1998-08-19,2.5150,2.5150,2.4831,2.4908
1998-08-20,2.4908,2.4984,2.4679,2.4679
1998-08-21,2.4513,2.4513,2.3163,2.3634
1998-08-24,2.3711,2.4118,2.3711,2.4118
