DATE,OPEN,HIGH,LOW,CLOSE
1987-12-30,6.4558,6.6296,6.4558,6.4558
1987-12-31,6.4558,6.4558,6.0581,6.3461
1988-01-04,6.4558,6.6844,6.3461,6.6844
1988-01-05,6.8033,6.8582,6.8033,6.8582
1988-01-06,6.8033,6.8582,6.7439,6.7439
1988-01-07,6.7439,7.0868,6.7439,7.0868
1988-01-08,7.2011,7.2011,6.7439,6.7439
1988-01-11,6.6296,6.7439,6.4010,6.6296
1988-01-12,6.7439,6.7439,6.4558,6.6296
1988-01-13,6.6296,6.6296,6.4010,6.6296
1988-01-14,6.6844,6.6844,6.5153,6.5153
1988-01-15,6.6296,6.7439,6.5747,6.7439
1988-01-18,6.6296,6.7439,6.6296,6.7439
1988-01-19,6.6296,6.8582,6.6296,6.8582
1988-01-20,6.7439,6.8582,6.3461,6.3461
1988-01-21,6.3461,6.4010,6.1175,6.1724
1988-01-22,6.2867,6.3461,6.2272,6.3461
1988-01-25,6.2867,6.6296,6.2867,6.6296
1988-01-26,6.5153,6.6296,6.4010,6.5153
1988-01-27,6.4558,6.5747,6.4558,6.4558
1988-01-28,6.5747,6.5747,6.4558,6.4558
1988-01-29,6.4558,6.4558,6.4010,6.4010
1988-02-01,6.4010,6.5153,6.4010,6.4558
1988-02-02,6.5153,6.5153,6.4010,6.4010
1988-02-03,6.4010,6.6844,6.4010,6.5747
1988-02-04,6.4558,6.5153,6.4010,6.4010
1988-02-05,6.4010,6.4010,6.4010,6.4010
1988-02-08,6.3824,6.4375,6.2628,6.4375
1988-02-09,6.3824,6.4375,6.3226,6.3824
1988-02-10,6.3226,6.5525,6.3226,6.5525
1988-02-11,6.6675,6.6675,6.5525,6.5525
1988-02-12,6.5525,6.5525,6.5525,6.5525
1988-02-16,6.6675,6.7226,6.5525,6.6675
1988-02-17,6.6123,6.7824,6.6123,6.6675
1988-02-18,6.6675,6.7226,6.6123,6.6123
1988-02-19,6.6123,6.6123,6.5525,6.5525
1988-02-22,6.4375,6.6675,6.4375,6.6675
1988-02-23,6.5525,6.7226,6.5525,6.6675
1988-02-24,6.5525,6.7226,6.4927,6.6675
1988-02-25,6.6123,6.7824,6.6123,6.6123
1988-02-26,6.6675,6.8422,6.6675,6.7824
1988-02-29,6.7824,6.7824,6.5525,6.6675
1988-03-01,6.5525,6.6123,6.4927,6.5525
1988-03-02,6.4927,6.7824,6.4927,6.6675
1988-03-03,6.5525,7.0123,6.5525,6.8974
1988-03-04,6.8974,6.8974,6.7824,6.8974
1988-03-07,6.8974,6.8974,6.8422,6.8974
1988-03-08,6.8974,7.0721,6.7824,7.0721
1988-03-09,7.0721,7.0721,6.9525,6.9525
1988-03-10,6.9525,7.3572,6.9525,7.2422
1988-03-11,7.1825,7.1825,6.8974,7.0123
1988-03-14,6.8974,6.8974,6.7824,6.8974
1988-03-15,6.8974,6.8974,6.7824,6.8422
1988-03-16,6.8422,6.8422,6.6123,6.6675
1988-03-17,6.7226,6.7226,6.6123,6.6123
1988-03-18,6.6675,6.6675,6.6123,6.6675
1988-03-21,6.6675,6.7226,6.5525,6.6675
1988-03-22,6.6675,6.8974,6.6675,6.8974
1988-03-23,6.8974,7.1273,6.8422,7.1273
1988-03-24,7.2422,7.2422,6.8974,6.8974
1988-03-25,6.8974,6.8974,6.8422,6.8974
1988-03-28,6.8422,6.8422,6.7226,6.8422
1988-03-29,6.8974,6.9525,6.7226,6.7824
1988-03-30,6.7824,6.7824,6.7226,6.7824
1988-03-31,6.7226,7.0123,6.7226,7.0123
1988-04-04,6.9525,7.1825,6.8974,7.1273
1988-04-05,7.3020,7.3020,7.0123,7.1273
1988-04-06,7.0721,7.0721,6.8974,7.0123
1988-04-07,6.8974,7.3020,6.8974,7.1273
1988-04-08,7.0123,7.0721,7.0123,7.0721
1988-04-11,6.9525,7.1273,6.9525,7.0123
1988-04-12,7.1273,7.1273,7.0721,7.1273
1988-04-13,7.0123,7.1273,7.0123,7.1273
1988-04-14,7.0123,7.0123,6.7824,6.7824
1988-04-15,6.6675,6.8422,6.6675,6.7226
1988-04-18,6.6675,6.7824,6.6675,6.7824
1988-04-19,6.7226,6.7226,6.6123,6.6123
1988-04-20,6.6123,6.7226,6.6123,6.7226
1988-04-21,6.6675,6.7226,6.6675,6.6675
1988-04-22,6.6675,6.6675,6.6675,6.6675
1988-04-25,6.6675,6.7824,6.6675,6.7824
1988-04-26,6.7824,6.7824,6.7226,6.7226
1988-04-27,6.7824,6.7824,6.6675,6.6675
1988-04-28,6.7226,6.7226,6.6123,6.6123
1988-04-29,6.6123,6.6675,6.6123,6.6675
1988-05-02,6.6123,6.6675,6.6123,6.6123
1988-05-03,6.5525,6.6123,6.4375,6.4375
1988-05-04,6.3226,6.3226,5.9777,5.9777
1988-05-05,5.9777,5.9777,5.9225,5.9225
1988-05-06,5.9225,5.9777,5.8628,5.9225
1988-05-09,5.9777,5.9777,5.6328,5.7478
1988-05-10,5.7310,5.7310,5.4995,5.4995
1988-05-11,5.4995,5.5550,5.4995,5.4995
1988-05-12,5.4995,5.5550,5.4995,5.4995
1988-05-13,5.4995,5.5550,5.4995,5.4995
1988-05-16,5.3791,5.5550,5.3236,5.5550
1988-05-17,5.6106,5.7865,5.6106,5.7310
1988-05-18,5.7865,5.7865,5.6708,5.7310
1988-05-19,5.7310,5.7865,5.7310,5.7865
1988-05-20,5.9022,5.9022,5.7865,5.7865
1988-05-23,5.8421,5.8421,5.7310,5.7865
1988-05-24,5.7310,5.7865,5.4995,5.5550
1988-05-25,5.5550,5.6106,5.4995,5.4995
1988-05-26,5.5550,5.5550,5.4995,5.4995
1988-05-27,5.4995,5.5550,5.4995,5.5550
1988-05-31,5.5550,5.6708,5.5550,5.5550
1988-06-01,5.6708,5.9624,5.5550,5.8421
1988-06-02,5.7310,5.8421,5.7310,5.7310
1988-06-03,5.6708,5.7865,5.6708,5.7310
1988-06-06,5.6708,5.7310,5.6708,5.6708
1988-06-07,5.7865,5.7865,5.6708,5.6708
1988-06-08,5.6106,5.8421,5.6106,5.7865
1988-06-09,5.9022,5.9022,5.7865,5.9022
1988-06-10,5.8421,6.0735,5.8421,5.9624
1988-06-13,5.9022,5.9022,5.7865,5.7865
1988-06-14,5.7865,5.9022,5.7865,5.8421
1988-06-15,5.8421,5.9022,5.7865,5.8421
1988-06-16,5.9624,5.9624,5.8421,5.9022
1988-06-17,5.9624,5.9624,5.9022,5.9624
1988-06-20,5.9022,6.0180,5.9022,6.0180
1988-06-21,6.0180,6.0735,5.9624,5.9624
1988-06-22,6.0180,6.0180,5.9624,6.0180
1988-06-23,6.0735,6.0735,5.8421,5.9624
1988-06-24,5.9624,6.0735,5.9624,6.0735
1988-06-27,6.0735,6.0735,6.0180,6.0180
1988-06-28,6.0180,6.0180,5.9624,6.0180
1988-06-29,5.9624,6.0735,5.9624,6.0180
1988-06-30,6.0735,6.3050,6.0735,6.2494
1988-07-01,6.3652,6.5966,6.3652,6.4809
1988-07-05,6.4253,6.4809,6.4253,6.4253
1988-07-06,6.4253,6.4809,6.4253,6.4253
1988-07-07,6.4809,6.4809,6.4253,6.4253
1988-07-08,6.4253,6.5966,6.4253,6.5966
1988-07-11,6.5966,6.5966,6.3050,6.3050
1988-07-12,6.3050,6.4253,6.2494,6.2494
1988-07-13,6.2494,6.3050,6.0735,6.1337
1988-07-14,6.1337,6.1337,6.0735,6.0735
1988-07-15,6.1337,6.1337,6.0180,6.0735
1988-07-18,6.0180,6.1939,6.0180,6.0735
1988-07-19,6.1337,6.1337,5.9624,5.9624
1988-07-20,6.0180,6.0735,5.9624,6.0180
1988-07-21,6.0735,6.0735,6.0180,6.0180
1988-07-22,6.1337,6.1337,6.0180,6.1337
1988-07-25,6.1337,6.1337,6.0180,6.0735
1988-07-26,6.0180,6.1337,6.0180,6.0735
1988-07-27,6.0180,6.1337,5.9624,6.1337
1988-07-28,6.0180,6.0180,5.9624,5.9624
1988-07-29,5.9624,6.0735,5.9624,6.0735
1988-08-01,6.0180,6.1337,6.0180,6.0735
1988-08-02,6.0180,6.0735,6.0180,6.0180
1988-08-03,6.0180,6.0180,5.9624,5.9624
1988-08-04,6.0180,6.0180,5.9624,6.0180
1988-08-05,6.1337,6.1337,6.0180,6.0735
1988-08-08,6.0180,6.1337,6.0180,6.0735
1988-08-09,6.0550,6.2320,6.0550,6.0550
1988-08-10,6.0550,6.1714,6.0550,6.0550
1988-08-11,5.9991,6.0550,5.9991,6.0550
1988-08-12,5.9991,6.0550,5.9991,6.0550
1988-08-15,5.9991,6.0550,5.9991,6.0550
1988-08-16,6.0550,6.1109,5.9991,6.0550
1988-08-17,6.0550,6.1109,6.0550,6.0550
1988-08-18,6.0550,6.1109,6.0550,6.1109
1988-08-19,6.0550,6.1714,6.0550,6.1714
1988-08-22,6.1109,6.1109,6.1109,6.1109
1988-08-23,6.1109,6.1714,6.1109,6.1109
1988-08-24,6.1109,6.1714,6.1109,6.1109
1988-08-25,6.1109,6.1109,6.1109,6.1109
1988-08-26,6.1109,6.1109,6.0550,6.0550
1988-08-29,6.0550,6.1714,6.0550,6.1109
1988-08-30,6.1109,6.1714,6.1109,6.1714
1988-08-31,6.1109,6.1109,6.1109,6.1109
1988-09-01,6.0550,6.1714,6.0550,6.1714
1988-09-02,6.1714,6.2320,6.1714,6.2320
1988-09-06,6.1714,6.1714,6.1714,6.1714
1988-09-07,6.2320,6.2320,6.1714,6.1714
1988-09-08,6.2320,6.2320,6.1714,6.1714
1988-09-09,6.1714,6.1714,6.1714,6.1714
1988-09-12,6.2879,6.2879,6.1714,6.1714
1988-09-13,6.1714,6.2320,6.1714,6.1714
1988-09-14,6.1714,6.2879,6.1714,6.2320
1988-09-15,6.2320,6.4043,6.2320,6.2879
1988-09-16,6.2879,6.4043,6.2320,6.2320
1988-09-19,6.2879,6.4043,6.2879,6.2879
1988-09-20,6.2879,6.4043,6.2879,6.2879
1988-09-21,6.3438,6.3438,6.2879,6.3438
1988-09-22,6.2879,6.2879,6.2320,6.2320
1988-09-23,6.2320,6.2320,6.1714,6.1714
1988-09-26,6.1714,6.2320,6.1714,6.1714
1988-09-27,6.1109,6.2320,6.1109,6.2320
1988-09-28,6.2320,6.2320,6.1714,6.1714
1988-09-29,6.1714,6.2879,6.1714,6.2320
1988-09-30,6.2320,6.3438,6.2320,6.3438
1988-10-03,6.2879,6.2879,6.2320,6.2320
1988-10-04,6.2320,6.2320,6.2320,6.2320
1988-10-05,6.2879,6.4649,6.2320,6.4043
1988-10-06,6.4043,6.4649,6.2879,6.4043
1988-10-07,6.2879,6.3438,6.2320,6.2320
1988-10-10,6.3438,6.4649,6.3438,6.3438
1988-10-11,6.3438,6.6372,6.2879,6.6372
1988-10-12,6.5767,6.6978,6.4649,6.5767
1988-10-13,6.6372,6.6372,6.4649,6.5767
1988-10-14,6.5767,6.5767,6.4649,6.5208
1988-10-17,6.4649,6.4649,6.3438,6.4649
1988-10-18,6.4649,6.4649,6.3438,6.3438
1988-10-19,6.4043,6.4043,6.2879,6.2879
1988-10-20,6.3438,6.3438,6.2879,6.2879
1988-10-21,6.4043,6.4043,6.2879,6.2879
1988-10-24,6.2879,6.2879,6.2879,6.2879
1988-10-25,6.2879,6.2879,6.2879,6.2879
1988-10-26,6.2879,6.5208,6.2879,6.5208
1988-10-27,6.5208,6.5208,6.3438,6.4649
1988-10-28,6.4043,6.5208,6.4043,6.4649
1988-10-31,6.5767,6.5767,6.5208,6.5208
1988-11-01,6.5767,6.5767,6.4649,6.5208
1988-11-02,6.4649,6.4649,6.4043,6.4043
1988-11-03,6.3438,6.4649,6.3438,6.4043
1988-11-04,6.3438,6.4649,6.3438,6.4043
1988-11-07,6.3438,6.3438,6.2879,6.3438
1988-11-08,6.3810,6.5029,6.3810,6.3810
1988-11-09,6.3810,6.4419,6.3810,6.4419
1988-11-10,6.3810,6.3810,6.3248,6.3248
1988-11-11,6.3810,6.3810,6.2077,6.2077
1988-11-14,6.2686,6.2686,6.2077,6.2077
1988-11-15,6.2077,6.3248,6.2077,6.2077
1988-11-16,6.2077,6.2077,6.0906,6.0906
1988-11-17,6.0906,6.2077,6.0906,6.1468
1988-11-18,6.0906,6.0906,6.0906,6.0906
1988-11-21,6.2077,6.2077,6.1468,6.1468
1988-11-22,6.1468,6.2077,6.1468,6.1468
1988-11-23,6.1468,6.1468,6.1468,6.1468
1988-11-25,6.1468,6.2077,6.1468,6.1468
1988-11-28,6.2077,6.3248,6.2077,6.2077
1988-11-29,6.2686,6.2686,6.2077,6.2077
1988-11-30,6.2686,6.3810,6.2686,6.3810
1988-12-01,6.3248,6.3810,6.3248,6.3810
1988-12-02,6.2686,6.3248,6.2686,6.2686
1988-12-05,6.2686,6.3810,6.2686,6.3248
1988-12-06,6.3248,6.3248,6.3248,6.3248
1988-12-07,6.3248,6.4419,6.3248,6.4419
1988-12-08,6.3810,6.5029,6.3810,6.4419
1988-12-09,6.4419,6.6153,6.4419,6.6153
1988-12-12,6.6153,6.6762,6.6153,6.6762
1988-12-13,6.6153,6.6153,6.6153,6.6153
1988-12-14,6.6153,6.6762,6.5591,6.5591
1988-12-15,6.6153,6.6153,6.5591,6.5591
1988-12-16,6.5591,6.6153,6.5591,6.5591
1988-12-19,6.5591,6.5591,6.5591,6.5591
1988-12-20,6.5591,6.5591,6.5591,6.5591
1988-12-21,6.5591,6.6153,6.5591,6.5591
1988-12-22,6.5591,6.6153,6.5591,6.5591
1988-12-23,6.5591,6.5591,6.4419,6.4419
1988-12-27,6.5029,6.5029,6.4419,6.4419
1988-12-28,6.4419,6.5029,6.4419,6.4419
1988-12-29,6.4419,6.5591,6.4419,6.5029
1988-12-30,6.4419,6.5591,6.3810,6.5591
1989-01-03,6.5591,6.5591,6.4419,6.4419
1989-01-04,6.5029,6.6153,6.5029,6.5591
1989-01-05,6.5591,6.7371,6.5591,6.7371
1989-01-06,6.7371,7.0276,6.7371,7.0276
1989-01-09,6.9105,7.0276,6.9105,6.9714
1989-01-10,6.8495,6.9105,6.7933,6.8495
1989-01-11,6.7933,6.9105,6.7933,6.9105
1989-01-12,6.9105,6.9105,6.9105,6.9105
1989-01-13,6.9105,7.0276,6.9105,7.0276
1989-01-16,7.0276,7.1447,7.0276,7.0276
1989-01-17,7.0276,7.0838,6.9714,7.0276
1989-01-18,7.0276,7.0838,7.0276,7.0276
1989-01-19,7.1447,7.2618,7.1447,7.2056
1989-01-20,7.0838,7.1447,7.0838,7.0838
1989-01-23,7.0276,7.0276,7.0276,7.0276
1989-01-24,7.0276,7.0838,7.0276,7.0838
1989-01-25,7.0276,7.0838,7.0276,7.0276
1989-01-26,7.0276,7.0838,7.0276,7.0276
1989-01-27,7.0276,7.0838,6.9714,6.9714
1989-01-30,7.0276,7.2618,7.0276,7.1447
1989-01-31,7.0838,7.1447,7.0838,7.1447
1989-02-01,7.1447,7.3790,7.1447,7.1447
1989-02-02,7.1447,7.2618,7.1447,7.1447
1989-02-03,7.1447,7.1447,7.1447,7.1447
1989-02-06,7.1447,7.3181,7.1447,7.1447
1989-02-07,7.1447,7.2618,7.1447,7.2618
1989-02-08,7.2618,7.6741,7.2618,7.6132
1989-02-09,7.5895,7.7684,7.5895,7.6507
1989-02-10,7.5895,7.5895,7.5895,7.5895
1989-02-13,7.5895,7.7119,7.5895,7.5895
1989-02-14,7.5895,7.7119,7.5895,7.6507
1989-02-15,7.6507,8.1827,7.6507,8.0038
1989-02-16,7.8861,7.8861,7.7684,7.7684
1989-02-17,7.8861,7.8861,7.7684,7.7684
1989-02-21,7.7684,7.7684,7.7684,7.7684
1989-02-22,7.7684,7.7684,7.7684,7.7684
1989-02-23,7.7684,7.8861,7.7684,7.8249
1989-02-24,7.7684,7.9473,7.7684,7.8249
1989-02-27,7.8861,7.8861,7.7684,7.7684
1989-02-28,7.7684,7.7684,7.7684,7.7684
1989-03-01,7.7684,7.7684,7.7684,7.7684
1989-03-02,7.7684,7.7684,7.7684,7.7684
1989-03-03,7.7684,7.7684,7.7684,7.7684
1989-03-06,7.7684,7.7684,7.7684,7.7684
1989-03-07,7.7684,7.8249,7.7684,7.7684
1989-03-08,7.7684,7.8861,7.7684,7.7684
1989-03-09,7.7684,7.7684,7.7684,7.7684
1989-03-10,7.7684,7.7684,7.7684,7.7684
1989-03-13,7.7684,7.7684,7.7119,7.7119
1989-03-14,7.7119,7.7119,7.5895,7.5895
1989-03-15,7.5330,7.6507,7.5330,7.5895
1989-03-16,7.5330,7.5895,7.5330,7.5895
1989-03-17,7.5330,7.5330,7.4765,7.5330
1989-03-20,7.5330,7.6507,7.5330,7.5895
1989-03-21,7.5895,7.6507,7.5895,7.5895
1989-03-22,7.5895,7.7119,7.5895,7.5895
1989-03-23,7.5895,7.7684,7.5895,7.7119
1989-03-27,7.6507,7.6507,7.6507,7.6507
1989-03-28,7.5895,7.5895,7.5330,7.5895
