DATE,OPEN,HIGH,LOW,CLOSE
2017-05-12,10.2084,10.4257,9.1967,9.6566
2017-05-15,9.9910,10.0328,9.5395,9.8238
2017-05-16,9.9325,10.2418,9.7151,10.0579
2017-05-17,10.0412,10.2000,9.7067,10.0662
2017-05-18,10.0495,10.0913,9.8321,10.0328
2017-05-19,10.0161,10.1248,9.7569,9.9074
2017-05-22,9.9910,10.0746,9.8238,9.8907
2017-05-23,9.8823,10.0412,9.8071,9.9074
2017-05-24,9.8739,10.0412,9.7987,10.0328
2017-05-25,10.0662,10.1473,9.8154,10.0328
2017-05-26,9.9994,10.0453,9.8405,10.0161
2017-05-30,10.0328,10.0738,9.8990,9.9241
2017-05-31,9.8572,9.9826,9.4475,9.6148
2017-06-01,9.5897,10.0328,9.5882,9.7820
2017-06-02,9.7569,9.9074,9.7235,9.7569
2017-06-05,9.7235,9.8405,9.6148,9.6649
2017-06-06,9.8656,9.9492,9.5646,9.6482
2017-06-07,9.7151,9.7420,8.4275,8.6616
2017-06-08,8.6449,8.8205,8.2729,8.3941
2017-06-09,8.4443,8.5613,8.3021,8.3356
2017-06-12,8.4025,8.8205,8.4025,8.6867
2017-06-13,9.0212,9.7723,8.7954,9.4810
2017-06-14,9.4225,9.4894,9.1131,9.3305
2017-06-15,9.2636,9.5146,8.8289,9.3054
2017-06-16,9.2636,9.5980,9.1967,9.4057
2017-06-19,9.4308,9.5144,9.1131,9.4141
2017-06-20,9.3556,9.3556,8.8623,8.9543
2017-06-21,8.9794,9.1967,8.7795,9.1131
2017-06-22,9.0546,9.2385,8.4526,8.6198
2017-06-23,8.5362,9.0295,8.5362,8.9710
2017-06-26,9.0295,9.1048,8.8623,8.9794
2017-06-27,8.9794,9.6148,8.9794,9.2803
2017-06-28,9.3138,10.0077,9.2385,9.5562
2017-06-29,9.4726,9.9157,9.4726,9.8405
2017-06-30,9.8405,9.9492,9.5897,9.6398
2017-07-03,9.5813,9.8739,9.5813,9.7151
2017-07-05,9.7736,9.7736,9.3472,9.5144
2017-07-06,9.5312,9.9994,9.3481,9.7067
2017-07-07,9.6566,9.8071,9.3807,9.6900
2017-07-10,9.6984,10.0412,9.2302,10.0161
2017-07-11,9.9994,10.2000,9.8469,10.0328
2017-07-12,10.0997,10.1164,9.6148,9.7903
2017-07-13,9.7569,10.0328,9.3728,9.9910
2017-07-14,9.9241,10.2334,9.6398,10.1080
2017-07-17,10.0746,11.2451,9.8405,10.8103
2017-07-18,10.8856,11.0025,10.7016,10.7685
2017-07-19,10.7435,11.7049,10.1666,11.5879
2017-07-20,11.7216,11.7606,10.5177,10.6264
