DATE,OPEN,HIGH,LOW,CLOSE
2021-05-19,48.0000,50.0200,42.8201,43.6500
2021-05-20,44.0100,51.1600,43.7500,49.8700
2021-05-21,50.0000,53.0000,49.0000,49.5600
2021-05-24,51.4900,54.4200,50.5000,54.3000
2021-05-25,53.9400,55.8800,53.1000,54.5100
2021-05-26,54.3000,54.9800,53.5800,54.9300
2021-05-27,54.7700,54.9600,54.0000,54.8200
2021-05-28,54.2200,54.6100,51.8350,52.6300
2021-06-01,53.4500,53.4500,49.6000,53.0000
2021-06-02,53.0000,53.0786,51.5001,51.9200
2021-06-03,50.5400,51.3400,50.4200,50.7200
2021-06-04,51.1400,51.9300,50.5000,51.5600
2021-06-07,52.0000,54.9500,51.4500,54.7400
2021-06-08,54.8000,56.1500,54.3000,56.1300
2021-06-09,56.2200,57.5000,55.9801,57.0300
2021-06-10,57.1700,58.4800,57.0300,58.1300
2021-06-11,58.2300,59.9800,58.2300,59.9000
2021-06-14,59.9000,60.0200,59.3515,60.0000
2021-06-15,58.7300,59.5000,56.7001,57.8200
2021-06-16,57.8000,60.6200,57.8000,59.7300
2021-06-17,59.7700,62.4500,59.4710,61.8500
2021-06-18,61.4900,63.9786,61.0950,63.5500
2021-06-21,64.0600,64.7100,61.3300,63.5200
2021-06-22,63.0000,64.6600,62.6100,64.0500
2021-06-23,64.1700,64.2300,62.9100,63.0800
2021-06-24,63.5000,63.5000,61.6600,63.0000
2021-06-25,62.9800,64.3800,62.9800,64.1000
2021-06-28,64.1200,64.6900,62.8900,62.9900
2021-06-29,61.2500,61.5500,58.0500,58.4600
2021-06-30,58.9900,59.8250,55.8900,59.4100
2021-07-01,58.9200,59.5700,56.4900,57.2800
2021-07-02,56.9800,58.4800,56.6400,57.0100
2021-07-06,58.2200,58.2200,55.2700,56.6000
2021-07-07,56.7100,57.7000,55.1000,55.9800
2021-07-08,55.0000,55.3380,53.5027,54.0500
2021-07-09,54.0000,56.5700,53.3300,56.0000
2021-07-12,56.4500,56.7400,54.1400,55.2100
2021-07-13,55.8700,56.5400,54.1400,55.1200
2021-07-14,55.1400,56.6900,54.5000,56.2100
2021-07-15,56.0500,56.5400,52.8400,54.0200
