DATE,OPEN,HIGH,LOW,CLOSE
2013-10-25,6.8690,7.1791,6.8062,6.9671
2013-10-28,7.0456,7.0456,6.8376,6.8494
2013-10-29,6.8494,6.9553,6.8494,6.8690
2013-10-30,6.8690,6.9632,6.8219,6.8729
2013-10-31,6.8297,6.8572,6.7709,6.8140
2013-11-01,6.8140,6.8690,6.8023,6.8023
2013-11-04,6.8023,6.9632,6.8023,6.9161
2013-11-05,6.8690,6.9475,6.8690,6.8690
2013-11-06,6.8690,6.9593,6.8690,6.9122
2013-11-07,6.9475,6.9475,6.7591,6.8808
2013-11-08,6.8690,6.9436,6.7748,6.9082
2013-11-11,6.8690,6.9200,6.5981,6.7198
2013-11-12,6.6727,6.8297,6.6727,6.7866
2013-11-13,6.7316,6.8258,6.7316,6.7944
2013-11-14,6.7591,6.8808,6.6531,6.7512
2013-11-15,6.7630,6.9043,6.7120,6.7238
2013-11-18,6.7041,6.8062,6.6610,6.6610
2013-11-19,6.6138,6.7473,6.6138,6.7198
2013-11-20,6.6727,6.7866,6.6374,6.6492
2013-11-21,6.6099,6.7395,6.5746,6.7395
2013-11-22,6.7120,6.7473,6.5824,6.6610
2013-11-25,6.5981,6.7120,6.5981,6.6296
2013-11-26,6.6296,6.7395,6.5667,6.7120
2013-11-27,6.7198,6.7709,6.7120,6.7630
2013-11-29,6.7983,6.7983,6.7630,6.7630
2013-12-02,6.7709,6.7905,6.6727,6.7355
2013-12-03,6.6727,6.7944,6.6727,6.7944
2013-12-04,6.8572,6.8925,6.6963,6.7395
2013-12-05,6.8062,6.9593,6.7316,6.7434
2013-12-06,6.7905,6.9357,6.6767,6.6767
2013-12-09,6.6727,6.8023,6.6727,6.7983
2013-12-10,6.7709,6.9279,6.7709,6.8651
2013-12-11,6.8768,6.8768,6.6924,6.7277
2013-12-12,6.7041,6.7787,6.6924,6.7002
2013-12-13,6.7120,6.8494,6.6256,6.7355
2013-12-16,6.7826,6.7826,6.7002,6.7238
2013-12-17,6.7041,6.7316,6.6845,6.7041
2013-12-18,6.7159,6.9239,6.7159,6.8101
2013-12-19,6.8101,6.8101,6.6963,6.7355
2013-12-20,6.7826,6.9632,6.7709,6.9632
2013-12-23,6.9396,7.1045,6.8729,6.9710
2013-12-24,6.9671,6.9946,6.9200,6.9279
2013-12-26,6.8690,6.9671,6.8062,6.9396
2013-12-27,6.9161,7.0613,6.8690,7.0103
2013-12-30,7.0338,7.1202,6.9122,7.0064
2013-12-31,7.0181,7.2576,7.0181,7.1594
2014-01-02,7.2301,7.2419,7.0378,7.1437
2014-01-03,7.1948,7.1948,6.9396,7.1280
2014-01-06,7.0888,7.1398,7.0142,7.0574
2014-01-07,7.0574,7.1241,7.0064,7.0378
2014-01-08,7.0064,7.1202,7.0064,7.1045
2014-01-09,7.0652,7.1241,7.0652,7.0692
2014-01-10,7.0652,7.0927,7.0221,7.0692
2014-01-13,7.0338,7.0888,7.0064,7.0064
2014-01-14,7.0338,7.1477,7.0064,7.0064
2014-01-15,7.0064,7.0456,7.0064,7.0064
2014-01-16,7.0064,7.0849,7.0064,7.0574
2014-01-17,7.0652,7.1594,7.0064,7.1594
2014-01-21,7.1594,7.1594,7.0221,7.0221
2014-01-22,7.0338,7.0652,7.0064,7.0338
2014-01-23,7.0849,7.1045,7.0378,7.0652
2014-01-24,7.1437,7.2183,7.0456,7.2183
2014-01-27,7.2458,7.2929,7.1594,7.2576
2014-01-28,7.2615,7.2615,7.1437,7.2183
2014-01-29,7.2497,7.3439,7.1555,7.2222
2014-01-30,7.2026,7.2890,7.1477,7.2183
2014-01-31,7.1869,7.2733,7.1594,7.1908
2014-02-03,7.1751,7.2340,7.1437,7.1516
2014-02-04,7.1987,7.2850,7.1634,7.1830
2014-02-05,7.1830,7.2615,7.1555,7.1555
2014-02-06,7.2075,7.3430,7.1756,7.2115
2014-02-07,7.1556,7.3111,7.1556,7.2792
2014-02-10,7.2752,7.3669,7.2473,7.2792
2014-02-11,7.2593,7.3510,7.1596,7.2952
2014-02-12,7.1955,7.2832,7.1835,7.2712
2014-02-13,7.1995,7.2952,7.1995,7.2752
2014-02-14,7.2752,7.3430,7.2354,7.2752
2014-02-18,7.3430,7.3749,7.2553,7.3151
2014-02-19,7.3550,7.3749,7.2792,7.2952
2014-02-20,7.3510,7.4785,7.2752,7.3430
2014-02-21,7.3430,7.4706,7.3231,7.4267
2014-02-24,7.4148,7.4506,7.3430,7.3589
2014-02-25,7.3510,7.3629,7.2752,7.3071
2014-02-26,7.3629,7.3629,7.2752,7.2832
2014-02-27,7.3031,7.4068,7.2752,7.4068
2014-02-28,7.3589,7.4148,7.3271,7.3629
2014-03-03,7.3111,7.3948,7.2952,7.2952
2014-03-04,7.3191,7.3510,7.2952,7.2992
2014-03-05,7.2952,7.3510,7.2952,7.3191
2014-03-06,7.3151,7.4108,7.2752,7.3390
2014-03-07,7.3350,7.4945,7.3151,7.3829
2014-03-10,7.3470,7.4068,7.3470,7.4028
2014-03-11,7.3749,7.4387,7.3350,7.3430
2014-03-12,7.3430,7.4148,7.3031,7.3550
2014-03-13,7.3749,7.3749,7.3031,7.3191
2014-03-14,7.3550,7.3749,7.2832,7.3111
2014-03-17,7.3749,7.4307,7.2752,7.3390
2014-03-18,7.3031,7.3709,7.2952,7.3350
2014-03-19,7.3550,7.3709,7.2952,7.3350
2014-03-20,7.3350,7.3470,7.3151,7.3430
2014-03-21,7.3749,7.7735,7.3350,7.7735
2014-03-24,7.7177,7.7177,7.5264,7.6380
2014-03-25,7.6619,7.6938,7.5941,7.5981
2014-03-26,7.5941,7.6659,7.5344,7.6141
2014-03-27,7.5702,8.2718,7.5662,7.8732
2014-03-28,7.8612,8.1004,7.6739,8.0366
2014-03-31,8.0725,8.1243,7.5862,7.8772
2014-04-01,8.0406,8.0885,7.9450,8.0327
2014-04-02,8.0725,8.2798,7.9968,8.0964
2014-04-03,8.0087,8.3715,8.0087,8.1961
2014-04-04,8.1443,8.3077,7.6579,7.9529
2014-04-07,7.9170,8.3077,7.9170,8.1204
2014-04-08,8.1722,8.1722,7.9729,8.0087
2014-04-09,8.0048,8.1323,7.9370,8.0566
2014-04-10,7.9888,8.1722,7.9768,8.1323
2014-04-11,8.1323,8.1323,7.7137,7.8612
2014-04-14,7.8931,7.9928,7.5941,7.7337
2014-04-15,7.7337,7.9729,7.6739,7.9250
2014-04-16,7.9450,8.0925,7.7018,7.7217
2014-04-17,7.7217,7.9330,7.6141,7.6779
2014-04-21,7.6938,7.8373,7.6460,7.7297
2014-04-22,7.7855,8.0925,7.7217,7.9729
2014-04-23,7.9051,8.3476,7.9051,8.3197
2014-04-24,8.3237,8.9097,8.3237,8.6426
2014-04-25,8.7422,8.7422,8.3715,8.5070
2014-04-28,8.4751,8.7821,8.4751,8.7064
2014-04-29,8.7462,8.8100,8.6904,8.6984
2014-04-30,8.7064,8.8140,8.4353,8.6585
2014-05-01,8.4273,8.7701,8.3914,8.5429
2014-05-02,8.5908,8.5908,8.3874,8.4193
2014-05-05,8.3994,8.5549,8.3994,8.4193
2014-05-06,8.3874,8.4034,8.2519,8.2918
2014-05-07,8.3703,8.4557,8.2808,8.2808
2014-05-08,8.3378,8.5208,8.2320,8.2320
2014-05-09,8.6347,8.6347,8.3418,8.5370
2014-05-12,8.4760,8.5370,8.3215,8.5208
2014-05-13,8.5004,8.9234,8.1466,8.8217
2014-05-14,8.8258,9.5294,8.8258,9.5294
2014-05-15,9.5294,10.7008,9.5294,9.7003
2014-05-16,9.7613,9.8670,9.6393,9.6637
2014-05-19,9.7613,9.7735,9.5864,9.6433
2014-05-20,9.6474,9.9443,9.5864,9.7165
2014-05-21,9.6881,9.6881,9.1919,9.5986
2014-05-22,9.6027,9.7531,9.3586,9.6515
2014-05-23,9.6515,9.7084,9.4888,9.6637
2014-05-27,9.5823,9.6352,9.4888,9.6189
2014-05-28,9.7613,9.8385,9.6515,9.8304
2014-05-29,9.8223,10.1070,9.5945,10.0053
2014-05-30,9.9646,10.1558,9.9646,10.0582
2014-06-02,10.2697,10.8391,9.9646,10.4527
2014-06-03,10.5178,10.7781,10.4161,10.6194
2014-06-04,10.7171,10.9326,10.6561,10.7699
2014-06-05,10.6967,11.1034,10.6967,10.7577
2014-06-06,10.8757,10.8757,10.6194,10.6479
2014-06-09,10.7130,10.9001,10.7130,10.7903
2014-06-10,10.7781,10.7781,10.2575,10.2737
2014-06-11,10.2737,10.4934,10.1680,10.3836
2014-06-12,10.4324,10.4324,10.0419,10.0907
2014-06-13,10.0012,10.2127,10.0012,10.1436
2014-06-16,10.0419,10.3469,9.9646,10.0460
2014-06-17,9.9768,10.1639,9.9402,10.0988
2014-06-18,10.6520,10.6520,10.0948,10.0948
2014-06-19,10.2331,10.3510,10.0948,10.2127
2014-06-20,10.2534,10.3144,10.2290,10.2453
2014-06-23,10.1924,10.3266,10.0378,10.2331
2014-06-24,10.3673,10.3673,10.0216,10.0419
2014-06-25,9.9646,10.2371,9.9646,10.0907
2014-06-26,10.0907,10.1680,9.9890,10.1477
2014-06-27,10.2453,10.3144,10.0297,10.2371
2014-06-30,10.2331,10.3795,10.2005,10.3510
2014-07-01,10.5747,10.5747,10.1721,10.3510
2014-07-02,10.3673,10.4486,9.6230,9.8426
2014-07-03,9.8711,9.9890,9.7613,9.8507
2014-07-07,9.9524,9.9524,9.8507,9.8996
2014-07-08,9.9199,9.9199,9.7613,9.7694
2014-07-09,9.7735,9.8955,9.7613,9.8426
2014-07-10,9.6474,9.8182,9.5579,9.7572
2014-07-11,9.6921,9.8792,9.6799,9.7938
2014-07-14,9.7816,10.1558,9.7816,9.9728
2014-07-15,10.1110,10.1110,9.8304,10.0256
2014-07-16,9.9687,10.1721,9.9443,9.9809
2014-07-17,10.0134,10.4568,9.9646,10.3551
2014-07-18,10.4974,10.9530,10.4568,10.4568
2014-07-21,10.4405,10.5869,10.2900,10.4730
2014-07-22,10.4242,10.5747,10.3917,10.5096
2014-07-23,10.5706,10.8147,10.3022,10.4608
2014-07-24,10.5015,10.5584,10.3469,10.5584
2014-07-25,10.5747,10.5747,10.4934,10.4934
2014-07-28,10.4974,10.5218,10.3022,10.3103
2014-07-29,10.3673,10.4812,10.1924,10.1924
2014-07-30,10.2493,10.7699,10.2087,10.3714
2014-07-31,10.3998,10.3998,9.8141,10.1070
2014-08-01,10.1761,10.5666,9.9768,9.9809
2014-08-04,10.0338,10.2087,9.5986,9.8752
2014-08-05,9.8426,10.0053,9.6596,9.7206
2014-08-06,9.7936,9.9593,9.5284,9.5284
2014-08-07,9.6030,9.7273,9.1390,9.3089
2014-08-08,9.1680,9.9841,8.8200,9.7687
2014-08-11,9.7687,10.5393,9.6196,10.2741
2014-08-12,10.2948,10.5268,10.1913,10.4067
2014-08-13,10.4026,10.6843,9.5699,10.6263
2014-08-14,10.6925,10.6925,10.0338,10.4440
2014-08-15,10.5600,10.6345,10.0753,10.4398
2014-08-18,10.5641,10.5641,10.3446,10.3984
2014-08-19,10.4026,10.7713,10.0794,10.4274
2014-08-20,10.3363,10.5641,10.2658,10.4854
2014-08-21,10.4647,10.7298,10.2866,10.3611
2014-08-22,10.3570,10.9743,10.2658,10.7920
2014-08-25,10.7754,10.9328,10.5724,10.6304
2014-08-26,10.6180,10.8955,10.5766,10.7713
2014-08-27,10.8210,10.9577,10.7174,10.8748
2014-08-28,10.8873,10.9743,10.7091,10.8500
2014-08-29,10.8541,10.8541,10.7257,10.7920
2014-09-02,10.4813,10.8500,10.1043,10.2203
2014-09-03,10.1291,10.2327,9.6320,9.8226
2014-09-04,9.7563,9.8971,9.6776,9.7687
2014-09-05,9.7728,10.1374,9.5781,10.1333
2014-09-08,10.1540,10.3114,9.6900,10.0628
2014-09-09,9.9551,10.1871,9.9551,10.1747
2014-09-10,10.2244,10.2700,9.8764,10.1374
2014-09-11,10.0504,10.1954,9.9634,10.1871
2014-09-12,10.2493,10.2658,10.1167,10.1747
2014-09-15,10.1788,10.2783,10.0214,10.1913
2014-09-16,10.1208,10.2534,10.0753,10.1208
2014-09-17,10.1498,10.2203,9.7356,9.8681
2014-09-18,9.9344,10.4606,9.7521,10.4481
2014-09-19,10.3777,10.5351,10.3777,10.5020
2014-09-22,10.3570,10.5310,10.2948,10.4730
2014-09-23,10.2741,10.4937,10.2327,10.3031
2014-09-24,10.3156,10.5517,10.3156,10.3487
2014-09-25,10.3777,10.4398,10.2265,10.3943
2014-09-26,10.3694,10.4564,10.1747,10.3321
2014-09-29,10.2907,10.5600,10.2120,10.4958
2014-09-30,10.3901,10.5641,10.3901,10.5351
2014-10-01,10.5641,11.1855,10.5476,11.0447
2014-10-02,11.1855,11.1938,10.5144,10.7588
2014-10-03,10.9618,10.9618,10.5476,10.7464
2014-10-06,10.8168,10.8748,10.5931,10.6055
2014-10-07,10.5724,10.8127,10.4896,10.5724
2014-10-08,10.5434,10.7102,10.4274,10.4937
2014-10-09,10.5641,10.6553,10.1664,10.1664
2014-10-10,10.2658,10.3653,9.9468,10.3238
2014-10-13,10.2824,10.2824,9.7770,9.8806
2014-10-14,9.7024,9.7298,9.3213,9.3420
2014-10-15,9.3876,9.5823,9.1432,9.3420
2014-10-16,9.3503,10.6721,9.2177,9.6320
2014-10-17,9.8267,10.4191,9.8267,10.0711
2014-10-20,10.1208,10.3304,9.9344,10.1498
2014-10-21,10.2368,10.5144,10.1582,10.1996
2014-10-22,10.0256,10.4854,10.0256,10.3818
2014-10-23,10.2493,10.3570,9.9924,10.1043
2014-10-24,10.0131,10.3321,9.6030,10.2783
2014-10-27,10.3528,10.3570,10.0877,10.2286
2014-10-28,10.1333,10.1706,9.9468,9.9883
2014-10-29,10.1250,10.1457,9.6569,9.7977
2014-10-30,9.7148,9.8184,9.3834,9.4704
2014-10-31,9.4497,9.5989,9.2633,9.2674
2014-11-03,9.4083,9.8184,9.2177,9.3503
2014-11-04,9.7314,9.7314,8.9733,9.1141
2014-11-05,9.1514,9.3959,8.8407,9.0396
2014-11-06,9.1110,9.4956,9.0054,9.3223
2014-11-07,9.5040,9.5040,9.2716,9.3350
2014-11-10,9.3350,9.4702,9.1913,9.2970
2014-11-11,9.4050,9.9013,9.2446,9.9013
2014-11-12,9.9816,9.9816,9.4618,9.5505
2014-11-13,9.5463,9.7618,9.3604,9.4533
2014-11-14,9.5547,9.7018,9.2970,9.3139
2014-11-17,9.4702,9.7039,9.4026,9.4406
2014-11-18,9.4660,9.5632,9.4237,9.5378
2014-11-19,9.5801,9.6096,9.4660,9.5547
2014-11-20,9.7027,9.7027,9.5083,9.6097
2014-11-21,9.5716,9.6984,9.4660,9.6350
2014-11-24,9.6475,9.6731,9.5294,9.6393
2014-11-25,9.6338,9.7153,9.5294,9.6097
2014-11-26,9.5674,9.6350,9.5674,9.5716
2014-11-28,9.5590,9.7111,9.4703,9.4956
2014-12-01,9.1913,9.2547,8.1137,8.5574
2014-12-02,8.0292,8.8871,8.0292,8.7730
2014-12-03,8.6208,8.9377,8.5743,8.8321
2014-12-04,8.7244,8.9124,8.6208,8.8794
2014-12-05,8.9462,9.3604,8.9378,9.2167
2014-12-08,9.1744,9.2813,9.0645,9.1406
2014-12-09,9.0012,9.6857,9.0012,9.6350
2014-12-10,9.6350,9.8041,9.3857,9.4871
2014-12-11,9.5336,9.9393,9.4174,9.7111
2014-12-12,9.6942,9.9839,9.5336,9.9224
2014-12-15,9.7745,10.1168,9.6350,9.6942
2014-12-16,9.6900,9.8632,9.6807,9.7956
2014-12-17,9.7153,9.9520,9.5497,9.8506
2014-12-18,9.9900,10.1421,9.2970,9.7576
2014-12-19,9.9308,10.1421,9.6815,10.0661
2014-12-22,9.9308,10.1379,9.5083,9.5083
2014-12-23,9.6688,9.9266,9.5125,9.9266
2014-12-24,9.8759,9.9139,9.7196,9.9055
2014-12-26,9.8125,9.9636,9.7534,9.7660
2014-12-29,9.7660,10.0280,9.4956,9.4956
2014-12-30,9.5590,9.7096,9.3012,9.6815
2014-12-31,9.6731,10.0111,9.5294,9.9097
2015-01-02,9.7449,10.0914,9.5730,9.7322
2015-01-05,9.8463,10.1210,9.5759,10.0111
2015-01-06,10.1041,10.1844,9.9097,9.9900
2015-01-07,10.0788,10.9789,10.0196,10.5521
