DATE,OPEN,HIGH,LOW,CLOSE
1988-02-01,0.6751,0.6835,0.6751,0.6751
1988-02-02,0.6751,0.6835,0.6751,0.6751
1988-02-03,0.6751,0.6835,0.6751,0.6751
1988-02-04,0.6751,0.6835,0.6751,0.6835
1988-02-05,0.6751,0.6835,0.6751,0.6751
1988-02-08,0.6751,0.6751,0.6583,0.6667
1988-02-09,0.6667,0.6751,0.6499,0.6583
1988-02-10,0.6499,0.6583,0.6419,0.6499
1988-02-11,0.6583,0.6583,0.6419,0.6419
1988-02-12,0.6419,0.6499,0.6335,0.6419
1988-02-16,0.6335,0.6583,0.6335,0.6499
1988-02-17,0.6499,0.6583,0.6499,0.6499
1988-02-18,0.6583,0.6667,0.6499,0.6499
1988-02-19,0.6583,0.6583,0.6419,0.6419
1988-02-22,0.6419,0.6583,0.6419,0.6583
1988-02-23,0.6583,0.6583,0.6499,0.6583
1988-02-24,0.6499,0.6667,0.6499,0.6583
1988-02-25,0.6499,0.6667,0.6499,0.6499
1988-02-26,0.6499,0.6667,0.6499,0.6583
1988-02-29,0.6499,0.6916,0.6499,0.6916
1988-03-01,0.6835,0.7000,0.6835,0.6876
1988-03-02,0.6835,0.6916,0.6835,0.6835
1988-03-03,0.6835,0.6916,0.6835,0.6835
1988-03-04,0.6835,0.7168,0.6835,0.7084
1988-03-07,0.7084,0.7168,0.7084,0.7084
1988-03-08,0.7168,0.7168,0.7084,0.7168
1988-03-09,0.7168,0.7585,0.7084,0.7417
1988-03-10,0.7417,0.7585,0.7417,0.7417
1988-03-11,0.7417,0.7585,0.7084,0.7333
1988-03-14,0.7417,0.7417,0.7252,0.7417
1988-03-15,0.7252,0.7417,0.7252,0.7417
1988-03-16,0.7376,0.7376,0.7252,0.7333
1988-03-17,0.7333,0.7417,0.7333,0.7333
1988-03-18,0.7333,0.7833,0.7333,0.7669
1988-03-21,0.7669,0.7833,0.7669,0.7669
1988-03-22,0.7669,0.7833,0.7669,0.7669
1988-03-23,0.7669,0.7833,0.7669,0.7669
