DATE,OPEN,HIGH,LOW,CLOSE
1995-02-15,1.3273,1.3405,1.3273,1.3405
1995-02-16,1.3273,1.3273,1.2996,1.2996
1995-02-17,1.2852,1.2996,1.2852,1.2996
1995-02-21,1.2720,1.2996,1.2720,1.2720
1995-02-22,1.2720,1.2720,1.2587,1.2587
1995-02-23,1.2587,1.2720,1.2443,1.2587
1995-02-24,1.2587,1.2720,1.2587,1.2720
1995-02-27,1.2443,1.2720,1.2443,1.2587
1995-02-28,1.2587,1.2720,1.2587,1.2587
1995-03-01,1.2587,1.2852,1.2587,1.2852
1995-03-02,1.2720,1.2996,1.2720,1.2852
1995-03-03,1.2852,1.2996,1.2720,1.2996
1995-03-06,1.2852,1.2996,1.2720,1.2852
1995-03-07,1.2720,1.2852,1.2587,1.2720
1995-03-08,1.2587,1.2720,1.2443,1.2443
1995-03-09,1.2443,1.2587,1.2299,1.2299
1995-03-10,1.2299,1.2720,1.2299,1.2443
1995-03-13,1.2720,1.2996,1.2720,1.2996
1995-03-14,1.2996,1.3140,1.2852,1.3140
1995-03-15,1.2996,1.3140,1.2996,1.3140
1995-03-16,1.2996,1.3273,1.2996,1.3206
1995-03-17,1.3140,1.3273,1.3140,1.3140
1995-03-20,1.3140,1.3405,1.2996,1.3273
1995-03-21,1.3273,1.3273,1.3140,1.3273
1995-03-22,1.3140,1.3273,1.2996,1.2996
1995-03-23,1.2996,1.3273,1.2996,1.3273
1995-03-24,1.3140,1.3273,1.3140,1.3273
1995-03-27,1.3140,1.3273,1.3140,1.3140
1995-03-28,1.3140,1.3273,1.2996,1.3140
1995-03-29,1.3140,1.3405,1.3140,1.3273
1995-03-30,1.3140,1.3273,1.3140,1.3140
1995-03-31,1.3273,1.3273,1.3140,1.3273
1995-04-03,1.3140,1.3273,1.2996,1.3140
1995-04-04,1.2996,1.3140,1.2996,1.3140
1995-04-05,1.2996,1.3140,1.2996,1.3140
1995-04-06,1.2996,1.3140,1.2852,1.3140
1995-04-07,1.3140,1.3140,1.2996,1.3140
1995-04-10,1.3140,1.3273,1.2996,1.3140
1995-04-11,1.3140,1.3273,1.3140,1.3273
1995-04-12,1.3140,1.3273,1.3140,1.3273
1995-04-13,1.3140,1.3405,1.3140,1.3405
1995-04-17,1.3273,1.3549,1.3273,1.3405
1995-04-18,1.3405,1.3549,1.3405,1.3549
1995-04-19,1.3549,1.3826,1.3549,1.3693
1995-04-20,1.3693,1.3826,1.3549,1.3693
1995-04-21,1.3693,1.3826,1.3693,1.3826
1995-04-24,1.3826,1.3826,1.3693,1.3826
1995-04-25,1.3826,1.3826,1.3693,1.3693
1995-04-26,1.3693,1.3826,1.3549,1.3826
1995-04-27,1.3693,1.3826,1.3549,1.3549
1995-04-28,1.3549,1.3693,1.3549,1.3693
1995-05-01,1.3549,1.3693,1.3549,1.3693
1995-05-02,1.3693,1.3693,1.3549,1.3693
1995-05-03,1.3693,1.3826,1.3693,1.3826
1995-05-04,1.3826,1.4102,1.3693,1.3958
1995-05-05,1.3826,1.3826,1.3693,1.3826
1995-05-08,1.3693,1.3958,1.3693,1.3958
1995-05-09,1.3826,1.3958,1.3693,1.3958
1995-05-10,1.3826,1.4102,1.3826,1.3958
1995-05-11,1.3958,1.4379,1.3958,1.4379
1995-05-12,1.4246,1.4379,1.4102,1.4168
1995-05-15,1.4246,1.4799,1.4246,1.4799
1995-05-16,1.4655,1.4799,1.4379,1.4511
1995-05-17,1.4379,1.4799,1.4379,1.4799
1995-05-18,1.4799,1.4799,1.4511,1.4511
1995-05-19,1.4379,1.4379,1.4102,1.4379
1995-05-22,1.4246,1.4379,1.4102,1.4246
1995-05-23,1.4379,1.4655,1.4379,1.4655
1995-05-24,1.4511,1.4655,1.4379,1.4511
1995-05-25,1.4511,1.4511,1.4246,1.4379
1995-05-26,1.4246,1.4246,1.4102,1.4102
