DATE,OPEN,HIGH,LOW,CLOSE
1991-09-18,10.1293,10.1293,10.0093,10.0482
1991-09-19,10.1293,10.1293,9.9672,10.0482
1991-09-20,10.1293,10.1293,9.8051,9.8051
1991-09-23,9.8862,9.9672,9.8051,9.8862
1991-09-24,10.2913,10.6155,10.2913,10.4955
1991-09-25,10.4955,10.8586,10.4955,10.7775
1991-09-26,10.7386,10.8586,10.5766,10.7775
1991-09-27,10.6965,10.8197,10.6965,10.7775
1991-09-30,10.6576,10.7775,10.6155,10.7775
1991-10-01,10.6576,10.7386,10.5344,10.7386
1991-10-02,10.6965,10.7775,10.3724,10.6155
1991-10-03,10.5766,10.6155,10.4955,10.5766
1991-10-04,10.5344,10.5344,10.4534,10.4955
1991-10-07,10.4955,10.4955,10.3335,10.3724
1991-10-08,10.3724,10.4955,10.3724,10.4145
1991-10-09,10.4145,10.5344,10.3724,10.3724
1991-10-10,10.3724,10.4534,10.2913,10.3724
1991-10-11,10.4145,10.4145,10.2524,10.2913
1991-10-14,10.3724,10.4534,10.3335,10.4534
1991-10-15,10.4534,10.9007,10.4534,10.8586
1991-10-16,10.8197,10.9817,10.7775,10.9817
1991-10-17,11.0206,11.0628,10.9007,11.0206
1991-10-18,10.9396,10.9817,10.9007,10.9396
1991-10-21,10.9817,10.9817,10.8586,10.8586
1991-10-22,10.7775,10.9007,10.6965,10.6965
1991-10-23,10.6576,10.6965,10.5344,10.6155
1991-10-24,10.6576,10.6965,10.4145,10.4534
1991-10-25,10.4955,10.4955,10.2913,10.2913
1991-10-28,10.2913,10.3724,10.2103,10.2103
1991-10-29,10.2913,10.6576,10.2913,10.6576
1991-10-30,10.6965,10.7386,10.5766,10.7386
1991-10-31,10.6965,11.1827,10.6965,11.1827
1991-11-01,11.1827,11.1827,11.0206,11.0206
1991-11-04,10.9396,10.9396,10.6155,10.7775
1991-11-05,10.8197,11.0628,10.8197,11.0628
1991-11-06,11.1438,11.1438,10.8586,10.9396
1991-11-07,10.8586,10.9817,10.7775,10.9817
1991-11-08,10.9817,11.0206,10.9396,11.0206
1991-11-11,10.9396,10.9817,10.8197,10.9817
1991-11-12,10.9007,11.1017,10.9007,11.0206
1991-11-13,11.0206,11.1017,10.8586,11.0628
1991-11-14,11.1017,11.3059,11.0628,11.1827
1991-11-15,11.1438,11.2248,10.8197,11.0206
1991-11-18,10.9396,10.9817,10.3724,10.3724
1991-11-19,10.5344,10.5766,10.3724,10.5766
1991-11-20,10.6155,10.7386,10.5344,10.6155
1991-11-21,10.5344,10.6576,10.4534,10.5344
1991-11-22,10.5766,10.6155,10.4955,10.5766
1991-11-25,10.4534,10.4534,10.2103,10.3335
1991-11-26,10.2524,10.2524,10.1293,10.2524
1991-11-27,10.2913,10.5344,10.2913,10.3335
1991-11-29,10.2524,10.2524,10.0904,10.2103
1991-12-02,10.1714,10.1714,9.8862,10.1293
1991-12-03,10.1293,10.1293,10.0482,10.1293
1991-12-04,10.0482,10.0904,9.9672,10.0093
1991-12-05,10.0904,10.1714,10.0482,10.1293
1991-12-06,10.0482,10.1293,9.9283,10.0093
1991-12-09,10.0615,10.0615,9.8180,9.8602
1991-12-10,9.7791,9.8602,9.6558,9.7369
1991-12-11,9.7369,10.0615,9.6979,9.8180
1991-12-12,9.8992,10.2659,9.8180,10.2237
1991-12-13,10.2659,10.4672,10.2659,10.3471
1991-12-16,10.3860,10.4672,10.3049,10.3049
1991-12-17,10.3860,10.8339,10.3860,10.7106
1991-12-18,10.7106,10.8729,10.6294,10.8729
1991-12-19,10.7528,10.7917,10.6294,10.7917
1991-12-20,10.7528,10.9151,10.7106,10.7528
