DATE,OPEN,HIGH,LOW,CLOSE
2007-06-14,28.9583,30.7271,28.9583,30.4062
2007-06-15,30.6019,30.6019,29.9366,30.3671
2007-06-18,30.5628,30.6019,29.0757,29.0757
2007-06-19,29.0757,29.5062,28.2539,28.7235
2007-06-20,28.8253,28.8253,27.6513,28.1365
2007-06-21,28.1757,28.7235,27.9800,28.7235
2007-06-22,28.9583,30.9150,28.8018,30.4845
2007-06-25,30.6019,31.3063,29.9366,30.7193
2007-06-26,30.7663,31.1498,30.6802,30.9150
2007-06-27,30.9150,31.1498,30.5236,31.1106
2007-06-28,31.1106,31.2672,30.9150,30.9932
2007-06-29,31.1732,31.2280,30.3280,30.5706
2007-07-02,30.6802,31.7994,30.5080,31.2828
2007-07-03,31.2906,31.7837,30.5862,31.0402
2007-07-05,30.9932,32.3081,30.7115,30.8758
2007-07-06,30.8367,31.2437,30.3671,31.1654
2007-07-09,30.9541,31.6194,30.1167,31.5411
2007-07-10,30.9150,30.9150,30.1167,30.5236
2007-07-11,30.5236,30.7193,30.2888,30.5706
2007-07-12,30.4845,30.5706,29.9836,30.5315
2007-07-13,29.9758,31.2202,29.7410,30.8915
2007-07-16,29.7410,31.1889,29.0131,30.7584
2007-07-17,30.5393,30.9150,29.9523,30.4141
2007-07-18,28.9192,30.4141,28.6453,29.6940
2007-07-19,29.7723,30.0932,29.4514,29.8192
2007-07-20,29.8192,29.8819,29.6392,29.7645
2007-07-23,27.4713,30.5236,27.4713,30.4532
2007-07-24,30.3045,30.6958,29.8427,30.0540
2007-07-25,29.9366,30.1871,29.7410,30.1088
2007-07-26,29.7410,29.9758,28.7392,29.3966
2007-07-27,28.1757,29.8427,27.9643,28.9192
2007-07-30,28.4887,28.5279,27.8469,28.2148
2007-07-31,28.2148,28.2383,27.9409,28.0348
2007-08-01,27.3304,28.1757,27.2052,27.5652
2007-08-02,27.0878,27.7843,26.6808,27.6043
2007-08-03,27.4713,27.7295,27.3930,27.4634
2007-08-06,27.5495,27.6435,27.3774,27.5104
2007-08-07,27.2756,27.6904,26.6103,27.2756
2007-08-08,25.1155,27.7609,25.1155,27.1895
2007-08-09,26.8451,27.2130,26.3129,26.3990
2007-08-10,26.3990,26.3990,25.3424,25.6790
2007-08-13,25.8277,26.0234,25.3503,25.8199
2007-08-14,25.9294,26.0234,25.1390,25.3972
2007-08-15,25.4598,26.0155,25.4364,25.7964
2007-08-16,25.0920,26.0234,25.0450,25.8590
2007-08-17,26.5321,27.5730,26.2190,27.4713
2007-08-20,27.2913,28.1600,27.0799,27.3539
2007-08-21,26.5321,27.3695,26.4929,27.1347
2007-08-22,27.1973,27.6591,26.8451,27.2834
2007-08-23,27.5887,27.8078,27.2913,27.6748
2007-08-24,27.6121,28.9583,27.4713,28.3870
2007-08-27,28.3322,28.6139,27.7061,27.7609
2007-08-28,27.3539,27.8861,27.3147,27.4869
2007-08-29,27.6435,27.7843,27.2443,27.6748
2007-08-30,27.4556,28.1522,27.1034,27.3617
2007-08-31,27.0252,27.8235,26.6103,27.2913
2007-09-04,27.2913,27.4087,26.8451,27.3226
2007-09-05,27.0017,27.2130,26.5712,27.1504
2007-09-06,25.0450,28.7157,25.0450,27.5730
2007-09-07,27.2365,27.2443,25.9451,26.2190
2007-09-10,26.1486,26.5712,25.9607,25.9842
2007-09-11,26.0390,26.1877,25.5146,25.8590
2007-09-12,25.6868,25.9764,25.3581,25.4833
2007-09-13,25.8355,25.9999,25.5538,25.7416
2007-09-14,25.5772,26.3677,25.5381,25.8746
2007-09-17,25.6712,26.0703,25.5068,25.9373
2007-09-18,25.8512,27.3852,25.5303,26.2895
2007-09-19,26.5712,27.0721,25.4677,25.8825
2007-09-20,25.8825,26.3442,25.6712,26.1877
2007-09-21,26.5008,26.5869,25.9686,26.1799
2007-09-24,26.2425,26.3834,25.8512,26.1329
2007-09-25,26.0860,26.4303,25.9373,26.4303
2007-09-26,26.8060,27.6669,26.7825,27.0330
2007-09-27,27.1895,27.9800,27.0330,27.5339
2007-09-28,27.5170,27.9177,27.3834,27.8391
2007-10-01,28.0513,28.7899,27.4462,28.5070
2007-10-02,28.2870,28.4834,28.0670,28.2477
2007-10-03,28.2556,28.2870,27.6977,28.0198
2007-10-04,28.0198,28.6563,27.4384,28.2084
2007-10-05,28.1691,28.9863,28.1377,28.3263
2007-10-08,28.4677,29.3320,28.4284,29.1670
2007-10-09,29.1670,29.3320,28.7349,28.8606
2007-10-10,28.5934,29.1670,28.5463,28.9470
2007-10-11,29.0727,29.2613,28.5620,28.7977
2007-10-12,28.6720,29.1435,28.5777,29.0727
