DATE,OPEN,HIGH,LOW,CLOSE
1995-10-11,14.3982,15.0844,14.3246,14.8577
1995-10-12,15.0108,15.0844,14.7780,15.0844
1995-10-13,15.6235,15.9299,15.5500,15.5500
1995-10-16,15.4704,15.6235,15.2437,15.5500
1995-10-17,15.5500,15.5500,15.3907,15.4704
1995-10-18,15.3907,15.8563,15.3172,15.8563
1995-10-19,15.9299,16.2362,15.8563,16.0034
1995-10-20,15.9299,16.0034,15.9299,16.0034
1995-10-23,15.9299,15.9299,15.6235,15.6235
1995-10-24,15.6970,15.8563,15.6970,15.6970
1995-10-25,15.6970,15.8563,15.6970,15.8563
1995-10-26,15.6970,15.7767,15.6235,15.6970
1995-10-27,15.2437,15.4704,15.1640,15.3172
1995-10-30,15.3172,15.3172,15.2437,15.2437
1995-10-31,15.2437,15.3907,15.0844,15.3907
1995-11-01,15.3172,16.0830,15.3172,15.7767
1995-11-02,15.7767,15.8563,15.6970,15.8563
1995-11-03,15.8563,15.8563,15.5500,15.5500
1995-11-06,15.4704,15.4704,14.6310,15.0844
1995-11-07,14.8577,15.2437,14.8577,15.1640
1995-11-08,15.1640,15.3172,15.1640,15.2437
1995-11-09,15.2437,15.4704,15.2437,15.2437
1995-11-10,15.1640,15.2437,15.0844,15.1640
1995-11-13,15.0844,15.3172,15.0844,15.1640
1995-11-14,15.1640,15.1640,14.9373,15.0108
1995-11-15,15.0108,15.2437,14.9373,15.2437
1995-11-16,15.2437,15.5500,15.2437,15.4704
1995-11-17,15.3907,15.4704,15.3172,15.4704
1995-11-20,15.4704,15.6235,15.4704,15.4704
1995-11-21,15.4704,15.5500,15.1640,15.2437
1995-11-22,15.1640,15.6235,15.1640,15.3172
1995-11-24,15.3907,15.3907,15.1640,15.1640
1995-11-27,15.1640,15.5500,15.1640,15.5500
1995-11-28,15.6235,15.8563,15.4704,15.6235
1995-11-29,15.5500,15.7767,15.5500,15.7767
1995-11-30,15.6970,16.1627,15.6970,15.9299
