DATE,OPEN,HIGH,LOW,CLOSE
2014-07-29,11.5002,11.6440,11.5002,11.5002
2014-07-30,11.5117,11.5807,11.5117,11.5462
2014-07-31,11.5175,11.5462,11.5060,11.5290
2014-08-01,11.5290,11.5290,11.5060,11.5060
2014-08-04,11.5175,11.5520,11.5060,11.5232
2014-08-05,11.4715,11.5692,11.4715,11.5232
2014-08-06,11.5290,11.5520,11.5117,11.5347
2014-08-07,11.5347,11.5462,11.5175,11.5232
2014-08-08,11.5462,11.5865,11.5117,11.5865
2014-08-11,11.5865,11.6382,11.5462,11.5922
2014-08-12,11.6497,11.6497,11.5577,11.5865
2014-08-13,11.6152,11.6210,11.5577,11.6095
2014-08-14,11.6440,11.6497,11.5865,11.6382
2014-08-15,11.6497,11.7302,11.6497,11.7245
2014-08-18,11.8280,11.8280,11.5865,11.6267
2014-08-19,11.6670,11.7417,11.6267,11.7245
2014-08-20,11.7302,11.7302,11.6727,11.7187
2014-08-21,11.7302,11.7302,11.6440,11.7302
2014-08-22,11.7015,11.7302,11.6957,11.7302
2014-08-25,11.7245,11.7877,11.6152,11.6612
2014-08-26,11.8280,11.8280,11.6670,11.8107
2014-08-27,11.5290,11.5865,11.5002,11.5002
2014-08-28,11.5060,11.5347,11.5002,11.5002
2014-08-29,11.5232,11.5347,11.5060,11.5347
2014-09-02,11.5060,11.5232,11.5002,11.5002
2014-09-03,11.5232,11.5232,11.5002,11.5002
2014-09-04,11.5060,11.5232,11.5002,11.5002
2014-09-05,11.5002,11.5175,11.5002,11.5002
2014-09-08,11.5002,11.5060,11.5002,11.5002
2014-09-09,11.5002,11.5175,11.5002,11.5002
2014-09-10,11.5002,11.5060,11.5002,11.5002
2014-09-11,11.5117,11.6037,11.5002,11.5290
2014-09-12,11.4772,11.4772,11.2127,11.2817
2014-09-15,11.3507,11.3507,11.2242,11.3277
2014-09-16,11.2185,11.4427,11.2185,11.4427
2014-09-17,11.5366,11.5366,11.3805,11.4557
2014-09-18,11.4036,11.4788,11.3631,11.4788
2014-09-19,11.4788,11.4788,11.4210,11.4210
2014-09-22,11.4152,11.4724,11.2880,11.2995
2014-09-23,11.4499,11.4499,11.2803,11.3569
2014-09-24,11.4499,11.4499,11.3226,11.4383
2014-09-25,11.4210,11.4435,11.2128,11.2463
2014-09-26,11.2764,11.3440,11.0971,11.1376
2014-09-29,11.0971,11.1318,10.9236,10.9294
2014-09-30,10.9179,11.0335,10.8427,10.9005
2014-10-01,10.8716,11.1029,10.8427,10.9757
2014-10-02,10.9179,10.9641,10.7270,10.8774
2014-10-03,10.8600,11.1549,10.8485,11.1318
2014-10-06,11.3053,11.3053,10.9063,11.0219
2014-10-07,10.9179,11.0277,10.8022,10.8022
2014-10-08,10.8774,10.9699,10.7964,10.9554
2014-10-09,10.9815,11.1318,10.7675,10.7964
2014-10-10,10.7559,10.7559,10.1834,10.4205
2014-10-13,10.4552,10.4957,10.2355,10.3858
2014-10-14,10.3916,10.4917,10.2644,10.3338
2014-10-15,10.1430,10.3222,9.5878,9.8365
2014-10-16,9.8827,10.4090,9.6109,10.4090
2014-10-17,10.5938,11.0516,10.5356,10.8730
2014-10-20,10.8789,11.0106,10.5473,10.7043
2014-10-21,10.6927,10.9877,10.6578,10.7392
2014-10-22,10.6927,10.8149,10.4716,10.5702
2014-10-23,10.6229,11.1930,10.6229,11.0417
2014-10-24,10.9778,11.3384,10.8556,11.3152
2014-10-27,11.3152,11.4664,11.1531,11.3792
2014-10-28,11.4839,11.4839,11.1406,11.2977
2014-10-29,11.2337,11.2818,11.1057,11.2686
2014-10-30,11.2512,11.4956,11.2512,11.3617
2014-10-31,11.5653,11.5688,11.3501,11.4548
2014-11-03,11.4141,11.4955,11.1988,11.4955
2014-11-04,11.4199,11.4897,11.3152,11.3675
2014-11-05,11.4606,11.4897,11.3459,11.3675
2014-11-06,11.3443,11.4513,11.3443,11.4199
2014-11-07,11.4722,11.4722,11.2628,11.2884
2014-11-10,11.2803,11.4984,11.1872,11.4781
2014-11-11,11.4257,11.4606,11.2628,11.3326
2014-11-12,11.3210,11.3210,11.1697,11.2221
2014-11-13,11.3035,11.3501,11.2280,11.3443
2014-11-14,11.3850,11.3850,11.2279,11.2919
2014-11-17,11.2279,11.3268,11.2028,11.2395
2014-11-18,11.1880,11.4571,11.1763,11.3050
2014-11-19,11.3811,11.4220,11.3284,11.3811
2014-11-20,11.2757,11.4864,11.2757,11.4454
2014-11-21,11.5273,11.5917,11.4688,11.5215
2014-11-24,11.5566,11.6268,11.4643,11.5449
2014-11-25,11.5273,11.6092,11.4279,11.5215
2014-11-26,11.5098,11.6151,11.5098,11.5859
2014-11-28,11.6444,11.7029,11.5917,11.7029
2014-12-01,11.6444,11.6865,11.6093,11.6678
2014-12-02,11.6444,11.7556,11.6444,11.7029
2014-12-03,11.7556,11.7710,11.7029,11.7614
2014-12-04,11.7556,11.7614,11.7087,11.7439
2014-12-05,11.7790,11.8316,11.7321,11.8024
2014-12-08,11.8024,11.9194,11.7439,11.7636
2014-12-09,11.6678,11.8784,11.6678,11.8667
2014-12-10,11.8784,11.9369,11.7614,11.7965
2014-12-11,11.9369,12.0072,11.7497,11.7556
2014-12-12,11.7790,11.8199,11.6853,11.7087
2014-12-15,11.8024,11.8024,11.2640,11.3050
2014-12-16,11.2640,11.4890,11.0358,11.0358
2014-12-17,11.0626,11.7687,11.0391,11.7687
2014-12-18,11.7099,11.8334,11.5569,11.6805
2014-12-19,11.7687,12.0040,11.7099,11.9452
2014-12-22,11.9394,11.9394,11.7452,11.8511
2014-12-23,11.8629,11.8652,11.5392,11.5804
2014-12-24,11.6922,11.8511,11.5922,11.6216
2014-12-26,11.6863,11.8511,11.6569,11.6746
2014-12-29,11.6863,11.7687,11.6275,11.6981
2014-12-30,11.5687,11.7864,11.5687,11.7687
2014-12-31,11.8158,12.0629,11.6863,11.7981
2015-01-02,11.9158,12.0394,11.7687,12.0217
2015-01-05,11.9923,12.0041,11.6863,11.7628
2015-01-06,11.7628,11.8839,11.6746,11.7746
2015-01-07,11.8805,12.0553,11.8805,11.9747
2015-01-08,12.0217,12.0335,11.8276,11.9041
2015-01-09,11.8864,12.0041,11.8393,11.8393
2015-01-12,11.8746,11.9594,11.7864,11.8276
2015-01-13,11.8570,11.9629,11.7864,11.8623
2015-01-14,11.7687,11.8570,11.7452,11.8040
2015-01-15,11.8040,11.8688,11.6216,11.7275
2015-01-16,11.7628,11.8276,11.7570,11.8276
2015-01-20,11.8345,11.9262,11.8345,11.9173
2015-01-21,11.8936,11.9942,11.8640,11.9469
2015-01-22,11.9824,12.0829,11.9055,12.0120
2015-01-23,11.9646,12.0917,11.9055,11.9587
2015-01-26,12.0238,12.0415,11.7990,11.8522
2015-01-27,11.8522,11.9883,11.8345,11.9055
2015-01-28,12.0889,12.0889,11.7279,11.8167
2015-01-29,11.7871,11.8735,11.5836,11.7457
2015-01-30,11.8167,11.9528,11.7161,11.7398
2015-02-02,11.8049,11.8345,11.6185,11.8345
2015-02-03,11.8404,11.8936,11.7256,11.8108
2015-02-04,11.7635,11.8345,11.6865,11.7575
2015-02-05,11.8345,11.9114,11.7457,11.8581
2015-02-06,11.8345,11.9291,11.7753,11.7930
2015-02-09,11.7990,11.8995,11.7930,11.8108
2015-02-10,11.8581,11.9765,11.8108,11.9114
2015-02-11,11.8463,11.9765,11.8226,11.9173
2015-02-12,11.9232,11.9351,11.8345,11.8640
2015-02-13,11.8345,11.9351,11.8345,11.9232
2015-02-17,11.9064,12.0968,11.9064,12.0135
2015-02-18,12.0254,12.0551,11.8766,11.9480
2015-02-19,11.8587,11.9618,11.8409,11.8984
2015-02-20,11.8528,12.1682,11.8409,12.1503
2015-02-23,12.0908,12.1920,11.9421,11.9837
2015-02-24,12.0075,12.0968,11.8290,11.8706
2015-02-25,11.9599,11.9837,11.8706,11.9361
2015-02-26,11.9123,11.9837,11.8766,11.9659
2015-02-27,11.9956,12.0492,11.9361,11.9956
2015-03-02,12.0254,12.0908,11.9599,12.0849
2015-03-03,12.0849,12.0849,11.9659,12.0551
2015-03-04,12.0254,12.1384,11.9944,12.0611
2015-03-05,12.1146,12.1682,12.0492,12.1384
2015-03-06,12.0492,12.1503,12.0075,12.0432
2015-03-09,11.9956,12.1444,11.9897,12.1265
2015-03-10,12.0730,12.1206,11.8944,11.8944
2015-03-11,11.9540,12.0135,11.7516,11.8706
2015-03-12,11.8706,12.0046,11.8706,11.9123
2015-03-13,11.8706,12.0135,11.8468,11.9123
2015-03-16,11.9718,12.1325,11.9603,12.1206
2015-03-17,12.1341,12.1580,12.0563,12.1042
2015-03-18,12.0384,12.1760,11.9726,12.0384
2015-03-19,12.0743,12.3495,12.0563,12.2478
2015-03-20,12.3734,12.5589,12.3136,12.5290
2015-03-23,12.4452,12.5170,12.3256,12.3495
2015-03-24,12.3555,12.4752,12.3256,12.3316
2015-03-25,12.2777,12.3072,12.0384,12.1042
2015-03-26,12.0264,12.2298,11.9845,12.1162
2015-03-27,12.0982,12.2446,12.0922,12.1760
2015-03-30,12.2478,12.4213,12.2355,12.3615
2015-03-31,12.4153,12.4153,12.2657,12.3136
2015-04-01,12.3615,12.4153,12.1221,12.4153
2015-04-02,12.3974,12.4093,12.2239,12.4093
2015-04-06,12.3914,12.4665,12.3375,12.4452
2015-04-07,12.4991,12.5051,12.4512,12.4512
2015-04-08,12.4811,12.5290,12.4273,12.4393
2015-04-09,12.4991,12.5350,12.3914,12.4991
2015-04-10,12.4572,12.5350,12.4512,12.5051
2015-04-13,12.4752,12.6481,12.4752,12.6427
2015-04-14,12.5888,12.6247,12.4871,12.6247
2015-04-15,12.6247,12.7983,12.5529,12.7624
2015-04-16,12.6965,12.8641,12.6965,12.8401
2015-04-17,12.7339,12.7683,12.6016,12.7339
2015-04-20,12.7640,12.9084,12.6678,12.7099
