DATE,OPEN,HIGH,LOW,CLOSE
1998-11-16,8.1591,8.3191,8.1591,8.2807
1998-11-17,8.3191,8.4791,8.2807,8.3959
1998-11-18,8.3191,9.3174,8.3191,9.3174
1998-11-19,9.3174,9.4005,9.0358,9.3558
1998-11-20,9.8805,10.9556,9.8805,10.9172
1998-11-23,11.5187,14.2000,11.5187,13.2401
1998-11-24,13.4001,15.5567,12.7986,15.4799
1998-11-25,15.9598,19.3578,15.9598,17.9180
1998-11-27,17.3165,19.1211,16.7597,16.8813
1998-11-30,16.0750,16.2414,14.4752,14.5584
1998-12-01,14.0784,15.8382,12.7986,15.8382
1998-12-02,15.8382,15.8382,14.0784,14.5584
1998-12-03,13.1185,14.5584,12.9586,14.3984
1998-12-04,14.3984,14.5584,12.7218,13.1953
1998-12-07,12.8754,14.8783,12.5554,14.5584
1998-12-08,14.7184,14.7184,13.6817,13.8353
1998-12-09,13.7585,13.8353,12.6002,13.3617
1998-12-10,13.5153,14.2384,13.3617,13.4385
1998-12-11,13.1185,13.1953,12.1586,12.5554
1998-12-14,12.4018,12.4018,11.3971,11.4419
1998-12-15,11.5955,11.6787,11.0388,11.5187
1998-12-16,11.4419,11.8387,10.8788,10.9556
1998-12-17,10.8020,11.7619,10.8020,11.6787
1998-12-18,11.5955,11.5955,11.3971,11.5187
1998-12-21,12.1586,14.1552,12.0818,13.7201
1998-12-22,13.5985,13.6369,13.2785,13.4769
1998-12-23,13.4385,13.4385,13.2785,13.4385
1998-12-24,13.4385,13.5153,13.4385,13.4385
1998-12-28,13.5153,13.5153,11.8387,12.0818
1998-12-29,11.8387,11.8387,11.0772,11.1987
1998-12-30,11.3587,11.3587,10.5588,10.9556
1998-12-31,10.8020,11.2755,10.6356,11.1604
1999-01-04,10.8274,11.9758,10.8274,11.6083
1999-01-05,11.6083,13.2029,11.6083,12.9601
1999-01-06,13.2882,13.5310,13.0454,13.2029
1999-01-07,12.6714,13.0454,12.5073,12.8748
1999-01-08,13.2882,13.2882,12.7960,13.1241
1999-01-11,12.9601,12.9601,12.2645,12.6320
1999-01-12,12.4679,12.9601,12.3892,12.9601
1999-01-13,10.6634,13.7803,10.6634,12.1005
1999-01-14,12.2645,13.1241,11.2343,12.4679
1999-01-15,12.4679,13.1241,11.6870,12.8748
1999-01-19,13.2029,13.2882,12.0611,12.4679
1999-01-20,12.1398,12.1398,11.0768,11.5624
1999-01-21,11.4049,11.4049,10.9062,11.1555
1999-01-22,10.9915,11.6477,10.7487,10.8668
1999-01-25,10.7027,10.9521,10.6240,10.9521
1999-01-26,10.9062,11.7724,10.5781,11.1949
1999-01-27,11.0768,11.0768,10.6634,10.8274
1999-01-28,10.7487,10.9915,10.3353,10.5781
1999-01-29,10.5781,12.1398,10.4206,10.6634
1999-02-01,10.5781,11.7724,10.5781,11.6477
1999-02-02,11.8905,13.0848,11.4049,12.9601
1999-02-03,12.7960,13.1241,11.4836,11.4836
1999-02-04,11.4836,11.8117,10.9915,11.1555
1999-02-05,10.9915,11.1555,10.6634,10.8668
1999-02-08,11.0308,11.0768,10.7027,10.7027
1999-02-09,10.6634,10.6634,10.0925,10.2500
1999-02-10,10.1712,11.6477,10.1712,11.0768
1999-02-11,11.1555,11.4836,11.1555,11.1949
1999-02-12,11.0768,11.8117,11.0768,11.4836
1999-02-16,11.4049,11.7724,11.4049,11.4836
1999-02-17,11.2343,11.4049,10.9915,10.9915
1999-02-18,11.1555,11.8905,11.1555,11.8117
1999-02-19,11.8905,11.8905,11.5624,11.7330
1999-02-22,11.7724,11.8511,11.6477,11.8117
