DATE,OPEN,HIGH,LOW,CLOSE
2000-10-06,1.8049,1.8386,1.6667,1.7384
2000-10-09,1.7225,1.7225,1.6064,1.6064
2000-10-10,1.5949,1.6835,1.5949,1.6286
2000-10-11,1.6224,1.6224,1.5621,1.5727
2000-10-12,1.5506,1.5506,1.4177,1.4957
2000-10-13,1.4735,1.5284,1.4620,1.5284
2000-10-16,1.5284,1.5506,1.5178,1.5338
2000-10-17,1.5284,1.6507,1.5284,1.6286
2000-10-18,1.6170,1.6286,1.5400,1.5453
2000-10-19,1.5559,1.5621,1.5063,1.5116
2000-10-20,1.5231,1.5231,1.4957,1.5063
2000-10-23,1.5063,1.5063,1.4841,1.4841
2000-10-24,1.5063,1.5506,1.5010,1.5506
2000-10-25,1.5506,1.6613,1.5400,1.6170
2000-10-26,1.6064,1.6064,1.5621,1.6064
2000-10-27,1.6224,1.7393,1.6117,1.7278
2000-10-30,1.7110,1.9050,1.7056,1.9050
2000-10-31,1.9936,2.1487,1.9936,2.0716
2000-11-01,2.0494,2.0769,1.9830,2.0547
2000-11-02,2.0654,2.1380,2.0494,2.1159
2000-11-03,2.0937,2.2373,2.0379,2.2373
2000-11-06,2.2373,2.2373,2.1265,2.1318
2000-11-07,2.1265,2.1265,2.0494,2.1044
2000-11-08,1.9715,2.1265,1.9165,2.1265
2000-11-09,2.1265,2.1487,2.0716,2.1212
2000-11-10,2.1159,2.2151,2.1159,2.1930
2000-11-13,2.1708,2.1708,1.9493,1.9608
2000-11-14,1.9493,2.0158,1.8829,2.0158
2000-11-15,2.0273,2.0601,1.9883,2.0379
2000-11-16,2.0273,2.0379,2.0273,2.0326
2000-11-17,2.0494,2.0716,2.0211,2.0716
2000-11-20,2.0601,2.0601,1.9493,2.0158
2000-11-21,2.0104,2.0158,1.9989,2.0051
2000-11-22,2.0158,2.0379,1.9936,2.0379
2000-11-24,2.0379,2.0379,2.0326,2.0379
2000-11-27,2.0601,2.1097,2.0379,2.1044
2000-11-28,2.0875,2.1434,2.0822,2.0822
2000-11-29,2.0601,2.0601,1.9493,1.9715
2000-11-30,1.9493,1.9608,1.9272,1.9608
2000-12-01,1.9387,1.9493,1.9050,1.9493
2000-12-04,1.9387,2.0494,1.9387,2.0494
2000-12-05,2.0494,2.0494,1.9715,1.9715
2000-12-06,1.9608,2.0547,1.9608,2.0432
2000-12-07,2.0654,2.1708,2.0654,2.1265
2000-12-08,2.1487,2.2816,2.1318,2.2488
2000-12-11,2.2488,2.3037,2.2373,2.2869
2000-12-12,2.2426,2.2816,2.2045,2.2098
2000-12-13,2.1983,2.1983,2.1265,2.1265
2000-12-14,2.1265,2.1265,1.7836,1.8660
2000-12-15,1.8722,1.8722,1.8607,1.8660
2000-12-18,1.8829,1.8882,1.7836,1.8279
2000-12-19,1.8217,1.8386,1.8058,1.8386
2000-12-20,1.8332,1.8332,1.7836,1.7942
2000-12-21,1.8058,1.8607,1.7942,1.8607
2000-12-22,1.8607,1.9936,1.8607,1.9830
2000-12-26,1.9883,2.1265,1.9883,2.0822
2000-12-27,2.1265,2.2151,2.1265,2.2151
2000-12-28,2.2151,2.5368,2.2151,2.5031
2000-12-29,2.5031,2.6032,2.5031,2.5474
2001-01-02,2.5368,2.5695,2.3037,2.3152
2001-01-03,2.3037,2.3259,2.2816,2.3090
2001-01-04,2.3037,2.3037,2.2098,2.2151
2001-01-05,2.2045,2.2151,2.1602,2.1602
2001-01-08,2.1487,2.1487,1.9493,1.9883
2001-01-09,2.0379,2.0937,2.0211,2.0601
2001-01-10,2.2373,2.3374,2.2045,2.2266
2001-01-11,2.2373,2.4260,2.2373,2.4145
2001-01-12,2.3923,2.4366,2.3595,2.3595
2001-01-16,2.3374,2.5474,2.3374,2.5199
2001-01-17,2.5199,2.7024,2.5031,2.5695
2001-01-18,2.5695,2.6750,2.5695,2.6581
2001-01-19,2.7024,2.7024,2.6581,2.6918
2001-01-22,2.6971,2.8026,2.6971,2.7468
2001-01-23,2.8354,2.8797,2.7361,2.7468
2001-01-24,2.7414,2.7414,2.6360,2.7246
2001-01-25,2.7193,2.7246,2.6697,2.6803
2001-01-26,2.6803,2.7024,2.6803,2.7024
2001-01-29,2.7131,2.7893,2.7033,2.7450
2001-01-30,2.7450,2.7999,2.7423,2.7778
2001-01-31,2.7999,3.0126,2.7999,2.9904
