DATE,OPEN,HIGH,LOW,CLOSE
2020-02-24,105.1441,106.2418,104.1428,105.3814
2020-03-02,96.7413,100.8956,94.6450,96.6933
2020-03-03,97.2125,105.3288,96.4673,101.9919
2020-03-04,104.7807,113.5701,103.9825,113.3008
2020-03-05,109.8197,111.5218,107.2425,108.1176
2020-03-06,106.2424,109.1465,103.1651,108.2137
2020-03-09,103.4440,103.5113,99.4339,101.2418
2020-03-10,103.1363,104.2518,96.5682,102.9632
2020-03-11,100.3187,105.0211,99.2801,102.8959
2020-03-12,96.7321,99.5846,88.9676,93.1448
2020-03-13,97.1092,101.1897,93.1835,100.0197
2020-03-16,87.2078,99.6136,87.2078,89.1417
2020-03-17,89.7315,91.1916,85.3513,90.1280
2020-03-18,85.9218,87.1788,68.0045,80.2652
2020-03-19,78.3797,82.7793,75.1791,79.0275
2020-03-20,79.3950,81.3289,70.9875,73.1776
2020-03-23,71.4081,72.9455,67.6854,68.9037
2020-03-24,72.3944,76.3781,70.9730,74.2702
2020-03-25,74.3186,84.3844,73.7056,82.3055
2020-03-26,81.7446,89.3665,81.4304,84.0073
2020-03-27,81.6093,82.1894,77.8382,79.9365
2020-03-30,78.9792,82.7889,78.6408,81.5126
2020-03-31,80.1105,81.5126,77.9011,79.8591
2020-04-01,75.8270,79.1629,74.4539,78.2153
2020-04-02,78.0026,80.4876,77.6062,80.1202
2020-04-03,78.9599,81.3482,75.9720,77.3838
2020-04-06,81.2225,85.2159,80.3606,84.1620
2020-04-07,87.1208,89.4898,84.7518,85.2546
2020-04-08,85.0419,86.2892,83.6785,84.9645
2020-04-09,86.7340,91.1916,86.2796,88.5712
2020-04-13,87.6816,88.3585,84.9114,86.8404
2020-04-14,88.6002,89.6106,87.8460,89.0837
2020-04-15,86.4923,87.5849,83.6592,83.8526
2020-04-16,83.9492,84.3360,81.8462,82.9340
2020-04-17,85.5350,88.6485,83.8622,86.9371
2020-04-20,83.2240,84.8485,81.2225,82.2088
2020-04-21,81.3385,81.3579,77.3354,77.8382
2020-04-22,79.1629,79.7237,78.0316,79.1339
2020-04-23,80.5263,81.9670,79.5594,80.9227
2020-04-24,81.4159,81.7930,79.9800,81.2515
2020-04-27,81.6383,83.7172,81.5899,83.5141
2020-04-28,84.8872,86.5986,84.0073,84.7421
2020-04-29,87.0144,88.0684,85.9798,87.3529
2020-04-30,85.7864,86.4149,84.2683,84.5294
2020-05-01,83.0790,84.0943,82.1991,83.9396
2020-05-04,83.2531,83.2531,81.7446,82.3345
2020-05-05,76.3395,80.9421,75.4209,79.4433
2020-05-06,79.6851,79.7141,77.1033,77.1807
2020-05-07,78.0993,79.6754,77.9156,78.3507
2020-05-08,80.1202,81.9477,79.8204,81.5996
2020-05-11,80.6133,80.7245,78.2153,78.3023
2020-05-12,78.4957,78.9889,73.6707,74.2219
2020-05-13,73.8254,74.3863,71.8094,74.1155
2020-05-14,72.5104,76.3105,71.2921,75.7303
2020-05-15,74.9664,76.1171,73.9028,74.6570
2020-05-18,76.9970,79.0179,76.9873,78.6988
2020-05-19,78.8922,80.2846,77.6835,77.7512
2020-05-20,78.8148,79.1049,76.9680,77.1130
2020-05-21,76.8326,79.2548,76.8326,78.6698
2020-05-22,79.5594,80.8841,78.4957,80.6037
2020-05-26,83.0113,86.2409,83.0113,85.9895
2020-05-27,86.6857,89.0740,86.6857,87.9330
2020-05-28,88.5809,89.0740,86.8791,87.3142
2020-05-29,86.5503,87.4786,85.7864,87.2272
2020-06-01,86.9757,88.9290,86.3472,87.4399
2020-06-02,87.7493,88.8999,87.2175,88.4165
2020-06-03,89.0257,91.7234,88.9676,91.2109
2020-06-04,90.0640,93.1073,90.0640,92.8934
2020-06-05,96.2575,100.7739,95.7617,99.1842
2020-06-08,98.1438,100.7301,95.8978,96.2478
2020-06-09,95.0519,95.4408,93.1948,94.7602
2020-06-10,94.0504,95.4116,91.8919,91.9697
2020-06-11,88.8778,89.3542,87.2249,87.2832
2020-06-12,90.0446,90.2682,85.1733,87.8861
2020-06-15,85.1539,88.9313,84.7893,88.1388
2020-06-16,91.0460,92.2711,87.9444,89.1403
