DATE,OPEN,HIGH,LOW,CLOSE
2004-05-11,4.6569,4.8226,4.6569,4.8226
2004-05-12,4.8003,4.8836,4.5992,4.6997
2004-05-13,4.6969,4.8463,4.6825,4.7687
2004-05-14,4.7974,4.9411,4.6825,4.8836
2004-05-17,4.8664,4.9123,4.7400,4.9123
2004-05-18,4.8692,5.0560,4.8692,5.0043
2004-05-19,4.9899,5.1105,4.8807,4.9411
2004-05-20,4.9411,5.0100,4.6681,4.7945
2004-05-21,4.7917,4.9123,4.7629,4.8261
2004-05-24,4.7974,4.8692,4.7400,4.8376
2004-05-25,4.8692,4.8779,4.7400,4.8261
2004-05-26,4.8118,4.8779,4.7888,4.8779
2004-05-27,4.8836,4.9985,4.8261,4.9956
2004-05-28,5.0244,5.1307,4.9267,5.0272
2004-06-01,5.0157,5.1508,4.9698,5.1163
2004-06-02,5.1450,5.1680,5.0703,5.1651
2004-06-03,5.1421,5.1651,5.0272,5.1307
2004-06-04,5.1134,5.1996,5.1134,5.1508
2004-06-07,5.1192,5.1709,5.0560,5.0847
2004-06-08,5.1565,5.1852,4.9985,5.0473
2004-06-09,5.1134,5.1278,4.9123,4.9382
2004-06-10,4.9583,4.9870,4.9066,4.9669
2004-06-14,4.9819,5.0396,4.7942,4.8664
2004-06-15,4.7797,4.8952,4.7537,4.8230
2004-06-16,4.7942,4.8519,4.7191,4.7508
2004-06-17,4.7364,4.8057,4.7075,4.7595
2004-06-18,4.7191,4.7913,4.7191,4.7797
2004-06-21,4.7422,4.8606,4.7422,4.7797
2004-06-22,4.7653,4.8664,4.6671,4.6786
2004-06-23,4.7133,4.7739,4.6584,4.7364
2004-06-24,4.7653,4.8144,4.6815,4.7335
2004-06-25,4.7364,4.7653,4.6844,4.7220
2004-06-28,4.7075,4.7277,4.6671,4.6786
2004-06-29,4.6238,4.7220,4.6238,4.6844
2004-06-30,4.7335,4.7537,4.6844,4.7451
2004-07-01,4.7017,4.8317,4.7017,4.8057
2004-07-02,4.8173,4.8721,4.7797,4.8721
2004-07-06,4.8519,4.9443,4.8288,4.9386
2004-07-07,4.9963,4.9963,4.9010,4.9530
2004-07-08,4.9530,4.9819,4.8635,4.9241
2004-07-09,4.8808,4.9674,4.8086,4.8577
2004-07-12,4.8606,4.8981,4.8317,4.8548
2004-07-13,4.8489,4.8780,4.8344,4.8693
2004-07-14,4.8460,4.9506,4.8373,4.8780
2004-07-15,4.8634,4.9070,4.8344,4.8489
2004-07-16,4.8722,4.9331,4.8489,4.9070
2004-07-19,4.9215,4.9215,4.8344,4.8867
2004-07-20,4.8431,4.9331,4.8431,4.8925
2004-07-21,4.9302,4.9302,4.8402,4.8547
2004-07-22,4.8344,4.8460,4.7763,4.8344
2004-07-23,4.8199,4.8315,4.7560,4.7938
2004-07-26,4.7763,4.7909,4.6950,4.7851
2004-07-27,4.7183,4.7676,4.6805,4.7328
2004-07-28,4.7473,4.7909,4.7299,4.7909
2004-07-29,4.7909,4.8141,4.7618,4.8054
2004-07-30,4.8402,4.9215,4.8083,4.9099
2004-08-02,4.8634,5.0783,4.8547,4.9767
2004-08-03,5.0086,5.0406,4.9418,5.0260
2004-08-04,5.0086,5.0580,4.9447,5.0580
2004-08-05,5.0202,5.0464,4.9709,5.0086
2004-08-06,4.9506,5.0028,4.9360,5.0028
2004-08-09,5.0115,5.0348,4.9506,5.0028
2004-08-10,5.0057,5.0522,4.9796,5.0057
2004-08-11,5.0198,5.1073,4.9819,5.1073
