DATE,OPEN,HIGH,LOW,CLOSE
1992-03-17,3.4188,3.4188,3.4188,3.4188
1992-03-18,3.4188,3.4188,3.4188,3.4188
1992-03-19,3.4188,3.4188,3.4188,3.4188
1992-03-20,3.3968,3.3968,3.3968,3.3968
1992-03-23,3.3968,3.3968,3.3968,3.3968
1992-03-24,3.3749,3.3749,3.3749,3.3749
1992-03-25,3.3968,3.3968,3.3968,3.3968
1992-03-26,3.3749,3.3749,3.3416,3.3416
1992-03-27,3.3644,3.3644,3.3644,3.3644
1992-03-30,3.3863,3.3863,3.3863,3.3863
1992-03-31,3.3644,3.3644,3.3416,3.3416
1992-04-01,3.3416,3.3416,3.3416,3.3416
1992-04-02,3.3416,3.3416,3.3416,3.3416
1992-04-03,3.3416,3.3416,3.3416,3.3416
1992-04-06,3.3416,3.3416,3.3416,3.3416
1992-04-07,3.3416,3.3416,3.3416,3.3416
1992-04-08,3.3416,3.3416,3.3416,3.3416
1992-04-09,3.3416,3.3416,3.3416,3.3416
1992-04-10,3.3416,3.3416,3.3416,3.3416
1992-04-13,3.3416,3.3416,3.3416,3.3416
1992-04-14,3.3311,3.3749,3.3311,3.3416
1992-04-15,3.3416,3.3416,3.3416,3.3416
1992-04-16,3.3644,3.3644,3.3644,3.3644
1992-04-20,3.3644,3.3644,3.3644,3.3644
1992-04-21,3.3863,3.3863,3.3863,3.3863
1992-04-22,3.3863,3.3863,3.3863,3.3863
1992-04-23,3.3968,3.3968,3.3968,3.3968
1992-04-24,3.3968,3.3968,3.3968,3.3968
1992-04-27,3.3939,3.3939,3.3939,3.3939
1992-04-28,3.3686,3.3686,3.3686,3.3686
1992-04-29,3.3570,3.3570,3.3570,3.3570
1992-04-30,3.3570,3.3570,3.3570,3.3570
1992-05-01,3.3570,3.3570,3.3570,3.3570
1992-05-04,3.3511,3.3511,3.3511,3.3511
1992-05-05,3.3511,3.3511,3.3511,3.3511
1992-05-06,3.3749,3.3749,3.3254,3.3254
1992-05-07,3.3511,3.3511,3.3383,3.3383
1992-05-08,3.3135,3.3135,3.2888,3.3135
1992-05-11,3.3383,3.3877,3.3383,3.3511
1992-05-12,3.3383,3.3383,3.3383,3.3383
1992-05-13,3.3135,3.3135,3.3017,3.3017
1992-05-14,3.2888,3.2888,3.2888,3.2888
1992-05-15,3.2888,3.2888,3.2888,3.2888
1992-05-18,3.2888,3.2888,3.2888,3.2888
1992-05-19,3.2888,3.2888,3.2888,3.2888
1992-05-20,3.2888,3.2888,3.2888,3.2888
1992-05-21,3.2888,3.2888,3.2759,3.2759
1992-05-22,3.2641,3.2888,3.2641,3.2888
1992-05-26,3.2888,3.2888,3.2888,3.2888
1992-05-27,3.2888,3.2888,3.2888,3.2888
1992-05-28,3.2888,3.3135,3.2888,3.3135
1992-05-29,3.2888,3.3135,3.2393,3.3135
1992-06-01,3.2888,3.2888,3.2759,3.2759
1992-06-02,3.2759,3.2759,3.2759,3.2759
1992-06-03,3.3135,3.3135,3.3135,3.3135
1992-06-04,3.3135,3.3135,3.3135,3.3135
1992-06-05,3.3135,3.3135,3.2888,3.2888
1992-06-08,3.2888,3.2888,3.2888,3.2888
1992-06-09,3.2641,3.2641,3.2522,3.2522
1992-06-10,3.2265,3.2265,3.2146,3.2146
1992-06-11,3.2146,3.2146,3.2146,3.2146
1992-06-12,3.2146,3.2146,3.2146,3.2146
1992-06-15,3.1899,3.1899,3.1533,3.1533
1992-06-16,3.1404,3.1770,3.1404,3.1770
1992-06-17,3.1533,3.1770,3.1533,3.1770
1992-06-18,3.1770,3.1770,3.1404,3.1404
1992-06-19,3.1404,3.1404,3.1404,3.1404
1992-06-22,3.1404,3.1404,3.1404,3.1404
1992-06-23,3.1404,3.1404,3.1404,3.1404
1992-06-24,3.1404,3.1404,3.0662,3.0662
1992-06-25,3.0910,3.1038,3.0910,3.1038
1992-06-26,3.1276,3.1404,3.1276,3.1404
1992-06-29,3.1157,3.1157,3.1038,3.1038
1992-06-30,3.1157,3.1157,3.0781,3.0781
1992-07-01,3.0662,3.0662,3.0662,3.0662
1992-07-02,3.0910,3.0910,3.0168,3.0287
1992-07-06,3.0415,3.0544,3.0415,3.0544
1992-07-07,3.0662,3.0662,3.0662,3.0662
1992-07-08,3.0662,3.0910,3.0662,3.0781
1992-07-09,3.1038,3.1157,3.1038,3.1038
1992-07-10,3.0910,3.1157,3.0415,3.0415
1992-07-13,3.0662,3.0781,3.0544,3.0781
1992-07-14,3.0910,3.1157,3.0910,3.1157
1992-07-15,3.1276,3.1276,3.1157,3.1157
1992-07-16,3.1157,3.1157,3.1157,3.1157
1992-07-17,3.1276,3.1404,3.1038,3.1157
1992-07-20,3.1276,3.1276,3.1276,3.1276
1992-07-21,3.1276,3.1276,3.1276,3.1276
1992-07-22,3.1157,3.1276,3.1157,3.1276
1992-07-23,3.1038,3.1038,3.0910,3.0910
1992-07-24,3.1157,3.1157,3.1157,3.1157
1992-07-27,3.1038,3.1157,3.1038,3.1038
1992-07-28,3.0969,3.0969,3.0969,3.0969
1992-07-29,3.0969,3.1221,3.0969,3.1221
1992-07-30,3.1342,3.1342,3.1221,3.1221
1992-07-31,3.1221,3.1342,3.1221,3.1342
1992-08-03,3.1342,3.1342,3.1342,3.1342
1992-08-04,3.1473,3.1473,3.1473,3.1473
1992-08-05,3.1473,3.1473,3.1473,3.1473
1992-08-06,3.1473,3.1724,3.1473,3.1724
1992-08-07,3.1342,3.1473,3.1342,3.1473
1992-08-10,3.1473,3.1473,3.1473,3.1473
1992-08-11,3.1604,3.1604,3.1604,3.1604
1992-08-12,3.1604,3.1724,3.1604,3.1724
1992-08-13,3.1845,3.2732,3.1473,3.1473
1992-08-14,3.1604,3.1604,3.1342,3.1604
1992-08-17,3.1724,3.1724,3.1724,3.1724
1992-08-18,3.1976,3.2228,3.1976,3.2228
1992-08-19,3.2480,3.2480,3.2349,3.2480
1992-08-20,3.2732,3.2852,3.2732,3.2852
1992-08-21,3.3114,3.3114,3.2852,3.3114
1992-08-24,3.3114,3.3114,3.3114,3.3114
1992-08-25,3.2983,3.3114,3.2983,3.3114
1992-08-26,3.3235,3.3235,3.3114,3.3114
1992-08-27,3.3356,3.3356,3.3356,3.3356
1992-08-28,3.3487,3.3487,3.3487,3.3487
1992-08-31,3.3739,3.3860,3.3739,3.3860
1992-09-01,3.3990,3.3990,3.3860,3.3860
1992-09-02,3.3860,3.3860,3.3739,3.3739
1992-09-03,3.3739,3.3739,3.3739,3.3739
1992-09-04,3.3739,3.3739,3.3739,3.3739
1992-09-08,3.3860,3.3860,3.3860,3.3860
1992-09-09,3.3860,3.3990,3.3860,3.3860
1992-09-10,3.4121,3.4242,3.3860,3.3990
1992-09-11,3.3990,3.3990,3.3990,3.3990
1992-09-14,3.4242,3.4242,3.3990,3.4242
1992-09-15,3.4242,3.4242,3.4242,3.4242
1992-09-16,3.4242,3.4242,3.4242,3.4242
1992-09-17,3.3990,3.4494,3.3990,3.4494
1992-09-18,3.4494,3.4746,3.4494,3.4746
1992-09-21,3.4746,3.4746,3.4494,3.4625
1992-09-22,3.4746,3.4998,3.4746,3.4998
1992-09-23,3.4746,3.4998,3.4746,3.4998
1992-09-24,3.4998,3.4998,3.4746,3.4998
1992-09-25,3.4746,3.4746,3.4625,3.4625
1992-09-28,3.4625,3.4625,3.4625,3.4625
1992-09-29,3.4625,3.4625,3.4625,3.4625
1992-09-30,3.4746,3.5129,3.4746,3.5129
1992-10-01,3.5129,3.5129,3.5129,3.5129
1992-10-02,3.5129,3.5129,3.4867,3.4867
1992-10-05,3.4625,3.4625,3.4242,3.4494
1992-10-06,3.4494,3.4494,3.4242,3.4242
1992-10-07,3.4242,3.4494,3.4121,3.4121
1992-10-08,3.3990,3.4363,3.3860,3.3990
1992-10-09,3.4242,3.4242,3.3860,3.3860
1992-10-12,3.3860,3.4121,3.3860,3.4121
1992-10-13,3.4121,3.4242,3.4121,3.4242
1992-10-14,3.4363,3.4363,3.2732,3.2732
1992-10-15,3.2732,3.2732,3.2611,3.2611
1992-10-16,3.2480,3.2611,3.2480,3.2611
1992-10-19,3.2732,3.2732,3.2228,3.2480
1992-10-20,3.2611,3.2611,3.2228,3.2228
1992-10-21,3.2349,3.2349,3.2228,3.2228
1992-10-22,3.2107,3.2107,3.2107,3.2107
1992-10-23,3.2107,3.2107,3.2107,3.2107
1992-10-26,3.2671,3.2671,3.2671,3.2671
1992-10-27,3.2858,3.2858,3.2733,3.2733
1992-10-28,3.2461,3.2461,3.2461,3.2461
1992-10-29,3.2336,3.2336,3.2336,3.2336
1992-10-30,3.1815,3.2597,3.1690,3.2597
1992-11-02,3.2733,3.2733,3.2733,3.2733
1992-11-03,3.2858,3.2858,3.2858,3.2858
1992-11-04,3.2983,3.2983,3.2858,3.2858
1992-11-05,3.2858,3.2858,3.2858,3.2858
1992-11-06,3.2597,3.2983,3.2597,3.2983
1992-11-09,3.3119,3.3254,3.3119,3.3254
1992-11-10,3.3379,3.3505,3.3254,3.3379
1992-11-11,3.3379,3.3379,3.2336,3.2858
1992-11-12,3.3119,3.3379,3.2983,3.3119
1992-11-13,3.3254,3.3254,3.3254,3.3254
1992-11-16,3.3254,3.3505,3.2983,3.3379
1992-11-17,3.3379,3.3379,3.3379,3.3379
1992-11-18,3.3505,3.3776,3.3505,3.3776
1992-11-19,3.3901,3.3901,3.3640,3.3901
1992-11-20,3.3776,3.4026,3.3776,3.4026
1992-11-23,3.3901,3.3901,3.3901,3.3901
1992-11-24,3.4162,3.4162,3.4162,3.4162
1992-11-25,3.4162,3.4422,3.4026,3.4422
