DATE,OPEN,HIGH,LOW,CLOSE
2018-11-26,9.5636,9.6126,9.4459,9.4459
2018-11-27,9.4459,9.4459,9.4459,9.4459
2018-11-28,9.4459,9.4459,9.4459,9.4459
2018-11-29,9.4459,9.4459,9.4459,9.4459
2018-11-30,9.4165,9.4459,9.4165,9.4459
2018-12-03,9.4459,9.4459,9.4459,9.4459
2018-12-04,9.4165,9.5195,9.4165,9.4459
2018-12-06,9.5636,9.6911,9.4263,9.4459
2018-12-07,9.4459,9.4459,9.4459,9.4459
2018-12-10,9.4361,9.4459,9.4165,9.4459
2018-12-11,9.4557,9.4557,9.4459,9.4459
2018-12-12,9.5636,9.5636,9.5636,9.5636
2018-12-13,9.4459,9.4459,9.4459,9.4459
2018-12-14,9.4557,9.5048,9.4557,9.4655
2018-12-17,9.3870,9.4655,9.3870,9.4165
2018-12-18,9.4753,9.4753,9.3870,9.3870
2018-12-19,9.3870,9.3870,9.3674,9.3674
2018-12-20,9.3674,9.3674,9.3674,9.3674
2018-12-21,9.4557,9.4655,9.4459,9.4557
2018-12-24,9.4557,9.4557,9.4557,9.4557
2018-12-26,9.4557,9.4557,9.4557,9.4557
2018-12-27,9.4655,9.4655,9.4655,9.4655
2018-12-28,9.4165,9.4655,9.4165,9.4655
2018-12-31,9.4655,9.4655,9.4655,9.4655
2019-01-02,9.4655,9.4655,9.4557,9.4655
2019-01-03,9.4459,9.4459,9.4459,9.4459
2019-01-04,9.4557,9.4557,9.4557,9.4557
2019-01-07,9.4557,9.4557,9.4557,9.4557
2019-01-08,9.4459,9.4459,9.4459,9.4459
2019-01-09,9.4459,9.4459,9.4459,9.4459
2019-01-10,9.5268,9.5268,9.5268,9.5268
2019-01-11,9.5244,9.5244,9.5146,9.5146
2019-01-14,9.5146,9.5146,9.5146,9.5146
2019-01-15,9.5146,9.5146,9.5146,9.5146
2019-01-16,9.5244,9.5244,9.4459,9.4459
2019-01-17,9.5146,9.5146,9.5146,9.5146
2019-01-18,9.5440,9.5930,9.5440,9.5636
2019-01-22,9.5832,9.6065,9.5832,9.6065
2019-01-23,9.6117,9.6126,9.5931,9.5931
2019-01-24,9.5832,9.5832,9.5146,9.5146
2019-01-25,9.5146,9.5146,9.5146,9.5146
2019-01-28,9.5886,9.5886,9.5832,9.5832
2019-01-29,9.5832,9.5832,9.5832,9.5832
2019-01-30,9.5832,9.5832,9.5832,9.5832
2019-01-31,9.5832,9.5832,9.5832,9.5832
2019-02-01,9.5636,9.5636,9.5636,9.5636
2019-02-04,9.5146,9.5146,9.5146,9.5146
2019-02-05,9.5636,9.5636,9.5636,9.5636
2019-02-06,9.6126,9.6126,9.5636,9.6126
2019-02-07,9.6057,9.6057,9.6057,9.6057
2019-02-08,9.6126,9.6126,9.6126,9.6126
2019-02-11,9.6126,9.6126,9.6126,9.6126
2019-02-12,9.6126,9.6126,9.6126,9.6126
2019-02-13,9.6126,9.6126,9.6126,9.6126
2019-02-14,9.5636,9.5636,9.5636,9.5636
2019-02-15,9.5636,9.7107,9.5636,9.5734
2019-02-19,9.5734,9.5734,9.5734,9.5734
2019-02-20,9.6126,9.6617,9.6126,9.6617
2019-02-21,9.6519,9.6519,9.6519,9.6519
2019-02-22,9.6617,9.6617,9.6617,9.6617
2019-02-25,9.6617,9.6617,9.6617,9.6617
2019-02-26,9.6617,9.6617,9.6617,9.6617
2019-02-27,9.6617,9.6617,9.6617,9.6617
2019-02-28,9.6617,9.6617,9.6617,9.6617
2019-03-01,9.6617,9.6617,9.6617,9.6617
2019-03-04,9.6617,9.6617,9.6617,9.6617
2019-03-05,9.6617,9.6617,9.6617,9.6617
2019-03-06,9.6617,9.6617,9.6617,9.6617
2019-03-07,9.6617,9.6813,9.6298,9.6813
2019-03-08,9.6617,9.6617,9.6617,9.6617
2019-03-11,9.7107,9.7107,9.6617,9.7107
2019-03-12,9.7205,9.7205,9.6911,9.7107
2019-03-13,9.7107,9.7107,9.7107,9.7107
2019-03-14,9.6813,9.7598,9.6715,9.7598
2019-03-15,9.7573,9.8579,9.7009,9.8579
2019-03-18,9.7304,9.8186,9.7304,9.7990
2019-03-19,9.7794,9.7794,9.7794,9.7794
2019-03-20,9.7794,9.7794,9.7794,9.7794
