DATE,OPEN,HIGH,LOW,CLOSE
2019-05-30,8.4863,8.4863,7.4070,7.5289
2019-05-31,7.2329,7.8335,7.1894,7.6681
2019-06-03,7.5289,7.9989,7.2678,7.4244
2019-06-04,7.4331,7.6309,7.1372,7.1633
2019-06-05,7.0937,7.0937,6.4496,6.7716
2019-06-06,6.7542,7.0415,6.5889,6.5976
2019-06-07,6.4908,7.0492,6.4908,6.8747
2019-06-10,6.9270,7.1975,6.5955,6.9794
2019-06-11,6.9358,7.1451,6.9096,7.0492
2019-06-12,6.9707,7.0491,6.8136,6.9270
2019-06-13,6.9183,6.9881,6.8660,6.8747
2019-06-14,6.8485,6.9357,6.8311,6.8660
2019-06-17,6.9009,6.9009,6.5170,6.5519
2019-06-18,6.5868,6.7002,6.3600,6.6391
2019-06-19,6.5955,7.0405,6.5955,7.0143
2019-06-20,7.0056,7.7035,7.0056,7.7035
2019-06-21,7.7122,7.9303,7.7122,7.8344
2019-06-24,7.7646,7.9216,7.7646,7.8518
2019-06-25,7.9391,7.9391,7.8256,7.9303
2019-06-26,7.9565,8.0088,7.8911,7.9216
2019-06-27,7.8954,8.1921,7.7209,8.1659
2019-06-28,8.2008,8.3404,8.1485,8.2880
2019-07-01,8.3491,8.3927,8.2880,8.3316
2019-07-02,8.3142,8.5497,8.3055,8.3665
2019-07-03,8.4014,8.4189,8.3404,8.3665
2019-07-05,8.2618,8.3753,8.2357,8.2706
2019-07-08,8.2967,8.3754,8.2837,8.3229
2019-07-09,8.2469,8.4129,8.2469,8.3430
2019-07-10,8.2993,8.4461,8.2949,8.3605
2019-07-11,8.2644,8.3692,8.2644,8.3517
2019-07-12,8.2731,8.3779,8.2731,8.3517
2019-07-15,8.3517,8.5177,8.3517,8.5002
2019-07-16,8.3867,8.4828,8.3496,8.4303
2019-07-17,8.3779,8.5972,8.3779,8.5439
2019-07-18,8.5614,8.5614,8.4055,8.5614
2019-07-19,8.5177,8.6138,8.5177,8.6051
2019-07-22,8.5963,8.7186,8.5876,8.6837
2019-07-23,8.6924,8.7798,8.6400,8.7448
2019-07-24,8.6924,8.9108,8.6487,8.7885
2019-07-25,8.7361,8.8584,8.7239,8.8147
2019-07-26,8.6750,8.8499,8.6750,8.7798
2019-07-29,8.7186,8.9458,8.7186,8.9196
2019-07-30,8.9982,9.3389,8.9982,9.2288
2019-07-31,9.1904,9.3039,9.1745,9.2417
2019-08-01,9.1292,9.2603,9.1292,9.2253
2019-08-02,9.1904,9.2952,9.1817,9.2777
2019-08-05,9.1292,9.2591,9.0244,9.0244
2019-08-06,9.0244,9.1118,8.9458,9.0244
2019-08-07,9.0244,9.0681,8.9469,9.0419
2019-08-08,8.9458,9.0635,8.9196,9.0593
2019-08-09,8.9254,9.1266,8.9254,9.1091
2019-08-12,9.0391,9.1091,8.8991,9.0129
2019-08-13,8.9254,9.0041,8.8204,8.9079
2019-08-14,9.0391,9.0391,8.7679,8.8466
2019-08-15,8.8816,8.8816,8.7598,8.8204
2019-08-16,8.7504,8.8729,8.7504,8.8554
2019-08-19,8.7679,8.9166,8.7679,8.8991
2019-08-20,8.8466,8.9691,8.7416,8.7941
2019-08-21,8.7329,8.8554,8.7329,8.7591
2019-08-22,8.8729,8.8729,8.7504,8.8641
2019-08-23,8.8554,8.9429,8.7941,8.8991
2019-08-26,8.9341,9.0216,8.8379,8.9866
2019-08-27,8.9516,9.0304,8.8991,9.0304
2019-08-28,9.0129,9.1529,9.0085,9.1529
2019-08-29,9.1879,9.2054,9.0741,9.1791
2019-08-30,9.1713,9.2404,9.1441,9.2404
2019-09-03,9.2054,9.3016,9.1879,9.3016
2019-09-04,9.2929,9.3367,9.2579,9.3367
2019-09-05,9.3367,9.3629,9.0654,9.3191
2019-09-06,9.2404,9.3183,9.1879,9.2579
2019-09-09,9.2264,9.2790,9.2264,9.2439
2019-09-10,9.1913,9.2965,9.1913,9.2790
2019-09-11,9.1913,9.3930,9.1913,9.3579
2019-09-12,9.3316,9.3842,9.3036,9.3842
2019-09-13,9.4105,9.4105,9.2968,9.3667
2019-09-16,9.2877,9.3141,9.2702,9.3141
2019-09-17,9.2965,9.2965,9.2527,9.2877
2019-09-18,9.2351,9.2723,9.1524,9.2614
