DATE,OPEN,HIGH,LOW,CLOSE
1985-07-01,0.9379,0.9536,0.9379,0.9379
1985-07-02,0.9411,0.9536,0.9411,0.9473
1985-07-03,0.9473,0.9473,0.9224,0.9286
1985-07-05,0.9319,0.9411,0.9319,0.9411
1985-07-08,0.9319,0.9411,0.9319,0.9411
1985-07-09,0.9411,0.9411,0.9099,0.9224
1985-07-10,0.9224,0.9349,0.9194,0.9286
1985-07-11,0.9286,0.9568,0.9224,0.9568
1985-07-12,0.9568,0.9628,0.9473,0.9628
1985-07-15,0.9628,0.9877,0.9568,0.9877
1985-07-16,0.9877,1.0221,0.9877,1.0221
1985-07-17,1.0221,1.0221,1.0097,1.0159
1985-07-18,1.0034,1.0034,0.9910,0.9972
1985-07-19,0.9972,1.0067,0.9910,1.0034
1985-07-22,0.9972,0.9972,0.9817,0.9877
1985-07-23,0.9877,0.9942,0.9817,0.9847
1985-07-24,0.9847,0.9910,0.9598,0.9598
1985-07-25,0.9598,0.9628,0.9319,0.9473
1985-07-26,0.9473,0.9536,0.9411,0.9473
1985-07-29,0.9473,0.9473,0.9286,0.9319
1985-07-30,0.9319,0.9411,0.9224,0.9411
1985-07-31,0.9411,0.9568,0.9349,0.9349
1985-08-01,0.9349,0.9473,0.9319,0.9379
1985-08-02,0.9379,0.9473,0.9379,0.9411
1985-08-05,0.9411,0.9473,0.9379,0.9379
1985-08-06,0.9379,0.9473,0.9319,0.9319
1985-08-07,0.9319,0.9319,0.9162,0.9254
1985-08-08,0.9286,0.9536,0.9286,0.9536
1985-08-09,0.9536,0.9628,0.9473,0.9568
1985-08-12,0.9568,0.9568,0.9411,0.9473
1985-08-13,0.9443,0.9443,0.9349,0.9411
1985-08-14,0.9473,0.9693,0.9473,0.9660
1985-08-15,0.9660,0.9723,0.9473,0.9536
1985-08-16,0.9536,0.9693,0.9473,0.9693
1985-08-19,0.9660,0.9660,0.9536,0.9568
1985-08-20,0.9568,0.9877,0.9568,0.9847
1985-08-21,0.9847,0.9942,0.9817,0.9817
1985-08-22,0.9817,0.9847,0.9660,0.9660
1985-08-23,0.9660,0.9817,0.9598,0.9693
1985-08-26,0.9693,0.9972,0.9598,0.9972
1985-08-27,0.9972,1.0002,0.9877,0.9910
1985-08-28,0.9910,1.0097,0.9847,1.0097
1985-08-29,1.0067,1.0067,0.9910,1.0034
1985-08-30,1.0034,1.0097,1.0002,1.0034
1985-09-03,1.0034,1.0067,0.9972,1.0067
1985-09-04,1.0067,1.0191,1.0067,1.0159
1985-09-05,1.0159,1.0221,1.0097,1.0126
1985-09-06,1.0126,1.0191,1.0126,1.0191
1985-09-09,1.0191,1.0191,1.0002,1.0067
1985-09-10,1.0067,1.0159,1.0002,1.0002
1985-09-11,1.0002,1.0126,1.0002,1.0097
1985-09-12,1.0097,1.0346,1.0097,1.0284
1985-09-13,1.0284,1.0376,1.0221,1.0346
1985-09-16,1.0346,1.0346,1.0221,1.0346
1985-09-17,1.0346,1.0346,1.0097,1.0251
1985-09-18,1.0159,1.0159,0.9660,0.9785
1985-09-19,0.9817,0.9910,0.9817,0.9847
1985-09-20,0.9877,1.0034,0.9877,0.9972
1985-09-23,0.9972,1.0067,0.9877,0.9910
1985-09-24,0.9910,0.9972,0.9910,0.9942
1985-09-25,0.9942,0.9972,0.9910,0.9910
1985-09-26,0.9910,0.9910,0.9723,0.9723
1985-09-30,0.9723,0.9785,0.9598,0.9693
1985-10-01,0.9693,0.9753,0.9660,0.9753
1985-10-02,0.9753,0.9877,0.9660,0.9693
1985-10-03,0.9693,0.9753,0.9568,0.9693
1985-10-04,0.9693,0.9847,0.9628,0.9847
1985-10-07,0.9847,1.0002,0.9785,0.9972
1985-10-08,0.9972,1.0002,0.9877,0.9972
1985-10-09,0.9972,1.0034,0.9910,0.9910
1985-10-10,0.9910,0.9972,0.9785,0.9972
1985-10-11,0.9972,1.0097,0.9877,1.0097
1985-10-14,1.0126,1.0221,1.0126,1.0221
1985-10-15,1.0346,1.0844,1.0346,1.0844
1985-10-16,1.0844,1.1343,1.0720,1.1343
1985-10-17,1.1343,1.1904,1.1343,1.1468
1985-10-18,1.1405,1.1405,1.1094,1.1343
1985-10-21,1.1343,1.1343,1.1218,1.1248
1985-10-22,1.1248,1.1343,1.1156,1.1313
1985-10-23,1.1313,1.1438,1.1248,1.1438
1985-10-24,1.1562,1.1717,1.1562,1.1655
1985-10-25,1.1655,1.1717,1.1592,1.1592
1985-10-28,1.1592,1.1655,1.1405,1.1405
1985-10-29,1.1405,1.1592,1.1405,1.1592
1985-10-30,1.1622,1.1872,1.1622,1.1872
1985-10-31,1.1872,1.2403,1.1872,1.2091
1985-11-01,1.2091,1.2278,1.2061,1.2278
1985-11-04,1.2216,1.2216,1.1966,1.1996
1985-11-05,1.1936,1.1936,1.1842,1.1904
1985-11-06,1.1966,1.2153,1.1966,1.2153
1985-11-07,1.2153,1.2216,1.2029,1.2186
1985-11-08,1.2186,1.2310,1.2029,1.2186
1985-11-11,1.2186,1.2590,1.2186,1.2590
1985-11-12,1.2560,1.2560,1.2340,1.2465
1985-11-13,1.2435,1.2435,1.2245,1.2435
1985-11-14,1.2435,1.2684,1.2310,1.2619
1985-11-15,1.2465,1.2465,1.2278,1.2435
1985-11-18,1.2435,1.2465,1.2245,1.2340
1985-11-19,1.2340,1.2465,1.2340,1.2465
1985-11-20,1.2465,1.2590,1.2403,1.2560
1985-11-21,1.2560,1.2714,1.2495,1.2684
1985-11-22,1.2684,1.2776,1.2619,1.2714
1985-11-25,1.2714,1.2714,1.2590,1.2714
1985-11-26,1.2714,1.2809,1.2619,1.2809
1985-11-27,1.2809,1.2934,1.2744,1.2934
1985-11-29,1.2934,1.3118,1.2839,1.3118
1985-12-02,1.3058,1.3058,1.2590,1.2776
1985-12-03,1.2776,1.2901,1.2744,1.2901
1985-12-04,1.2901,1.3088,1.2809,1.3088
1985-12-05,1.3088,1.3275,1.2993,1.3058
1985-12-06,1.2934,1.2934,1.2527,1.2527
1985-12-09,1.2527,1.2839,1.2465,1.2714
1985-12-10,1.2714,1.2839,1.2619,1.2776
1985-12-11,1.2776,1.2993,1.2619,1.2993
1985-12-12,1.2993,1.3058,1.2839,1.3058
1985-12-13,1.3058,1.3183,1.2839,1.2963
1985-12-16,1.2963,1.3462,1.2809,1.3213
1985-12-17,1.3088,1.3088,1.2776,1.2776
1985-12-18,1.2776,1.3118,1.2590,1.3088
1985-12-19,1.3088,1.3213,1.2934,1.3183
1985-12-20,1.3183,1.3183,1.3026,1.3150
1985-12-23,1.3088,1.3088,1.2776,1.2934
1985-12-24,1.2809,1.2809,1.2619,1.2684
1985-12-26,1.2684,1.2714,1.2590,1.2590
1985-12-27,1.2590,1.2901,1.2590,1.2714
1985-12-30,1.2714,1.2901,1.2684,1.2869
1985-12-31,1.2869,1.2934,1.2776,1.2934
1986-01-02,1.2934,1.2934,1.2714,1.2839
1986-01-03,1.2839,1.3026,1.2776,1.3026
1986-01-06,1.2993,1.2993,1.2839,1.2963
1986-01-07,1.2963,1.2963,1.2744,1.2809
1986-01-08,1.2809,1.2934,1.2527,1.2590
1986-01-09,1.2590,1.2590,1.2340,1.2527
1986-01-10,1.2527,1.2527,1.1966,1.1966
1986-01-13,1.1966,1.2340,1.1966,1.2153
1986-01-14,1.2153,1.2403,1.2121,1.2310
1986-01-15,1.2310,1.2435,1.2216,1.2370
1986-01-16,1.2370,1.2403,1.2216,1.2403
1986-01-17,1.2527,1.2684,1.2527,1.2652
1986-01-20,1.2652,1.2684,1.2465,1.2619
1986-01-21,1.2619,1.2652,1.2465,1.2590
1986-01-22,1.2590,1.2744,1.2590,1.2619
1986-01-23,1.2619,1.2714,1.2560,1.2684
1986-01-24,1.2684,1.2714,1.2619,1.2714
1986-01-27,1.2714,1.2901,1.2619,1.2901
1986-01-28,1.2901,1.3183,1.2869,1.3183
1986-01-29,1.3183,1.3367,1.3026,1.3150
1986-01-30,1.3150,1.3337,1.3118,1.3213
1986-01-31,1.3213,1.3557,1.3150,1.3557
1986-02-03,1.3557,1.3866,1.3367,1.3711
1986-02-04,1.3711,1.3711,1.3432,1.3587
1986-02-05,1.3587,1.3617,1.3462,1.3617
1986-02-06,1.3617,1.3711,1.3462,1.3649
1986-02-07,1.3649,1.3961,1.3492,1.3961
1986-02-10,1.3961,1.4023,1.3711,1.3961
1986-02-11,1.3961,1.4397,1.3836,1.4335
1986-02-12,1.4335,1.4584,1.4210,1.4584
1986-02-13,1.4584,1.4709,1.4335,1.4397
1986-02-14,1.4522,1.4833,1.4522,1.4584
1986-02-18,1.4584,1.5145,1.4459,1.5145
1986-02-19,1.5145,1.5519,1.5020,1.5456
1986-02-20,1.5456,1.5925,1.5269,1.5860
1986-02-21,1.5800,1.5800,1.5611,1.5800
1986-02-24,1.5706,1.5706,1.5269,1.5269
1986-02-25,1.5269,1.5394,1.5020,1.5207
1986-02-26,1.5207,1.5332,1.5145,1.5177
1986-02-27,1.5207,1.5768,1.5207,1.5706
1986-02-28,1.5706,1.5830,1.5643,1.5736
1986-03-03,1.5736,1.6142,1.5736,1.5860
1986-03-04,1.5860,1.5893,1.5551,1.5551
1986-03-05,1.5519,1.5519,1.5237,1.5427
1986-03-06,1.5427,1.5768,1.5427,1.5611
1986-03-07,1.5643,1.5955,1.5643,1.5800
1986-03-10,1.5800,1.6142,1.5768,1.5985
1986-03-11,1.5985,1.6204,1.5893,1.6050
1986-03-12,1.6050,1.6548,1.5893,1.6391
1986-03-13,1.6391,1.6578,1.6204,1.6391
1986-03-14,1.6516,1.7077,1.6516,1.6922
1986-03-17,1.6922,1.6952,1.6703,1.6733
1986-03-18,1.6733,1.6798,1.6142,1.6516
1986-03-19,1.6516,1.6641,1.6454,1.6454
1986-03-20,1.6454,1.6578,1.6267,1.6267
1986-03-21,1.6267,1.6359,1.5706,1.5706
1986-03-24,1.5706,1.5955,1.5643,1.5800
1986-03-25,1.5800,1.5893,1.5643,1.5768
1986-03-26,1.5768,1.5800,1.5456,1.5768
1986-03-27,1.5768,1.5768,1.5486,1.5551
1986-03-31,1.5551,1.5706,1.5551,1.5676
1986-04-01,1.5551,1.5676,1.4522,1.4928
1986-04-02,1.4928,1.4988,1.4397,1.4771
1986-04-03,1.4771,1.4896,1.4210,1.4584
1986-04-04,1.4614,1.4958,1.4614,1.4614
1986-04-07,1.4614,1.4803,1.4522,1.4709
1986-04-08,1.4771,1.5112,1.4771,1.4958
1986-04-09,1.4958,1.5020,1.4489,1.4646
1986-04-10,1.4646,1.4833,1.4459,1.4833
1986-04-11,1.4833,1.4863,1.4522,1.4679
1986-04-14,1.4679,1.4928,1.4614,1.4863
1986-04-15,1.4863,1.4928,1.3213,1.3836
1986-04-16,1.3836,1.4085,1.3774,1.4023
1986-04-17,1.4023,1.4584,1.3961,1.4429
1986-04-18,1.4429,1.4614,1.4148,1.4397
1986-04-21,1.4397,1.4459,1.4335,1.4429
1986-04-22,1.4429,1.4459,1.4115,1.4335
1986-04-23,1.4335,1.4429,1.4210,1.4365
1986-04-24,1.4365,1.4429,1.4210,1.4240
1986-04-25,1.4240,1.4365,1.4180,1.4272
1986-04-28,1.4272,1.4335,1.4055,1.4210
