DATE,OPEN,HIGH,LOW,CLOSE
1991-11-21,4.7094,4.7094,3.8674,3.8674
1991-11-22,3.9297,3.9297,3.8674,3.8674
1991-11-25,3.8674,3.8674,3.8336,3.8336
1991-11-26,3.8336,3.8985,3.8336,3.8674
1991-11-27,3.8674,3.8985,3.8674,3.8985
1991-11-29,3.8985,3.8985,3.8674,3.8674
1991-12-02,3.8674,3.8985,3.8674,3.8985
1991-12-03,3.8985,3.8985,3.8674,3.8985
1991-12-04,3.9297,3.9297,3.8985,3.8985
1991-12-05,3.9297,3.9297,3.8985,3.9297
1991-12-06,3.9297,3.9635,3.8985,3.9297
1991-12-09,3.9206,3.9206,3.8893,3.9206
1991-12-10,3.9206,3.9206,3.8893,3.9206
1991-12-11,3.8893,3.9206,3.8893,3.9206
1991-12-12,3.9206,3.9520,3.8893,3.8893
1991-12-13,3.9206,3.9520,3.8893,3.9206
1991-12-16,3.9206,3.9206,3.8893,3.9206
1991-12-17,3.9206,3.9206,3.8893,3.8893
1991-12-18,3.8893,3.8893,3.8213,3.8213
1991-12-19,3.8213,3.8893,3.8213,3.8553
1991-12-20,3.8893,3.9206,3.8553,3.8893
1991-12-23,3.8893,3.8893,3.8553,3.8893
1991-12-24,3.9206,3.9520,3.9206,3.9520
1991-12-26,3.9520,3.9520,3.9206,3.9206
1991-12-27,3.9520,3.9860,3.9520,3.9860
1991-12-30,3.9520,3.9860,3.9520,3.9860
1991-12-31,3.9860,3.9860,3.9520,3.9520
1992-01-02,3.9520,3.9860,3.9520,3.9860
1992-01-03,3.9860,3.9860,3.9520,3.9520
1992-01-06,3.9860,3.9860,3.9520,3.9860
1992-01-07,3.9860,4.0200,3.9520,4.0200
1992-01-08,4.0200,4.0513,3.9860,4.0513
1992-01-09,4.0752,4.0752,4.0095,4.0437
1992-01-10,4.0752,4.0752,4.0095,4.0437
1992-01-13,4.0437,4.0752,4.0095,4.0752
1992-01-14,4.0752,4.0752,4.0437,4.0437
1992-01-15,4.0437,4.0437,4.0095,4.0437
1992-01-16,4.0437,4.0437,4.0095,4.0437
1992-01-17,4.0437,4.0437,3.9753,4.0095
1992-01-20,4.0095,4.0095,3.9438,3.9753
1992-01-21,3.9753,4.0752,3.9753,4.0437
1992-01-22,4.0437,4.0437,4.0095,4.0095
1992-01-23,4.0095,4.0437,3.9438,3.9753
1992-01-24,3.9438,4.0095,3.9438,4.0095
1992-01-27,3.9753,3.9753,3.9438,3.9753
1992-01-28,3.9438,4.0437,3.9438,4.0095
1992-01-29,4.0437,4.0752,4.0095,4.0095
1992-01-30,4.0095,4.0437,4.0095,4.0437
1992-01-31,4.0095,4.0752,4.0095,4.0437
1992-02-03,4.0437,4.0437,4.0095,4.0437
1992-02-04,4.0437,4.0437,4.0095,4.0437
1992-02-05,4.0095,4.0437,3.9438,4.0095
1992-02-06,3.9753,4.0095,3.9753,4.0095
1992-02-07,4.0095,4.0095,3.9753,4.0095
1992-02-10,3.9672,4.0333,3.9672,4.0333
1992-02-11,3.9990,4.0333,3.9990,3.9990
1992-02-12,3.9990,4.0677,3.9990,4.0333
1992-02-13,4.0333,4.0677,4.0333,4.0677
1992-02-14,4.0333,4.0677,3.9990,4.0333
1992-02-18,3.9672,4.0333,3.9672,4.0333
1992-02-19,4.0333,4.0333,3.9672,3.9672
1992-02-20,4.0333,4.0333,3.9672,3.9672
1992-02-21,3.9672,4.0333,3.9672,4.0333
1992-02-24,4.0333,4.0333,3.9990,4.0333
1992-02-25,3.9990,4.0333,3.9990,3.9990
1992-02-26,4.0333,4.0333,3.9672,3.9990
1992-02-27,3.9672,3.9990,3.9672,3.9990
1992-02-28,3.9990,4.0333,3.9672,4.0333
1992-03-02,4.0333,4.0333,3.9672,4.0333
1992-03-03,4.0333,4.0333,3.9672,3.9990
1992-03-04,3.9990,3.9990,3.9672,3.9990
1992-03-05,3.9672,3.9990,3.9672,3.9672
1992-03-06,3.9990,3.9990,3.9672,3.9990
1992-03-09,3.9990,4.0333,3.9990,4.0333
1992-03-10,4.0575,4.0921,4.0229,4.0229
1992-03-11,4.0229,4.0575,3.9910,4.0229
1992-03-12,3.9910,4.0575,3.9910,4.0575
1992-03-13,4.0575,4.0575,3.9910,4.0229
1992-03-16,4.0229,4.0229,3.9910,3.9910
1992-03-17,3.9910,4.0229,3.9910,3.9910
1992-03-18,4.0229,4.0229,3.9910,3.9910
1992-03-19,3.9910,4.0229,3.9910,3.9910
1992-03-20,4.0229,4.0229,3.9591,3.9910
1992-03-23,3.9910,3.9910,3.9591,3.9591
1992-03-24,3.9591,4.0229,3.9591,3.9591
1992-03-25,3.9591,3.9910,3.9591,3.9910
1992-03-26,3.9910,3.9910,3.9591,3.9910
1992-03-27,3.9910,3.9910,3.9591,3.9591
1992-03-30,3.9591,3.9910,3.9245,3.9910
1992-03-31,3.9591,3.9910,3.9245,3.9245
1992-04-01,3.9591,3.9910,3.9245,3.9591
1992-04-02,3.9910,3.9910,3.9591,3.9910
1992-04-03,3.9910,3.9910,3.9591,3.9910
1992-04-06,3.9591,3.9910,3.9591,3.9591
1992-04-07,3.9910,3.9910,3.9591,3.9591
1992-04-08,3.9910,3.9910,3.9591,3.9910
1992-04-09,3.9832,3.9832,3.9484,3.9832
1992-04-10,3.9484,3.9832,3.9484,3.9832
1992-04-13,3.9484,4.0153,3.9484,4.0153
1992-04-14,4.0153,4.0153,3.9832,3.9832
1992-04-15,3.9832,4.0153,3.9832,4.0153
1992-04-16,3.9832,4.0153,3.9832,3.9832
1992-04-20,4.0153,4.0153,3.9832,3.9832
1992-04-21,3.9832,4.0153,3.9832,4.0153
1992-04-22,4.0153,4.0153,3.9832,3.9832
1992-04-23,4.0153,4.0475,3.9832,4.0153
1992-04-24,4.0153,4.0153,3.9832,4.0153
1992-04-27,4.0153,4.0475,3.9832,4.0475
1992-04-28,4.0475,4.0475,3.9832,4.0153
1992-04-29,4.0153,4.0153,3.9832,3.9832
