DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2007-08-15,36.2281,41.6231,35.8040,40.1214,10.679,
2007-08-16,42.4017,42.7493,36.6452,39.6208,6.920,
2007-08-17,41.0182,41.0182,37.8549,38.6197,3.086,
2007-08-20,38.9673,39.9754,38.6614,39.8572,2.141,
2007-08-21,39.8016,46.2950,39.2801,45.8778,7.370,
2007-08-22,48.7908,51.4118,46.2741,46.4757,10.144,
2007-08-23,47.3239,49.2775,45.1965,48.8047,4.347,
2007-08-24,48.8047,50.5080,48.2833,49.5695,3.812,
2007-08-27,49.8684,50.9947,49.3678,50.2647,2.393,
2007-08-28,49.9866,50.1256,46.2324,48.5127,3.664,
2007-08-29,50.0561,50.3898,46.6843,47.4143,3.581,
2007-08-30,46.9832,48.6657,46.0586,47.5950,1.731,
2007-08-31,48.5405,48.7421,47.6506,47.8940,0.922,
2007-09-04,48.0122,48.0608,46.7538,46.8928,1.354,
2007-09-05,46.2671,46.2950,44.2510,44.6403,2.245,
2007-09-06,44.9115,48.7352,44.5569,48.5197,2.599,
2007-09-07,46.5870,49.5695,46.4410,48.3181,2.668,
2007-09-10,50.0492,55.0270,47.8662,53.3654,6.667,
2007-09-11,54.7141,57.5298,53.1846,53.2889,10.614,
2007-09-12,54.5334,56.0698,53.5740,54.4360,6.005,
2007-09-13,55.3051,56.0003,53.2055,54.0815,3.254,
2007-09-14,53.6852,55.3051,53.2194,54.1718,3.093,
2007-09-17,52.9413,53.9494,50.8834,51.2380,4.774,
2007-09-18,52.3851,52.6632,50.6123,51.3770,2.932,
2007-09-19,52.3504,54.8045,52.0445,53.9494,4.228,
2007-09-20,53.9911,55.1104,52.9552,53.2889,2.465,
2007-09-21,53.7756,55.1382,53.2541,55.1382,4.114,
2007-09-24,56.3131,59.2122,55.8404,58.2806,5.649,
2007-09-25,57.2239,59.0940,57.0084,57.8635,2.965,
2007-09-26,58.3919,58.6769,57.0848,57.2586,1.539,
2007-09-27,57.7383,58.4336,57.0431,57.7870,1.855,
2007-09-28,58.3223,59.4555,57.3560,59.0940,3.419,
2007-10-01,58.9202,62.0348,58.1346,61.6107,3.846,
2007-10-02,61.8541,64.3221,61.4300,64.2526,2.870,
2007-10-03,64.2595,65.3371,60.8321,61.3535,3.966,
2007-10-04,61.9792,62.9178,61.1797,62.2712,1.755,
2007-10-05,64.0649,64.0649,62.0279,63.3558,1.882,
2007-10-08,63.4114,66.6720,63.3697,66.1088,3.031,
2007-10-09,67.5897,70.8364,66.8180,70.6417,5.864,
2007-10-10,71.2674,74.7296,70.6417,74.4168,4.766,
2007-10-11,76.4607,79.8673,68.8689,71.3925,11.110,
2007-10-12,71.6984,74.6462,68.1667,71.5942,6.357,
2007-10-15,72.6439,73.3461,66.9431,68.6603,4.837,
2007-10-16,67.5062,70.3427,66.0602,69.4529,4.283,
2007-10-17,71.6359,73.2766,70.5722,72.2685,4.330,
2007-10-18,70.9128,72.0252,69.6892,70.6000,1.942,
2007-10-19,70.0229,70.8711,67.4715,67.9512,3.487,
2007-10-22,66.1853,71.2604,63.6477,71.1770,4.349,
2007-10-23,73.6868,74.7435,71.6776,73.7980,4.440,
2007-10-24,75.6195,77.1698,71.0936,71.9696,9.661,56.730
2007-10-25,77.6565,80.6112,74.0413,79.2555,9.962,57.513
2007-10-26,80.6390,80.9241,76.2661,77.9276,4.345,58.279
2007-10-29,79.6727,84.4141,78.9705,83.9691,5.742,59.186
2007-10-30,83.4269,85.8323,81.3412,83.6702,3.496,60.062
2007-10-31,85.4083,87.0768,83.4269,86.7848,3.693,60.880
2007-11-01,85.5125,86.8891,84.4767,84.9911,2.535,61.650
2007-11-02,86.0826,86.1730,79.6379,81.4246,4.369,62.303
2007-11-05,79.2555,79.9507,76.1270,78.2474,3.832,62.876
2007-11-06,79.8047,80.6112,76.2035,77.1281,3.343,63.414
2007-11-07,74.7574,75.4318,70.9963,71.2604,5.052,63.869
2007-11-08,71.5524,71.6081,61.0476,63.8772,12.203,64.198
2007-11-09,61.5273,64.1344,58.8159,60.9989,8.035,64.466
2007-11-12,60.1369,64.3360,53.2194,55.8682,9.037,64.625
2007-11-13,58.5587,64.5098,57.2169,63.0429,7.504,64.948
2007-11-14,67.9373,67.9373,60.2203,60.6027,5.854,65.268
2007-11-15,60.7973,62.3268,56.5912,57.2169,4.615,65.442
2007-11-16,58.7464,59.7336,56.8067,59.2678,2.920,65.661
2007-11-19,58.5378,62.1322,55.9655,56.9875,3.234,65.733
2007-11-20,57.7036,59.7893,55.0965,57.4394,4.635,65.816
2007-11-21,56.1741,57.2864,54.9644,56.0907,3.237,65.849
2007-11-23,57.4324,57.4324,54.7975,54.8114,1.106,65.864
2007-11-26,54.4916,54.5125,49.3609,49.6668,7.414,65.774
