DATE,OPEN,HIGH,LOW,CLOSE
1994-10-27,2.8573,2.8573,2.8229,2.8573
1994-10-28,2.8573,2.8917,2.8573,2.8573
1994-10-31,2.8229,2.8573,2.8229,2.8573
1994-11-01,2.8229,2.8573,2.8229,2.8573
1994-11-02,2.8573,2.8917,2.8573,2.8573
1994-11-03,2.8573,2.8573,2.8573,2.8573
1994-11-04,2.8573,2.8573,2.8229,2.8229
1994-11-07,2.8229,2.8917,2.8229,2.8917
1994-11-08,2.8917,2.9262,2.8229,2.8917
1994-11-09,2.8917,2.9606,2.8917,2.8917
1994-11-10,2.9262,2.9262,2.8573,2.9262
1994-11-11,2.9262,2.9262,2.8917,2.9262
1994-11-14,2.8917,2.8917,2.8573,2.8573
1994-11-15,2.8573,2.8917,2.8229,2.8917
1994-11-16,2.8917,2.8917,2.8229,2.8917
1994-11-17,2.8917,2.9606,2.8917,2.9606
1994-11-18,2.9262,3.0295,2.9262,3.0295
1994-11-21,2.9950,3.0295,2.9606,2.9606
1994-11-22,2.9606,2.9950,2.8573,2.8573
1994-11-23,2.8917,2.9606,2.8573,2.9262
1994-11-25,2.9262,2.9606,2.9262,2.9606
1994-11-28,2.9606,3.0295,2.9606,2.9606
1994-11-29,2.9950,3.0295,2.9262,2.9262
1994-11-30,2.9262,2.9950,2.9262,2.9950
1994-12-01,2.9950,3.0295,2.9606,3.0295
1994-12-02,2.9950,3.0295,2.9950,2.9950
1994-12-05,3.0639,3.1327,3.0295,3.0639
1994-12-06,3.0639,3.0983,3.0295,3.0639
1994-12-07,3.0295,3.0983,3.0295,3.0983
1994-12-08,3.1327,3.1672,3.0983,3.0983
1994-12-09,3.0639,3.0983,3.0639,3.0983
1994-12-12,3.0639,3.0983,3.0295,3.0983
1994-12-13,3.0639,3.0983,3.0639,3.0983
1994-12-14,3.0983,3.0983,3.0295,3.0295
1994-12-15,3.0295,3.0639,2.9262,2.9262
1994-12-16,2.9262,2.9606,2.9262,2.9262
1994-12-19,2.9606,2.9950,2.9606,2.9606
1994-12-20,2.9606,3.0295,2.9606,3.0295
1994-12-21,2.9950,3.0295,2.9950,2.9950
1994-12-22,2.9950,3.0295,2.9950,3.0295
1994-12-23,3.0639,3.0639,3.0295,3.0295
1994-12-27,3.0295,3.0983,2.9606,2.9606
1994-12-28,2.9606,2.9606,2.9606,2.9606
1994-12-29,2.9606,2.9950,2.9262,2.9262
1994-12-30,2.9606,2.9950,2.9262,2.9606
1995-01-03,2.9950,3.0295,2.9950,3.0295
1995-01-04,3.0295,3.0983,3.0295,3.0983
1995-01-05,3.0639,3.0983,3.0639,3.0639
1995-01-06,3.0639,3.1327,3.0639,3.1327
1995-01-09,3.0983,3.1327,3.0983,3.1327
1995-01-10,3.1327,3.1327,3.0983,3.1327
1995-01-11,3.1327,3.1672,3.1327,3.1672
1995-01-12,3.1327,3.2016,3.1327,3.2016
1995-01-13,3.2016,3.2360,3.2016,3.2360
1995-01-16,3.2360,3.2360,3.2360,3.2360
1995-01-17,3.2360,3.2360,3.2360,3.2360
1995-01-18,3.2016,3.2360,3.2016,3.2360
1995-01-19,3.2360,3.2360,3.2016,3.2016
1995-01-20,3.2360,3.2360,3.2016,3.2016
1995-01-23,3.2360,3.2360,3.2016,3.2016
1995-01-24,3.2360,3.2360,3.2360,3.2360
1995-01-25,3.2016,3.2360,3.2016,3.2360
1995-01-26,3.2360,3.2704,3.2016,3.2704
1995-01-27,3.2704,3.2704,3.2704,3.2704
1995-01-30,3.2704,3.2704,3.2704,3.2704
1995-01-31,3.3049,3.3049,3.3049,3.3049
1995-02-01,3.3393,3.3393,3.3393,3.3393
1995-02-02,3.3737,3.3737,3.3393,3.3393
1995-02-03,3.4081,3.4081,3.4081,3.4081
1995-02-06,3.4426,3.4426,3.4081,3.4081
1995-02-07,3.4426,3.4770,3.4426,3.4770
1995-02-08,3.4426,3.4770,3.4081,3.4081
1995-02-09,3.4081,3.4081,3.4081,3.4081
1995-02-10,3.3737,3.3737,3.3049,3.3049
1995-02-13,3.3049,3.3393,3.2704,3.3393
1995-02-14,3.3393,3.3737,3.3393,3.3737
1995-02-15,3.3737,3.4081,3.3737,3.4081
1995-02-16,3.4081,3.4426,3.3737,3.3737
1995-02-17,3.4081,3.4081,3.4081,3.4081
1995-02-21,3.4081,3.4426,3.3737,3.4081
1995-02-22,3.4426,3.4426,3.4081,3.4426
1995-02-23,3.4426,3.4426,3.4081,3.4426
1995-02-24,3.4426,3.4770,3.4426,3.4426
1995-02-27,3.4426,3.4770,3.4426,3.4426
1995-02-28,3.4770,3.4770,3.4426,3.4770
1995-03-01,3.4770,3.5114,3.4770,3.5114
1995-03-02,3.5114,3.5114,3.4770,3.4770
1995-03-03,3.5114,3.5114,3.4426,3.4426
1995-03-06,3.4426,3.4770,3.4426,3.4770
1995-03-07,3.4756,3.4756,3.4756,3.4756
1995-03-08,3.4770,3.4770,3.4770,3.4770
1995-03-09,3.4426,3.4426,3.4081,3.4426
1995-03-10,3.4426,3.4770,3.4426,3.4770
1995-03-13,3.4770,3.4770,3.4426,3.4426
1995-03-14,3.4426,3.4770,3.4426,3.4426
1995-03-15,3.4770,3.4770,3.4426,3.4426
1995-03-16,3.4770,3.4770,3.4770,3.4770
1995-03-17,3.4426,3.4770,3.4426,3.4770
1995-03-20,3.4426,3.4770,3.4426,3.4770
1995-03-21,3.4770,3.4770,3.4770,3.4770
1995-03-22,3.4770,3.4770,3.4770,3.4770
1995-03-23,3.4770,3.4770,3.4770,3.4770
1995-03-24,3.5114,3.5114,3.5114,3.5114
1995-03-27,3.5114,3.5114,3.4770,3.4770
1995-03-28,3.4756,3.4756,3.4756,3.4756
1995-03-29,3.4770,3.4770,3.4770,3.4770
1995-03-30,3.5114,3.5114,3.5114,3.5114
1995-03-31,3.4770,3.5114,3.4426,3.5114
1995-04-03,3.4770,3.4770,3.4426,3.4426
1995-04-04,3.4770,3.4770,3.4426,3.4770
1995-04-05,3.4426,3.4770,3.4426,3.4426
1995-04-06,3.4770,3.5114,3.4426,3.4770
1995-04-07,3.4770,3.4770,3.4770,3.4770
1995-04-10,3.4426,3.5114,3.4426,3.5114
1995-04-11,3.4770,3.5114,3.4770,3.4770
1995-04-12,3.4770,3.5458,3.4770,3.5458
1995-04-13,3.5472,3.5472,3.5472,3.5472
1995-04-17,3.5458,3.5458,3.4770,3.4770
1995-04-18,3.5114,3.5114,3.4426,3.4770
1995-04-19,3.4770,3.4770,3.4426,3.4770
1995-04-20,3.4426,3.4770,3.4426,3.4770
1995-04-21,3.4770,3.4770,3.4426,3.4426
1995-04-24,3.4770,3.4770,3.4426,3.4426
1995-04-25,3.4770,3.4770,3.4770,3.4770
