DATE,OPEN,HIGH,LOW,CLOSE
1998-05-22,2.0799,2.1752,2.0799,2.1601
1998-05-26,2.1374,2.3068,2.1374,2.2690
1998-05-27,2.1934,2.2690,2.1752,2.1934
1998-05-28,2.2115,2.4203,2.1934,2.2690
1998-05-29,2.3068,2.3537,2.2872,2.2977
1998-06-01,2.2977,2.3537,2.2977,2.2977
1998-06-02,2.3446,2.3446,2.2977,2.3265
1998-06-03,2.3068,2.6653,2.3068,2.4762
1998-06-04,2.4762,2.6290,2.4581,2.5715
1998-06-05,2.6653,2.7228,2.5897,2.6653
1998-06-08,2.7228,2.7228,2.6653,2.6653
1998-06-09,2.7046,2.7046,2.4581,2.4581
1998-06-10,2.4581,2.5337,2.3068,2.4399
1998-06-11,2.4399,2.5156,2.4399,2.4762
1998-06-12,2.4959,2.4959,2.4203,2.4959
1998-06-15,2.5337,2.5337,2.4762,2.5156
1998-06-16,2.5534,2.8363,2.4959,2.8363
1998-06-17,2.8363,3.0919,2.7606,3.0253
1998-06-18,3.1010,3.1388,2.8741,2.9679
1998-06-19,2.9679,2.9679,2.7788,2.7984
1998-06-22,2.8741,2.8741,2.7410,2.7984
1998-06-23,2.7228,2.7606,2.7137,2.7228
1998-06-24,2.7228,2.8741,2.7228,2.8363
1998-06-25,2.7984,3.0828,2.7984,3.0072
1998-06-26,2.9875,3.0435,2.9119,2.9119
1998-06-29,3.0072,3.1388,3.0072,3.0253
1998-06-30,3.0632,3.0632,3.0072,3.0072
1998-07-01,3.0253,3.0828,3.0072,3.0828
1998-07-02,3.0541,3.0632,2.9875,3.0072
1998-07-06,3.0072,3.0072,2.9300,2.9497
1998-07-07,2.9679,2.9679,2.8363,2.8363
1998-07-08,2.8181,2.8363,2.6850,2.7410
1998-07-09,2.8181,2.8544,2.7984,2.7984
1998-07-10,2.7984,2.9119,2.7984,2.9119
1998-07-13,2.9497,2.9497,2.8937,2.9300
1998-07-14,2.9300,2.9497,2.8741,2.9119
1998-07-15,2.9679,3.0632,2.9497,3.0632
1998-07-16,2.9497,2.9497,2.9119,2.9119
1998-07-17,3.0253,3.0435,2.9119,3.0435
1998-07-20,2.9497,3.0435,2.9119,2.9679
1998-07-21,2.9679,3.0253,2.9679,3.0253
1998-07-22,3.0253,3.0919,2.9875,3.0919
1998-07-23,3.0919,3.5366,3.0828,3.3475
1998-07-24,3.3082,3.4791,3.1766,3.1766
1998-07-27,3.2719,3.2719,3.1388,3.1388
1998-07-28,3.1388,3.4791,3.1388,3.3279
1998-07-29,3.3657,3.3657,3.2522,3.2522
1998-07-30,3.2719,3.3657,3.2719,3.3657
1998-07-31,3.2901,3.3657,3.2719,3.3475
1998-08-03,3.3657,3.3657,3.1963,3.1963
1998-08-04,3.3082,3.3657,3.2144,3.3082
1998-08-05,3.3279,3.3657,3.2522,3.3657
1998-08-06,3.3657,3.3657,3.3279,3.3279
1998-08-07,3.3657,3.4035,3.3279,3.4035
1998-08-10,3.4035,3.4610,3.3853,3.3853
1998-08-11,3.3475,3.4217,3.3279,3.3279
1998-08-12,3.3853,3.4217,3.3279,3.4217
1998-08-13,3.3279,3.4035,3.3279,3.4035
1998-08-14,3.4035,3.4035,3.3853,3.3853
1998-08-17,3.4791,3.4791,3.3279,3.3279
1998-08-18,3.3082,3.3657,3.3082,3.3475
1998-08-19,3.3853,3.4217,3.3082,3.3475
1998-08-20,3.3279,3.3369,3.2901,3.3188
1998-08-21,3.2719,3.3188,3.2144,3.2144
1998-08-24,3.2144,3.2522,3.2144,3.2144
1998-08-25,3.1766,3.2522,3.1766,3.2144
1998-08-26,3.2144,3.2144,3.2144,3.2144
1998-08-27,3.1766,3.2522,3.1584,3.2326
1998-08-28,3.1584,3.2719,3.1584,3.2719
1998-08-31,3.1857,3.2053,3.1766,3.2053
1998-09-01,3.1766,3.1963,3.1191,3.1675
1998-09-02,3.1191,3.1191,3.0253,3.0435
1998-09-03,3.0163,3.0163,2.8741,2.8741
1998-09-04,2.8741,2.9300,2.8544,2.9119
1998-09-08,2.8363,2.9119,2.8363,2.9119
1998-09-09,2.8544,2.9210,2.8544,2.9210
