DATE,OPEN,HIGH,LOW,CLOSE
2018-11-15,10.5000,10.8899,10.0500,10.2500
2018-11-16,10.2800,10.2800,9.7500,10.0000
2018-11-19,10.0000,10.2200,9.9500,10.1500
2018-11-20,10.1400,10.1900,9.9700,10.0200
2018-11-21,10.0386,10.1500,10.0300,10.0300
2018-11-23,9.9500,10.0499,9.9500,10.0014
2018-11-26,10.0000,10.0500,9.8900,9.9800
2018-11-27,9.9000,10.0100,9.7500,10.0015
2018-11-28,9.9000,10.0100,9.9000,10.0000
2018-11-29,9.9297,10.0589,9.9000,10.0000
2018-11-30,9.9000,10.0001,9.9000,10.0001
2018-12-03,10.3800,10.3800,9.9011,10.2100
2018-12-04,10.1600,10.2000,10.0317,10.1200
2018-12-06,9.9000,10.0500,9.9000,10.0200
2018-12-07,10.0200,10.0400,10.0000,10.0100
2018-12-10,10.0000,10.0747,10.0000,10.0100
2018-12-11,10.2000,10.2000,10.0000,10.0000
2018-12-12,10.0432,10.1600,10.0000,10.0672
2018-12-13,10.0015,10.0423,9.9000,10.0000
2018-12-14,9.9495,10.0550,9.9100,10.0550
2018-12-17,9.9100,9.9391,9.9000,9.9000
2018-12-18,10.0031,10.0268,9.9000,9.9100
2018-12-19,10.0000,10.0875,9.9000,9.9200
2018-12-20,9.9684,9.9962,9.9000,9.9000
2018-12-21,9.9000,9.9634,9.9000,9.9000
2018-12-24,9.8194,9.8400,9.8194,9.8200
2018-12-26,9.7804,9.8300,9.7000,9.8200
2018-12-27,9.8100,9.8100,9.3400,9.3400
2018-12-28,9.5090,9.5100,9.3400,9.3400
2018-12-31,9.4700,9.4700,9.1400,9.2600
2019-01-02,9.2500,9.2585,9.1600,9.2100
2019-01-03,9.3400,9.3400,9.2176,9.3200
2019-01-04,9.4500,9.8000,9.3600,9.7700
2019-01-07,9.5587,9.7243,9.5310,9.5310
2019-01-08,9.5300,9.5300,9.5300,9.5300
2019-01-09,9.6473,9.6500,9.6000,9.6000
2019-01-10,9.6100,9.6100,9.4500,9.4500
2019-01-11,9.4500,9.4500,9.4500,9.4500
2019-01-14,9.4500,9.6050,9.4500,9.6050
2019-01-15,9.5438,9.5438,9.4500,9.4500
2019-01-16,9.4500,9.4500,9.4500,9.4500
2019-01-17,9.5800,10.0000,9.5800,10.0000
2019-01-18,9.9800,9.9800,9.8698,9.8700
2019-01-22,9.7988,9.8000,9.7500,9.7500
2019-01-23,9.8775,9.8789,9.4800,9.5000
2019-01-24,9.5000,9.5000,9.5000,9.5000
2019-01-25,9.6503,10.0000,9.6503,9.9800
2019-01-28,9.7300,9.7686,9.6300,9.7527
2019-01-29,9.7473,9.7500,9.7473,9.7500
2019-01-30,9.9700,9.9700,9.8400,9.8600
2019-01-31,9.7300,9.7600,9.7300,9.7500
2019-02-01,9.7600,9.9500,9.7600,9.7927
2019-02-04,9.5400,9.5500,9.5400,9.5500
2019-02-05,9.6900,9.6900,9.6900,9.6900
2019-02-06,9.4700,9.9300,9.3600,9.9300
2019-02-07,9.9200,9.9400,9.8999,9.9200
2019-02-08,9.7211,9.8221,9.7211,9.8221
2019-02-11,9.8221,9.8221,9.8221,9.8221
2019-02-12,9.8800,10.1000,9.8800,10.1000
2019-02-13,10.0500,10.6800,10.0500,10.4432
2019-02-14,10.6600,10.6800,10.4400,10.5100
2019-02-15,10.5000,13.4700,10.4600,13.1950
2019-02-19,13.5000,13.6300,12.6522,13.0000
2019-02-20,13.0000,13.1000,12.8505,12.8505
2019-02-21,12.7900,12.7900,12.6000,12.6000
2019-02-22,12.6000,12.6000,12.2200,12.2200
2019-02-25,12.4600,13.2300,12.2600,12.2800
2019-02-26,12.2800,12.2890,11.9764,11.9764
2019-02-27,12.1800,12.1800,11.6800,11.9700
2019-02-28,12.0200,12.0200,11.6000,11.6000
2019-03-01,11.9000,11.9786,11.8000,11.9000
2019-03-04,12.1300,12.1300,11.9675,11.9675
2019-03-05,12.2100,12.2100,11.9500,11.9500
2019-03-06,11.9200,12.3272,11.8892,12.0000
2019-03-07,11.8100,12.0000,11.8000,12.0000
2019-03-08,11.8000,11.8500,11.8000,11.8500
2019-03-11,11.8500,12.2399,11.8100,12.0800
2019-03-12,12.0000,12.0000,11.8010,11.8999
2019-03-13,11.8590,12.0000,11.8000,11.8370
2019-03-14,11.8100,11.9135,11.8100,11.8400
2019-03-15,12.0366,12.0366,11.8005,11.8005
2019-03-18,12.0700,12.0700,11.8101,11.8101
2019-03-19,11.8000,12.0000,11.7000,11.7700
2019-03-20,11.7700,11.7700,11.7700,11.7700
2019-03-21,11.6196,11.6196,11.5100,11.5100
2019-03-22,11.7551,11.7551,11.6000,11.6000
2019-03-25,11.5600,11.5736,11.5600,11.5736
2019-03-26,11.5100,11.5456,11.5100,11.5100
2019-03-27,12.0000,12.0500,11.5000,11.7000
2019-03-28,11.6000,11.6000,11.3000,11.3565
2019-03-29,11.5800,11.5800,11.3800,11.5600
2019-04-01,11.6300,11.6300,11.2514,11.4200
2019-04-02,11.3000,11.3592,11.2067,11.2300
2019-04-03,11.4670,11.4670,10.7000,10.7000
2019-04-04,10.6000,10.6484,10.1000,10.1000
2019-04-05,10.2845,10.2845,9.9700,10.0000
2019-04-08,10.3000,10.3000,10.1000,10.1000
2019-04-09,10.3000,10.3239,10.1000,10.3000
2019-04-10,10.1900,10.1900,10.0800,10.1000
2019-04-11,10.1000,10.1000,10.0000,10.0000
2019-04-12,10.0000,10.0000,9.9528,10.0000
2019-04-15,10.0000,10.0100,9.9007,9.9232
2019-04-16,9.9000,9.9279,9.9000,9.9000
2019-04-17,9.9100,9.9100,9.9000,9.9000
2019-04-18,9.8800,10.1433,9.8000,10.1433
2019-04-22,10.1000,10.1701,10.0300,10.0300
2019-04-23,10.0011,10.1386,9.9114,10.0800
2019-04-24,10.0035,10.0619,10.0000,10.0000
2019-04-25,10.1400,10.2000,10.0000,10.0000
2019-04-26,10.0558,10.0639,10.0000,10.0200
2019-04-29,10.0232,10.0232,9.9000,9.9000
2019-04-30,10.0845,10.0845,10.0000,10.0000
2019-05-01,10.1189,10.1189,10.0983,10.0983
2019-05-02,10.1100,10.1100,10.0500,10.0500
2019-05-03,10.0499,10.0500,9.7900,10.0000
2019-05-06,9.9001,9.9900,9.9000,9.9000
2019-05-07,9.9000,10.0400,9.9000,9.9000
2019-05-08,9.8500,9.8500,9.8500,9.8500
2019-05-09,9.8900,9.8900,9.8100,9.8100
2019-05-10,9.9300,9.9300,9.9300,9.9300
2019-05-13,10.0200,10.0200,9.7506,9.7700
2019-05-14,9.8500,9.8500,9.8500,9.8500
2019-05-15,10.2000,10.2000,9.7600,9.7600
2019-05-16,9.8221,9.9831,9.8221,9.9607
2019-05-17,9.8379,9.8591,9.8125,9.8200
2019-05-20,9.6800,9.6800,9.3200,9.3800
2019-05-21,9.3500,9.5000,9.3500,9.5000
2019-05-22,9.4300,9.4300,9.3600,9.3600
2019-05-23,9.3969,9.4500,9.3501,9.4500
2019-05-24,9.6000,9.6000,9.5000,9.5000
2019-05-28,9.4298,9.4298,9.3000,9.3200
2019-05-29,9.3100,9.3100,9.3000,9.3000
2019-05-30,9.1154,9.1154,9.1154,9.1154
2019-05-31,9.4000,9.5500,9.4000,9.5500
2019-06-03,9.6200,9.6200,9.5501,9.6200
2019-06-04,9.5717,9.7500,9.5717,9.7500
2019-06-05,9.5697,9.5697,9.5697,9.5697
2019-06-06,9.5600,9.6000,9.5500,9.6000
2019-06-07,9.6000,9.6000,9.3764,9.3764
2019-06-10,9.6600,9.6600,9.5400,9.5500
2019-06-11,9.5500,9.5500,9.5500,9.5500
2019-06-12,9.5500,9.5500,9.3200,9.3200
2019-06-13,9.1200,9.3263,9.1200,9.3263
2019-06-14,9.3000,9.3000,9.3000,9.3000
2019-06-17,9.3000,9.3000,9.2900,9.2900
2019-06-18,9.2900,9.3000,9.2300,9.2900
2019-06-19,9.2900,9.5300,9.2900,9.5300
2019-06-20,9.4800,9.5000,9.3100,9.5000
2019-06-21,9.2000,9.2000,9.1000,9.1400
2019-06-24,9.1500,9.1500,9.1000,9.1000
2019-06-25,9.0900,9.0900,9.0800,9.0800
2019-06-26,9.2700,9.2700,9.0900,9.0900
2019-06-27,9.0500,9.0500,9.0500,9.0500
2019-06-28,9.0500,9.0500,8.9950,9.0000
2019-07-01,8.9644,8.9644,8.8000,8.9500
2019-07-02,9.0700,9.1289,8.9700,8.9779
2019-07-03,9.1000,9.1248,9.0300,9.0300
2019-07-05,8.9600,8.9600,8.8900,8.8900
2019-07-08,8.8200,8.8200,8.8000,8.8000
2019-07-09,8.7686,8.7700,8.7500,8.7500
2019-07-10,8.7500,8.7742,8.7500,8.7500
2019-07-11,8.7500,8.7624,8.7500,8.7500
2019-07-12,8.7300,8.7576,8.6100,8.6100
2019-07-15,8.4400,8.4400,8.4400,8.4400
2019-07-16,8.5500,8.5600,8.5500,8.5500
2019-07-17,8.5500,8.5500,8.5500,8.5500
2019-07-18,8.4000,8.5500,8.4000,8.5500
2019-07-19,8.5700,8.5700,8.2700,8.4300
2019-07-22,8.2658,8.3900,8.2658,8.3800
2019-07-23,8.5500,8.5700,8.3500,8.3500
2019-07-24,8.1500,8.3180,8.1500,8.2600
2019-07-25,8.2500,8.2500,8.2500,8.2500
2019-07-26,8.2500,8.2500,8.2500,8.2500
2019-07-29,8.2500,8.2500,8.2500,8.2500
2019-07-30,8.2900,8.2900,8.2900,8.2900
2019-07-31,8.2100,8.2630,8.2000,8.2000
2019-08-01,8.1891,8.1891,8.0000,8.1000
2019-08-02,8.0800,8.0800,8.0800,8.0800
2019-08-05,8.0000,8.0000,7.9000,7.9000
2019-08-06,7.8000,7.8000,7.6300,7.6300
2019-08-07,7.6000,7.6157,7.5300,7.5300
2019-08-08,7.5840,7.5840,7.5840,7.5840
2019-08-09,7.5000,7.5375,7.4500,7.4500
2019-08-12,7.2700,7.3090,7.2700,7.3000
2019-08-13,7.2400,7.3000,7.2400,7.3000
2019-08-14,7.2100,7.2100,7.2000,7.2000
2019-08-15,7.2000,7.2000,7.2000,7.2000
2019-08-16,7.2000,7.2000,7.1900,7.2000
2019-08-19,7.2000,7.2360,7.2000,7.2000
2019-08-20,7.2000,7.2000,7.2000,7.2000
2019-08-21,7.2000,7.2000,6.8900,6.8900
2019-08-22,6.9100,6.9100,6.9000,6.9000
2019-08-23,6.9000,6.9000,6.9000,6.9000
2019-08-26,6.9000,6.9000,6.9000,6.9000
2019-08-27,6.9000,6.9000,6.8000,6.8000
2019-08-28,6.7200,6.7200,6.7200,6.7200
2019-08-29,6.7200,6.7200,6.7000,6.7000
2019-08-30,6.7000,6.7000,6.7000,6.7000
2019-09-03,6.7000,6.7000,6.6200,6.6200
2019-09-04,6.6200,6.6200,6.6200,6.6200
2019-09-05,6.5400,6.5400,6.5400,6.5400
2019-09-06,6.5000,6.5000,6.5000,6.5000
2019-09-09,6.5000,6.5000,6.5000,6.5000
2019-09-10,6.5100,6.5100,6.0700,6.0700
2019-09-11,6.1599,6.2499,6.1100,6.1100
2019-09-12,6.2008,6.2200,6.2008,6.2200
2019-09-13,6.1700,6.1700,6.1700,6.1700
2019-09-16,6.1500,6.1500,6.1500,6.1500
2019-09-17,6.1000,6.4000,6.1000,6.4000
2019-09-18,6.4000,6.4000,6.3900,6.3973
