DATE,OPEN,HIGH,LOW,CLOSE
2012-12-10,15.9069,16.0968,15.8436,15.9702
2012-12-11,15.9357,16.2868,15.8666,16.0163
2012-12-12,15.8897,16.4882,15.8897,16.1141
2012-12-13,16.0278,16.0278,15.6077,15.9127
2012-12-14,15.8264,16.0796,15.6595,15.8839
2012-12-17,15.8091,15.9012,15.6882,15.8033
2012-12-18,15.9127,16.3270,15.7861,16.2522
2012-12-19,16.4537,18.3874,15.9702,16.6608
2012-12-20,16.6608,16.6608,16.1199,16.6033
2012-12-21,16.0853,16.6666,15.9760,16.4076
2012-12-24,17.0579,17.0867,16.0278,16.1717
2012-12-26,16.1256,16.2522,15.9990,16.0623
2012-12-27,16.0623,16.2465,16.0163,16.1199
2012-12-28,16.4019,16.6839,16.2580,16.5688
2012-12-31,16.6723,17.2536,16.6263,17.2363
2013-01-02,18.4046,18.6463,17.9845,18.2262
2013-01-03,18.3874,18.5658,18.1687,18.1802
2013-01-04,18.3931,18.4161,18.0536,18.2320
2013-01-07,18.0593,18.4161,18.0593,18.3643
2013-01-08,18.3989,18.4161,18.1802,18.2435
2013-01-09,18.2377,18.3298,18.0478,18.0881
2013-01-10,18.1284,18.1284,17.9960,18.1284
2013-01-11,18.0881,18.3528,18.0881,18.1859
2013-01-14,18.2838,18.2838,18.0938,18.1456
2013-01-15,18.1802,18.4564,18.1111,18.1802
2013-01-16,18.2262,18.2262,17.4838,18.0248
2013-01-17,17.8406,18.3758,17.8406,18.2492
2013-01-18,18.3183,18.4161,17.9557,18.0996
2013-01-22,18.0190,18.3643,17.9269,18.1341
2013-01-23,17.7543,18.4622,17.1500,17.9442
2013-01-24,18.0708,18.1284,17.9385,17.9557
2013-01-25,18.0766,18.0766,17.8406,17.8521
2013-01-28,17.9787,18.7844,17.4781,18.7787
2013-01-29,18.5888,19.5038,18.2147,19.1182
2013-01-30,19.0086,19.4465,18.6341,19.2449
2013-01-31,19.3025,20.1610,19.2449,19.4523
2013-02-01,19.6539,20.1668,19.0029,19.5675
2013-02-04,19.5906,19.8787,19.5272,19.5848
2013-02-05,20.3108,20.4721,19.0547,19.5848
2013-02-06,19.4177,20.2359,19.2737,19.5387
2013-02-07,19.7289,20.3800,19.3889,20.1149
2013-02-08,20.3108,20.3800,19.6482,19.7346
2013-02-11,19.5099,19.9766,19.5099,19.9766
2013-02-12,19.9420,20.0342,19.6943,19.8844
2013-02-13,19.9305,20.3511,19.7749,19.9420
2013-02-14,19.8787,19.9651,19.4408,19.5906
2013-02-15,19.5906,19.7922,19.4465,19.5906
2013-02-19,19.7404,19.7749,19.4753,19.5906
2013-02-20,19.5906,19.8383,19.4926,19.5906
2013-02-21,19.4638,19.7404,19.0662,19.3543
2013-02-22,19.4465,19.6770,19.3774,19.4753
2013-02-25,19.8671,19.9363,19.2506,19.5502
2013-02-26,19.5906,19.5906,19.3313,19.5906
2013-02-27,19.7519,19.7519,19.3543,19.5790
2013-02-28,19.6424,19.6424,19.4062,19.5733
2013-03-01,19.4869,19.5790,19.3082,19.3774
2013-03-04,19.3198,19.4408,18.7493,19.0144
2013-03-05,18.9337,19.1527,18.5304,19.0720
2013-03-06,19.3313,19.3889,18.4728,19.1469
2013-03-07,19.0201,19.2852,18.6398,19.1527
2013-03-08,19.1527,19.2852,18.9625,19.0662
2013-03-11,19.0662,19.1930,18.9625,19.1584
2013-03-12,19.0835,19.0950,18.7320,18.7493
2013-03-13,18.8761,18.8934,18.6456,18.7320
2013-03-14,18.7090,18.8876,18.5361,18.6168
2013-03-15,18.6168,18.6859,18.3345,18.5477
2013-03-18,18.3460,18.8818,18.3460,18.8818
2013-03-19,18.8185,19.7692,18.6226,18.7781
2013-03-20,18.7781,19.1757,18.7263,18.9568
2013-03-21,19.1815,19.5618,18.9625,19.3370
2013-03-22,19.3140,19.7231,19.1066,19.5272
2013-03-25,19.5272,19.7000,19.4926,19.5329
2013-03-26,19.5099,19.6943,19.4926,19.5041
2013-03-27,19.4177,19.6251,19.3486,19.4177
2013-03-28,19.4119,19.9997,19.4119,19.6943
2013-04-01,19.7577,20.3857,19.7577,20.1091
2013-04-02,20.2417,20.4549,19.9997,20.0227
2013-04-03,19.8383,19.9709,19.0605,19.1181
2013-04-04,19.0720,19.2160,18.9107,19.0547
2013-04-05,19.0029,19.0259,18.7378,18.7666
2013-04-08,19.0432,19.2276,18.8703,19.0547
2013-04-09,19.0201,19.4926,19.0201,19.3025
2013-04-10,19.3947,19.7289,19.1296,19.1411
2013-04-11,19.0893,19.3313,19.0720,19.1469
2013-04-12,19.0605,19.1930,19.0605,19.1239
2013-04-15,19.0029,19.4638,18.8473,18.8530
2013-04-16,19.0144,19.0259,18.4843,18.7205
2013-04-17,18.7263,19.2160,18.5592,19.1584
2013-04-18,19.5329,19.7807,19.3313,19.3428
2013-04-19,19.4984,19.7173,19.3025,19.7173
2013-04-22,19.8614,20.1610,19.8268,20.0054
2013-04-23,19.9651,20.1495,19.9075,19.9190
2013-04-24,20.0227,20.1207,19.8902,19.9017
2013-04-25,20.0515,20.1668,19.9536,20.0112
2013-04-26,19.9125,20.1500,19.9125,20.0515
2013-04-29,20.2542,20.5554,20.2427,20.4570
2013-04-30,20.3817,20.8508,20.3817,20.5902
2013-05-01,20.7639,22.1019,20.7639,20.8103
2013-05-02,20.9319,22.3046,20.9319,21.9165
2013-05-03,21.9918,23.1734,21.4474,23.1618
2013-05-06,23.0517,23.1676,22.8200,22.8838
2013-05-07,22.7911,22.9938,22.3567,22.3567
2013-05-08,22.4552,22.7621,22.2814,22.5884
2013-05-09,22.8780,23.0749,22.5884,22.5884
2013-05-10,22.5826,23.1270,22.5305,22.9880
2013-05-13,23.0517,23.4861,22.9011,23.1791
2013-05-14,23.0517,23.2950,22.7042,22.7795
2013-05-15,22.7853,23.1386,22.2119,22.6173
2013-05-16,22.7969,23.0459,22.4725,22.5594
2013-05-17,22.7621,22.9591,22.5247,22.5420
2013-05-20,22.4899,22.6926,22.3277,22.5826
2013-05-21,22.5826,22.9533,22.5189,22.5884
2013-05-22,22.7679,22.7679,22.4841,22.5884
2013-05-23,22.4436,22.7216,21.8760,22.6926
2013-05-24,22.6057,22.6057,22.2409,22.4783
2013-05-28,22.5884,22.7100,22.0613,22.2582
2013-05-29,22.2582,22.4088,21.7717,22.3219
2013-05-30,22.2235,22.2988,21.7833,21.9223
2013-05-31,21.7949,21.9223,21.5169,21.6733
2013-06-03,21.3779,22.2930,21.0941,21.9107
2013-06-04,22.0555,22.0555,20.8971,20.8971
2013-06-05,20.8971,20.9840,20.3585,20.7755
2013-06-06,20.6655,20.9782,20.5612,20.7581
2013-06-07,20.9087,22.1945,20.8334,21.5690
2013-06-10,21.7659,22.3277,21.1983,21.8065
2013-06-11,21.7485,21.7717,21.3547,21.4184
2013-06-12,21.3721,22.2409,21.3721,21.7775
2013-06-13,22.0381,22.0381,21.4705,21.7949
2013-06-14,21.8933,22.9533,21.8933,22.6405
2013-06-17,22.7911,22.7911,22.3625,22.5826
2013-06-18,22.6521,22.6521,21.8586,22.2351
2013-06-19,22.2293,22.7042,22.1308,22.6289
2013-06-20,22.6521,22.8664,21.8123,21.8760
2013-06-21,22.2119,22.4667,21.9513,21.9628
2013-06-24,22.1134,22.1134,21.4647,21.6269
2013-06-25,21.7196,22.6695,21.6327,22.2756
2013-06-26,22.4783,23.8336,22.3972,23.3992
2013-06-27,23.6309,24.6155,23.4166,24.2391
2013-06-28,24.8820,24.8820,23.8452,23.8452
2013-07-01,24.1232,24.2506,23.4745,23.5730
2013-07-02,23.6483,24.0074,23.2023,23.3703
2013-07-03,23.3992,23.6251,23.1791,23.3645
2013-07-05,23.3703,23.3703,22.8838,23.0807
2013-07-08,22.9880,24.1058,22.8895,24.1058
2013-07-09,24.3317,24.6677,23.8394,23.9842
2013-07-10,24.0943,24.1001,23.4745,23.9958
2013-07-11,24.0190,25.4843,24.0190,24.2680
2013-07-12,24.5113,24.7314,23.9321,24.0363
2013-07-15,24.1290,25.4032,23.8800,25.0731
2013-07-16,25.2179,25.6407,24.5750,24.6792
2013-07-17,24.8472,24.8530,24.2912,24.3259
