DATE,OPEN,HIGH,LOW,CLOSE
1995-10-19,2.4374,2.4676,2.4374,2.4676
1995-10-20,4.9140,4.9140,4.9140,4.9140
1995-10-23,4.9140,4.9140,4.9140,4.9140
1995-10-24,4.9140,4.9140,4.9140,4.9140
1995-10-25,4.9140,4.9140,4.9140,4.9140
1995-10-26,4.9140,4.9140,4.9140,4.9140
1995-10-27,4.9140,4.9140,4.9140,4.9140
1995-10-30,4.9140,4.9140,4.9140,4.9140
1995-10-31,4.9140,4.9140,4.9140,4.9140
1995-11-01,4.9140,4.9140,4.9140,4.9140
1995-11-02,4.8748,4.8748,4.8748,4.8748
1995-11-03,4.8748,4.8748,4.8748,4.8748
1995-11-06,4.8748,4.8748,4.8748,4.8748
1995-11-07,4.8748,4.8748,4.8748,4.8748
1995-11-08,4.8748,4.8748,4.8748,4.8748
1995-11-09,4.9140,5.0380,4.9140,4.9760
1995-11-10,4.9760,4.9760,4.9760,4.9760
1995-11-13,4.9760,4.9760,4.9760,4.9760
1995-11-14,5.0168,5.1391,5.0168,5.1391
1995-11-15,5.1391,5.1391,5.0575,5.0771
1995-11-16,5.0771,5.1799,5.0771,5.0771
1995-11-17,5.0771,5.0771,5.0771,5.0771
1995-11-20,5.0771,5.0771,5.0771,5.0771
1995-11-21,5.0771,5.0771,5.0771,5.0771
1995-11-22,5.0771,5.0771,5.0771,5.0771
1995-11-24,5.0575,5.0575,4.9140,4.9140
1995-11-27,4.9140,4.9352,4.9140,4.9352
1995-11-28,4.9955,5.0983,4.9955,5.0983
1995-11-29,5.1587,5.2011,5.1587,5.2011
1995-11-30,5.2011,5.2615,5.1799,5.1799
1995-12-01,5.2207,5.3838,5.2207,5.3430
1995-12-04,5.4034,5.5470,5.4034,5.5062
1995-12-05,5.5470,5.6286,5.5470,5.6286
1995-12-06,5.6693,5.6693,5.6693,5.6693
1995-12-07,5.6693,5.6693,5.6693,5.6693
1995-12-08,5.6693,5.6693,5.6693,5.6693
1995-12-11,5.6286,5.6286,5.4654,5.4654
1995-12-12,5.4034,5.4034,5.4034,5.4034
1995-12-13,5.4034,5.4034,5.4034,5.4034
1995-12-14,5.4034,5.4034,5.4034,5.4034
1995-12-15,5.3838,5.3838,5.3838,5.3838
1995-12-18,5.3430,5.3430,5.1391,5.1799
1995-12-19,5.1391,5.1391,5.1391,5.1391
1995-12-20,5.1587,5.1587,5.1587,5.1587
1995-12-21,5.2011,5.2011,5.2011,5.2011
1995-12-22,5.2011,5.2011,5.2011,5.2011
1995-12-26,5.2138,5.2138,5.2138,5.2138
1995-12-27,5.2138,5.2138,5.2138,5.2138
1995-12-28,5.1713,5.1713,5.1713,5.1713
1995-12-29,5.2138,5.3152,5.2138,5.3152
1996-01-02,5.3152,5.3152,5.3152,5.3152
1996-01-03,5.3152,5.3970,5.2335,5.2743
1996-01-04,5.2743,5.2743,5.2743,5.2743
1996-01-05,5.2531,5.2531,5.2138,5.2138
1996-01-08,5.2138,5.2138,5.2138,5.2138
1996-01-09,5.2138,5.2138,5.1713,5.2138
1996-01-10,5.2138,5.2138,5.2138,5.2138
1996-01-11,5.2335,5.2743,5.2335,5.2743
1996-01-12,5.2531,5.2531,5.1713,5.1713
1996-01-15,5.1108,5.1108,5.0895,5.0895
1996-01-16,5.0699,5.0699,5.0290,5.0290
1996-01-17,4.9881,4.9881,4.9260,4.9260
1996-01-18,4.9064,4.9064,4.8655,4.8655
1996-01-19,4.8655,4.8655,4.8246,4.8246
1996-01-22,4.7625,4.7625,4.7625,4.7625
1996-01-23,4.7428,4.7428,4.7019,4.7019
1996-01-24,4.7019,4.7019,4.7019,4.7019
1996-01-25,4.7019,4.7019,4.7019,4.7019
1996-01-26,4.7428,4.7625,4.7428,4.7625
1996-01-29,4.7625,4.7625,4.7625,4.7625
1996-01-30,4.7837,4.8442,4.7837,4.8442
1996-01-31,4.8867,4.9260,4.8867,4.9260
1996-02-01,4.9260,4.9260,4.9260,4.9260
1996-02-02,4.9064,4.9064,4.8655,4.8655
1996-02-05,4.8246,4.8246,4.8246,4.8246
1996-02-06,4.8246,4.8655,4.7019,4.8655
1996-02-07,4.9064,4.9064,4.9064,4.9064
1996-02-08,4.9473,4.9473,4.9473,4.9473
1996-02-09,4.9881,5.0503,4.9881,5.0290
1996-02-12,5.0699,5.0895,5.0699,5.0895
1996-02-13,5.1108,5.2531,5.1108,5.2531
1996-02-14,5.2531,5.2531,5.2531,5.2531
1996-02-15,5.3349,5.3774,5.3349,5.3774
1996-02-16,5.3152,5.3152,5.2743,5.2743
1996-02-20,5.2531,5.2531,5.2531,5.2531
1996-02-21,5.2531,5.2531,5.2531,5.2531
1996-02-22,5.2743,5.3774,5.2743,5.3774
1996-02-23,5.4166,5.5197,5.4166,5.5197
1996-02-26,5.5197,5.5197,5.5197,5.5197
1996-02-27,5.5197,5.5197,5.5197,5.5197
1996-02-28,5.5197,5.5197,5.5197,5.5197
1996-02-29,5.4788,5.4788,5.4166,5.4166
