DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2006-10-02,11.5480,12.0773,11.5299,11.8848,7.112,
2006-10-03,11.9630,12.0532,11.8066,12.0291,11.416,
2006-10-04,12.0291,12.0592,11.7284,11.8968,10.723,
2006-10-05,11.9991,11.9991,11.7825,11.8126,8.782,
2006-10-06,11.8487,11.8968,11.6202,11.7705,6.282,
2006-10-09,11.9690,12.0051,11.7344,11.8668,3.518,
2006-10-10,11.7765,11.9209,11.7284,11.8547,6.132,
2006-10-11,11.8367,11.8367,11.5961,11.6141,9.505,
2006-10-12,11.6803,11.6803,11.3976,11.4457,8.324,
2006-10-13,11.4277,11.4397,11.1691,11.3495,10.660,
2006-10-16,11.4638,11.5600,11.2593,11.2713,9.966,
2006-10-17,11.1270,11.2352,11.0428,11.1751,4.902,
2006-10-18,11.1570,11.4999,11.1570,11.4277,6.600,
2006-10-19,11.6683,11.8788,11.5480,11.7284,8.959,
2006-10-20,11.7886,12.0291,11.6923,11.8066,5.713,
2006-10-23,11.8247,11.9570,11.5119,11.7765,6.781,
2006-10-24,12.0291,12.6306,11.9690,11.9991,14.764,
2006-10-25,12.0652,13.3524,12.0592,13.1418,11.830,
2006-10-26,13.0637,13.8576,13.0216,13.4366,13.491,
2006-10-27,13.2922,13.4366,12.9434,13.2020,4.565,
2006-10-30,13.2200,13.3524,12.9013,13.2982,5.795,
2006-10-31,13.4486,13.7012,13.1178,13.2621,4.165,
2006-11-01,13.3223,13.5809,13.1960,13.2140,8.518,
2006-11-02,13.0396,13.2802,12.8952,13.1298,7.359,
2006-11-03,13.2802,13.4065,12.8351,12.9554,4.821,
2006-11-06,13.2621,13.4787,13.1058,13.3704,5.462,
2006-11-07,13.3102,13.7974,13.3102,13.5328,5.058,
2006-11-08,13.4366,13.7613,13.3644,13.6050,4.660,
2006-11-09,13.5929,14.1643,13.5328,14.0019,8.631,
2006-11-10,14.0019,14.1342,13.6892,13.7313,4.421,
2006-11-13,13.9538,14.0982,13.7613,13.9779,5.380,
2006-11-14,14.1222,14.1643,13.7734,14.0861,4.358,
2006-11-15,14.2124,14.3147,14.0200,14.0440,4.150,
2006-11-16,14.1342,14.3147,13.8937,13.9057,4.629,
2006-11-17,13.8215,13.9538,13.6230,13.6411,4.083,
2006-11-20,13.6411,13.7253,13.3584,13.5388,3.844,
2006-11-21,13.6110,13.7373,13.5568,13.5629,4.081,
2006-11-22,13.5027,13.6290,13.4486,13.5568,2.754,
2006-11-24,13.5448,13.5629,13.4486,13.4486,0.886,
2006-11-27,13.3328,13.4546,13.0637,13.1418,4.877,
2006-11-28,13.0276,13.5328,12.9253,13.0035,4.878,
2006-11-29,13.5328,14.3387,12.9434,13.3283,5.717,
2006-11-30,13.3463,13.7974,13.2862,13.7132,6.002,
2006-12-01,13.4787,13.7433,13.4787,13.7433,4.519,
2006-12-04,13.8636,14.2846,13.7734,14.1342,5.347,
