DATE,OPEN,HIGH,LOW,CLOSE
2016-11-01,23.6017,26.1295,23.1106,25.2195
2016-11-02,25.5180,26.3846,25.2195,25.6046
2016-11-03,25.7876,26.0957,25.6528,25.8550
2016-11-04,25.9802,27.0972,25.8558,26.5580
2016-11-07,26.8372,27.5978,25.3735,25.7202
2016-11-08,25.0173,26.2498,24.6610,25.6046
2016-11-09,24.9980,25.6239,24.9980,25.0365
2016-11-10,25.2869,25.7876,24.8921,25.0365
2016-11-11,24.8728,26.9959,24.8728,25.9802
2016-11-14,26.0861,26.3654,24.7287,24.9210
2016-11-15,24.9402,25.6624,24.5550,25.5758
2016-11-16,25.4217,26.5868,25.4217,25.9417
2016-11-17,26.1535,26.2065,25.9320,26.0861
2016-11-18,26.1343,27.5594,26.0283,27.2031
2016-11-21,27.1165,27.9157,26.9335,27.8483
2016-11-22,27.8868,29.2446,27.8868,28.8690
2016-11-23,28.6475,29.1531,28.0024,28.6861
2016-11-25,28.6764,28.7727,26.6639,28.3587
2016-11-28,28.2239,28.2913,27.1742,27.2994
2016-11-29,27.3476,27.6365,26.7794,27.5305
2016-11-30,27.5305,27.7039,26.7313,27.0779
2016-12-01,27.1550,27.5257,26.7891,27.2031
2016-12-02,26.8372,27.7231,26.4809,27.1068
2016-12-05,27.1839,27.4824,26.9528,26.9624
2016-12-06,27.0105,27.3379,26.6446,27.2994
2016-12-07,27.2224,27.4246,26.8661,26.9817
2016-12-08,27.1454,27.2416,26.4231,26.9817
2016-12-09,26.9046,27.3861,26.8854,26.9624
2016-12-12,26.7217,26.8083,25.3447,25.4698
2016-12-13,25.4987,26.2498,25.3158,26.0187
2016-12-14,25.6913,26.9094,25.6913,26.0380
2016-12-15,25.4987,26.0957,25.2580,25.4217
2016-12-16,25.3158,25.4409,24.9402,25.2098
2016-12-19,25.0558,25.5084,24.7285,24.9595
2016-12-20,24.9402,26.0274,24.7476,25.6817
2016-12-21,25.5469,25.9898,25.5180,25.6432
2016-12-22,25.4217,25.5854,25.0269,25.1906
2016-12-23,25.0943,25.3735,24.9017,25.0461
2016-12-27,24.8247,25.1617,24.8247,24.9113
2016-12-28,24.9017,25.0461,24.8247,25.0269
2016-12-29,24.8632,25.2387,24.8632,25.0365
2016-12-30,25.0847,25.2387,24.8921,25.1521
2017-01-03,25.5276,25.5661,25.0558,25.2676
2017-01-04,25.3447,25.7009,25.1328,25.6335
2017-01-05,25.9128,26.1439,25.6239,25.9898
2017-01-06,25.8550,25.9609,25.1328,25.1906
2017-01-09,25.2195,25.5854,24.8824,25.0847
2017-01-10,25.1039,25.5565,24.9691,25.2098
2017-01-11,24.9884,25.1713,24.8054,25.0943
2017-01-12,24.8536,25.1039,24.8343,25.0269
2017-01-13,25.0269,25.1135,24.8439,25.0076
2017-01-17,25.3639,25.9513,25.3158,25.6817
2017-01-18,25.6239,25.9417,25.4121,25.5084
2017-01-19,25.3735,25.6528,24.9402,25.0365
2017-01-20,24.9980,25.4217,24.9691,25.0847
2017-01-23,25.2098,25.8549,25.0847,25.7202
2017-01-24,26.1246,26.3365,25.6913,25.9224
2017-01-25,25.9417,26.2691,25.5565,25.9995
2017-01-26,26.0187,27.3668,25.9080,26.9528
2017-01-27,26.9624,27.1646,26.7794,27.0105
2017-01-30,26.7024,26.9431,26.3846,26.6928
2017-01-31,26.4520,27.6557,26.2306,26.4617
2017-02-01,26.3846,26.7602,26.2691,26.5387
2017-02-02,26.3654,27.6365,26.3172,27.4342
2017-02-03,27.3187,27.5016,27.0779,27.3765
2017-02-06,27.6076,28.2624,27.4246,27.7231
2017-02-07,27.7327,28.0313,26.8468,27.0587
2017-02-08,27.1935,27.1935,25.6624,26.1246
2017-02-09,26.3654,26.3846,25.5084,25.9609
2017-02-10,25.9513,26.2691,25.3350,25.5758
2017-02-13,25.6239,26.7746,25.4409,26.2498
2017-02-14,26.2883,26.4135,25.5324,25.6432
2017-02-15,25.6335,25.6913,25.2580,25.6624
2017-02-16,25.7491,26.0861,25.6624,25.8550
2017-02-17,25.8358,25.9417,25.4698,25.5854
2017-02-21,25.9032,25.9320,25.5084,25.7587
2017-02-22,25.8358,26.0909,25.5180,25.7780
2017-02-23,25.8646,26.0861,25.5854,25.7780
2017-02-24,25.9128,26.3846,25.8165,25.9898
2017-02-27,25.7972,26.1728,25.3543,25.9995
2017-02-28,26.0669,26.1343,25.4698,25.6046
2017-03-01,25.8069,25.8550,25.4987,25.5180
2017-03-02,25.3350,25.5084,25.2098,25.4313
2017-03-03,25.3735,25.7491,25.3735,25.5276
2017-03-06,25.6143,25.6528,25.1906,25.3350
2017-03-07,25.3350,25.3928,25.0365,25.0461
2017-03-08,25.0847,25.5180,25.0847,25.4024
2017-03-09,25.3158,25.5613,25.1617,25.2291
2017-03-10,25.3735,25.6721,25.1280,25.3735
2017-03-13,25.4121,25.6817,25.3928,25.4987
