DATE,OPEN,HIGH,LOW,CLOSE
2021-05-26,20.0000,21.6900,19.3200,21.1000
2021-05-27,20.7100,21.7600,20.6000,20.8500
2021-05-28,20.2000,21.5000,20.1500,21.0100
2021-06-01,21.0000,23.0500,20.9408,23.0500
2021-06-02,22.3600,24.0000,22.2400,23.8000
2021-06-03,23.5600,24.8300,23.5600,24.6600
2021-06-04,24.6500,24.6900,24.2900,24.5400
2021-06-07,24.4000,24.5000,23.4650,23.6300
2021-06-08,23.4000,23.9000,23.2854,23.6700
2021-06-09,23.6000,23.6700,22.5785,22.8300
2021-06-10,22.8900,23.1900,22.2700,22.4700
2021-06-11,22.2900,22.5899,21.6700,22.0600
2021-06-14,22.0200,22.2800,21.2300,21.4000
2021-06-15,21.3500,21.7300,20.6000,20.9100
2021-06-16,20.8900,21.2500,20.2601,20.5900
2021-06-17,20.7100,20.9499,20.4000,20.6400
2021-06-18,20.4100,21.7600,20.4100,21.2600
2021-06-21,22.0900,23.6700,22.0000,23.5100
2021-06-22,23.2500,24.5000,22.5550,22.9200
2021-06-23,23.0100,23.4400,22.6100,23.3900
2021-06-24,23.5500,23.7500,23.0400,23.2800
2021-06-25,23.0000,23.3005,21.9300,21.9300
2021-06-28,22.6600,24.1300,22.4800,24.1100
2021-06-29,24.2600,25.5700,23.0501,23.6200
2021-06-30,23.5100,25.3700,23.4755,24.9800
2021-07-01,25.3900,25.4500,23.6500,24.1200
2021-07-02,24.2500,26.7100,24.2300,25.9500
2021-07-06,25.9400,26.3300,24.4700,25.4700
2021-07-07,24.9300,25.4106,23.6500,24.2700
2021-07-08,23.5400,24.0100,22.8000,23.3800
2021-07-09,23.4200,24.3600,23.0300,24.3200
2021-07-12,24.3200,25.5000,23.8500,25.1700
2021-07-13,25.1700,25.8000,24.8100,24.9700
2021-07-14,25.0200,25.3500,24.8200,24.9100
2021-07-15,24.6800,24.8100,24.1200,24.6100
2021-07-16,24.6200,24.7973,24.3000,24.4900
2021-07-19,23.9400,24.0100,22.4500,23.0000
2021-07-20,22.9300,23.7900,22.6600,23.6000
2021-07-21,23.8000,24.5600,23.7600,24.3500
2021-07-22,24.2700,24.3600,23.7400,24.3500
2021-07-23,24.4300,25.3900,24.3917,24.9700
2021-07-26,24.9700,26.9200,24.8040,26.0000
2021-07-27,25.9300,26.1751,25.1800,26.0000
2021-07-28,26.2500,26.6100,25.7100,25.9500
2021-07-29,26.0000,26.6400,25.9300,26.0200
2021-07-30,26.0000,26.2700,25.7500,26.0800
2021-08-02,26.2000,27.0000,26.1100,26.7200
2021-08-03,26.6200,29.0700,25.9134,27.2500
2021-08-04,27.1900,27.9400,27.1900,27.6700
2021-08-05,27.9400,27.9700,26.1300,26.5600
2021-08-06,26.7800,27.9000,26.4483,27.5700
2021-08-09,27.7700,28.2600,27.3200,28.0000
2021-08-10,28.3400,28.3900,27.3600,27.3700
2021-08-11,27.2700,28.7600,27.2700,28.7300
